date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,2680.00,2695.45,2668.15,2668.15,2661.18,SHORT,2680.00,373,2661.18,2661.18,true,40.00,398.45,6581.41,0.66,1006581.41
2025-01-03,2750.00,2756.95,2729.05,2750.30,2680.70,SHORT,2750.00,366,2680.70,2779.80,false,40.00,404.78,-11351.58,-1.13,995229.83
2025-01-06,2786.70,2841.80,2786.70,2841.80,2763.44,SHORT,2786.70,357,2763.44,2828.75,false,40.00,400.94,-15452.79,-1.55,979777.03
2025-01-07,2850.25,2866.00,2835.05,2847.65,2831.35,SHORT,2850.25,343,2831.35,2831.35,true,40.00,389.76,6052.94,0.62,985829.98
2025-01-08,2840.05,2873.95,2840.05,2865.20,2809.91,SHORT,2840.05,347,2809.91,2809.91,true,40.00,392.11,10026.47,1.02,995856.45
2025-01-09,2767.00,2793.00,2766.95,2784.60,2803.00,LONG,2767.00,359,2803.00,2696.40,false,40.00,392.27,-25777.67,-2.60,970078.78
2025-01-10,2689.75,2689.80,2671.10,2689.60,2707.98,LONG,2689.75,360,2707.98,2707.98,true,40.00,388.64,6134.16,0.63,976212.94
2025-01-13,2670.00,2679.15,2623.00,2647.05,2678.13,LONG,2670.00,365,2678.13,2678.13,true,40.00,390.41,2537.04,0.26,978749.98
2025-01-14,2561.10,2592.15,2561.10,2584.95,2598.96,LONG,2561.10,382,2598.96,2598.96,true,40.00,394.23,14028.29,1.43,992778.27
2025-01-15,2556.30,2556.30,2548.00,2548.00,2564.10,LONG,2556.30,388,2564.10,2498.30,false,40.00,392.24,-22936.24,-2.31,969842.03
2025-01-16,2475.00,2492.00,2446.10,2474.50,2502.92,LONG,2475.00,391,2502.92,2479.45,false,40.00,387.44,1312.51,0.14,971154.54
2025-01-17,2464.00,2500.85,2464.00,2475.85,2480.17,LONG,2464.00,394,2480.17,2480.17,true,40.00,389.60,5941.38,0.61,977095.92
2025-01-20,2531.15,2549.20,2522.05,2537.40,2507.95,SHORT,2531.15,386,2507.95,2516.65,false,40.00,389.69,5167.31,0.53,982263.23
2025-01-21,2510.00,2522.80,2509.05,2511.00,2524.93,LONG,2510.00,391,2524.93,2524.93,true,40.00,393.73,5403.90,0.55,987667.13
2025-01-22,2500.05,2524.95,2492.00,2492.00,2524.35,LONG,2500.05,395,2524.35,2524.35,true,40.00,396.93,9161.57,0.93,996828.70
2025-01-23,2396.00,2396.00,2366.00,2381.85,2394.10,SKIP,,,,,,,,,,996828.70
2025-01-24,2393.90,2393.90,2380.05,2386.50,2398.23,LONG,2393.90,416,2398.23,2398.23,true,40.00,398.71,1362.57,0.14,998191.28
2025-01-27,2459.95,2524.45,2453.00,2522.45,2402.29,SHORT,2459.95,405,2402.29,2402.29,true,40.00,393.84,22918.46,2.30,1021109.74
2025-01-28,2409.95,2409.95,2383.90,2383.90,2430.79,LONG,2409.95,423,2430.79,2258.25,false,40.00,394.93,-64604.03,-6.34,956505.71
2025-01-29,2267.00,2272.50,2242.10,2246.20,2211.42,SHORT,2267.00,421,2211.42,2211.42,true,40.00,377.08,22982.10,2.41,979487.80
2025-01-30,2269.10,2269.10,2214.00,2220.00,2264.14,SHORT,2269.10,431,2264.14,2264.14,true,40.00,390.77,1706.99,0.17,981194.80
2025-01-31,2323.85,2323.85,2306.15,2311.55,2301.07,SHORT,2323.85,422,2301.07,2301.07,true,40.00,390.34,9182.82,0.94,990377.62
2025-02-01,2349.85,2360.00,2338.75,2346.80,2316.40,SHORT,2349.85,421,2316.40,2316.40,true,40.00,392.90,13649.55,1.38,1004027.17
2025-02-03,2410.75,2432.95,2383.40,2389.55,2351.14,SHORT,2410.75,416,2351.14,2351.14,true,40.00,396.19,24361.57,2.43,1028388.74
2025-02-04,2282.00,2300.00,2274.20,2288.85,2332.09,LONG,2282.00,450,2332.09,2332.09,true,40.00,415.27,22085.23,2.15,1050473.97
2025-02-05,2415.80,2459.85,2415.80,2459.85,2460.56,LONG,2415.80,434,2460.56,2460.56,true,40.00,423.27,18962.57,1.81,1069436.54
2025-02-06,2485.00,2486.45,2462.45,2464.35,2464.03,SHORT,2485.00,430,2464.03,2464.03,true,40.00,425.62,8551.48,0.80,1077988.02
2025-02-07,2433.90,2455.45,2424.20,2424.20,2415.76,SHORT,2433.90,442,2415.76,2415.76,true,40.00,428.71,7549.17,0.70,1085537.19
2025-02-10,2375.25,2375.25,2275.05,2275.05,2410.09,LONG,2375.25,457,2410.09,2333.55,false,40.00,430.38,-19527.28,-1.80,1066009.91
2025-02-11,2345.00,2345.00,2302.50,2302.50,2283.49,SHORT,2345.00,454,2283.49,2283.49,true,40.00,420.27,27465.27,2.58,1093475.18
2025-02-12,2253.95,2269.95,2199.00,2204.00,2251.73,SKIP,,,,,,,,,,1093475.18
2025-02-13,2241.95,2241.95,2213.00,2218.85,2194.56,SHORT,2241.95,487,2194.56,2194.56,true,40.00,432.12,22606.81,2.07,1116082.00
2025-02-14,2222.40,2236.00,2215.00,2236.00,2219.44,SHORT,2222.40,502,2219.44,2219.44,true,40.00,445.96,999.96,0.09,1117081.96
2025-02-17,2100.00,2114.20,2023.10,2023.10,2149.55,LONG,2100.00,531,2149.55,2105.75,false,40.00,446.65,2566.60,0.23,1119648.56
2025-02-18,2125.75,2126.40,2110.50,2110.50,2066.49,SHORT,2125.75,526,2066.49,2066.49,true,40.00,441.02,30689.74,2.74,1150338.29
2025-02-19,2114.85,2129.00,2056.65,2061.35,2087.65,SHORT,2114.85,543,2087.65,2087.65,true,40.00,456.39,14273.21,1.24,1164611.50
2025-02-20,2196.05,2196.05,2169.25,2178.05,2175.66,SHORT,2196.05,530,2175.66,2175.66,true,40.00,463.40,10303.30,0.89,1174914.80
2025-02-21,2201.75,2201.75,2173.50,2173.50,2188.49,SHORT,2201.75,533,2188.49,2188.49,true,40.00,468.00,6559.58,0.56,1181474.38
2025-02-24,2221.70,2221.70,2188.15,2193.40,2191.24,SHORT,2221.70,531,2191.24,2191.24,true,40.00,468.65,15665.61,1.33,1197139.99
2025-02-25,2173.05,2173.20,2147.05,2147.05,2162.82,SHORT,2173.05,550,2162.82,2162.82,true,40.00,476.95,5109.55,0.43,1202249.54
2025-02-27,2196.60,2196.60,2182.70,2183.85,2174.05,SHORT,2196.60,547,2174.05,2174.05,true,40.00,478.15,11816.70,0.98,1214066.24
2025-02-28,2051.00,2092.95,2051.00,2089.35,2124.62,LONG,2051.00,591,2124.62,2036.00,false,40.00,483.08,-9388.08,-0.77,1204678.16
2025-03-03,2055.90,2058.15,2045.40,2053.05,2024.25,SHORT,2055.90,585,2024.25,2024.25,true,40.00,477.38,17997.87,1.50,1222676.03
2025-03-04,2044.05,2044.05,2010.10,2025.40,2026.65,SHORT,2044.05,598,2026.65,2026.65,true,40.00,486.86,9878.34,0.81,1232554.37
2025-03-05,2148.90,2161.95,2148.90,2151.00,2113.30,SHORT,2148.90,573,2113.30,2217.45,false,40.00,500.38,-39819.53,-3.23,1192734.84
2025-03-06,2234.80,2263.50,2231.00,2263.50,2181.65,SHORT,2234.80,533,2181.65,2303.15,false,40.00,483.75,-36954.30,-3.10,1155780.55
2025-03-07,2338.95,2338.95,2300.00,2300.00,2307.89,SHORT,2338.95,494,2307.89,2307.89,true,40.00,459.11,14844.53,1.28,1170625.08
2025-03-10,2280.00,2280.00,2259.15,2260.00,2316.76,LONG,2280.00,513,2316.76,2302.45,false,40.00,470.16,11006.69,0.94,1181631.77
2025-03-11,2301.85,2301.85,2263.80,2263.80,2292.62,SHORT,2301.85,513,2292.62,2292.62,true,40.00,471.39,4223.60,0.36,1185855.37
2025-03-12,2180.90,2195.50,2133.60,2133.70,2211.24,LONG,2180.90,543,2211.24,2211.24,true,40.00,476.99,15957.63,1.35,1201813.00
2025-03-13,2228.00,2230.50,2208.70,2208.70,2190.38,SHORT,2228.00,539,2190.38,2190.38,true,40.00,476.30,19760.88,1.65,1221573.88
2025-03-17,2207.30,2225.00,2188.00,2188.00,2204.49,SHORT,2207.30,553,2204.49,2204.49,true,40.00,487.94,1025.99,0.08,1222599.86
2025-03-18,2216.50,2232.00,2215.25,2221.00,2212.81,SHORT,2216.50,551,2212.81,2212.81,true,40.00,488.11,1505.08,0.12,1224104.94
2025-03-19,2235.00,2255.95,2235.00,2247.65,2227.53,SHORT,2235.00,547,2227.53,2227.53,true,40.00,488.20,3557.89,0.29,1227662.83
2025-03-20,2267.00,2269.65,2248.55,2248.55,2235.16,SHORT,2267.00,541,2235.16,2235.16,true,40.00,487.13,16698.31,1.36,1244361.14
2025-03-21,2240.00,2240.00,2206.85,2209.05,2245.08,LONG,2240.00,555,2245.08,2245.08,true,40.00,497.84,2281.56,0.18,1246642.70
2025-03-24,2297.00,2342.75,2288.00,2338.30,2281.59,SHORT,2297.00,542,2281.59,2281.59,true,40.00,496.32,7815.90,0.63,1254458.60
2025-03-25,2315.65,2315.65,2300.00,2301.55,2309.91,SHORT,2315.65,541,2309.91,2309.91,true,40.00,500.49,2564.85,0.20,1257023.45
