date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,309.85,317.20,308.75,315.15,308.92,SHORT,309.85,3227,308.92,308.92,true,40.00,399.35,2561.76,0.26,1002561.76
2025-01-03,316.35,318.00,313.65,316.05,313.26,SHORT,316.35,3169,313.26,316.05,false,40.00,400.82,509.88,0.05,1003071.64
2025-01-06,315.80,316.50,304.80,306.00,316.03,SKIP,,,,,,,,,,1003071.64
2025-01-07,306.00,310.70,303.00,305.05,308.08,LONG,306.00,3278,308.08,308.08,true,40.00,402.59,6375.65,0.64,1009447.29
2025-01-08,306.15,307.85,303.00,306.65,305.78,SHORT,306.15,3297,305.78,305.78,true,40.00,403.51,776.38,0.08,1010223.67
2025-01-09,306.65,306.90,303.65,305.25,305.35,SHORT,306.65,3294,305.35,305.35,true,40.00,403.19,3839.01,0.38,1014062.69
2025-01-10,304.05,305.25,298.50,299.70,305.33,LONG,304.05,3335,305.33,299.70,false,40.00,402.70,-14949.95,-1.47,999112.74
2025-01-13,295.00,298.55,286.75,287.60,301.50,LONG,295.00,3386,301.50,287.60,false,40.00,394.54,-25490.94,-2.55,973621.80
2025-01-14,287.75,293.05,286.80,290.25,292.26,LONG,287.75,3383,292.26,292.26,true,40.00,392.43,14824.90,1.52,988446.69
2025-01-15,295.00,302.50,291.10,298.65,290.23,SHORT,295.00,3350,290.23,298.65,false,40.00,397.75,-12665.25,-1.28,975781.45
2025-01-16,299.00,301.60,296.60,297.65,299.19,SKIP,,,,,,,,,,975781.45
2025-01-17,297.65,305.00,295.70,302.60,298.17,LONG,297.65,3278,298.17,298.17,true,40.00,390.62,1273.94,0.13,977055.39
2025-01-20,302.60,308.80,301.95,306.25,302.47,SKIP,,,,,,,,,,977055.39
2025-01-21,307.00,309.95,301.50,302.35,306.24,SHORT,307.00,3182,306.24,306.24,true,40.00,390.27,1988.05,0.20,979043.44
2025-01-22,302.00,302.30,295.80,297.55,304.84,LONG,302.00,3241,304.84,297.55,false,40.00,388.63,-14851.08,-1.52,964192.37
2025-01-23,297.50,299.60,293.60,294.35,297.97,LONG,297.50,3240,297.97,297.97,true,40.00,385.86,1096.94,0.11,965289.30
2025-01-24,295.30,302.50,294.35,295.85,296.14,LONG,295.30,3268,296.14,296.14,true,40.00,386.57,2318.55,0.24,967607.86
2025-01-27,295.00,295.00,283.75,287.00,298.89,LONG,295.00,3280,298.89,287.00,false,40.00,381.79,-26661.79,-2.76,940946.06
2025-01-28,287.15,288.80,279.35,283.95,286.70,SHORT,287.15,3276,286.70,286.70,true,40.00,375.99,1058.21,0.11,942004.28
2025-01-29,285.35,289.15,283.30,287.85,283.57,SHORT,285.35,3301,283.57,283.57,true,40.00,375.60,5460.18,0.58,947464.46
2025-01-30,287.85,297.10,287.85,295.35,287.10,SHORT,287.85,3291,287.10,295.35,false,40.00,383.86,-25106.36,-2.65,922358.09
2025-01-31,297.00,303.45,295.90,301.65,294.91,SHORT,297.00,3105,294.91,301.65,false,40.00,371.76,-14850.01,-1.61,907508.08
2025-02-01,301.65,305.35,288.65,289.85,300.78,SHORT,301.65,3008,300.78,300.78,true,40.00,362.42,2214.54,0.24,909722.62
