date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,2599.95,2617.00,2577.00,2587.00,2587.70,SHORT,2599.95,384,2587.70,2587.70,true,40.00,398.41,4265.59,0.43,1004265.59
2025-01-03,2595.00,2637.00,2579.00,2590.55,2590.71,SHORT,2595.00,387,2590.71,2590.71,true,40.00,401.37,1218.86,0.12,1005484.44
2025-01-06,2586.05,2597.95,2475.05,2514.95,2605.40,LONG,2586.05,388,2605.40,2514.95,false,40.00,395.84,-28022.64,-2.79,977461.81
2025-01-07,2514.85,2566.15,2491.00,2496.10,2521.26,LONG,2514.85,388,2521.26,2521.26,true,40.00,390.80,2056.28,0.21,979518.08
2025-01-08,2496.20,2520.00,2392.20,2411.10,2523.45,LONG,2496.20,392,2523.45,2411.10,false,40.00,384.73,-33783.93,-3.45,945734.15
2025-01-09,2425.15,2429.95,2371.30,2388.30,2423.53,SKIP,,,,,,,,,,945734.15
2025-01-10,2380.00,2389.70,2269.95,2280.90,2391.98,LONG,2380.00,397,2391.98,2280.90,false,40.00,370.08,-39752.78,-4.21,905981.38
2025-01-13,2235.30,2253.55,2147.85,2160.90,2309.03,LONG,2235.30,405,2309.03,2160.90,false,40.00,356.09,-30528.09,-3.37,875453.28
2025-01-14,2160.00,2208.55,2113.65,2151.80,2187.81,LONG,2160.00,405,2187.81,2187.81,true,40.00,352.17,10870.88,1.24,886324.16
2025-01-15,2166.80,2230.00,2152.10,2205.85,2159.53,SHORT,2166.80,409,2159.53,2159.53,true,40.00,353.89,2579.54,0.29,888903.70
2025-01-16,2250.00,2256.00,2192.20,2198.70,2195.36,SHORT,2250.00,395,2195.36,2195.36,true,40.00,351.18,21191.62,2.38,910095.31
2025-01-17,2213.40,2309.00,2187.05,2282.75,2208.10,SHORT,2213.40,411,2208.10,2208.10,true,40.00,363.45,1774.85,0.20,911870.17
2025-01-20,2283.50,2365.00,2265.15,2349.35,2250.21,SHORT,2283.50,399,2250.21,2349.35,false,40.00,369.70,-26683.85,-2.93,885186.32
2025-01-21,2354.60,2358.10,2275.65,2284.30,2328.20,SHORT,2354.60,375,2328.20,2328.20,true,40.00,351.21,9508.79,1.08,894695.11
2025-01-22,2284.75,2289.35,2162.25,2211.15,2298.46,LONG,2284.75,391,2298.46,2211.15,false,40.00,351.58,-29169.18,-3.27,865525.93
2025-01-23,2197.00,2249.45,2176.55,2231.35,2209.21,LONG,2197.00,393,2209.21,2209.21,true,40.00,346.33,4412.20,0.51,869938.13
2025-01-24,2250.40,2257.00,2195.00,2211.55,2230.58,SHORT,2250.40,386,2230.58,2230.58,true,40.00,345.93,7264.59,0.84,877202.72
2025-01-27,2167.30,2187.40,2090.00,2144.30,2210.91,LONG,2167.30,404,2210.91,2144.30,false,40.00,348.38,-9680.38,-1.11,867522.34
2025-01-28,2138.35,2152.40,2065.65,2111.20,2116.30,SHORT,2138.35,405,2116.30,2116.30,true,40.00,344.63,8545.62,0.99,876067.96
2025-01-29,2115.10,2212.35,2107.45,2154.30,2101.41,SHORT,2115.10,414,2101.41,2154.30,false,40.00,353.51,-16622.31,-1.90,859445.66
2025-01-30,2154.35,2243.25,2154.35,2198.80,2173.43,LONG,2154.35,398,2173.43,2173.43,true,40.00,344.49,7209.35,0.84,866655.01
2025-01-31,2203.35,2222.00,2167.25,2178.40,2201.67,SKIP,,,,,,,,,,866655.01
2025-02-01,2178.10,2402.40,2130.60,2380.20,2182.76,LONG,2178.10,397,2182.76,2182.76,true,40.00,346.25,1463.77,0.17,868118.77
2025-02-03,2370.00,2370.00,2271.60,2341.45,2344.91,SHORT,2370.00,366,2344.91,2344.91,true,40.00,345.13,8797.81,1.01,876916.58
2025-02-04,2353.25,2407.90,2291.00,2304.90,2332.69,SHORT,2353.25,372,2332.69,2332.69,true,40.00,348.63,7259.69,0.83,884176.27
2025-02-05,2300.00,2323.25,2273.30,2304.35,2348.85,LONG,2300.00,384,2348.85,2304.35,false,40.00,353.61,1276.79,0.14,885453.05
2025-02-06,2304.35,2332.30,2240.00,2260.00,2299.76,SHORT,2304.35,384,2299.76,2299.76,true,40.00,353.60,1368.96,0.15,886822.02
2025-02-07,2260.00,2265.60,2220.00,2247.00,2269.05,LONG,2260.00,392,2269.05,2247.00,false,40.00,353.35,-5489.35,-0.62,881332.67
2025-02-10,2240.10,2257.40,2165.55,2210.90,2246.30,LONG,2240.10,393,2246.30,2246.30,true,40.00,352.63,2043.97,0.23,883376.64
2025-02-11,2209.05,2228.75,2093.90,2208.25,2203.56,SHORT,2209.05,399,2203.56,2203.56,true,40.00,352.13,1798.38,0.20,885175.02
2025-02-12,2219.90,2264.45,2125.00,2237.15,2153.42,SHORT,2219.90,398,2153.42,2153.42,true,40.00,348.12,26070.92,2.95,911245.95
2025-02-13,2188.00,2194.70,2115.00,2125.20,2195.29,LONG,2188.00,416,2195.29,2125.20,false,40.00,358.86,-26523.66,-2.91,884722.29
2025-02-14,2124.05,2139.85,2030.00,2042.90,2153.03,LONG,2124.05,416,2153.03,2042.90,false,40.00,346.69,-34145.09,-3.86,850577.20
2025-02-17,2005.50,2040.95,1902.20,1950.45,2076.25,LONG,2005.50,424,2076.25,1950.45,false,40.00,335.46,-23716.66,-2.79,826860.53
2025-02-18,1925.00,1950.40,1865.10,1890.75,1934.92,LONG,1925.00,429,1934.92,1934.92,true,40.00,331.18,3884.50,0.47,830745.03
2025-02-19,1869.70,2026.60,1845.50,2016.75,1907.38,LONG,1869.70,444,1907.38,1907.38,true,40.00,335.40,16354.52,1.97,847099.55
2025-02-20,2013.00,2219.40,1991.20,2195.70,1974.76,SHORT,2013.00,420,1974.76,2195.70,false,40.00,353.53,-77127.53,-9.12,769972.02
2025-02-21,2151.80,2159.40,2076.40,2098.95,2147.22,SHORT,2151.80,357,2147.22,2147.22,true,40.00,306.95,1288.11,0.17,771260.13
2025-02-24,2097.00,2097.00,2020.25,2035.35,2111.05,LONG,2097.00,367,2111.05,2035.35,false,40.00,303.31,-22968.86,-2.98,748291.26
