date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,2937.30,3068.90,2931.60,3060.05,2908.84,SHORT,2937.30,340,2908.84,3060.05,false,40.00,407.82,-42182.82,-4.22,957817.18
2025-01-03,3060.00,3098.00,3036.15,3048.35,3017.72,SHORT,3060.00,313,3017.72,3048.35,false,40.00,382.38,3224.07,0.34,961041.25
2025-01-06,3031.00,3081.35,2955.00,2969.55,3063.56,LONG,3031.00,317,3063.56,3063.56,true,40.00,386.40,9895.12,1.03,970936.37
2025-01-07,2977.05,3022.00,2950.00,2958.40,2998.01,LONG,2977.05,326,2998.01,2998.01,true,40.00,389.57,6403.39,0.66,977339.76
2025-01-08,2970.00,2970.00,2840.85,2898.75,2976.55,LONG,2970.00,329,2976.55,2898.75,false,40.00,386.16,-23867.41,-2.44,953472.34
2025-01-09,2903.75,2924.15,2801.00,2809.85,2887.17,SHORT,2903.75,328,2887.17,2887.17,true,40.00,379.88,5018.36,0.53,958490.70
2025-01-10,566.00,566.00,529.00,532.00,2836.36,LONG,566.00,1693,2836.36,532.00,false,40.00,371.78,-57973.78,-6.05,900516.92
2025-01-13,530.05,540.70,518.75,521.10,538.71,LONG,530.05,1698,538.71,538.71,true,40.00,362.95,14301.73,1.59,914818.65
2025-01-14,526.95,547.50,518.30,544.10,528.84,LONG,526.95,1736,528.84,528.84,true,40.00,366.57,2874.47,0.31,917693.12
2025-01-15,545.00,545.95,529.10,533.20,533.37,SHORT,545.00,1683,533.37,533.37,true,40.00,362.98,19170.31,2.09,936863.43
2025-01-16,535.55,553.75,535.55,546.80,532.95,SHORT,535.55,1749,532.95,546.80,false,40.00,378.61,-20094.86,-2.15,916768.57
2025-01-17,546.55,547.55,523.85,526.50,547.55,LONG,546.55,1677,547.55,547.55,true,40.00,366.96,1270.04,0.14,918038.61
2025-01-20,511.00,521.50,493.35,516.70,530.49,LONG,511.00,1796,530.49,516.70,false,40.00,369.15,9828.05,1.07,927866.66
2025-01-21,518.00,530.75,513.45,520.30,511.55,SHORT,518.00,1791,511.55,520.30,false,40.00,371.92,-4531.22,-0.49,923335.44
2025-01-22,520.35,528.35,513.05,518.65,520.10,SHORT,520.35,1774,520.10,520.10,true,40.00,369.15,34.35,0.00,923369.79
2025-01-23,518.65,533.45,511.60,529.80,519.18,LONG,518.65,1780,519.18,519.18,true,40.00,369.47,533.93,0.06,923903.72
2025-01-24,531.95,541.80,509.15,527.45,526.25,SHORT,531.95,1736,526.25,526.25,true,40.00,367.41,9487.79,1.03,933391.51
2025-01-27,525.90,530.65,508.15,511.65,531.05,LONG,525.90,1774,531.05,511.65,false,40.00,368.12,-25687.62,-2.75,907703.89
2025-01-28,520.05,541.80,508.60,530.10,519.10,SHORT,520.05,1745,519.10,519.10,true,40.00,362.66,1255.09,0.14,908958.98
2025-01-29,531.15,555.65,530.25,553.50,528.29,SHORT,531.15,1711,528.29,553.50,false,40.00,371.17,-38652.02,-4.25,870306.96
2025-01-30,553.50,560.00,536.85,538.30,545.89,SHORT,553.50,1572,545.89,545.89,true,40.00,345.65,11577.27,1.33,881884.23
2025-01-31,546.40,550.90,536.20,543.75,546.64,LONG,546.40,1613,546.64,546.64,true,40.00,352.61,-5.49,-0.00,881878.74
2025-02-01,547.90,549.65,518.00,531.80,544.59,SHORT,547.90,1609,544.59,544.59,true,40.00,351.56,4934.23,0.56,886812.97
2025-02-03,525.00,558.00,516.00,546.15,532.72,LONG,525.00,1689,532.72,532.72,true,40.00,357.30,12641.78,1.43,899454.75
2025-02-04,556.00,579.90,545.40,576.75,536.58,SHORT,556.00,1617,536.58,576.75,false,40.00,366.33,-33959.08,-3.78,865495.67
2025-02-05,577.00,590.80,568.40,571.30,565.39,SHORT,577.00,1499,565.39,571.30,false,40.00,344.26,8160.04,0.94,873655.71
2025-02-06,570.00,570.00,554.35,566.35,579.93,LONG,570.00,1532,579.93,566.35,false,40.00,348.18,-5979.98,-0.68,867675.73
2025-02-07,567.90,579.10,554.85,559.55,563.42,SHORT,567.90,1527,563.42,563.42,true,40.00,345.51,6455.45,0.74,874131.18
2025-02-10,561.70,566.60,546.50,560.80,566.18,LONG,561.70,1556,566.18,566.18,true,40.00,351.00,6579.88,0.75,880711.07
2025-02-11,566.00,566.00,534.00,538.55,555.29,SHORT,566.00,1556,555.29,555.29,true,40.00,348.95,16275.81,1.85,896986.88
2025-02-12,538.55,551.50,527.00,547.15,543.79,LONG,538.55,1665,543.79,543.79,true,40.00,360.42,8324.18,0.93,905311.06
2025-02-13,547.00,560.25,538.00,548.65,540.55,SHORT,547.00,1655,540.55,540.55,true,40.00,359.98,10274.77,1.13,915585.83
2025-02-14,550.95,554.95,526.80,539.15,551.63,LONG,550.95,1661,551.63,551.63,true,40.00,366.28,723.20,0.08,916309.04
2025-02-17,537.00,553.00,525.10,550.35,538.69,LONG,537.00,1706,538.69,538.69,true,40.00,367.03,2476.11,0.27,918785.15
2025-02-18,550.95,554.45,539.10,553.35,543.52,SHORT,550.95,1667,543.52,543.52,true,40.00,364.90,11980.91,1.30,930766.06
2025-02-19,547.80,559.75,546.50,557.80,548.05,LONG,547.80,1699,548.05,548.05,true,40.00,372.37,12.38,0.00,930778.44
2025-02-20,557.00,582.25,557.00,580.85,556.00,SHORT,557.00,1671,556.00,580.85,false,40.00,380.27,-40273.62,-4.33,890504.82
2025-02-21,580.85,594.70,576.70,585.10,573.61,SHORT,580.85,1533,573.61,585.10,false,40.00,357.48,-6912.73,-0.78,883592.09
2025-02-24,576.00,581.75,568.80,577.20,585.98,LONG,576.00,1534,585.98,577.20,false,40.00,353.80,1447.00,0.16,885039.09
2025-02-25,581.80,586.75,571.50,574.25,576.98,SHORT,581.80,1521,576.98,576.98,true,40.00,352.50,6938.72,0.78,891977.81
2025-02-27,581.30,608.80,580.30,606.80,577.74,SHORT,581.30,1534,577.74,606.80,false,40.00,364.51,-39521.51,-4.43,852456.30
2025-02-28,609.95,620.00,602.25,617.30,601.56,SHORT,609.95,1397,601.56,617.30,false,40.00,342.89,-10650.84,-1.25,841805.46
2025-03-03,625.30,630.00,614.90,621.30,613.76,SHORT,625.30,1346,613.76,621.30,false,40.00,335.58,5008.42,0.60,846813.87
2025-03-04,618.60,635.40,613.40,632.90,622.10,LONG,618.60,1368,622.10,622.10,true,40.00,339.46,4408.54,0.52,851222.42
