date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,745.90,746.00,741.85,742.65,736.86,SHORT,745.90,1340,736.86,736.86,true,40.00,397.38,11676.22,1.17,1011676.22
2025-01-03,740.00,745.75,740.00,745.00,739.90,SKIP,,,,,,,,,,1011676.22
2025-01-06,784.00,784.00,775.55,776.45,785.56,LONG,784.00,1290,785.56,763.50,false,40.00,399.25,-26884.26,-2.66,984791.97
2025-01-07,757.55,769.35,757.55,769.35,762.22,LONG,757.55,1299,762.22,762.22,true,40.00,394.84,5631.49,0.57,990423.46
2025-01-08,779.05,788.90,778.05,788.90,773.34,SHORT,779.05,1271,773.34,773.34,true,40.00,394.62,6822.79,0.69,997246.25
2025-01-09,780.45,780.50,776.85,777.80,782.47,LONG,780.45,1277,782.47,782.47,true,40.00,399.17,2140.37,0.21,999386.62
2025-01-10,787.00,788.00,628.25,745.45,781.64,SHORT,787.00,1269,781.64,781.64,true,40.00,398.12,6363.72,0.64,1005750.34
2025-01-13,779.70,782.60,774.95,781.00,777.12,SHORT,779.70,1289,777.12,777.12,true,40.00,401.35,2884.27,0.29,1008634.61
2025-01-14,775.95,775.95,772.65,774.40,760.24,SHORT,775.95,1299,760.24,760.24,true,40.00,399.10,19968.19,1.98,1028602.80
2025-01-15,744.95,747.65,742.65,747.65,743.25,SHORT,744.95,1380,743.25,743.25,true,40.00,410.74,1895.26,0.18,1030498.06
2025-01-16,750.00,752.55,750.00,752.15,744.46,SHORT,750.00,1373,744.46,765.45,false,40.00,416.14,-21668.99,-2.10,1008829.06
2025-01-17,765.00,765.00,760.00,761.20,759.82,SHORT,765.00,1318,759.82,771.05,false,40.00,404.90,-8418.80,-0.83,1000410.26
2025-01-20,772.00,777.00,767.85,767.85,769.64,SHORT,772.00,1295,769.64,769.64,true,40.00,399.28,2616.92,0.26,1003027.18
2025-01-21,812.00,815.00,805.40,809.00,798.94,SHORT,812.00,1235,798.94,818.95,false,40.00,402.84,-9026.09,-0.90,994001.08
2025-01-22,825.05,827.00,801.10,801.10,815.01,SHORT,825.05,1204,815.01,815.01,true,40.00,394.93,11653.23,1.17,1005654.32
2025-01-23,801.05,801.05,795.30,795.35,798.25,SHORT,801.05,1255,798.25,798.25,true,40.00,401.42,3072.58,0.31,1008726.89
2025-01-24,792.00,796.00,792.00,792.05,798.86,LONG,792.00,1273,798.86,798.86,true,40.00,405.03,8287.75,0.82,1017014.64
2025-01-27,775.00,775.00,763.10,763.10,792.41,LONG,775.00,1312,792.41,733.60,false,40.00,395.86,-54752.66,-5.38,962261.98
2025-01-28,736.00,746.00,736.00,746.00,736.13,SKIP,,,,,,,,,,962261.98
2025-01-29,720.00,729.55,720.00,722.55,720.92,LONG,720.00,1336,720.92,720.92,true,40.00,385.01,804.11,0.08,963066.09
2025-01-30,740.15,748.40,740.15,746.15,732.37,SHORT,740.15,1301,732.37,773.75,false,40.00,393.92,-44147.52,-4.58,918918.57
2025-01-31,776.25,776.25,768.50,771.50,773.16,SHORT,776.25,1183,773.16,773.16,true,40.00,366.59,3248.88,0.35,922167.45
2025-02-01,760.05,769.70,760.05,768.25,766.33,LONG,760.05,1213,766.33,766.33,true,40.00,370.30,7207.34,0.78,929374.79
2025-02-03,769.70,769.70,764.05,764.90,767.84,SHORT,769.70,1207,767.84,767.84,true,40.00,371.16,1833.86,0.20,931208.65
2025-02-04,764.50,776.90,764.50,770.00,759.68,SHORT,764.50,1218,759.68,759.68,true,40.00,371.29,5459.47,0.59,936668.12
2025-02-05,778.80,778.80,774.10,775.50,768.16,SHORT,778.80,1202,768.16,783.75,false,40.00,375.64,-6365.54,-0.68,930302.58
2025-02-06,784.00,784.00,779.70,782.25,781.05,SHORT,784.00,1186,781.05,781.05,true,40.00,371.23,3087.47,0.33,933390.05
2025-02-07,783.00,784.90,780.20,782.95,781.30,SHORT,783.00,1192,781.30,781.30,true,40.00,372.93,1613.47,0.17,935003.52
2025-02-10,770.00,781.00,769.95,780.00,780.11,LONG,770.00,1214,780.11,780.11,true,40.00,376.37,11857.17,1.27,946860.70
2025-02-11,752.00,753.10,749.55,749.55,762.66,LONG,752.00,1259,762.66,732.30,false,40.00,373.75,-25216.05,-2.66,921644.65
2025-02-12,735.00,735.00,730.70,732.00,737.68,LONG,735.00,1253,737.68,731.45,false,40.00,367.49,-4855.64,-0.53,916789.01
2025-02-13,733.70,743.45,733.50,736.35,720.13,SHORT,733.70,1249,720.13,740.90,false,40.00,368.36,-9401.16,-1.03,907387.85
2025-02-14,735.15,745.00,735.15,740.85,737.91,LONG,735.15,1234,737.91,737.91,true,40.00,363.55,3002.29,0.33,910390.14
2025-02-17,722.70,724.95,711.75,711.75,723.35,SKIP,,,,,,,,,,910390.14
2025-02-18,723.00,724.55,718.50,721.80,718.43,SHORT,723.00,1259,718.43,718.43,true,40.00,362.95,5350.68,0.59,915740.82
2025-02-19,715.00,716.80,714.00,716.80,713.00,SHORT,715.00,1280,713.00,713.00,true,40.00,365.57,2154.43,0.24,917895.25
2025-02-20,699.00,699.00,689.85,698.90,697.79,SHORT,699.00,1313,697.79,697.79,true,40.00,366.80,1181.93,0.13,919077.18
2025-02-21,715.60,716.30,713.15,716.00,709.81,SHORT,715.60,1284,709.81,709.81,true,40.00,366.05,7028.31,0.76,926105.50
2025-02-24,725.45,727.40,722.00,723.80,723.90,SHORT,725.45,1276,723.90,723.90,true,40.00,369.87,1567.93,0.17,927673.42
2025-02-25,713.90,721.00,713.90,720.95,721.89,LONG,713.90,1299,721.89,721.89,true,40.00,373.02,9965.99,1.07,937639.42
2025-02-27,710.50,715.95,710.00,711.10,709.84,SKIP,,,,,,,,,,937639.42
2025-02-28,705.00,706.10,702.85,706.00,708.92,LONG,705.00,1329,708.92,708.92,true,40.00,375.82,4793.86,0.51,942433.28
2025-03-03,705.05,711.80,701.60,710.00,709.60,LONG,705.05,1336,709.60,709.60,true,40.00,377.99,5660.81,0.60,948094.08
2025-03-04,698.50,701.40,695.05,698.50,699.31,LONG,698.50,1357,699.31,699.31,true,40.00,379.37,679.80,0.07,948773.89
2025-03-05,730.90,730.90,724.05,728.35,718.23,SHORT,730.90,1298,718.23,745.20,false,40.00,383.20,-18984.60,-2.00,929789.29
2025-03-06,745.00,754.30,745.00,754.30,736.84,SHORT,745.00,1248,736.84,757.75,false,40.00,375.09,-16327.09,-1.76,913462.20
2025-03-07,758.30,762.50,757.00,759.40,758.37,SKIP,,,,,,,,,,913462.20
2025-03-10,827.95,841.95,827.95,837.85,813.43,SHORT,827.95,1103,813.43,813.43,true,40.00,362.09,15613.47,1.71,929075.68
