date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,111.64,112.50,107.35,109.35,110.35,SHORT,111.64,8957,110.35,110.35,true,40.00,397.67,11116.86,1.11,1011116.86
2025-01-03,109.50,111.79,108.90,109.09,109.19,SHORT,109.50,9233,109.19,109.19,true,40.00,403.83,2418.40,0.24,1013535.25
2025-01-06,109.45,109.55,102.21,102.85,110.44,LONG,109.45,9260,110.44,102.85,false,40.00,393.18,-61549.18,-6.07,951986.07
2025-01-07,103.87,105.41,103.50,104.24,104.95,LONG,103.87,9165,104.95,104.95,true,40.00,382.77,9475.43,1.00,961461.51
2025-01-08,104.24,104.94,101.78,103.01,104.46,LONG,104.24,9223,104.46,104.46,true,40.00,384.97,1604.09,0.17,963065.60
2025-01-09,102.98,103.40,100.33,100.68,102.88,SKIP,,,,,,,,,,963065.60
2025-01-10,100.00,100.68,96.60,96.92,101.72,LONG,100.00,9630,101.72,96.92,false,40.00,379.27,-30079.67,-3.12,932985.93
2025-01-13,94.96,96.96,90.16,90.60,98.25,LONG,94.96,9825,98.25,90.60,false,40.00,364.63,-43241.63,-4.63,889744.31
2025-01-14,90.91,95.00,90.90,94.04,93.10,LONG,90.91,9787,93.10,93.10,true,40.00,360.18,21033.35,2.36,910777.65
2025-01-15,95.20,97.10,93.84,94.73,93.23,SHORT,95.20,9566,93.23,94.73,false,40.00,363.37,4092.65,0.45,914870.30
2025-01-16,96.00,99.00,95.99,97.26,95.45,SHORT,96.00,9529,95.45,97.26,false,40.00,368.31,-12414.85,-1.36,902455.45
2025-01-17,96.50,101.06,96.41,100.76,97.75,LONG,96.50,9351,97.75,97.75,true,40.00,363.29,11285.46,1.25,913740.91
2025-01-20,100.20,102.23,99.70,101.53,99.55,SHORT,100.20,9119,99.55,101.53,false,40.00,367.92,-12536.19,-1.37,901204.72
2025-01-21,101.98,102.37,98.31,98.90,100.91,SHORT,101.98,8837,100.91,100.91,true,40.00,358.59,9057.00,1.00,910261.73
2025-01-22,98.70,99.00,94.00,95.73,100.26,LONG,98.70,9222,100.26,95.73,false,40.00,358.61,-27787.95,-3.05,882473.78
2025-01-23,95.71,98.75,95.34,98.26,95.65,SKIP,,,,,,,,,,882473.78
2025-01-24,98.50,99.03,95.01,95.46,97.67,SHORT,98.50,8959,97.67,97.67,true,40.00,351.50,7044.47,0.80,889518.25
2025-01-27,93.70,94.36,90.51,91.13,96.67,LONG,93.70,9493,96.67,91.13,false,40.00,350.92,-24787.93,-2.79,864730.32
2025-01-28,92.00,92.79,88.16,89.95,91.99,SKIP,,,,,,,,,,864730.32
2025-01-29,90.05,93.22,89.69,91.40,90.00,SKIP,,,,,,,,,,864730.32
2025-01-30,92.00,95.11,91.63,94.64,91.25,SHORT,92.00,9399,91.25,94.64,false,40.00,350.85,-25204.21,-2.91,839526.12
2025-01-31,94.64,97.75,93.82,97.51,93.93,SHORT,94.64,8870,93.93,93.93,true,40.00,334.52,5923.18,0.71,845449.30
2025-02-01,97.81,103.40,95.16,97.57,96.64,SHORT,97.81,8643,96.64,96.64,true,40.00,336.13,9736.18,1.15,855185.48
2025-02-03,95.00,95.94,92.55,93.99,100.27,LONG,95.00,9001,100.27,93.99,false,40.00,340.22,-9471.23,-1.11,845714.25
2025-02-04,94.21,96.62,94.21,95.60,93.93,SHORT,94.21,8976,93.93,95.60,false,40.00,340.75,-12857.39,-1.52,832856.86
2025-02-05,96.15,98.47,95.85,96.42,95.65,SHORT,96.15,8662,95.65,96.42,false,40.00,333.61,-2712.35,-0.33,830144.51
