date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,611.00,613.65,605.55,612.85,606.89,SHORT,611.00,1636,606.89,606.89,true,40.00,398.49,6285.47,0.63,1006285.47
2025-01-03,629.95,631.45,627.25,628.25,621.79,SHORT,629.95,1597,621.79,628.35,false,40.00,401.90,2113.30,0.21,1008398.77
2025-01-06,625.50,627.70,623.90,626.15,628.52,LONG,625.50,1612,628.52,628.52,true,40.00,404.30,4423.94,0.44,1012822.71
2025-01-07,620.00,620.20,615.10,616.00,624.24,LONG,620.00,1633,624.24,624.24,true,40.00,406.37,6477.55,0.64,1019300.26
2025-01-08,618.85,618.85,611.00,612.35,619.90,LONG,618.85,1647,619.90,612.40,false,40.00,405.57,-11068.72,-1.09,1008231.54
2025-01-09,610.65,611.50,608.10,609.90,610.71,SKIP,,,,,,,,,,1008231.54
2025-01-10,600.00,606.90,600.00,605.45,612.20,LONG,600.00,1680,612.20,612.20,true,40.00,407.30,20048.70,1.99,1028280.24
2025-01-13,604.95,604.95,600.20,600.95,608.43,LONG,604.95,1699,608.43,588.05,false,40.00,405.38,-29158.48,-2.84,999121.76
2025-01-14,581.00,587.00,581.00,585.25,590.55,LONG,581.00,1719,590.55,590.55,true,40.00,402.78,15973.67,1.60,1015095.43
2025-01-15,589.00,591.50,585.30,586.00,588.07,SHORT,589.00,1723,588.07,588.07,true,40.00,405.62,1156.77,0.11,1016252.20
2025-01-16,592.05,596.95,592.00,592.60,587.17,SHORT,592.05,1716,587.17,587.17,true,40.00,404.71,7929.37,0.78,1024181.57
2025-01-17,580.00,584.40,575.40,576.65,589.60,LONG,580.00,1765,589.60,570.50,false,40.00,406.13,-17213.63,-1.68,1006967.94
2025-01-20,570.45,570.50,563.15,563.15,573.45,LONG,570.45,1765,573.45,561.05,false,40.00,399.42,-17030.42,-1.69,989937.52
2025-01-21,560.55,561.85,552.80,555.90,559.81,SHORT,560.55,1766,559.81,559.81,true,40.00,395.71,871.13,0.09,990808.65
2025-01-22,560.00,561.70,559.35,561.70,557.69,SHORT,560.00,1769,557.69,557.69,true,40.00,395.44,3650.95,0.37,994459.60
2025-01-23,559.60,559.60,555.70,557.40,552.31,SHORT,559.60,1777,552.31,590.75,false,40.00,408.83,-55802.38,-5.61,938657.22
2025-01-24,582.25,591.55,582.25,589.30,587.89,LONG,582.25,1612,587.89,587.89,true,40.00,377.25,8674.43,0.92,947331.65
2025-01-27,562.55,562.65,555.10,555.10,577.87,LONG,562.55,1683,577.87,540.30,false,40.00,371.22,-37857.97,-4.00,909473.68
2025-01-28,547.65,547.65,529.60,530.40,541.50,SHORT,547.65,1660,541.50,541.50,true,40.00,361.60,9807.40,1.08,919281.08
2025-01-29,511.25,513.65,508.05,511.95,516.48,LONG,511.25,1798,516.48,516.48,true,40.00,369.57,8993.97,0.98,928275.05
2025-01-30,532.85,533.45,530.45,532.00,529.62,SHORT,532.85,1742,529.62,529.62,true,40.00,370.16,5216.50,0.56,933491.54
2025-01-31,528.95,529.00,520.30,522.80,528.60,SKIP,,,,,,,,,,933491.54
2025-02-01,527.70,533.90,525.05,533.65,521.19,SHORT,527.70,1768,521.19,534.05,false,40.00,375.43,-11642.23,-1.25,921849.31
2025-02-03,535.15,537.00,531.80,531.80,534.04,SHORT,535.15,1722,534.04,534.04,true,40.00,368.23,1503.19,0.16,923352.50
2025-02-04,540.00,540.00,533.70,533.70,531.17,SHORT,540.00,1709,531.17,531.17,true,40.00,366.13,14684.34,1.59,938036.84
2025-02-05,541.80,545.00,540.50,544.20,534.68,SHORT,541.80,1731,534.68,549.35,false,40.00,377.76,-13486.81,-1.44,924550.04
2025-02-06,552.00,552.00,548.80,548.80,550.00,SHORT,552.00,1674,550.00,550.00,true,40.00,368.95,2939.05,0.32,927489.09
2025-02-07,466.00,483.10,466.00,477.80,551.64,LONG,466.00,1990,551.64,490.35,false,40.00,380.63,48035.87,5.18,975524.96
2025-02-10,492.05,498.95,482.75,483.45,477.64,SHORT,492.05,1982,477.64,477.64,true,40.00,384.39,28136.23,2.89,1003661.20
2025-02-11,470.00,473.25,459.75,459.75,471.64,LONG,470.00,2135,471.64,471.64,true,40.00,402.08,3059.32,0.30,1006720.52
2025-02-12,441.30,450.00,441.00,447.80,449.25,LONG,441.30,2281,449.25,449.25,true,40.00,406.27,17687.68,1.76,1024408.20
2025-02-13,445.00,451.40,444.95,449.45,439.55,SHORT,445.00,2302,439.55,439.55,true,40.00,407.25,12098.65,1.18,1036506.85
2025-02-14,432.05,433.50,430.65,432.00,437.65,LONG,432.05,2399,437.65,419.75,false,40.00,408.69,-29956.39,-2.89,1006550.46
2025-02-17,420.05,423.85,411.75,412.65,423.09,LONG,420.05,2396,423.09,423.09,true,40.00,404.03,6839.81,0.68,1013390.26
2025-02-18,424.45,424.45,417.70,420.00,419.52,SHORT,424.45,2387,419.52,419.52,true,40.00,402.91,11325.00,1.12,1024715.26
2025-02-19,410.85,410.85,404.55,407.20,412.45,LONG,410.85,2494,412.45,412.45,true,40.00,410.66,3539.74,0.35,1028255.00
2025-02-20,417.15,418.00,410.45,414.30,418.70,LONG,417.15,2464,418.70,418.70,true,40.00,411.91,3367.29,0.33,1031622.29
2025-02-21,423.95,424.30,416.00,424.30,422.12,SHORT,423.95,2433,422.12,422.12,true,40.00,411.70,4000.69,0.39,1035622.99
2025-02-24,409.05,410.95,405.20,405.20,418.69,LONG,409.05,2531,418.69,406.05,false,40.00,412.60,-8045.60,-0.78,1027577.38
2025-02-25,405.00,410.00,405.00,409.05,404.24,SHORT,405.00,2537,404.24,404.24,true,40.00,410.61,1477.51,0.14,1029054.89
2025-02-27,393.00,397.65,390.80,391.95,399.41,LONG,393.00,2618,399.41,381.85,false,40.00,405.71,-29636.41,-2.88,999418.48
2025-02-28,382.55,382.55,372.30,374.05,384.45,LONG,382.55,2612,384.45,365.00,false,40.00,390.52,-46271.12,-4.63,953147.36
2025-03-03,357.60,361.70,355.20,358.85,361.44,LONG,357.60,2665,361.44,361.44,true,40.00,383.25,9810.35,1.03,962957.71
2025-03-04,365.95,369.75,362.45,369.05,363.98,SHORT,365.95,2631,363.98,363.98,true,40.00,384.09,4758.98,0.49,967716.69
2025-03-05,378.55,381.90,377.00,379.45,370.99,SHORT,378.55,2556,370.99,387.80,false,40.00,391.76,-24074.76,-2.49,943641.94
2025-03-06,387.00,394.30,387.00,394.30,385.94,SHORT,387.00,2438,385.94,392.10,false,40.00,379.89,-12853.69,-1.36,930788.25
2025-03-07,395.60,396.70,392.45,396.70,393.24,SHORT,395.60,2352,393.24,393.24,true,40.00,371.07,5139.65,0.55,935927.90
2025-03-10,390.95,392.55,388.15,390.10,393.91,LONG,390.95,2393,393.91,373.45,false,40.00,365.84,-42283.34,-4.52,893644.56
2025-03-11,370.50,371.45,367.00,367.85,379.16,LONG,370.50,2411,379.16,362.85,false,40.00,353.62,-18837.77,-2.11,874806.78
2025-03-12,363.90,367.75,362.25,362.95,362.58,SHORT,363.90,2403,362.58,362.58,true,40.00,349.15,2782.81,0.32,877589.60
2025-03-13,353.35,355.50,351.45,353.20,352.98,SHORT,353.35,2483,352.98,352.98,true,40.00,350.76,527.95,0.06,878117.54
2025-03-17,359.05,360.90,357.75,358.05,354.96,SHORT,359.05,2445,354.96,354.96,true,40.00,349.15,9610.90,1.09,887728.44
2025-03-18,347.95,351.55,346.50,347.50,349.49,LONG,347.95,2551,349.49,349.49,true,40.00,355.83,3532.71,0.40,891261.15
2025-03-19,358.85,358.85,355.65,355.75,354.96,SHORT,358.85,2483,354.96,354.96,true,40.00,354.48,9264.39,1.04,900525.54
2025-03-20,355.30,357.30,352.70,354.00,354.96,SKIP,,,,,,,,,,900525.54
2025-03-21,361.00,363.95,358.35,360.10,368.09,LONG,361.00,2494,368.09,368.09,true,40.00,363.67,17278.79,1.92,917804.33
2025-03-24,382.80,385.85,380.45,384.15,370.28,SHORT,382.80,2397,370.28,380.10,false,40.00,365.73,6066.17,0.66,923870.50
2025-03-25,380.05,383.70,380.05,383.70,385.25,LONG,380.05,2430,385.25,370.15,false,40.00,364.60,-24461.60,-2.65,899408.90
2025-03-26,371.00,373.00,369.25,369.25,372.22,LONG,371.00,2424,372.22,372.22,true,40.00,360.31,2556.97,0.28,901965.87
2025-03-27,367.65,367.65,360.45,361.70,364.17,SHORT,367.65,2453,364.17,364.17,true,40.00,359.03,8137.41,0.90,910103.28
2025-03-28,356.35,361.45,356.35,360.50,356.86,LONG,356.35,2553,356.86,356.86,true,40.00,364.17,897.86,0.10,911001.14
2025-04-01,345.00,345.70,344.00,345.00,351.81,LONG,345.00,2640,351.81,351.81,true,40.00,367.92,17570.48,1.93,928571.63
2025-04-02,350.95,353.25,349.40,353.25,350.77,SKIP,,,,,,,,,,928571.63
2025-04-03,349.70,351.50,345.55,348.90,351.54,LONG,349.70,2655,351.54,351.54,true,40.00,372.36,4472.84,0.48,933044.47
2025-04-04,342.25,344.15,337.15,337.80,344.20,LONG,342.25,2726,344.20,321.15,false,40.00,361.69,-57920.29,-6.21,875124.18
2025-04-07,291.95,299.45,286.40,295.80,325.62,LONG,291.95,2997,325.62,301.85,false,40.00,355.92,29274.38,3.35,904398.56
2025-04-08,306.05,312.75,306.05,310.90,296.29,SHORT,306.05,2955,296.29,305.00,false,40.00,361.13,2701.62,0.30,907100.18
2025-04-09,305.50,306.55,302.00,306.00,304.38,SHORT,305.50,2969,304.38,304.38,true,40.00,362.15,2923.13,0.32,910023.31
2025-04-11,316.90,324.70,315.35,315.60,307.25,SHORT,316.90,2871,307.25,315.50,false,40.00,363.12,3616.28,0.40,913639.59
2025-04-15,323.00,324.00,319.30,320.75,314.69,SHORT,323.00,2828,314.69,333.55,false,40.00,371.34,-30246.74,-3.31,883392.84
2025-04-16,334.90,334.90,331.75,334.45,329.61,SHORT,334.90,2637,329.61,334.75,false,40.00,353.17,2.38,0.00,883395.22
2025-04-17,300.00,300.00,288.00,295.45,335.48,LONG,300.00,2944,335.48,314.85,false,40.00,362.02,43316.38,4.90,926711.59
2025-04-21,317.00,320.95,316.55,319.00,307.57,SHORT,317.00,2923,307.57,320.30,false,40.00,372.57,-10058.47,-1.09,916653.13
2025-04-22,321.00,324.60,320.55,324.45,318.44,SHORT,321.00,2855,318.44,320.35,false,40.00,366.21,1449.54,0.16,918102.67
2025-04-23,325.00,327.70,324.00,326.80,324.14,SHORT,325.00,2824,324.14,324.14,true,40.00,366.63,2022.01,0.22,920124.67
2025-04-24,329.15,329.90,327.00,327.70,327.53,SHORT,329.15,2795,327.53,327.53,true,40.00,367.08,4120.82,0.45,924245.49
2025-04-25,358.00,361.00,354.00,354.00,360.67,LONG,358.00,2581,360.67,360.67,true,40.00,370.98,6480.29,0.70,930725.78
2025-04-28,337.90,344.85,337.70,338.60,343.02,LONG,337.90,2754,343.02,343.02,true,40.00,375.05,13685.43,1.47,944411.21
2025-04-29,364.60,371.30,364.60,368.00,356.47,SHORT,364.60,2590,356.47,376.75,false,40.00,384.02,-31892.52,-3.38,912518.69
2025-04-30,376.00,378.70,374.30,374.30,373.00,SHORT,376.00,2426,373.00,373.00,true,40.00,363.41,6874.59,0.75,919393.28
2025-05-02,419.00,419.00,405.50,406.25,407.30,SHORT,419.00,2194,407.30,407.30,true,40.00,362.58,25267.22,2.75,944660.50
2025-05-05,424.55,439.80,424.05,432.75,442.60,LONG,424.55,2225,442.60,442.60,true,40.00,385.88,39735.37,4.21,984395.86
2025-05-06,429.70,436.00,423.45,428.25,429.60,SKIP,,,,,,,,,,984395.86
2025-05-07,385.30,393.15,377.35,393.15,403.49,LONG,385.30,2554,403.49,403.49,true,40.00,402.91,46014.35,4.68,1030410.21
2025-05-08,407.50,415.00,406.50,408.95,394.76,SHORT,407.50,2528,394.76,394.76,true,40.00,405.62,31761.10,3.08,1062171.31
2025-05-09,383.05,388.35,381.30,388.35,398.65,LONG,383.05,2772,398.65,365.00,false,40.00,414.72,-50489.32,-4.76,1011681.99
2025-05-12,387.00,395.40,385.35,390.50,372.15,SHORT,387.00,2614,372.15,396.40,false,40.00,409.56,-25021.16,-2.47,986660.83
2025-05-13,399.45,400.20,393.85,397.45,395.58,SHORT,399.45,2470,395.58,395.58,true,40.00,392.74,9126.16,0.92,995786.98
2025-05-14,402.00,404.10,399.30,401.00,401.05,SHORT,402.00,2477,401.05,401.05,true,40.00,397.83,1915.32,0.19,997702.30
2025-05-15,396.90,398.20,394.10,395.60,395.87,SHORT,396.90,2513,395.87,395.87,true,40.00,398.45,2149.94,0.22,999852.25
2025-05-16,401.60,401.70,396.50,397.15,398.71,SHORT,401.60,2489,398.71,398.71,true,40.00,398.39,6754.82,0.68,1006607.06
2025-05-19,399.05,401.00,395.55,398.05,399.85,LONG,399.05,2522,399.85,399.85,true,40.00,402.97,1574.63,0.16,1008181.70
2025-05-20,394.20,395.95,392.50,392.80,393.83,SKIP,,,,,,,,,,1008181.70
2025-05-21,400.00,403.80,396.00,403.70,393.35,SHORT,400.00,2520,393.35,393.35,true,40.00,399.85,16318.15,1.62,1024499.85
2025-05-22,394.95,396.75,393.00,396.75,394.37,SHORT,394.95,2593,394.37,394.37,true,40.00,409.34,1054.60,0.10,1025554.45
2025-05-23,392.50,393.35,390.75,391.80,391.25,SHORT,392.50,2612,391.25,391.25,true,40.00,409.43,2815.57,0.27,1028370.02
2025-05-26,397.75,398.35,394.25,395.50,395.10,SHORT,397.75,2585,395.10,395.10,true,40.00,409.90,6400.35,0.62,1034770.36
2025-05-27,399.80,400.70,397.55,398.90,402.19,LONG,399.80,2588,402.19,402.19,true,40.00,415.11,5730.21,0.55,1040500.57
2025-05-28,404.80,404.95,401.10,402.00,399.37,SHORT,404.80,2570,399.37,404.80,false,40.00,416.13,-456.13,-0.04,1040044.44
2025-05-29,406.95,408.90,406.75,408.15,405.89,SHORT,406.95,2555,405.89,405.89,true,40.00,415.36,2252.94,0.22,1042297.38
2025-05-30,405.60,407.90,404.15,407.90,408.94,LONG,405.60,2569,408.94,408.94,true,40.00,418.51,8121.95,0.78,1050419.33
2025-06-02,409.10,409.70,405.65,406.25,408.05,SHORT,409.10,2567,408.05,408.05,true,40.00,419.52,2235.83,0.21,1052655.15
2025-06-03,412.05,413.05,410.15,412.90,409.47,SHORT,412.05,2554,409.47,409.47,true,40.00,419.63,6129.69,0.58,1058784.84
2025-06-04,414.25,416.00,412.30,416.00,412.75,SHORT,414.25,2555,412.75,412.75,true,40.00,422.60,3369.90,0.32,1062154.74
2025-06-05,413.60,415.65,413.50,414.65,415.36,LONG,413.60,2568,415.36,415.36,true,40.00,425.75,4053.93,0.38,1066208.67
2025-06-06,411.00,411.00,407.00,408.45,412.98,LONG,411.00,2594,412.98,410.40,false,40.00,426.14,-2022.54,-0.19,1064186.13
2025-06-09,413.00,414.10,411.55,412.95,409.07,SHORT,413.00,2576,409.07,414.00,false,40.00,426.07,-3042.07,-0.29,1061144.06
2025-06-10,418.00,419.55,416.50,419.55,417.85,SKIP,,,,,,,,,,1061144.06
2025-06-11,425.00,428.70,423.55,425.65,423.28,SHORT,425.00,2496,423.28,423.28,true,40.00,423.46,3829.66,0.36,1064973.71
2025-06-12,431.00,431.00,425.15,426.80,423.71,SHORT,431.00,2470,423.71,423.71,true,40.00,422.23,17544.07,1.65,1082517.79
2025-06-13,402.45,405.55,399.00,400.20,421.13,LONG,402.45,2689,421.13,411.55,false,40.00,437.77,23992.13,2.22,1106509.92
2025-06-16,409.95,413.10,408.45,412.00,410.43,LONG,409.95,2699,410.43,410.43,true,40.00,442.84,812.68,0.07,1107322.60
2025-06-17,425.15,425.85,422.90,423.65,418.25,SHORT,425.15,2604,418.25,418.25,true,40.00,439.24,17488.36,1.58,1124810.95
2025-06-18,419.00,419.30,417.00,417.55,423.53,LONG,419.00,2684,423.53,416.05,false,40.00,448.25,-8406.05,-0.75,1116404.90
2025-06-19,418.00,419.00,415.00,415.95,419.34,LONG,418.00,2670,419.34,401.95,false,40.00,437.85,-43331.35,-3.88,1073073.55
2025-06-20,402.00,410.00,402.00,408.75,408.01,LONG,402.00,2669,408.01,408.01,true,40.00,432.38,15568.31,1.45,1088641.85
2025-06-23,395.95,401.00,395.30,398.40,400.54,LONG,395.95,2749,400.54,400.54,true,40.00,437.91,12140.00,1.12,1100781.85
2025-06-24,399.20,401.85,397.35,397.95,395.79,SHORT,399.20,2757,395.79,395.79,true,40.00,438.36,8923.01,0.81,1109704.86
2025-06-25,396.00,396.80,395.00,395.55,394.10,SHORT,396.00,2802,394.10,413.20,false,40.00,453.48,-48687.88,-4.39,1061016.99
2025-06-26,415.00,416.10,413.55,415.05,411.39,SHORT,415.00,2556,411.39,411.39,true,40.00,422.45,8764.71,0.83,1069781.70
2025-06-27,412.50,413.20,411.00,411.85,412.54,SKIP,,,,,,,,,,1069781.70
2025-06-30,416.05,416.75,413.95,416.05,421.57,LONG,416.05,2571,421.57,409.40,false,40.00,424.45,-17561.60,-1.64,1052220.10
2025-07-01,412.10,412.70,411.15,412.00,411.91,SKIP,,,,,,,,,,1052220.10
2025-07-02,411.95,413.20,410.25,412.50,408.70,SHORT,411.95,2554,408.70,408.70,true,40.00,419.19,7841.31,0.75,1060061.41
2025-07-03,407.05,409.20,407.05,409.20,406.96,SKIP,,,,,,,,,,1060061.41
2025-07-04,407.50,407.90,406.35,406.95,406.41,SHORT,407.50,2601,406.41,406.41,true,40.00,423.40,2371.69,0.22,1062433.11
2025-07-07,410.40,410.50,407.70,408.90,409.05,SHORT,410.40,2588,409.05,409.05,true,40.00,424.15,3029.65,0.29,1065462.76
2025-07-08,417.10,417.95,416.10,416.50,414.17,SHORT,417.10,2554,414.17,440.65,false,40.00,438.14,-60624.84,-5.69,1004837.92
2025-07-09,438.50,440.65,437.00,439.00,440.88,LONG,438.50,2291,440.88,440.88,true,40.00,402.93,5009.65,0.50,1009847.57
2025-07-10,434.50,435.80,431.10,432.60,435.81,LONG,434.50,2324,435.81,435.81,true,40.00,404.52,2599.92,0.26,1012447.49
2025-07-11,430.80,430.80,428.15,429.15,431.79,LONG,430.80,2350,431.79,431.79,true,40.00,405.42,1881.08,0.19,1014328.57
2025-07-14,430.40,430.55,426.90,427.50,428.58,SHORT,430.40,2356,428.58,428.58,true,40.00,404.75,3843.17,0.38,1018171.74
2025-07-15,432.90,436.00,432.90,436.00,430.24,SHORT,432.90,2351,430.24,435.50,false,40.00,408.32,-6560.92,-0.64,1011610.82
2025-07-16,435.90,438.95,433.00,438.50,435.55,SKIP,,,,,,,,,,1011610.82
2025-07-17,438.30,440.00,438.00,438.00,440.46,LONG,438.30,2308,440.46,437.60,false,40.00,404.32,-2059.92,-0.20,1009550.90
2025-07-18,439.00,439.65,437.60,438.85,436.31,SHORT,439.00,2299,436.31,436.31,true,40.00,402.47,5741.84,0.57,1015292.75
2025-07-21,438.00,440.10,436.15,436.15,435.99,SHORT,438.00,2318,435.99,435.99,true,40.00,405.18,4214.00,0.42,1019506.74
2025-07-22,440.00,441.45,438.10,439.70,436.85,SHORT,440.00,2317,436.85,436.85,true,40.00,406.33,6852.22,0.67,1026358.96
2025-07-23,429.60,431.70,429.00,429.10,433.05,LONG,429.60,2389,433.05,428.90,false,40.00,410.19,-2122.49,-0.21,1024236.47
2025-07-24,430.00,430.35,426.55,427.20,424.75,SHORT,430.00,2381,424.75,430.50,false,40.00,409.77,-1640.27,-0.16,1022596.20
2025-07-25,429.90,429.90,425.10,425.15,430.23,SKIP,,,,,,,,,,1022596.20
2025-07-28,413.90,413.90,409.55,409.55,417.21,LONG,413.90,2470,417.21,408.10,false,40.00,406.07,-14772.07,-1.44,1007824.13
2025-07-29,407.00,407.00,405.50,405.50,408.40,LONG,407.00,2476,408.40,408.40,true,40.00,403.79,3022.61,0.30,1010846.75
2025-07-30,408.25,410.45,408.00,408.05,404.20,SHORT,408.25,2476,404.20,413.60,false,40.00,406.98,-13693.58,-1.35,997153.17
2025-07-31,411.00,411.00,403.20,403.20,413.28,LONG,411.00,2426,413.28,392.05,false,40.00,389.64,-46402.34,-4.65,950750.83
2025-08-01,392.00,395.95,391.80,394.05,393.51,LONG,392.00,2425,393.51,393.51,true,40.00,380.97,3240.78,0.34,953991.60
2025-08-04,366.95,368.85,361.75,361.90,374.32,LONG,366.95,2599,374.32,357.80,false,40.00,376.73,-24197.58,-2.54,929794.03
2025-08-05,359.10,360.20,356.65,356.65,360.15,LONG,359.10,2589,360.15,360.15,true,40.00,372.43,2306.02,0.25,932100.05
2025-08-06,355.50,357.00,354.20,355.20,357.68,LONG,355.50,2621,357.68,347.30,false,40.00,368.41,-21900.61,-2.35,910199.44
2025-08-07,345.20,346.55,342.20,343.20,348.05,LONG,345.20,2636,348.05,348.05,true,40.00,365.48,7107.12,0.78,917306.56
