date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-02-03,811.10,820.00,802.00,802.00,856.17,LONG,811.10,1232,856.17,802.00,false,40.00,397.47,-11648.67,-1.17,988351.33
2025-02-04,802.00,831.25,763.55,776.10,804.51,LONG,802.00,1232,804.51,804.51,true,40.00,395.84,2656.48,0.27,991007.81
2025-02-05,802.00,814.90,802.00,814.90,779.95,SHORT,802.00,1235,779.95,814.90,false,40.00,399.37,-16370.87,-1.65,974636.93
2025-02-06,855.60,855.60,831.20,854.00,813.50,SHORT,855.60,1139,813.50,854.00,false,40.00,389.45,1392.95,0.14,976029.89
2025-02-07,860.00,896.60,825.55,878.85,853.94,SHORT,860.00,1134,853.94,853.94,true,40.00,388.72,6443.32,0.66,982473.21
2025-02-10,901.00,915.00,836.00,904.60,870.10,SHORT,901.00,1090,870.10,870.10,true,40.00,386.10,33254.90,3.39,1015728.11
2025-02-11,917.05,927.45,859.40,859.40,870.66,SHORT,917.05,1107,870.66,870.66,true,40.00,395.80,50917.93,5.02,1066646.04
2025-02-12,830.00,849.95,816.45,823.30,865.11,LONG,830.00,1285,865.11,823.30,false,40.00,424.90,-9074.40,-0.85,1057571.64
2025-02-13,843.10,864.45,826.00,847.95,824.31,SHORT,843.10,1254,824.31,847.95,false,40.00,424.12,-6546.02,-0.62,1051025.62
2025-02-14,435.00,441.95,402.80,402.80,850.96,LONG,435.00,2416,850.96,402.80,false,40.00,404.82,-78240.02,-7.44,972785.60
2025-02-17,399.00,399.00,382.70,382.70,411.93,LONG,399.00,2438,411.93,382.70,false,40.00,381.16,-40160.56,-4.13,932625.04
2025-02-18,388.35,390.30,363.60,367.45,383.94,SHORT,388.35,2401,383.94,383.94,true,40.00,370.85,10177.56,1.09,942802.60
2025-02-19,370.00,385.80,366.65,385.80,365.86,SHORT,370.00,2548,365.86,385.80,false,40.00,385.16,-40683.56,-4.32,902119.04
2025-02-20,389.85,405.05,388.00,405.05,382.01,SHORT,389.85,2314,382.01,405.05,false,40.00,367.88,-35580.68,-3.94,866538.36
2025-02-21,425.30,425.30,410.10,425.30,402.22,SHORT,425.30,2037,402.22,425.30,false,40.00,346.53,-386.53,-0.04,866151.83
2025-02-24,414.05,467.80,406.65,445.20,424.07,LONG,414.05,2091,424.07,424.07,true,40.00,350.50,20561.32,2.37,886713.15
2025-02-25,454.65,459.70,420.00,425.85,448.18,SHORT,454.65,1950,448.18,448.18,true,40.00,352.10,12224.40,1.38,898937.54
2025-02-27,438.00,464.45,407.95,411.25,438.49,LONG,438.00,2052,438.49,438.49,true,40.00,359.71,605.77,0.07,899543.31
2025-02-28,406.70,417.95,375.00,385.55,430.11,LONG,406.70,2211,430.11,385.55,false,40.00,350.33,-47152.98,-5.24,852390.33
2025-03-03,400.05,401.55,356.00,362.60,391.00,SHORT,400.05,2130,391.00,391.00,true,40.00,336.99,18899.51,2.22,871289.84
2025-03-04,359.90,396.70,356.65,389.55,366.90,LONG,359.90,2420,366.90,366.90,true,40.00,351.77,16548.23,1.90,887838.07
2025-03-05,391.70,416.85,389.85,398.90,384.27,SHORT,391.70,2266,384.27,398.90,false,40.00,358.30,-16713.50,-1.88,871124.57
2025-03-06,404.00,417.25,400.00,411.25,403.45,SHORT,404.00,2156,403.45,403.45,true,40.00,348.17,797.63,0.09,871922.20
2025-03-07,414.00,431.80,407.10,421.10,409.72,SHORT,414.00,2106,409.72,409.72,true,40.00,346.95,8626.73,0.99,880548.93
2025-03-10,421.90,429.00,390.00,394.05,420.98,SHORT,421.90,2087,420.98,420.98,true,40.00,351.82,1528.22,0.17,882077.15
2025-03-11,380.00,396.00,377.00,390.30,404.84,LONG,380.00,2321,404.84,390.30,false,40.00,357.57,23508.73,2.67,905585.87
2025-03-12,393.50,400.35,379.70,384.30,386.46,SHORT,393.50,2301,386.46,386.46,true,40.00,358.94,15800.10,1.75,921385.98
2025-03-13,387.80,388.20,370.20,374.25,386.24,SHORT,387.80,2375,386.24,386.24,true,40.00,367.67,3297.33,0.36,924683.31
2025-03-17,381.35,405.00,374.00,390.20,375.91,SHORT,381.35,2424,375.91,375.91,true,40.00,367.12,12779.44,1.38,937462.75
2025-03-18,396.40,429.20,396.40,421.60,391.28,SHORT,396.40,2364,391.28,421.60,false,40.00,386.75,-59999.55,-6.40,877463.20
2025-03-19,424.80,450.00,420.60,445.15,414.78,SHORT,424.80,2065,414.78,445.15,false,40.00,359.29,-42422.04,-4.84,835041.16
2025-03-20,449.05,457.40,435.55,442.80,435.73,SHORT,449.05,1859,435.73,435.73,true,40.00,328.96,24392.92,2.92,859434.08
2025-03-21,440.05,487.05,438.00,486.00,445.98,LONG,440.05,1953,445.98,445.98,true,40.00,346.08,11195.21,1.30,870629.28
2025-03-24,498.00,510.30,494.40,507.50,482.06,SHORT,498.00,1748,482.06,507.50,false,40.00,351.52,-16997.52,-1.95,853631.76
2025-03-25,514.80,526.80,505.00,514.15,508.14,SHORT,514.80,1658,508.14,508.14,true,40.00,339.21,10663.07,1.25,864294.83
2025-03-26,517.00,522.25,488.45,489.80,516.85,SKIP,,,,,,,,,,864294.83
2025-03-27,481.00,514.25,475.00,512.60,507.21,LONG,481.00,1796,507.21,507.21,true,40.00,354.97,46678.19,5.40,910973.03
2025-03-28,522.00,538.20,508.55,536.20,502.58,SHORT,522.00,1745,502.58,536.20,false,40.00,369.31,-25188.31,-2.77,885784.72
