date,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,520.00,526.00,516.15,522.35,519.92,SKIP,,,,,,
2025-01-03,522.10,528.95,520.35,520.75,522.11,SKIP,,,,,,
2025-01-06,525.95,532.00,517.35,520.60,522.87,SHORT,525.95,522.87,522.87,true,3.08,0.59
2025-01-07,524.95,534.80,522.05,524.60,524.34,SHORT,524.95,524.34,524.34,true,0.61,0.12
2025-01-08,524.20,530.50,518.70,522.05,525.39,LONG,524.20,525.39,525.39,true,1.19,0.23
2025-01-09,521.60,525.85,510.00,515.00,521.93,SKIP,,,,,,
2025-01-10,512.00,517.00,500.15,503.90,516.88,LONG,512.00,516.88,516.88,true,4.88,0.95
2025-01-13,491.10,505.50,483.60,491.00,506.88,LONG,491.10,506.88,491.00,false,-0.10,-0.02
2025-01-14,489.95,501.95,488.75,499.90,494.34,LONG,489.95,494.34,494.34,true,4.39,0.90
2025-01-15,504.20,506.10,484.45,489.50,497.15,SHORT,504.20,497.15,497.15,true,7.05,1.40
2025-01-16,492.00,502.90,492.00,496.45,491.98,SKIP,,,,,,
2025-01-17,495.00,501.75,492.00,499.00,498.44,LONG,495.00,498.44,498.44,true,3.44,0.69
2025-01-20,497.50,505.05,494.20,496.25,496.11,SHORT,497.50,496.11,496.11,true,1.39,0.28
2025-01-21,495.00,500.85,493.15,499.50,496.16,LONG,495.00,496.16,496.16,true,1.16,0.23
2025-01-22,496.90,500.45,490.00,498.15,497.66,LONG,496.90,497.66,497.66,true,0.76,0.15
2025-01-23,500.00,502.00,494.00,499.70,497.78,SHORT,500.00,497.78,497.78,true,2.22,0.44
2025-01-24,500.30,501.65,494.35,495.10,499.71,SHORT,500.30,499.71,499.71,true,0.59,0.12
2025-01-27,496.05,499.00,474.60,489.45,497.88,LONG,496.05,497.88,497.88,true,1.83,0.37
2025-01-28,485.15,491.95,470.80,473.25,483.42,SHORT,485.15,483.42,483.42,true,1.73,0.36
2025-01-29,469.50,480.55,466.95,477.40,481.00,LONG,469.50,481.00,477.40,false,7.90,1.68
2025-01-30,479.15,486.00,476.20,485.60,474.00,SHORT,479.15,474.00,485.60,false,-6.45,-1.35
2025-01-31,483.85,495.00,483.85,492.00,481.67,SHORT,483.85,481.67,492.00,false,-8.15,-1.68
2025-02-01,469.55,478.25,462.20,475.90,490.93,LONG,469.55,490.93,475.90,false,6.35,1.35
2025-02-03,475.00,496.60,467.05,467.95,470.04,SHORT,475.00,470.04,470.04,true,4.96,1.04
2025-02-04,476.85,488.15,470.10,473.65,480.77,LONG,476.85,480.77,480.77,true,3.92,0.82
2025-02-05,479.40,489.80,474.90,479.95,477.23,SHORT,479.40,477.23,477.23,true,2.17,0.45
2025-02-06,481.95,485.00,476.20,479.95,481.43,SHORT,481.95,481.43,481.43,true,0.52,0.11
2025-02-07,480.80,486.60,470.20,474.25,480.07,SHORT,480.80,480.07,480.07,true,0.73,0.15
2025-02-10,468.00,471.20,460.00,462.35,475.40,LONG,468.00,475.40,462.35,false,-5.65,-1.21
2025-02-11,460.15,462.50,432.20,433.60,461.73,LONG,460.15,461.73,461.73,true,1.58,0.34
2025-02-12,434.70,435.60,412.80,431.15,438.86,LONG,434.70,438.86,431.15,false,-3.55,-0.82
2025-02-13,432.00,445.95,428.60,429.85,424.53,SHORT,432.00,424.53,429.85,false,2.15,0.50
2025-02-14,435.00,435.00,414.25,415.85,436.32,LONG,435.00,436.32,415.85,false,-19.15,-4.40
2025-02-17,401.00,412.80,395.00,406.00,418.36,LONG,401.00,418.36,406.00,false,5.00,1.25
2025-02-18,406.95,412.70,400.00,404.35,403.49,SHORT,406.95,403.49,403.49,true,3.46,0.85
2025-02-19,404.60,419.95,401.65,417.00,404.00,SHORT,404.60,404.00,404.00,true,0.60,0.15
2025-02-20,418.00,421.95,414.80,418.40,415.45,SHORT,418.00,415.45,415.45,true,2.55,0.61
2025-02-21,417.10,427.60,414.15,415.95,417.70,LONG,417.10,417.70,417.70,true,0.60,0.14
2025-02-24,411.05,412.75,397.30,405.00,417.57,LONG,411.05,417.57,405.00,false,-6.05,-1.47
2025-02-25,404.65,415.95,400.10,410.75,403.34,SHORT,404.65,403.34,403.34,true,1.31,0.32
2025-02-27,411.05,412.30,402.30,403.85,409.93,SHORT,411.05,409.93,409.93,true,1.12,0.27
2025-02-28,401.10,406.30,392.00,404.15,404.56,LONG,401.10,404.56,404.56,true,3.46,0.86
2025-03-03,403.00,404.55,387.70,394.85,399.99,SHORT,403.00,399.99,399.99,true,3.01,0.75
2025-03-04,388.10,402.95,387.10,395.70,392.56,LONG,388.10,392.56,392.56,true,4.46,1.15
2025-03-05,403.60,423.75,403.60,414.15,396.57,SHORT,403.60,396.57,414.15,false,-10.55,-2.61
2025-03-06,418.85,422.85,410.50,420.35,414.18,SHORT,418.85,414.18,414.18,true,4.67,1.11
2025-03-07,419.60,424.50,416.75,416.85,415.66,SHORT,419.60,415.66,416.85,false,2.75,0.66
2025-03-10,418.00,436.80,415.10,421.75,419.34,LONG,418.00,419.34,419.34,true,1.34,0.32
2025-03-11,422.20,441.30,416.55,434.15,427.42,LONG,422.20,427.42,427.42,true,5.22,1.24
2025-03-12,437.15,439.85,429.00,431.10,431.04,SHORT,437.15,431.04,431.04,true,6.11,1.40
2025-03-13,435.80,437.35,428.70,434.05,432.24,SHORT,435.80,432.24,432.24,true,3.56,0.82
2025-03-17,433.15,433.20,414.95,425.55,433.83,LONG,433.15,433.83,425.55,false,-7.60,-1.75
2025-03-18,431.20,432.00,425.15,429.60,428.56,SHORT,431.20,428.56,428.56,true,2.64,0.61
2025-03-19,421.10,432.75,421.10,430.45,428.74,LONG,421.10,428.74,428.74,true,7.64,1.81
2025-03-20,432.00,436.60,429.15,433.95,428.35,SHORT,432.00,428.35,433.95,false,-1.95,-0.45
2025-03-21,435.50,436.85,429.20,433.10,433.68,SHORT,435.50,433.68,433.68,true,1.82,0.42
2025-03-24,434.95,439.60,428.30,437.05,433.19,SHORT,434.95,433.19,433.19,true,1.76,0.40
2025-03-25,438.80,446.90,435.20,444.35,433.35,SHORT,438.80,433.35,444.35,false,-5.55,-1.26
2025-03-26,445.10,448.10,435.00,440.70,441.50,SHORT,445.10,441.50,441.50,true,3.60,0.81
2025-03-27,435.05,455.70,434.05,455.70,440.45,LONG,435.05,440.45,440.45,true,5.40,1.24
2025-03-28,455.05,504.00,451.80,480.65,446.15,SHORT,455.05,446.15,480.65,false,-25.60,-5.63
2025-04-01,479.45,492.20,473.55,481.10,485.51,LONG,479.45,485.51,485.51,true,6.06,1.26
2025-04-02,475.00,481.20,465.05,480.60,480.94,LONG,475.00,480.94,480.94,true,5.94,1.25
2025-04-03,477.95,487.65,474.40,486.20,474.63,SHORT,477.95,474.63,474.63,true,3.32,0.69
2025-04-04,489.00,493.70,472.85,482.85,483.86,SHORT,489.00,483.86,483.86,true,5.14,1.05
2025-04-07,450.00,483.65,450.00,476.20,482.36,LONG,450.00,482.36,482.36,true,32.36,7.19
2025-04-08,481.25,493.80,477.00,481.10,473.63,SHORT,481.25,473.63,481.10,false,0.15,0.03
2025-04-09,479.20,499.60,477.50,492.75,483.10,LONG,479.20,483.10,483.10,true,3.90,0.81
2025-04-11,498.15,503.45,493.05,501.20,488.17,SHORT,498.15,488.17,501.20,false,-3.05,-0.61
2025-04-15,501.50,509.10,487.30,488.25,497.93,SHORT,501.50,497.93,497.93,true,3.57,0.71
2025-04-16,498.00,503.45,493.25,500.70,495.06,SHORT,498.00,495.06,495.06,true,2.94,0.59
2025-04-17,500.00,509.90,497.30,498.50,498.14,SHORT,500.00,498.14,498.14,true,1.86,0.37
2025-04-21,503.80,506.50,498.10,503.10,501.52,SHORT,503.80,501.52,501.52,true,2.28,0.45
2025-04-22,502.15,515.75,500.25,512.85,501.16,SHORT,502.15,501.16,501.16,true,0.99,0.20
2025-04-23,514.90,514.90,503.30,505.85,508.41,SHORT,514.90,508.41,508.41,true,6.49,1.26
2025-04-24,500.10,513.50,500.10,505.60,507.40,LONG,500.10,507.40,507.40,true,7.30,1.46
2025-04-25,513.00,515.50,492.20,504.70,509.58,SHORT,513.00,509.58,509.58,true,3.42,0.67
2025-04-28,501.70,518.75,500.55,513.25,504.34,LONG,501.70,504.34,504.34,true,2.64,0.53
2025-04-29,515.00,519.85,508.30,511.40,512.45,SHORT,515.00,512.45,512.45,true,2.55,0.50
2025-04-30,511.00,511.15,502.05,504.35,513.43,LONG,511.00,513.43,504.35,false,-6.65,-1.30
2025-05-02,505.95,513.85,496.95,509.45,505.58,SKIP,,,,,,
2025-05-05,512.70,527.00,505.85,525.15,508.10,SHORT,512.70,508.10,508.10,true,4.60,0.90
2025-05-06,532.50,532.50,514.25,521.50,519.55,SHORT,532.50,519.55,519.55,true,12.95,2.43
2025-05-07,510.00,537.30,508.50,535.25,521.68,LONG,510.00,521.68,521.68,true,11.68,2.29
2025-05-08,537.50,547.50,530.20,534.30,527.35,SHORT,537.50,527.35,534.30,false,3.20,0.60
2025-05-09,522.10,533.80,518.95,530.45,539.43,LONG,522.10,539.43,530.45,false,8.35,1.60
2025-05-12,545.00,552.95,542.75,549.00,527.54,SHORT,545.00,527.54,549.00,false,-4.00,-0.73
2025-05-13,548.00,554.30,543.70,550.95,548.37,SKIP,,,,,,
2025-05-14,552.00,575.00,547.00,574.30,548.69,SHORT,552.00,548.69,548.69,true,3.31,0.60
2025-05-15,573.80,609.50,571.40,577.90,564.03,SHORT,573.80,564.03,577.90,false,-4.10,-0.71
2025-05-16,582.00,592.70,574.00,589.10,590.67,LONG,582.00,590.67,590.67,true,8.67,1.49
2025-05-19,596.05,606.50,582.00,583.90,584.17,SHORT,596.05,584.17,584.17,true,11.88,1.99
