date,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,127.50,127.88,125.94,126.33,127.73,LONG,127.50,127.73,127.73,true,0.23,0.18
2025-01-03,126.59,128.20,126.00,126.07,126.61,SKIP,,,,,,
2025-01-06,127.67,128.25,122.46,122.61,126.65,SHORT,127.67,126.65,126.65,true,1.02,0.80
2025-01-07,123.00,123.25,120.50,120.90,124.39,LONG,123.00,124.39,120.90,false,-2.10,-1.71
2025-01-08,121.95,124.56,120.88,123.50,121.67,SHORT,121.95,121.67,121.67,true,0.28,0.23
2025-01-09,123.45,123.45,120.80,120.87,122.93,SHORT,123.45,122.93,122.93,true,0.52,0.42
2025-01-10,120.20,120.80,117.32,118.17,121.74,LONG,120.20,121.74,118.17,false,-2.03,-1.69
2025-01-13,116.05,117.28,111.52,111.90,118.86,LONG,116.05,118.86,111.90,false,-4.15,-3.58
2025-01-14,112.44,116.45,111.78,115.75,114.15,LONG,112.44,114.15,114.15,true,1.71,1.52
2025-01-15,116.15,116.55,113.50,113.98,114.19,SHORT,116.15,114.19,114.19,true,1.96,1.69
2025-01-16,115.50,118.49,113.20,113.44,114.60,SHORT,115.50,114.60,114.60,true,0.90,0.78
2025-01-17,114.25,114.76,111.93,113.14,115.56,LONG,114.25,115.56,113.14,false,-1.11,-0.97
2025-01-20,113.99,116.97,112.86,114.24,112.90,SHORT,113.99,112.90,112.90,true,1.09,0.96
2025-01-21,114.50,115.20,112.85,113.05,114.32,SHORT,114.50,114.32,114.32,true,0.18,0.16
2025-01-22,113.01,113.51,109.62,111.09,113.80,LONG,113.01,113.80,111.09,false,-1.92,-1.70
2025-01-23,111.00,112.25,109.64,109.97,110.83,SHORT,111.00,110.83,110.83,true,0.17,0.15
2025-01-24,110.50,111.49,108.55,108.99,110.68,LONG,110.50,110.68,110.68,true,0.18,0.16
2025-01-27,108.00,108.10,104.79,105.59,109.69,LONG,108.00,109.69,105.59,false,-2.41,-2.23
2025-01-28,108.95,115.84,103.10,110.85,106.08,SHORT,108.95,106.08,106.08,true,2.87,2.63
2025-01-29,111.30,117.10,110.26,116.03,109.77,SHORT,111.30,109.77,116.03,false,-4.73,-4.25
2025-01-30,116.00,117.39,114.30,114.73,114.65,SHORT,116.00,114.65,114.65,true,1.35,1.16
2025-01-31,115.00,116.70,114.21,116.50,115.65,LONG,115.00,115.65,115.65,true,0.65,0.57
2025-02-01,116.70,119.39,114.65,115.59,115.75,SHORT,116.70,115.75,115.75,true,0.95,0.81
2025-02-03,114.51,116.44,113.50,115.65,117.43,LONG,114.51,117.43,115.65,false,1.14,1.00
2025-02-04,115.60,116.89,115.05,115.77,114.85,SHORT,115.60,114.85,115.77,false,-0.17,-0.15
2025-02-05,116.90,118.65,114.31,115.10,115.86,SHORT,116.90,115.86,115.86,true,1.04,0.89
2025-02-06,115.50,117.50,114.85,117.11,116.58,LONG,115.50,116.58,116.58,true,1.08,0.94
2025-02-07,120.49,122.55,119.13,120.00,117.26,SHORT,120.49,117.26,120.00,false,0.49,0.41
2025-02-10,119.92,119.92,116.03,116.70,120.53,LONG,119.92,120.53,116.70,false,-3.22,-2.69
2025-02-11,116.00,116.28,110.71,112.10,117.08,LONG,116.00,117.08,112.10,false,-3.90,-3.36
2025-02-12,110.50,113.85,108.21,112.95,112.43,LONG,110.50,112.43,112.43,true,1.93,1.75
2025-02-13,112.90,114.30,111.80,112.39,111.32,SHORT,112.90,111.32,112.39,false,0.51,0.45
2025-02-14,112.62,113.19,108.60,109.64,113.16,LONG,112.62,113.16,113.16,true,0.54,0.48
2025-02-17,109.00,110.69,106.76,109.39,110.18,LONG,109.00,110.18,110.18,true,1.18,1.08
2025-02-18,109.44,109.98,107.52,108.30,109.00,SHORT,109.44,109.00,109.00,true,0.44,0.40
