date,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,294.45,297.80,291.35,296.75,292.88,SHORT,294.45,292.88,292.88,true,1.57,0.53
2025-01-03,296.50,297.25,291.55,291.70,295.01,SHORT,296.50,295.01,295.01,true,1.49,0.50
2025-01-06,292.55,292.55,280.55,281.50,294.36,LONG,292.55,294.36,281.50,false,-11.05,-3.78
2025-01-07,282.15,288.20,281.05,286.30,285.10,LONG,282.15,285.10,285.10,true,2.95,1.05
2025-01-08,287.00,287.00,280.10,281.95,285.57,SHORT,287.00,285.57,285.57,true,1.43,0.50
2025-01-09,281.25,284.10,279.60,281.15,282.19,LONG,281.25,282.19,282.19,true,0.94,0.33
2025-01-10,280.00,281.00,270.00,270.60,282.13,LONG,280.00,282.13,270.60,false,-9.40,-3.36
2025-01-13,265.00,268.90,258.30,259.70,273.89,LONG,265.00,273.89,259.70,false,-5.30,-2.00
2025-01-14,263.00,270.30,261.20,270.20,263.58,LONG,263.00,263.58,263.58,true,0.58,0.22
2025-01-15,272.00,272.20,266.30,267.15,265.92,SHORT,272.00,265.92,267.15,false,4.85,1.78
2025-01-16,273.40,278.05,271.40,276.30,269.11,SHORT,273.40,269.11,276.30,false,-2.90,-1.06
2025-01-17,275.45,283.90,274.05,282.30,275.60,SKIP,,,,,,
2025-01-20,283.10,287.80,280.70,285.65,280.57,SHORT,283.10,280.57,285.65,false,-2.55,-0.90
2025-01-21,285.80,286.90,278.25,278.55,285.24,SHORT,285.80,285.24,285.24,true,0.56,0.20
2025-01-22,279.00,279.30,266.30,270.25,281.91,LONG,279.00,281.91,270.25,false,-8.75,-3.14
2025-01-23,268.80,276.95,267.10,274.25,269.93,LONG,268.80,269.93,269.93,true,1.13,0.42
2025-01-24,273.95,276.70,268.80,270.10,273.94,SKIP,,,,,,
2025-01-27,267.00,267.00,261.80,262.85,272.52,LONG,267.00,272.52,262.85,false,-4.15,-1.55
2025-01-28,263.50,265.70,252.70,258.30,263.90,LONG,263.50,263.90,263.90,true,0.40,0.15
2025-01-29,259.00,267.80,259.00,267.00,257.89,SHORT,259.00,257.89,267.00,false,-8.00,-3.09
2025-01-30,268.85,279.35,267.90,278.40,265.70,SHORT,268.85,265.70,278.40,false,-9.55,-3.55
2025-01-31,283.90,293.50,281.60,292.55,274.52,SHORT,283.90,274.52,292.55,false,-8.65,-3.05
2025-02-01,295.95,299.60,269.30,281.00,289.17,SHORT,295.95,289.17,289.17,true,6.78,2.29
2025-02-03,277.85,277.85,263.30,274.15,286.38,LONG,277.85,286.38,274.15,false,-3.70,-1.33
2025-02-04,276.00,286.00,275.90,284.50,269.28,SHORT,276.00,269.28,284.50,false,-8.50,-3.08
2025-02-05,285.65,291.80,285.00,289.15,282.46,SHORT,285.65,282.46,289.15,false,-3.50,-1.23
2025-02-06,288.95,289.95,279.00,279.50,289.71,LONG,288.95,289.71,289.71,true,0.76,0.26
2025-02-07,280.75,282.30,273.10,276.95,283.64,LONG,280.75,283.64,276.95,false,-3.80,-1.35
2025-02-10,278.90,282.20,272.00,273.25,276.79,SHORT,278.90,276.79,276.79,true,2.11,0.76
2025-02-11,273.80,274.00,262.75,264.90,276.54,LONG,273.80,276.54,264.90,false,-8.90,-3.25
