date,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,931.55,962.20,926.30,958.35,1242.54,LONG,931.55,1242.54,958.35,false,26.80,2.88
2025-01-03,952.10,978.25,952.05,971.55,1264.49,LONG,952.10,1264.49,971.55,false,19.45,2.04
2025-01-06,985.75,985.75,933.85,938.15,1295.07,LONG,985.75,1295.07,938.15,false,-47.60,-4.83
2025-01-07,933.00,948.55,925.60,936.75,1274.85,LONG,933.00,1274.85,936.75,false,3.75,0.40
2025-01-08,941.20,942.70,912.75,917.20,1247.74,LONG,941.20,1247.74,917.20,false,-24.00,-2.55
2025-01-09,908.30,917.95,885.25,888.10,1229.73,LONG,908.30,1229.73,888.10,false,-20.20,-2.22
2025-01-10,889.15,893.05,857.85,860.70,1210.16,LONG,889.15,1210.16,860.70,false,-28.45,-3.20
2025-01-13,844.75,854.25,791.25,798.75,1161.05,LONG,844.75,1161.05,798.75,false,-46.00,-5.45
2025-01-14,797.25,822.55,791.35,809.95,1082.61,LONG,797.25,1082.61,809.95,false,12.70,1.59
2025-01-15,810.00,834.00,803.35,825.65,1080.26,LONG,810.00,1080.26,825.65,false,15.65,1.93
2025-01-16,835.45,875.05,835.45,852.75,1095.43,LONG,835.45,1095.43,852.75,false,17.30,2.07
2025-01-17,841.90,853.90,840.10,846.50,1140.15,LONG,841.90,1140.15,846.50,false,4.60,0.55
2025-01-20,858.25,861.05,830.80,854.10,1130.35,LONG,858.25,1130.35,854.10,false,-4.15,-0.48
2025-01-21,854.90,856.10,829.35,832.60,1135.60,LONG,854.90,1135.60,832.60,false,-22.30,-2.61
2025-01-22,832.50,839.80,791.80,802.25,1122.28,LONG,832.50,1122.28,802.25,false,-30.25,-3.63
2025-01-23,802.45,807.65,786.25,794.45,1075.21,LONG,802.45,1075.21,794.45,false,-8.00,-1.00
2025-01-24,799.15,820.45,768.15,774.80,1058.01,LONG,799.15,1058.01,774.80,false,-24.35,-3.05
2025-01-27,769.90,774.35,747.80,762.50,1051.82,LONG,769.90,1051.82,762.50,false,-7.40,-0.96
2025-01-28,762.90,771.75,738.25,760.05,1014.38,LONG,762.90,1014.38,760.05,false,-2.85,-0.37
2025-01-29,759.75,905.50,759.75,822.95,1005.64,LONG,759.75,1005.64,822.95,false,63.20,8.32
2025-01-30,886.50,886.50,825.80,835.45,1102.76,LONG,886.50,1102.76,835.45,false,-51.05,-5.76
2025-01-31,843.75,882.00,831.55,879.95,1131.38,LONG,843.75,1131.38,879.95,false,36.20,4.29
2025-02-01,865.60,888.55,850.65,872.20,1153.20,LONG,865.60,1153.20,872.20,false,6.60,0.76
2025-02-03,854.50,919.65,852.10,872.15,1160.98,LONG,854.50,1160.98,872.15,false,17.65,2.07
2025-02-04,874.60,901.80,859.15,868.90,1193.80,LONG,874.60,1193.80,868.90,false,-5.70,-0.65
2025-02-05,869.95,880.45,861.75,869.85,1170.24,LONG,869.95,1170.24,869.85,false,-0.10,-0.01
2025-02-06,872.05,876.85,842.05,869.80,1159.44,LONG,872.05,1159.44,869.80,false,-2.25,-0.26
2025-02-07,861.90,872.70,847.45,860.45,1146.09,LONG,861.90,1146.09,860.45,false,-1.45,-0.17
2025-02-10,859.95,861.00,823.50,826.05,1153.02,LONG,859.95,1153.02,826.05,false,-33.90,-3.94
2025-02-11,828.75,829.85,790.50,794.20,1111.32,LONG,828.75,1111.32,794.20,false,-34.55,-4.17
2025-02-12,795.70,799.80,762.85,771.50,1075.69,LONG,795.70,1075.69,771.50,false,-24.20,-3.04
2025-02-13,769.55,796.75,765.10,769.30,1038.01,LONG,769.55,1038.01,769.30,false,-0.25,-0.03
2025-02-14,769.65,778.00,753.00,761.45,1037.89,LONG,769.65,1037.89,761.45,false,-8.20,-1.07
2025-02-17,764.20,764.25,739.50,739.80,1016.79,LONG,764.20,1016.79,739.80,false,-24.40,-3.19
2025-02-18,741.00,746.85,727.85,730.10,993.88,LONG,741.00,993.88,730.10,false,-10.90,-1.47
2025-02-19,731.20,771.55,726.35,768.05,983.49,LONG,731.20,983.49,768.05,false,36.85,5.04
2025-02-20,761.25,783.35,753.80,764.60,1018.70,LONG,761.25,1018.70,764.60,false,3.35,0.44
2025-02-21,763.50,788.45,751.55,753.45,1025.62,LONG,763.50,1025.62,753.45,false,-10.05,-1.32
2025-02-24,754.60,765.25,738.75,747.80,1024.11,LONG,754.60,1024.11,747.80,false,-6.80,-0.90
2025-02-25,747.75,750.30,727.00,731.10,998.30,LONG,747.75,998.30,731.10,false,-16.65,-2.23
