date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,4790.05,4806.95,4723.10,4788.30,4796.45,LONG,4790.05,208,4796.45,4796.45,true,40.00,398.80,892.40,0.09,1000892.40
2025-01-03,4800.00,4859.45,4785.75,4832.80,4763.19,SHORT,4800.00,208,4763.19,4832.80,false,40.00,400.72,-7263.12,-0.73,993629.28
2025-01-06,4873.50,4873.50,4773.30,4789.75,4831.63,SHORT,4873.50,203,4831.63,4831.63,true,40.00,394.03,8065.58,0.82,1001694.86
2025-01-07,4804.95,4885.80,4804.95,4827.10,4822.49,LONG,4804.95,208,4822.49,4822.49,true,40.00,400.50,3207.82,0.32,1004902.68
2025-01-08,4850.00,4867.70,4760.15,4857.40,4849.38,SKIP,,,,,,,,,,1004902.68
2025-01-09,4860.55,5050.00,4840.05,4925.60,4814.28,SHORT,4860.55,206,4814.28,4925.60,false,40.00,403.19,-13843.49,-1.38,991059.19
2025-01-10,4928.50,4958.40,4881.65,4942.00,4943.34,LONG,4928.50,201,4943.34,4943.34,true,40.00,396.85,2545.99,0.26,993605.18
2025-01-13,4922.20,4997.90,4906.00,4923.60,4931.73,LONG,4922.20,201,4931.73,4931.73,true,40.00,396.13,1479.40,0.15,995084.58
2025-01-14,4948.95,4950.00,4850.10,4865.55,4945.08,SKIP,,,,,,,,,,995084.58
2025-01-15,4871.00,4937.20,4804.10,4865.60,4887.31,LONG,4871.00,204,4887.31,4887.31,true,40.00,398.14,2889.10,0.29,997973.68
2025-01-16,4886.05,4900.00,4743.10,4845.60,4863.29,SHORT,4886.05,204,4863.29,4863.29,true,40.00,397.77,4205.27,0.42,1002178.95
2025-01-17,4846.10,4923.50,4815.70,4854.65,4815.23,SHORT,4846.10,206,4815.23,4854.65,false,40.00,399.67,-2200.97,-0.22,999977.98
