date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-10-20,112.02,112.70,106.61,110.02,109.60,SHORT,112.02,8926,109.60,109.60,true,40.00,395.64,21165.28,2.12,1021165.28
2025-10-21,110.10,110.10,108.00,108.40,109.32,SHORT,110.10,9274,109.32,109.32,true,40.00,406.98,6786.74,0.66,1027952.02
2025-10-23,108.00,113.79,107.10,113.25,109.08,LONG,108.00,9518,109.08,109.08,true,40.00,413.23,9826.21,0.96,1037778.23
2025-10-24,113.00,125.99,111.37,121.65,111.34,SHORT,113.00,9183,111.34,121.65,false,40.00,430.96,-79903.91,-7.70,957874.32
2025-10-27,121.70,123.80,119.05,121.00,121.01,SHORT,121.70,7870,121.01,121.01,true,40.00,382.03,5008.27,0.52,962882.60
2025-10-28,120.95,124.00,116.50,120.93,121.61,LONG,120.95,7960,121.61,121.61,true,40.00,386.16,4827.44,0.50,967710.04
2025-10-29,120.00,120.73,116.40,116.51,120.45,LONG,120.00,8064,120.45,120.45,true,40.00,387.80,3201.00,0.33,970911.04
2025-10-30,117.00,119.74,117.00,118.04,118.41,LONG,117.00,8298,118.41,118.41,true,40.00,390.69,11269.49,1.16,982180.54
2025-10-31,118.00,119.59,115.56,115.56,118.27,LONG,118.00,8323,118.27,118.27,true,40.00,393.30,1813.91,0.18,983994.45
2025-11-03,116.36,118.72,114.56,117.91,118.03,LONG,116.36,8456,118.03,118.03,true,40.00,396.40,13685.12,1.39,997679.57
2025-11-04,119.00,123.65,117.52,118.31,117.31,SHORT,119.00,8383,117.31,118.31,false,40.00,397.87,5346.40,0.54,1003025.97
2025-11-06,120.15,122.00,118.20,121.12,119.89,SHORT,120.15,8348,119.89,119.89,true,40.00,400.77,1729.71,0.17,1004755.68
2025-11-07,119.87,125.79,119.87,123.14,120.69,LONG,119.87,8382,120.69,120.69,true,40.00,403.27,6429.97,0.64,1011185.64
2025-11-10,122.80,128.20,120.13,121.10,123.08,LONG,122.80,8234,123.08,123.08,true,40.00,404.92,1860.60,0.18,1013046.25
2025-11-11,121.00,122.13,120.53,121.00,123.39,LONG,121.00,8372,123.39,121.00,false,40.00,405.20,-445.20,-0.04,1012601.04
2025-11-12,121.04,123.40,120.75,121.25,121.25,LONG,121.04,8365,121.25,121.25,true,40.00,405.35,1311.30,0.13,1013912.34
2025-11-13,121.00,122.90,120.00,121.01,121.74,LONG,121.00,8379,121.74,121.74,true,40.00,406.78,5753.68,0.57,1019666.02
2025-11-14,119.50,121.23,115.53,120.21,121.07,LONG,119.50,8532,121.07,121.07,true,40.00,410.51,12944.73,1.27,1032610.75
2025-11-17,120.39,122.11,119.52,120.75,118.68,SHORT,120.39,8577,118.68,120.75,false,40.00,413.65,-3541.37,-0.34,1029069.38
