date,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,555.25,561.80,554.80,558.75,555.54,SKIP,,,,,,
2025-01-03,560.05,562.40,546.40,548.00,557.52,SHORT,560.05,557.52,557.52,true,2.53,0.45
2025-01-06,553.00,555.95,529.00,532.15,553.61,LONG,553.00,553.61,553.61,true,0.61,0.11
2025-01-07,533.80,537.95,531.60,536.35,541.97,LONG,533.80,541.97,536.35,false,2.55,0.48
2025-01-08,537.00,538.30,528.20,537.10,535.54,SHORT,537.00,535.54,535.54,true,1.46,0.27
2025-01-09,537.55,538.00,529.00,532.00,534.48,SHORT,537.55,534.48,534.48,true,3.07,0.57
2025-01-10,533.70,534.05,521.55,522.80,534.09,SKIP,,,,,,
2025-01-13,521.50,521.50,496.00,496.80,525.67,LONG,521.50,525.67,496.80,false,-24.70,-4.74
2025-01-14,503.00,508.70,493.70,507.75,502.67,SKIP,,,,,,
2025-01-15,510.90,533.30,506.80,529.55,501.84,SHORT,510.90,501.84,529.55,false,-18.65,-3.65
2025-01-16,533.95,543.85,530.50,539.85,521.18,SHORT,533.95,521.18,539.85,false,-5.90,-1.10
2025-01-17,541.90,545.95,537.65,543.15,539.19,SHORT,541.90,539.19,539.19,true,2.71,0.50
2025-01-20,545.90,545.90,534.30,542.60,541.72,SHORT,545.90,541.72,541.72,true,4.18,0.77
2025-01-21,543.80,544.75,528.00,529.35,540.79,SHORT,543.80,540.79,540.79,true,3.01,0.55
2025-01-22,533.00,536.80,527.50,535.85,534.35,LONG,533.00,534.35,534.35,true,1.35,0.25
2025-01-23,538.55,539.90,529.70,531.50,532.80,SHORT,538.55,532.80,532.80,true,5.75,1.07
2025-01-24,530.05,533.70,514.90,516.75,533.73,LONG,530.05,533.73,516.75,false,-13.30,-2.51
2025-01-27,514.90,514.95,496.30,501.95,522.49,LONG,514.90,522.49,501.95,false,-12.95,-2.52
2025-01-28,504.00,506.20,478.55,483.75,501.77,SHORT,504.00,501.77,501.77,true,2.23,0.44
2025-01-29,490.30,518.75,486.40,512.05,486.29,SHORT,490.30,486.29,512.05,false,-21.75,-4.44
2025-01-30,512.05,516.90,508.55,512.65,505.74,SHORT,512.05,505.74,512.65,false,-0.60,-0.12
2025-01-31,514.85,518.00,507.05,509.70,513.37,SHORT,514.85,513.37,513.37,true,1.48,0.29
2025-02-01,514.50,516.90,505.00,512.75,510.54,SHORT,514.50,510.54,510.54,true,3.96,0.77
2025-02-03,509.00,509.00,498.00,501.80,512.33,LONG,509.00,512.33,501.80,false,-7.20,-1.41
2025-02-04,503.75,510.80,500.50,509.30,502.10,SHORT,503.75,502.10,502.10,true,1.65,0.33
2025-02-05,512.00,534.80,510.70,528.25,505.73,SHORT,512.00,505.73,528.25,false,-16.25,-3.17
2025-02-06,528.80,536.80,526.75,531.60,523.50,SHORT,528.80,523.50,531.60,false,-2.80,-0.53
2025-02-07,536.00,538.75,529.10,535.00,531.03,SHORT,536.00,531.03,531.03,true,4.97,0.93
2025-02-10,533.00,533.90,511.45,513.65,533.36,SKIP,,,,,,
2025-02-11,515.40,516.90,488.00,495.60,517.14,LONG,515.40,517.14,495.60,false,-19.80,-3.84
2025-02-12,499.00,502.00,480.25,496.15,497.31,SHORT,499.00,497.31,497.31,true,1.69,0.34
2025-02-13,496.45,513.55,493.00,499.00,494.11,SHORT,496.45,494.11,494.11,true,2.34,0.47
2025-02-14,503.55,503.80,482.10,493.15,503.46,SKIP,,,,,,
2025-02-17,495.00,499.80,485.20,492.80,490.76,SHORT,495.00,490.76,490.76,true,4.24,0.86
2025-02-18,499.00,500.55,482.80,492.95,491.84,SHORT,499.00,491.84,491.84,true,7.16,1.43
2025-02-19,494.30,497.70,489.50,493.00,491.38,SHORT,494.30,491.38,491.38,true,2.92,0.59
2025-02-20,497.00,500.50,489.50,494.70,493.29,SHORT,497.00,493.29,493.29,true,3.71,0.75
2025-02-21,494.00,496.75,482.45,488.10,494.91,LONG,494.00,494.91,494.91,true,0.91,0.18
2025-02-24,487.80,487.80,480.55,481.70,489.57,LONG,487.80,489.57,481.70,false,-6.10,-1.25
2025-02-25,482.55,488.00,479.50,486.00,483.40,LONG,482.55,483.40,483.40,true,0.85,0.18
2025-02-27,487.00,492.90,479.50,480.60,484.25,SHORT,487.00,484.25,484.25,true,2.75,0.56
2025-02-28,481.70,483.75,460.45,463.95,486.11,LONG,481.70,486.11,463.95,false,-17.75,-3.68
2025-03-03,468.70,471.95,438.45,469.85,468.77,SKIP,,,,,,
2025-03-04,465.00,470.90,462.40,468.60,455.68,SHORT,465.00,455.68,468.60,false,-3.60,-0.77
2025-03-05,469.70,487.80,467.00,481.60,467.14,SHORT,469.70,467.14,467.14,true,2.56,0.55
2025-03-06,486.90,493.95,481.15,491.00,476.78,SHORT,486.90,476.78,491.00,false,-4.10,-0.84
2025-03-07,489.00,494.50,485.50,485.75,487.89,SHORT,489.00,487.89,487.89,true,1.11,0.23
2025-03-10,488.40,493.00,486.50,487.35,490.44,LONG,488.40,490.44,490.44,true,2.04,0.42
2025-03-11,486.60,489.45,478.50,486.30,490.17,LONG,486.60,490.17,486.30,false,-0.30,-0.06
2025-03-12,487.45,488.70,476.85,482.50,485.45,SHORT,487.45,485.45,485.45,true,2.00,0.41
2025-03-13,489.05,491.90,478.95,481.00,482.46,SHORT,489.05,482.46,482.46,true,6.59,1.35
2025-03-17,483.00,485.85,480.75,481.75,482.30,SHORT,483.00,482.30,482.30,true,0.70,0.14
2025-03-18,484.00,491.65,482.25,487.75,482.47,SHORT,484.00,482.47,482.47,true,1.53,0.32
2025-03-19,491.20,505.65,487.25,502.20,486.33,SHORT,491.20,486.33,502.20,false,-11.00,-2.24
2025-03-20,504.50,506.55,500.00,500.70,497.03,SHORT,504.50,497.03,500.70,false,3.80,0.75
2025-03-21,502.00,507.85,495.85,496.50,502.58,LONG,502.00,502.58,502.58,true,0.58,0.12
2025-03-24,500.95,507.20,499.95,503.75,502.51,LONG,500.95,502.51,502.51,true,1.56,0.31
2025-03-25,507.00,510.10,497.75,499.55,503.21,SHORT,507.00,503.21,503.21,true,3.79,0.75
2025-03-26,502.50,503.85,487.05,492.00,503.13,LONG,502.50,503.13,503.13,true,0.63,0.13
2025-03-27,493.00,496.95,484.70,487.65,495.05,LONG,493.00,495.05,495.05,true,2.05,0.42
2025-03-28,492.50,503.75,489.80,501.60,491.91,SHORT,492.50,491.91,491.91,true,0.59,0.12
2025-04-01,501.50,510.70,494.15,508.55,494.93,SHORT,501.50,494.93,494.93,true,6.57,1.31
2025-04-02,511.80,514.00,507.10,511.95,505.15,SHORT,511.80,505.15,511.95,false,-0.15,-0.03
2025-04-03,510.00,520.40,505.00,520.20,510.52,LONG,510.00,510.52,510.52,true,0.52,0.10
2025-04-04,518.70,521.40,508.25,513.70,514.73,SHORT,518.70,514.73,514.73,true,3.97,0.77
2025-04-07,485.00,500.25,476.50,483.15,513.52,LONG,485.00,513.52,483.15,false,-1.85,-0.38
2025-04-08,503.45,507.60,494.50,503.65,484.63,SHORT,503.45,484.63,503.65,false,-0.20,-0.04
