date,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,349.00,352.00,345.05,349.05,348.12,SHORT,349.00,348.12,348.12,true,0.88,0.25
2025-01-03,350.05,352.15,341.20,341.55,348.97,SHORT,350.05,348.97,348.97,true,1.08,0.31
2025-01-06,343.60,344.45,332.55,337.15,345.22,LONG,343.60,345.22,337.15,false,-6.45,-1.88
2025-01-07,340.00,341.30,335.00,337.15,337.03,SHORT,340.00,337.03,337.03,true,2.97,0.87
2025-01-08,338.85,338.85,332.75,334.95,337.46,SHORT,338.85,337.46,337.46,true,1.39,0.41
2025-01-09,336.10,341.70,335.15,336.40,335.02,SHORT,336.10,335.02,336.40,false,-0.30,-0.09
2025-01-10,336.00,342.30,332.20,333.70,337.99,LONG,336.00,337.99,337.99,true,1.99,0.59
2025-01-13,332.00,334.00,320.25,321.40,336.13,LONG,332.00,336.13,321.40,false,-10.60,-3.19
2025-01-14,319.55,328.60,318.60,323.70,324.18,LONG,319.55,324.18,324.18,true,4.63,1.45
2025-01-15,326.95,327.00,318.25,325.30,325.12,SHORT,326.95,325.12,325.12,true,1.83,0.56
2025-01-16,327.95,335.35,323.05,332.10,322.13,SHORT,327.95,322.13,332.10,false,-4.15,-1.27
2025-01-17,331.45,339.80,327.60,338.75,330.98,SHORT,331.45,330.98,330.98,true,0.47,0.14
2025-01-20,345.00,346.90,330.85,345.55,335.47,SHORT,345.00,335.47,335.47,true,9.53,2.76
2025-01-21,343.80,343.90,328.30,329.15,339.77,SHORT,343.80,339.77,339.77,true,4.03,1.17
2025-01-22,330.30,330.60,312.35,322.20,336.06,LONG,330.30,336.06,322.20,false,-8.10,-2.45
2025-01-23,324.35,329.45,322.50,327.00,317.94,SHORT,324.35,317.94,327.00,false,-2.65,-0.82
2025-01-24,327.00,331.25,321.50,323.20,325.98,SHORT,327.00,325.98,325.98,true,1.02,0.31
2025-01-27,318.20,319.00,308.15,313.50,325.57,LONG,318.20,325.57,313.50,false,-4.70,-1.48
2025-01-28,313.85,319.60,306.55,310.50,311.95,SHORT,313.85,311.95,311.95,true,1.90,0.61
2025-01-29,312.00,324.95,308.05,324.45,312.76,LONG,312.00,312.76,312.76,true,0.76,0.24
2025-01-30,324.00,326.25,316.75,321.20,320.05,SHORT,324.00,320.05,320.05,true,3.95,1.22
2025-01-31,320.50,323.85,318.05,320.80,321.80,LONG,320.50,321.80,321.80,true,1.30,0.41
2025-02-01,321.95,326.15,313.55,321.20,320.15,SHORT,321.95,320.15,320.15,true,1.80,0.56
2025-02-03,318.55,330.80,314.35,324.05,320.35,LONG,318.55,320.35,320.35,true,1.80,0.57
2025-02-04,326.45,329.75,320.10,329.50,324.61,SHORT,326.45,324.61,324.61,true,1.84,0.56
2025-02-05,328.50,332.50,325.65,328.85,325.66,SHORT,328.50,325.66,325.66,true,2.84,0.86
2025-02-06,328.85,328.85,320.25,321.65,329.17,SKIP,,,,,,
2025-02-07,324.70,324.70,307.30,315.65,322.98,SHORT,324.70,322.98,322.98,true,1.72,0.53
2025-02-10,316.00,321.00,295.90,296.85,313.07,SHORT,316.00,313.07,313.07,true,2.93,0.93
2025-02-11,297.25,297.30,283.05,283.95,303.23,LONG,297.25,303.23,283.95,false,-13.30,-4.47
2025-02-12,282.05,286.10,272.05,273.10,288.39,LONG,282.05,288.39,273.10,false,-8.95,-3.17
2025-02-13,273.35,287.80,273.35,281.10,275.44,LONG,273.35,275.44,275.44,true,2.09,0.76
