date,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,820.00,835.45,815.25,835.05,820.71,SKIP,,,,,,
2025-01-03,834.60,839.85,824.15,827.40,826.52,SHORT,834.60,826.52,826.52,true,8.08,0.97
2025-01-06,829.00,834.00,801.50,805.00,829.54,SKIP,,,,,,
2025-01-07,809.00,817.50,804.50,810.45,813.06,LONG,809.00,813.06,813.06,true,4.06,0.50
2025-01-08,808.00,811.45,794.75,802.80,810.74,LONG,808.00,810.74,810.74,true,2.74,0.34
2025-01-09,803.60,804.00,778.80,779.60,801.10,SHORT,803.60,801.10,801.10,true,2.50,0.31
2025-01-10,781.00,784.50,750.15,751.45,787.06,LONG,781.00,787.06,751.45,false,-29.55,-3.78
2025-01-13,743.00,747.95,708.55,710.00,761.35,LONG,743.00,761.35,710.00,false,-33.00,-4.44
2025-01-14,719.90,726.00,711.15,722.55,721.89,LONG,719.90,721.89,721.89,true,1.99,0.28
2025-01-15,730.00,742.00,719.85,733.40,718.92,SHORT,730.00,718.92,733.40,false,-3.40,-0.47
2025-01-16,744.00,760.50,740.10,740.65,731.81,SHORT,744.00,731.81,740.65,false,3.35,0.45
2025-01-17,735.30,753.55,735.30,749.15,749.32,LONG,735.30,749.32,749.32,true,14.02,1.91
2025-01-20,753.70,763.50,749.05,760.15,748.09,SHORT,753.70,748.09,760.15,false,-6.45,-0.86
2025-01-21,762.00,764.35,736.60,737.40,758.29,SHORT,762.00,758.29,758.29,true,3.71,0.49
2025-01-22,741.65,744.90,700.80,713.05,748.09,LONG,741.65,748.09,713.05,false,-28.60,-3.86
2025-01-23,713.80,724.40,707.00,714.80,714.57,LONG,713.80,714.57,714.57,true,0.77,0.11
2025-01-24,718.00,720.00,693.30,693.60,715.83,SHORT,718.00,715.83,715.83,true,2.17,0.30
2025-01-27,696.50,731.70,696.50,704.35,705.38,LONG,696.50,705.38,705.38,true,8.88,1.27
2025-01-28,723.00,741.80,710.25,725.55,715.97,SHORT,723.00,715.97,715.97,true,7.03,0.97
2025-01-29,730.00,748.65,725.00,746.00,725.07,SHORT,730.00,725.07,725.07,true,4.93,0.68
2025-01-30,745.40,769.75,745.10,748.60,740.14,SHORT,745.40,740.14,748.60,false,-3.20,-0.43
2025-01-31,751.95,754.00,737.00,744.15,757.68,LONG,751.95,757.68,744.15,false,-7.80,-1.04
2025-02-01,749.00,767.40,737.05,761.00,745.36,SHORT,749.00,745.36,745.36,true,3.64,0.49
2025-02-03,756.75,757.40,734.75,748.25,755.51,SHORT,756.75,755.51,755.51,true,1.24,0.16
2025-02-04,754.70,766.45,752.60,762.10,744.44,SHORT,754.70,744.44,762.10,false,-7.40,-0.98
2025-02-05,768.80,774.00,761.00,763.95,760.33,SHORT,768.80,760.33,763.95,false,4.85,0.63
2025-02-06,791.00,793.50,760.90,763.95,767.60,SHORT,791.00,767.60,767.60,true,23.40,2.96
2025-02-07,766.50,771.35,750.00,758.30,772.77,LONG,766.50,772.77,758.30,false,-8.20,-1.07
2025-02-10,758.00,760.95,727.75,730.45,761.34,LONG,758.00,761.34,730.45,false,-27.55,-3.63
2025-02-11,729.05,730.45,702.80,709.20,738.12,LONG,729.05,738.12,709.20,false,-19.85,-2.72
2025-02-12,709.00,709.00,674.20,679.75,713.41,LONG,709.00,713.41,679.75,false,-29.25,-4.13
2025-02-13,682.00,696.00,671.15,680.55,684.85,LONG,682.00,684.85,684.85,true,2.85,0.42
2025-02-14,685.00,694.55,660.10,672.75,683.96,SHORT,685.00,683.96,683.96,true,1.04,0.15
2025-02-17,670.00,677.95,650.35,673.65,679.42,LONG,670.00,679.42,673.65,false,3.65,0.54
2025-02-18,674.75,675.20,660.65,671.40,666.96,SHORT,674.75,666.96,666.96,true,7.79,1.15
2025-02-19,668.00,696.50,663.85,689.55,668.04,SKIP,,,,,,
2025-02-20,689.95,698.45,683.25,695.10,689.06,SHORT,689.95,689.06,689.06,true,0.89,0.13
2025-02-21,694.00,707.50,683.30,685.80,692.27,SHORT,694.00,692.27,692.27,true,1.73,0.25
2025-02-24,679.95,680.95,668.20,673.10,692.84,LONG,679.95,692.84,673.10,false,-6.85,-1.01
2025-02-25,672.55,675.00,656.00,657.00,674.16,LONG,672.55,674.16,674.16,true,1.61,0.24
2025-02-27,660.00,666.40,640.30,641.30,663.82,LONG,660.00,663.82,663.82,true,3.82,0.58
2025-02-28,631.15,641.05,625.10,635.00,647.66,LONG,631.15,647.66,635.00,false,3.85,0.61
2025-03-03,639.95,651.00,622.00,647.50,632.79,SHORT,639.95,632.79,632.79,true,7.16,1.12
2025-03-04,636.00,649.75,629.75,642.10,638.35,LONG,636.00,638.35,638.35,true,2.35,0.37
2025-03-05,640.00,662.15,639.35,660.90,642.32,LONG,640.00,642.32,642.32,true,2.32,0.36
2025-03-06,668.00,670.60,662.40,665.10,658.46,SHORT,668.00,658.46,665.10,false,2.90,0.43
2025-03-07,672.00,679.30,661.70,665.00,665.64,SHORT,672.00,665.64,665.64,true,6.36,0.95
2025-03-10,666.85,671.00,645.85,646.00,670.02,LONG,666.85,670.02,670.02,true,3.17,0.48
2025-03-11,641.00,674.95,636.05,674.45,657.79,LONG,641.00,657.79,657.79,true,16.79,2.62
2025-03-12,678.95,683.00,659.15,668.50,663.49,SHORT,678.95,663.49,663.49,true,15.46,2.28
2025-03-13,670.95,675.05,657.00,657.55,671.77,LONG,670.95,671.77,671.77,true,0.82,0.12
2025-03-17,661.80,662.30,651.95,656.00,666.47,LONG,661.80,666.47,656.00,false,-5.80,-0.88
2025-03-18,660.50,682.90,660.50,675.40,657.17,SHORT,660.50,657.17,675.40,false,-14.90,-2.26
2025-03-19,677.00,698.70,675.80,697.60,674.47,SHORT,677.00,674.47,697.60,false,-20.60,-3.04
2025-03-20,698.00,706.50,689.05,694.15,689.28,SHORT,698.00,689.28,689.28,true,8.72,1.25
2025-03-21,694.90,717.50,694.30,695.55,696.28,LONG,694.90,696.28,696.28,true,1.38,0.20
2025-03-24,710.05,714.00,691.40,706.30,702.88,SHORT,710.05,702.88,702.88,true,7.17,1.01
2025-03-25,710.05,713.70,692.15,695.55,704.54,SHORT,710.05,704.54,704.54,true,5.51,0.78
2025-03-26,695.55,703.80,679.65,680.25,700.05,LONG,695.55,700.05,700.05,true,4.50,0.65
2025-03-27,680.00,692.55,672.00,691.50,687.05,LONG,680.00,687.05,687.05,true,7.05,1.04
2025-03-28,693.10,695.00,678.80,679.70,683.41,SHORT,693.10,683.41,683.41,true,9.69,1.40
2025-04-01,678.35,678.85,653.35,661.30,685.27,LONG,678.35,685.27,661.30,false,-17.05,-2.51
2025-04-02,662.50,685.00,658.05,682.95,664.14,LONG,662.50,664.14,664.14,true,1.64,0.25
2025-04-03,677.05,691.70,675.55,680.35,675.66,SHORT,677.05,675.66,675.66,true,1.39,0.21
2025-04-04,678.00,679.70,648.75,655.00,683.67,LONG,678.00,683.67,655.00,false,-23.00,-3.39
2025-04-07,615.00,627.45,601.20,606.80,659.15,LONG,615.00,659.15,606.80,false,-8.20,-1.33
2025-04-08,621.05,632.90,611.25,620.75,611.39,SHORT,621.05,611.39,611.39,true,9.66,1.56
2025-04-09,620.00,624.35,607.05,612.50,620.95,LONG,620.00,620.95,620.95,true,0.95,0.15
2025-04-11,625.00,632.50,618.00,623.00,615.47,SHORT,625.00,615.47,623.00,false,2.00,0.32
2025-04-15,635.00,663.80,630.40,663.00,625.43,SHORT,635.00,625.43,663.00,false,-28.00,-4.41
2025-04-16,662.80,665.65,652.00,656.00,655.98,SHORT,662.80,655.98,655.98,true,6.82,1.03
2025-04-17,660.00,673.20,656.50,668.10,656.22,SHORT,660.00,656.22,668.10,false,-8.10,-1.23
2025-04-21,690.00,690.00,667.05,675.50,665.69,SHORT,690.00,665.69,675.50,false,14.50,2.10
2025-04-22,678.00,693.00,668.20,685.20,675.87,SHORT,678.00,675.87,675.87,true,2.13,0.31
2025-04-23,690.00,695.90,679.30,688.40,683.29,SHORT,690.00,683.29,683.29,true,6.71,0.97
