date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,1085.65,1094.75,1070.55,1094.25,1081.16,SHORT,1085.65,921,1081.16,1081.16,true,40.00,399.13,3696.16,0.37,1003696.16
2025-01-03,1100.00,1122.00,1090.35,1117.30,1085.84,SHORT,1100.00,912,1085.84,1117.30,false,40.00,404.44,-16222.04,-1.62,987474.13
2025-01-06,1122.20,1157.60,1111.20,1141.55,1095.64,SHORT,1122.20,879,1095.64,1141.55,false,40.00,397.97,-17446.62,-1.77,970027.51
2025-01-07,1136.05,1167.45,1135.00,1152.50,1140.76,LONG,1136.05,853,1140.76,1140.76,true,40.00,388.42,3589.21,0.37,973616.72
2025-01-08,1153.00,1157.60,1135.65,1157.05,1160.17,LONG,1153.00,844,1160.17,1157.05,false,40.00,389.94,2988.26,0.31,976604.98
2025-01-09,1153.10,1198.45,1150.40,1180.25,1148.75,SHORT,1153.10,846,1148.75,1180.25,false,40.00,394.80,-23403.70,-2.40,953201.28
2025-01-10,1181.20,1189.55,1167.65,1174.00,1184.00,LONG,1181.20,806,1184.00,1184.00,true,40.00,381.27,1835.53,0.19,955036.81
2025-01-13,1165.00,1180.00,1156.55,1158.75,1176.50,LONG,1165.00,819,1176.50,1176.50,true,40.00,383.54,8994.96,0.94,964031.77
2025-01-14,1161.95,1164.75,1130.05,1141.85,1168.11,LONG,1161.95,829,1168.11,1141.85,false,40.00,381.97,-17084.87,-1.77,946946.90
2025-01-15,1140.00,1142.95,1126.15,1128.25,1141.76,LONG,1140.00,830,1141.76,1141.76,true,40.00,378.77,1042.03,0.11,947988.93
2025-01-16,1130.10,1153.50,1126.45,1149.25,1131.83,LONG,1130.10,838,1131.83,1131.83,true,40.00,379.10,1030.64,0.11,949019.57
2025-01-17,1153.00,1197.45,1149.00,1187.75,1143.85,SHORT,1153.00,823,1143.85,1187.75,false,40.00,385.29,-29024.54,-3.06,919995.03
2025-01-20,1193.95,1193.95,1164.35,1167.10,1185.39,SHORT,1193.95,770,1185.39,1185.39,true,40.00,366.42,6184.78,0.67,926179.81
2025-01-21,1172.50,1179.40,1155.50,1159.80,1170.33,SHORT,1172.50,789,1170.33,1170.33,true,40.00,369.70,1302.43,0.14,927482.24
2025-01-22,1163.05,1168.50,1137.55,1153.25,1162.55,SKIP,,,,,,,,,,927482.24
