date,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,213.00,213.50,206.26,207.70,209.10,SHORT,213.00,209.10,209.10,true,3.90,1.83
2025-01-03,207.68,212.50,207.11,208.16,209.36,LONG,207.68,209.36,209.36,true,1.68,0.81
2025-01-06,207.47,208.57,198.78,200.33,209.72,LONG,207.47,209.72,200.33,false,-7.14,-3.44
2025-01-07,201.20,207.99,201.20,207.10,202.13,LONG,201.20,202.13,202.13,true,0.93,0.46
2025-01-08,208.23,208.32,201.13,202.32,205.46,SHORT,208.23,205.46,205.46,true,2.77,1.33
2025-01-09,201.91,202.18,196.00,197.75,202.83,LONG,201.91,202.83,197.75,false,-4.16,-2.06
2025-01-10,196.00,199.08,191.25,193.49,198.54,LONG,196.00,198.54,198.54,true,2.54,1.30
2025-01-13,189.01,192.00,181.25,181.77,194.73,LONG,189.01,194.73,181.77,false,-7.24,-3.83
2025-01-14,185.11,186.66,180.39,185.44,185.32,LONG,185.11,185.32,185.32,true,0.21,0.11
2025-01-15,185.26,189.59,183.79,184.83,183.48,SHORT,185.26,183.48,184.83,false,0.43,0.23
2025-01-16,187.01,190.00,185.41,186.01,186.57,SHORT,187.01,186.57,186.57,true,0.44,0.24
2025-01-17,185.00,188.00,184.18,186.81,187.19,LONG,185.00,187.19,187.19,true,2.19,1.18
2025-01-20,186.88,191.14,186.31,189.20,186.07,SHORT,186.88,186.07,189.20,false,-2.32,-1.24
2025-01-21,190.40,197.65,187.15,187.59,188.84,SHORT,190.40,188.84,188.84,true,1.56,0.82
2025-01-22,189.52,190.39,179.15,182.75,191.85,LONG,189.52,191.85,182.75,false,-6.77,-3.57
2025-01-23,181.11,185.83,180.49,182.23,182.48,LONG,181.11,182.48,182.48,true,1.37,0.76
2025-01-24,182.20,183.80,176.41,176.66,183.12,LONG,182.20,183.12,183.12,true,0.92,0.50
2025-01-27,176.02,176.22,166.12,171.01,179.08,LONG,176.02,179.08,171.01,false,-5.01,-2.85
2025-01-28,171.30,173.45,161.50,167.82,169.78,SHORT,171.30,169.78,169.78,true,1.52,0.89
2025-01-29,165.52,177.80,165.52,177.37,166.25,LONG,165.52,166.25,166.25,true,0.73,0.44
