date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,633.20,641.95,624.00,625.75,629.96,SHORT,633.20,1579,629.96,629.96,true,40.00,398.91,4677.05,0.47,1004677.05
2025-01-03,628.95,633.55,622.50,623.80,631.77,LONG,628.95,1597,631.77,631.77,true,40.00,402.67,4060.87,0.40,1008737.92
2025-01-06,627.00,627.50,590.05,591.65,627.83,LONG,627.00,1608,627.83,591.65,false,40.00,391.92,-57274.72,-5.68,951463.20
2025-01-07,595.95,612.25,595.00,606.10,604.99,LONG,595.95,1596,604.99,604.99,true,40.00,383.34,14004.50,1.47,965467.70
2025-01-08,607.00,613.95,595.65,602.55,605.19,SHORT,607.00,1590,605.19,605.19,true,40.00,385.48,2452.42,0.25,967920.13
2025-01-09,602.20,608.90,592.00,595.30,603.11,LONG,602.20,1607,603.11,603.11,true,40.00,387.39,1034.98,0.11,968955.11
2025-01-10,595.00,596.10,559.55,569.60,599.00,LONG,595.00,1628,599.00,569.60,false,40.00,379.19,-41770.39,-4.31,927184.72
2025-01-13,552.15,562.95,525.00,526.05,574.06,LONG,552.15,1679,574.06,526.05,false,40.00,362.06,-44223.96,-4.77,882960.76
2025-01-14,528.50,547.95,528.50,542.45,542.81,LONG,528.50,1670,542.81,542.81,true,40.00,357.82,23499.88,2.66,906460.64
2025-01-15,551.40,555.75,526.55,531.50,539.00,SHORT,551.40,1643,539.00,539.00,true,40.00,358.31,19974.89,2.20,926435.53
2025-01-16,540.00,565.45,540.00,549.20,539.64,SKIP,,,,,,,,,,926435.53
2025-01-17,547.05,561.15,540.90,557.20,552.89,LONG,547.05,1693,552.89,552.89,true,40.00,372.44,9474.68,1.02,935910.21
2025-01-20,563.85,575.00,554.90,566.00,553.16,SHORT,563.85,1659,553.16,566.00,false,40.00,374.88,-3981.73,-0.43,931928.48
2025-01-21,569.85,580.95,547.00,550.00,565.12,SHORT,569.85,1635,565.12,565.12,true,40.00,371.14,7322.41,0.79,939250.89
2025-01-22,552.00,553.85,530.65,546.10,562.05,LONG,552.00,1701,562.05,546.10,false,40.00,373.57,-10449.47,-1.11,928801.42
2025-01-23,545.00,552.95,540.25,545.25,540.34,SHORT,545.00,1704,540.34,540.34,true,40.00,369.88,7530.76,0.81,936332.18
2025-01-24,545.45,551.40,527.25,529.25,546.38,LONG,545.45,1716,546.38,546.38,true,40.00,374.72,1181.16,0.13,937513.34
2025-01-27,512.00,526.50,495.60,502.00,540.99,LONG,512.00,1831,540.99,502.00,false,40.00,371.33,-18721.33,-2.00,918792.01
2025-01-28,509.75,536.75,473.10,512.25,510.23,SKIP,,,,,,,,,,918792.01
2025-01-29,516.95,547.55,516.45,546.35,505.21,SHORT,516.95,1777,505.21,546.35,false,40.00,377.90,-52661.70,-5.73,866130.32
2025-01-30,566.00,594.00,557.20,568.05,534.74,SHORT,566.00,1530,534.74,568.05,false,40.00,347.02,-3523.52,-0.41,862606.80
2025-01-31,564.95,600.75,562.30,597.00,579.41,LONG,564.95,1526,579.41,579.41,true,40.00,349.26,21676.70,2.51,884283.50
2025-02-01,603.00,623.60,566.60,573.00,587.35,SHORT,603.00,1466,587.35,587.35,true,40.00,349.01,22553.89,2.55,906837.39
2025-02-03,576.20,599.80,571.10,577.55,598.65,LONG,576.20,1573,598.65,598.65,true,40.00,369.61,34904.24,3.85,941741.63
2025-02-04,581.80,585.00,568.75,575.70,581.83,SKIP,,,,,,,,,,941741.63
2025-02-05,578.00,588.00,577.10,582.50,574.96,SHORT,578.00,1629,574.96,582.50,false,40.00,378.09,-7748.59,-0.82,933993.04
2025-02-06,584.55,587.20,577.00,579.75,582.60,SHORT,584.55,1597,582.60,582.60,true,40.00,372.79,2701.36,0.29,936694.40
2025-02-07,573.80,574.85,549.00,549.80,580.38,LONG,573.80,1632,580.38,549.80,false,40.00,366.74,-39574.74,-4.23,897119.66
2025-02-10,555.00,557.90,516.00,526.75,558.99,LONG,555.00,1616,558.99,526.75,false,40.00,349.62,-46041.62,-5.13,851078.04
2025-02-11,475.10,495.85,448.15,484.35,529.01,LONG,475.10,1791,529.01,484.35,false,40.00,343.67,16183.08,1.90,867261.11
2025-02-12,502.60,514.85,462.15,508.05,471.35,SHORT,502.60,1725,471.35,471.35,true,40.00,336.01,53530.24,6.17,920791.35
2025-02-13,503.55,516.55,490.75,493.25,493.83,SHORT,503.55,1828,493.83,493.83,true,40.00,364.64,17363.52,1.89,938154.87
2025-02-14,492.60,509.90,478.20,498.60,504.82,LONG,492.60,1904,504.82,504.82,true,40.00,379.82,22847.06,2.44,961001.93
2025-02-17,491.65,499.10,470.10,476.45,492.25,LONG,491.65,1954,492.25,492.25,true,40.00,384.51,747.89,0.08,961749.82
2025-02-18,479.00,485.00,454.70,457.10,481.49,LONG,479.00,2007,481.49,481.49,true,40.00,385.54,4571.89,0.48,966321.71
2025-02-19,455.00,494.90,449.10,489.30,466.43,LONG,455.00,2123,466.43,466.43,true,40.00,391.24,23834.65,2.47,990156.36
2025-02-20,485.00,492.85,475.05,490.65,485.98,LONG,485.00,2041,485.98,485.98,true,40.00,396.35,1563.83,0.16,991720.19
2025-02-21,489.10,500.75,475.15,478.55,486.58,SHORT,489.10,2027,486.58,486.58,true,40.00,395.54,4672.50,0.47,996392.69
2025-02-24,474.00,479.85,462.75,471.15,485.46,LONG,474.00,2102,485.46,471.15,false,40.00,397.34,-6428.04,-0.65,989964.65
2025-02-25,470.05,478.00,462.15,463.05,470.51,SKIP,,,,,,,,,,989964.65
2025-02-27,470.90,474.90,452.00,454.80,468.11,SHORT,470.90,2102,468.11,468.11,true,40.00,394.76,5429.82,0.55,995394.47
2025-02-28,445.05,452.90,431.00,432.85,459.41,LONG,445.05,2236,459.41,432.85,false,40.00,392.60,-27711.80,-2.78,967682.67
2025-03-03,438.70,449.90,405.55,424.55,439.11,SKIP,,,,,,,,,,967682.67
2025-03-04,419.95,444.60,414.55,438.70,420.92,LONG,419.95,2304,420.92,420.92,true,40.00,387.47,1807.41,0.19,969490.08
2025-03-05,440.00,459.90,437.30,459.00,435.28,SHORT,440.00,2203,435.28,459.00,false,40.00,396.10,-42293.10,-4.36,927196.98
2025-03-06,463.00,469.20,452.15,452.70,451.39,SHORT,463.00,2002,451.39,452.70,false,40.00,366.65,20213.95,2.18,947410.93
2025-03-07,454.05,467.35,453.35,456.00,459.25,LONG,454.05,2086,459.25,459.25,true,40.00,381.03,10426.17,1.10,957837.10
2025-03-10,454.65,462.20,433.85,435.00,460.29,LONG,454.65,2106,460.29,460.29,true,40.00,385.37,11452.47,1.20,969289.57
2025-03-11,430.00,443.65,423.55,438.70,444.08,LONG,430.00,2254,444.08,438.70,false,40.00,391.61,19178.19,1.98,988467.76
2025-03-12,443.35,444.45,421.20,422.70,434.73,SHORT,443.35,2229,434.73,434.73,true,40.00,391.45,18782.53,1.90,1007250.29
2025-03-13,426.00,431.45,413.60,415.00,428.47,LONG,426.00,2364,428.47,428.47,true,40.00,403.99,5395.09,0.54,1012645.38
2025-03-17,413.65,419.65,405.00,405.90,421.99,LONG,413.65,2448,421.99,405.90,false,40.00,401.25,-19413.25,-1.92,993232.13
2025-03-18,408.55,424.00,408.55,418.95,411.01,LONG,408.55,2431,411.01,411.01,true,40.00,398.47,5541.79,0.56,998773.92
2025-03-19,421.00,496.15,421.00,484.00,418.92,SHORT,421.00,2372,418.92,484.00,false,40.00,429.33,-149905.33,-15.01,848868.58
2025-03-20,474.10,477.00,459.50,460.25,473.56,SHORT,474.10,1790,473.56,473.56,true,40.00,339.26,587.34,0.07,849455.92
2025-03-21,462.40,478.45,459.45,465.45,465.79,LONG,462.40,1837,465.79,465.79,true,40.00,341.02,5846.41,0.69,855302.33
2025-03-24,469.90,490.00,467.15,480.45,467.83,SHORT,469.90,1820,467.83,467.83,true,40.00,341.33,3386.07,0.40,858688.40
2025-03-25,486.70,498.80,467.65,471.25,480.53,SHORT,486.70,1764,480.53,480.53,true,40.00,341.24,10502.64,1.22,869191.04
