date,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,2007.60,2061.90,1997.80,2057.00,4166.21,LONG,2007.60,4166.21,2057.00,false,49.40,2.46
2025-01-03,2064.30,2070.20,1998.30,2027.70,4237.00,LONG,2064.30,4237.00,2027.70,false,-36.60,-1.77
2025-01-06,2017.40,2035.50,1931.70,1965.00,4216.96,LONG,2017.40,4216.96,1965.00,false,-52.40,-2.60
2025-01-07,1965.00,1983.60,1951.30,1952.80,4096.18,LONG,1965.00,4096.18,1952.80,false,-12.20,-0.62
2025-01-08,1959.10,1960.10,1917.10,1951.80,4083.21,LONG,1959.10,4083.21,1951.80,false,-7.30,-0.37
2025-01-09,1951.30,1959.60,1893.10,1897.50,4035.29,LONG,1951.30,4035.29,1897.50,false,-53.80,-2.76
2025-01-10,1901.90,1911.20,1840.70,1847.60,3986.38,LONG,1901.90,3986.38,1847.60,false,-54.30,-2.86
2025-01-13,1825.10,1875.50,1821.20,1839.30,3885.92,LONG,1825.10,3885.92,1839.30,false,14.20,0.78
2025-01-14,1850.00,1895.50,1831.40,1862.80,3855.45,LONG,1850.00,3855.45,1862.80,false,12.80,0.69
2025-01-15,1874.00,1976.30,1844.70,1941.00,3892.63,LONG,1874.00,3892.63,1941.00,false,67.00,3.58
2025-01-16,1944.00,1977.70,1942.50,1964.00,4026.23,LONG,1944.00,4026.23,1964.00,false,20.00,1.03
2025-01-17,1964.50,1968.90,1923.90,1935.70,4086.87,LONG,1964.50,4086.87,1935.70,false,-28.80,-1.47
2025-01-20,1939.60,1964.50,1921.50,1940.60,4036.15,LONG,1939.60,4036.15,1940.60,false,1.00,0.05
2025-01-21,1942.50,1962.10,1926.90,1936.60,4040.02,LONG,1942.50,4040.02,1936.60,false,-5.90,-0.30
2025-01-22,1949.90,1949.90,1885.30,1897.00,4043.68,LONG,1949.90,4043.68,1897.00,false,-52.90,-2.71
2025-01-23,1893.10,1937.10,1875.00,1922.00,3969.68,LONG,1893.10,3969.68,1922.00,false,28.90,1.53
2025-01-24,1935.20,1942.50,1855.90,1861.80,3996.74,LONG,1935.20,3996.74,1861.80,false,-73.40,-3.79
2025-01-27,1854.00,1855.90,1777.10,1784.00,3934.46,LONG,1854.00,3934.46,1784.00,false,-70.00,-3.78
2025-01-28,1813.80,1813.80,1758.50,1771.70,3736.83,LONG,1813.80,3736.83,1771.70,false,-42.10,-2.32
2025-01-29,1777.10,1822.60,1768.30,1818.20,3709.39,LONG,1777.10,3709.39,1818.20,false,41.10,2.31
2025-01-30,1830.00,1831.00,1803.60,1809.90,3753.34,LONG,1830.00,3753.34,1809.90,false,-20.10,-1.10
2025-01-31,1810.40,1867.20,1803.10,1858.40,3778.62,LONG,1810.40,3778.62,1858.40,false,48.00,2.65
2025-02-01,1858.80,1924.90,1811.40,1869.60,3859.06,LONG,1858.80,3859.06,1869.60,false,10.80,0.58
2025-02-03,1873.00,1873.00,1818.20,1830.00,3900.63,LONG,1873.00,3900.63,1830.00,false,-43.00,-2.30
2025-02-04,1846.60,1884.80,1844.20,1854.40,3824.74,LONG,1846.60,3824.74,1854.40,false,7.80,0.42
2025-02-05,1868.10,1939.60,1863.70,1916.10,3875.33,LONG,1868.10,3875.33,1916.10,false,48.00,2.57
2025-02-06,1928.30,1942.50,1888.20,1890.60,3995.09,LONG,1928.30,3995.09,1890.60,false,-37.70,-1.96
2025-02-07,1890.20,1906.80,1844.70,1882.30,3987.10,LONG,1890.20,3987.10,1882.30,false,-7.90,-0.42
2025-02-10,1884.80,1899.50,1842.20,1859.30,3911.25,LONG,1884.80,3911.25,1859.30,false,-25.50,-1.35
2025-02-11,1859.30,1859.30,1752.20,1769.30,3870.54,LONG,1859.30,3870.54,1769.30,false,-90.00,-4.84
2025-02-12,1769.80,1809.40,1711.10,1778.10,3705.89,LONG,1769.80,3705.89,1778.10,false,8.30,0.47
2025-02-13,1792.30,1815.30,1767.80,1803.60,3677.64,LONG,1792.30,3677.64,1803.60,false,11.30,0.63
2025-02-14,1808.40,1820.20,1774.70,1801.60,3751.56,LONG,1808.40,3751.56,1801.60,false,-6.80,-0.38
2025-02-17,1798.70,1822.60,1754.60,1790.30,3748.15,LONG,1798.70,3748.15,1790.30,false,-8.40,-0.47
2025-02-18,1788.90,1804.00,1769.80,1794.70,3725.54,LONG,1788.90,3725.54,1794.70,false,5.80,0.32
2025-02-19,1791.80,1840.30,1777.60,1820.20,3711.08,LONG,1791.80,3711.08,1820.20,false,28.40,1.58
2025-02-20,1808.40,1870.10,1806.00,1864.70,3777.88,LONG,1808.40,3777.88,1864.70,false,56.30,3.11
2025-02-21,1855.90,1886.70,1815.30,1821.70,3860.49,LONG,1855.90,3860.49,1821.70,false,-34.20,-1.84
2025-02-24,1819.20,1830.00,1787.90,1819.70,3814.18,LONG,1819.20,3814.18,1819.70,false,0.50,0.03
2025-02-25,1816.80,1843.20,1806.00,1807.50,3771.72,LONG,1816.80,3771.72,1807.50,false,-9.30,-0.51
2025-02-27,1798.70,1807.50,1751.20,1771.70,3787.59,LONG,1798.70,3787.59,1771.70,false,-27.00,-1.50
2025-02-28,1762.90,1766.40,1729.70,1739.00,3685.95,LONG,1762.90,3685.95,1739.00,false,-23.90,-1.36
2025-03-03,1745.80,1792.80,1739.90,1782.50,3630.88,LONG,1745.80,3630.88,1782.50,false,36.70,2.10
2025-03-04,1767.80,1801.10,1754.60,1776.60,3680.35,LONG,1767.80,3680.35,1776.60,false,8.80,0.50
2025-03-05,1767.30,1860.80,1762.50,1856.90,3692.69,LONG,1767.30,3692.69,1856.90,false,89.60,5.07
2025-03-06,1865.20,1878.90,1831.40,1841.70,3816.99,LONG,1865.20,3816.99,1841.70,false,-23.50,-1.26
2025-03-07,1845.10,1876.50,1834.90,1839.80,3840.13,LONG,1845.10,3840.13,1839.80,false,-5.30,-0.29
2025-03-10,1837.80,1852.50,1793.80,1800.60,3863.86,LONG,1837.80,3863.86,1800.60,false,-37.20,-2.02
2025-03-11,1787.40,1822.10,1766.90,1815.80,3767.92,LONG,1787.40,3767.92,1815.80,false,28.40,1.59
2025-03-12,1810.90,1832.40,1762.00,1809.40,3740.27,LONG,1810.90,3740.27,1809.40,false,-1.50,-0.08
2025-03-13,1806.00,1811.90,1758.00,1790.30,3755.87,LONG,1806.00,3755.87,1790.30,false,-15.70,-0.87
2025-03-17,1789.90,1822.10,1785.90,1800.10,3712.12,LONG,1789.90,3712.12,1800.10,false,10.20,0.57
2025-03-18,1802.10,1841.20,1798.20,1837.30,3748.12,LONG,1802.10,3748.12,1837.30,false,35.20,1.95
2025-03-19,1825.10,1914.10,1825.10,1909.20,3807.27,LONG,1825.10,3807.27,1909.20,false,84.10,4.61
2025-03-20,1919.00,1942.00,1894.60,1905.30,3923.81,LONG,1919.00,3923.81,1905.30,false,-13.70,-0.71
2025-03-21,1899.50,1956.70,1892.60,1919.50,3981.00,LONG,1899.50,3981.00,1919.50,false,20.00,1.05
2025-03-24,1925.90,1973.80,1917.60,1969.90,4003.27,LONG,1925.90,4003.27,1969.90,false,44.00,2.28
2025-03-25,1983.60,1988.50,1946.40,1974.80,4065.20,LONG,1983.60,4065.20,1974.80,false,-8.80,-0.44
2025-03-26,1976.30,2011.50,1953.30,1957.20,4085.29,LONG,1976.30,4085.29,1957.20,false,-19.10,-0.97
2025-03-27,1955.20,1988.00,1947.90,1954.70,4113.87,LONG,1955.20,4113.87,1954.70,false,-0.50,-0.03
2025-03-28,1967.00,1981.70,1923.40,1925.90,4093.65,LONG,1967.00,4093.65,1925.90,false,-41.10,-2.09
2025-04-01,1927.80,1954.70,1883.80,1910.20,4062.07,LONG,1927.80,4062.07,1910.20,false,-17.60,-0.91
2025-04-02,1916.10,1965.00,1894.10,1955.70,3983.11,LONG,1916.10,3983.11,1955.70,false,39.60,2.07
2025-04-03,1938.60,1963.60,1928.80,1944.50,4029.87,LONG,1938.60,4029.87,1944.50,false,5.90,0.30
2025-04-04,1942.50,1948.90,1863.20,1873.00,4042.54,LONG,1942.50,4042.54,1873.00,false,-69.50,-3.58
2025-04-07,1753.20,1808.40,1713.00,1789.90,3939.07,LONG,1753.20,3939.07,1789.90,false,36.70,2.09
2025-04-08,1815.30,1863.70,1813.30,1843.70,3706.70,LONG,1815.30,3706.70,1843.70,false,28.40,1.56
2025-04-09,1842.70,1849.10,1816.30,1825.10,3821.86,LONG,1842.70,3821.86,1825.10,false,-17.60,-0.96
2025-04-11,1813.30,1936.20,1813.30,1912.70,3809.32,LONG,1813.30,3809.32,1912.70,false,99.40,5.48
2025-04-15,1935.20,1989.00,1923.90,1986.10,3945.33,LONG,1935.20,3945.33,1986.10,false,50.90,2.63
2025-04-16,1985.10,1987.50,1957.70,1982.10,4110.29,LONG,1985.10,4110.29,1982.10,false,-3.00,-0.15
2025-04-17,1983.60,2042.80,1950.30,2042.80,4107.79,LONG,1983.60,4107.79,2042.80,false,59.20,2.98
