date,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,52.59,53.14,51.81,52.85,52.40,SHORT,52.59,52.40,52.40,true,0.19,0.36
2025-01-03,54.71,56.30,54.51,55.23,52.53,SHORT,54.71,52.53,55.23,false,-0.52,-0.95
2025-01-06,55.48,55.48,52.03,52.30,55.41,SHORT,55.48,55.41,55.41,true,0.07,0.13
2025-01-07,53.00,53.32,51.13,51.23,53.29,LONG,53.00,53.29,53.29,true,0.29,0.55
2025-01-08,51.71,51.78,50.00,50.07,52.02,LONG,51.71,52.02,50.07,false,-1.64,-3.17
2025-01-09,50.11,50.30,49.01,49.09,50.58,LONG,50.11,50.58,49.09,false,-1.02,-2.04
2025-01-10,49.48,49.48,47.73,48.86,49.64,LONG,49.48,49.64,48.86,false,-0.62,-1.25
2025-01-13,47.50,48.91,46.22,46.54,48.60,LONG,47.50,48.60,48.60,true,1.10,2.32
2025-01-14,47.20,54.40,47.09,53.81,47.57,LONG,47.20,47.57,47.57,true,0.37,0.78
2025-01-15,51.39,52.90,49.87,50.83,51.29,SHORT,51.39,51.29,51.29,true,0.10,0.19
2025-01-16,51.96,53.30,51.46,52.00,51.12,SHORT,51.96,51.12,52.00,false,-0.04,-0.08
2025-01-17,52.00,52.05,51.25,51.44,52.19,LONG,52.00,52.19,51.44,false,-0.56,-1.08
2025-01-20,51.65,52.85,51.12,52.08,51.52,SHORT,51.65,51.52,51.52,true,0.13,0.25
2025-01-21,52.25,52.36,50.95,51.42,52.14,SHORT,52.25,52.14,52.14,true,0.11,0.21
2025-01-22,51.30,51.35,49.30,50.14,51.49,LONG,51.30,51.49,50.14,false,-1.16,-2.26
2025-01-23,50.19,51.14,49.80,50.33,49.87,SHORT,50.19,49.87,49.87,true,0.32,0.64
2025-01-24,50.37,50.58,49.36,49.70,50.50,LONG,50.37,50.50,50.50,true,0.13,0.26
2025-01-27,49.45,50.90,47.85,48.59,49.82,LONG,49.45,49.82,49.82,true,0.37,0.75
2025-01-28,49.48,50.34,48.36,49.48,49.14,SHORT,49.48,49.14,49.14,true,0.34,0.69
2025-01-29,49.98,51.10,49.54,50.36,49.32,SHORT,49.98,49.32,50.36,false,-0.38,-0.76
2025-01-30,50.92,50.92,50.06,50.24,50.43,SHORT,50.92,50.43,50.43,true,0.49,0.96
2025-01-31,50.79,51.80,49.94,51.37,50.50,SHORT,50.79,50.50,50.50,true,0.29,0.57
2025-02-01,51.20,51.87,50.12,50.40,50.99,SHORT,51.20,50.99,50.99,true,0.21,0.41
2025-02-03,50.02,50.14,49.29,49.60,51.02,LONG,50.02,51.02,49.60,false,-0.42,-0.84
2025-02-04,49.96,50.85,49.56,50.36,49.63,SHORT,49.96,49.63,49.63,true,0.33,0.66
2025-02-05,50.80,51.77,50.62,50.91,50.21,SHORT,50.80,50.21,50.91,false,-0.11,-0.22
2025-02-06,51.39,51.39,50.70,50.99,51.17,SHORT,51.39,51.17,51.17,true,0.22,0.43
2025-02-07,51.30,51.66,49.60,49.90,51.00,SHORT,51.30,51.00,51.00,true,0.30,0.58
2025-02-10,49.97,50.15,49.01,49.21,50.43,LONG,49.97,50.43,49.21,false,-0.76,-1.52
2025-02-11,49.46,49.46,47.81,48.04,49.44,SKIP,,,,,,
2025-02-12,48.09,49.13,46.80,48.99,48.24,LONG,48.09,48.24,48.24,true,0.15,0.31
2025-02-13,49.00,49.71,48.62,49.15,47.98,SHORT,49.00,47.98,49.15,false,-0.15,-0.31
2025-02-14,49.03,49.32,47.22,47.78,49.21,LONG,49.03,49.21,49.21,true,0.18,0.37
2025-02-17,47.49,48.90,46.32,48.84,48.08,LONG,47.49,48.08,48.08,true,0.59,1.24
2025-02-18,48.67,49.15,47.55,49.08,47.73,SHORT,48.67,47.73,47.73,true,0.94,1.93
2025-02-19,48.33,49.94,48.32,49.77,48.37,SKIP,,,,,,
2025-02-20,49.69,50.49,49.29,50.30,49.55,SHORT,49.69,49.55,49.55,true,0.14,0.28
2025-02-21,50.00,51.24,49.60,49.70,50.15,LONG,50.00,50.15,50.15,true,0.15,0.30
2025-02-24,49.47,49.58,48.79,48.85,50.25,LONG,49.47,50.25,48.85,false,-0.62,-1.25
2025-02-25,49.30,50.25,48.70,48.75,49.09,SHORT,49.30,49.09,49.09,true,0.21,0.43
2025-02-27,48.60,49.10,47.67,47.84,49.21,LONG,48.60,49.21,47.84,false,-0.76,-1.56
2025-02-28,47.29,47.40,46.21,46.38,48.24,LONG,47.29,48.24,46.38,false,-0.91,-1.92
2025-03-03,46.50,46.98,43.67,44.62,46.64,LONG,46.50,46.64,46.64,true,0.14,0.30
2025-03-04,44.00,45.77,43.80,45.31,44.79,LONG,44.00,44.79,44.79,true,0.79,1.80
2025-03-05,45.21,47.40,45.21,47.33,45.07,SHORT,45.21,45.07,47.33,false,-2.12,-4.69
2025-03-06,47.80,48.29,47.42,47.82,46.59,SHORT,47.80,46.59,47.82,false,-0.02,-0.04
2025-03-07,47.75,48.40,47.45,47.98,47.83,LONG,47.75,47.83,47.83,true,0.08,0.17
2025-03-10,47.96,48.44,47.50,47.51,47.95,SKIP,,,,,,
2025-03-11,47.00,47.46,46.53,46.98,47.96,LONG,47.00,47.96,46.98,false,-0.02,-0.04
2025-03-12,46.98,47.64,46.41,46.51,47.02,SKIP,,,,,,
2025-03-13,46.72,46.98,45.34,45.43,46.86,LONG,46.72,46.86,46.86,true,0.14,0.30
2025-03-17,45.54,45.79,44.27,44.39,46.02,LONG,45.54,46.02,44.39,false,-1.15,-2.53
2025-03-18,44.47,46.34,44.47,45.94,44.96,LONG,44.47,44.96,44.96,true,0.49,1.10
2025-03-19,46.00,47.73,46.00,47.55,45.74,SHORT,46.00,45.74,47.55,false,-1.55,-3.37
2025-03-20,48.10,48.30,47.11,47.18,47.15,SHORT,48.10,47.15,47.15,true,0.95,1.98
2025-03-21,47.20,48.35,46.94,48.05,47.50,LONG,47.20,47.50,47.50,true,0.30,0.64
2025-03-24,48.40,49.55,48.16,48.28,47.86,SHORT,48.40,47.86,48.28,false,0.12,0.25
2025-03-25,48.55,48.69,46.12,46.54,48.65,LONG,48.55,48.65,48.65,true,0.10,0.21
2025-03-26,46.60,47.77,46.15,46.20,47.07,LONG,46.60,47.07,47.07,true,0.47,1.01
2025-03-27,46.38,46.98,45.90,46.90,46.91,LONG,46.38,46.91,46.91,true,0.53,1.14
2025-03-28,46.99,47.70,46.10,46.17,46.48,SHORT,46.99,46.48,46.48,true,0.51,1.09
2025-04-01,46.01,46.84,46.01,46.25,46.88,LONG,46.01,46.88,46.25,false,0.24,0.52
2025-04-02,46.58,46.64,45.30,46.21,46.40,SHORT,46.58,46.40,46.40,true,0.18,0.39
2025-04-03,46.00,47.90,45.80,47.80,46.00,SKIP,,,,,,
2025-04-04,47.51,47.96,46.19,46.66,47.08,SHORT,47.51,47.08,47.08,true,0.43,0.91
2025-04-07,42.00,44.74,42.00,43.45,46.77,LONG,42.00,46.77,43.45,false,1.45,3.45
2025-04-08,45.00,45.78,44.14,45.40,43.68,SHORT,45.00,43.68,45.40,false,-0.40,-0.89
2025-04-09,45.07,45.87,44.75,45.48,44.90,SHORT,45.07,44.90,44.90,true,0.17,0.38
2025-04-11,46.39,46.39,45.55,45.55,45.36,SHORT,46.39,45.36,45.55,false,0.84,1.81
2025-04-15,46.50,46.54,45.92,46.02,45.81,SHORT,46.50,45.81,46.02,false,0.48,1.03
2025-04-16,46.17,47.88,46.07,47.53,46.10,SHORT,46.17,46.10,46.10,true,0.07,0.15
2025-04-17,47.90,48.90,47.60,48.38,47.40,SHORT,47.90,47.40,48.38,false,-0.48,-1.00
2025-04-21,49.07,51.21,49.06,50.93,48.28,SHORT,49.07,48.28,50.93,false,-1.86,-3.79
2025-04-22,51.60,51.96,50.41,50.50,50.39,SHORT,51.60,50.39,50.50,false,1.10,2.13
2025-04-23,50.84,50.99,49.41,50.80,51.13,LONG,50.84,51.13,50.80,false,-0.04,-0.08
