date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,1708.00,1750.00,1684.80,1715.70,1713.98,LONG,1708.00,585,1713.98,1713.98,true,40.00,400.37,3057.93,0.31,1003057.93
2025-01-03,1708.00,1711.95,1685.50,1689.85,1712.91,LONG,1708.00,587,1712.91,1689.85,false,40.00,398.91,-11092.96,-1.11,991964.97
2025-01-06,1700.00,1701.15,1620.00,1645.00,1697.02,SHORT,1700.00,583,1697.02,1697.02,true,40.00,396.09,1301.25,0.13,993266.22
2025-01-07,1645.00,1689.00,1644.00,1680.70,1651.42,LONG,1645.00,603,1651.42,1651.42,true,40.00,397.55,3433.71,0.35,996699.93
2025-01-08,1668.00,1676.90,1626.60,1640.90,1667.58,SKIP,,,,,,,,,,996699.93
2025-01-09,1640.00,1667.40,1596.10,1607.15,1646.73,LONG,1640.00,607,1646.73,1646.73,true,40.00,399.01,3646.10,0.37,1000346.03
2025-01-10,1637.50,1638.00,1566.25,1627.60,1619.31,SHORT,1637.50,610,1619.31,1619.31,true,40.00,397.33,10658.57,1.07,1011004.60
2025-01-13,1614.90,1617.15,1554.05,1575.50,1601.65,SHORT,1614.90,626,1601.65,1601.65,true,40.00,402.71,7851.79,0.78,1018856.39
2025-01-14,1555.00,1588.00,1534.15,1576.00,1572.94,LONG,1555.00,655,1572.94,1572.94,true,40.00,409.76,11300.94,1.11,1030157.33
2025-01-15,1596.95,1798.90,1581.05,1760.00,1570.65,SHORT,1596.95,645,1570.65,1760.00,false,40.00,433.05,-105640.30,-10.26,924517.03
2025-01-16,1710.00,1715.90,1622.00,1626.70,1719.16,LONG,1710.00,540,1719.16,1626.70,false,40.00,360.36,-45382.36,-4.91,879134.67
2025-01-17,1628.00,1628.15,1566.65,1585.30,1664.20,LONG,1628.00,540,1664.20,1585.30,false,40.00,347.04,-23445.04,-2.67,855689.63
2025-01-20,1595.00,1696.70,1553.00,1557.55,1586.62,SHORT,1595.00,536,1586.62,1586.62,true,40.00,341.07,4110.61,0.48,859800.24
2025-01-21,1570.00,1570.00,1294.00,1312.50,1611.92,LONG,1570.00,547,1611.92,1312.50,false,40.00,315.35,-141207.85,-16.44,718592.40
2025-01-22,1317.05,1317.95,1161.15,1236.75,1367.33,LONG,1317.05,545,1367.33,1236.75,false,40.00,278.36,-44081.86,-6.14,674510.53
2025-01-23,1201.15,1269.90,1201.15,1223.15,1212.39,LONG,1201.15,561,1212.39,1212.39,true,40.00,270.80,5994.84,0.89,680505.37
2025-01-24,1235.00,1255.90,1167.60,1179.00,1242.84,LONG,1235.00,551,1242.84,1242.84,true,40.00,273.06,4006.78,0.59,684512.15
2025-01-27,1082.45,1114.95,1057.15,1057.15,1211.21,LONG,1082.45,632,1211.21,1057.15,false,40.00,270.45,-16300.05,-2.38,668212.11
2025-01-28,1030.00,1050.00,951.45,986.85,1065.58,LONG,1030.00,648,1065.58,986.85,false,40.00,261.38,-28262.58,-4.23,639949.53
2025-01-29,996.95,1085.60,996.00,1084.00,985.06,SHORT,996.95,641,985.06,1084.00,false,40.00,266.78,-56105.83,-8.78,583843.70
2025-01-30,1099.70,1129.20,1029.05,1046.95,1056.62,SHORT,1099.70,530,1056.62,1056.62,true,40.00,228.57,22563.83,3.87,606407.53
2025-01-31,1060.00,1069.00,1037.90,1052.00,1081.77,LONG,1060.00,572,1081.77,1052.00,false,40.00,241.61,-4857.61,-0.80,601549.92
2025-02-01,1060.00,1111.00,1050.00,1096.35,1053.35,SHORT,1060.00,567,1053.35,1053.35,true,40.00,239.65,3490.90,0.58,605040.81
2025-02-03,1070.00,1105.95,1055.55,1076.40,1085.94,LONG,1070.00,565,1085.94,1085.94,true,40.00,243.62,8722.48,1.44,613763.29
