date,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,435.65,467.00,435.55,463.95,433.89,SHORT,435.65,433.89,463.95,false,-28.30,-6.50
2025-01-03,468.00,491.25,466.00,480.85,457.81,SHORT,468.00,457.81,480.85,false,-12.85,-2.75
2025-01-06,484.05,485.55,455.60,457.05,483.58,SKIP,,,,,,
2025-01-07,460.00,478.65,460.00,473.00,464.87,LONG,460.00,464.87,464.87,true,4.87,1.06
2025-01-08,475.30,494.55,473.65,491.40,472.93,SHORT,475.30,472.93,491.40,false,-16.10,-3.39
2025-01-09,490.00,490.00,454.00,466.05,485.38,SHORT,490.00,485.38,485.38,true,4.62,0.94
2025-01-10,470.00,471.65,454.50,456.45,464.05,SHORT,470.00,464.05,464.05,true,5.95,1.27
2025-01-13,465.00,478.65,448.85,452.50,462.12,SHORT,465.00,462.12,462.12,true,2.88,0.62
2025-01-14,452.40,467.95,452.40,465.35,464.13,LONG,452.40,464.13,464.13,true,11.73,2.59
2025-01-15,466.00,474.00,461.00,463.80,462.98,SHORT,466.00,462.98,462.98,true,3.02,0.65
2025-01-16,479.00,484.40,466.10,470.95,467.56,SHORT,479.00,467.56,467.56,true,11.44,2.39
2025-01-17,470.00,477.95,469.50,475.15,474.36,LONG,470.00,474.36,474.36,true,4.36,0.93
2025-01-20,476.70,487.35,470.15,483.50,474.00,SHORT,476.70,474.00,474.00,true,2.70,0.57
2025-01-21,483.85,489.90,472.35,474.50,482.39,SHORT,483.85,482.39,482.39,true,1.46,0.30
2025-01-22,474.25,475.05,448.30,453.05,480.16,LONG,474.25,480.16,453.05,false,-21.20,-4.47
2025-01-23,452.05,470.00,442.25,451.00,456.94,LONG,452.05,456.94,456.94,true,4.89,1.08
2025-01-24,449.75,453.70,423.05,424.45,448.57,SHORT,449.75,448.57,448.57,true,1.18,0.26
2025-01-27,424.50,424.50,406.15,407.00,431.99,LONG,424.50,431.99,407.00,false,-17.50,-4.12
2025-01-28,409.00,411.70,390.50,396.35,410.92,LONG,409.00,410.92,410.92,true,1.92,0.47
2025-01-29,398.00,408.00,392.10,407.75,397.67,SKIP,,,,,,
2025-01-30,408.00,421.00,402.15,415.80,402.37,SHORT,408.00,402.37,402.37,true,5.63,1.38
2025-01-31,417.75,425.05,411.10,419.20,415.65,SHORT,417.75,415.65,415.65,true,2.10,0.50
2025-02-01,421.00,426.95,406.50,411.00,419.80,SHORT,421.00,419.80,419.80,true,1.20,0.29
2025-02-03,410.55,414.00,389.35,394.70,416.03,LONG,410.55,416.03,394.70,false,-15.85,-3.86
2025-02-04,401.40,406.95,396.80,405.90,395.91,SHORT,401.40,395.91,405.90,false,-4.50,-1.12
2025-02-05,407.00,432.90,406.95,431.70,402.86,SHORT,407.00,402.86,431.70,false,-24.70,-6.07
2025-02-06,436.50,436.50,421.35,425.10,426.67,SHORT,436.50,426.67,426.67,true,9.83,2.25
2025-02-07,425.00,427.75,411.70,424.80,427.38,LONG,425.00,427.38,427.38,true,2.38,0.56
2025-02-10,414.80,415.55,397.50,405.45,421.28,LONG,414.80,421.28,405.45,false,-9.35,-2.25
2025-02-11,405.05,414.35,395.10,413.00,405.25,SKIP,,,,,,
2025-02-12,412.50,421.10,404.00,417.90,406.28,SHORT,412.50,406.28,406.28,true,6.22,1.51
2025-02-13,417.55,418.00,405.70,412.25,413.90,SHORT,417.55,413.90,413.90,true,3.65,0.87
2025-02-14,415.00,417.55,390.10,396.55,411.85,SHORT,415.00,411.85,411.85,true,3.15,0.76
2025-02-17,384.95,401.75,375.00,400.65,399.07,LONG,384.95,399.07,399.07,true,14.12,3.67
2025-02-18,404.65,404.65,386.10,398.35,392.41,SHORT,404.65,392.41,392.41,true,12.24,3.02
2025-02-19,395.00,406.25,391.65,396.35,393.50,SHORT,395.00,393.50,393.50,true,1.50,0.38
2025-02-20,398.00,409.50,391.60,406.10,399.93,LONG,398.00,399.93,399.93,true,1.93,0.48
2025-02-21,405.10,412.35,391.00,392.15,403.17,SHORT,405.10,403.17,403.17,true,1.93,0.48
2025-02-24,392.40,393.45,378.05,378.35,398.17,LONG,392.40,398.17,378.35,false,-14.05,-3.58
