date,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,430.15,432.70,424.25,429.50,427.97,SHORT,430.15,427.97,427.97,true,2.18,0.51
2025-01-03,430.40,439.50,430.00,431.45,428.43,SHORT,430.40,428.43,431.45,false,-1.05,-0.24
2025-01-06,434.60,434.80,408.40,410.35,434.26,SKIP,,,,,,
2025-01-07,411.00,418.95,411.00,416.10,417.08,LONG,411.00,417.08,417.08,true,6.08,1.48
2025-01-08,420.00,423.70,412.55,418.05,415.83,SHORT,420.00,415.83,415.83,true,4.17,0.99
2025-01-09,416.00,418.90,409.80,410.15,417.81,LONG,416.00,417.81,417.81,true,1.81,0.44
2025-01-10,405.00,407.50,391.00,393.30,412.68,LONG,405.00,412.68,393.30,false,-11.70,-2.89
2025-01-13,381.95,383.85,355.80,357.25,395.46,LONG,381.95,395.46,357.25,false,-24.70,-6.47
2025-01-14,360.95,378.95,360.60,377.55,367.21,LONG,360.95,367.21,367.21,true,6.26,1.73
2025-01-15,380.10,387.00,370.55,371.40,372.78,SHORT,380.10,372.78,372.78,true,7.32,1.93
2025-01-16,391.85,415.30,385.85,415.00,376.46,SHORT,391.85,376.46,415.00,false,-23.15,-5.91
2025-01-17,410.00,437.80,407.00,426.15,404.90,SHORT,410.00,404.90,426.15,false,-16.15,-3.94
2025-01-20,429.70,437.45,416.10,431.25,427.87,SHORT,429.70,427.87,427.87,true,1.83,0.43
2025-01-21,433.00,435.70,416.75,419.60,430.45,SHORT,433.00,430.45,430.45,true,2.55,0.59
2025-01-22,420.50,423.00,398.65,408.15,424.40,LONG,420.50,424.40,408.15,false,-12.35,-2.94
2025-01-23,408.00,426.90,405.55,417.70,406.64,SHORT,408.00,406.64,406.64,true,1.36,0.33
2025-01-24,419.95,423.00,408.60,409.95,419.24,SHORT,419.95,419.24,419.24,true,0.71,0.17
2025-01-27,400.10,405.25,390.20,401.65,413.40,LONG,400.10,413.40,401.65,false,1.55,0.39
2025-01-28,407.00,414.00,385.20,409.05,397.88,SHORT,407.00,397.88,397.88,true,9.12,2.24
2025-01-29,410.00,430.95,408.05,428.35,401.01,SHORT,410.00,401.01,428.35,false,-18.35,-4.48
2025-01-30,433.00,444.50,429.25,435.65,424.02,SHORT,433.00,424.02,435.65,false,-2.65,-0.61
2025-01-31,440.85,479.50,436.25,478.80,438.15,SHORT,440.85,438.15,438.15,true,2.70,0.61
2025-02-01,485.00,501.80,431.50,432.70,463.53,SHORT,485.00,463.53,463.53,true,21.47,4.43
2025-02-03,415.15,419.90,398.00,406.90,464.66,LONG,415.15,464.66,406.90,false,-8.25,-1.99
2025-02-04,416.00,421.30,394.70,400.80,406.30,SHORT,416.00,406.30,406.30,true,9.70,2.33
2025-02-05,411.60,416.30,404.00,407.60,404.03,SHORT,411.60,404.03,404.03,true,7.57,1.84
2025-02-06,406.40,411.70,401.70,403.40,408.78,LONG,406.40,408.78,408.78,true,2.38,0.59
2025-02-07,401.00,403.00,393.75,395.45,404.76,LONG,401.00,404.76,395.45,false,-5.55,-1.38
2025-02-10,395.10,399.10,378.65,380.50,397.89,LONG,395.10,397.89,397.89,true,2.79,0.71
2025-02-11,383.00,385.75,367.30,369.00,383.86,LONG,383.00,383.86,383.86,true,0.86,0.22
2025-02-12,367.95,377.15,342.00,373.95,372.12,LONG,367.95,372.12,372.12,true,4.17,1.13
2025-02-13,375.00,387.40,366.05,378.35,358.46,SHORT,375.00,358.46,378.35,false,-3.35,-0.89
2025-02-14,380.00,381.95,357.15,359.00,379.69,SKIP,,,,,,
2025-02-17,340.00,354.80,332.55,342.20,366.16,LONG,340.00,366.16,342.20,false,2.20,0.65
2025-02-18,342.45,343.25,325.15,333.50,344.31,LONG,342.45,344.31,333.50,false,-8.95,-2.61
2025-02-19,332.00,384.25,329.30,375.60,332.22,SKIP,,,,,,
2025-02-20,371.40,384.25,361.70,382.00,368.34,SHORT,371.40,368.34,368.34,true,3.06,0.82
2025-02-21,377.15,393.00,371.00,371.90,376.31,SHORT,377.15,376.31,376.31,true,0.84,0.22
2025-02-24,364.95,369.40,359.10,364.40,379.67,LONG,364.95,379.67,364.40,false,-0.55,-0.15
2025-02-25,363.15,370.90,360.70,364.85,364.63,LONG,363.15,364.63,364.63,true,1.48,0.41
2025-02-27,363.05,364.70,347.40,350.25,365.36,LONG,363.05,365.36,350.25,false,-12.80,-3.53
2025-02-28,343.95,350.15,330.55,331.15,352.68,LONG,343.95,352.68,331.15,false,-12.80,-3.72
2025-03-03,333.45,342.00,310.30,323.60,337.37,LONG,333.45,337.37,337.37,true,3.92,1.18
2025-03-04,319.45,339.30,318.05,326.00,322.15,LONG,319.45,322.15,322.15,true,2.70,0.85
2025-03-05,333.40,351.40,330.30,336.50,330.32,SHORT,333.40,330.32,330.32,true,3.08,0.92
2025-03-06,341.00,346.50,333.50,337.85,340.83,SKIP,,,,,,
2025-03-07,340.00,350.65,335.00,341.80,337.85,SHORT,340.00,337.85,337.85,true,2.15,0.63
2025-03-10,343.00,349.00,333.95,335.55,344.44,LONG,343.00,344.44,344.44,true,1.44,0.42
2025-03-11,326.05,332.00,322.05,330.60,337.92,LONG,326.05,337.92,330.60,false,4.55,1.40
2025-03-12,340.00,342.00,329.00,333.45,327.09,SHORT,340.00,327.09,333.45,false,6.55,1.93
2025-03-13,336.00,336.35,327.55,329.50,333.69,SHORT,336.00,333.69,333.69,true,2.31,0.69
2025-03-17,330.50,334.20,325.35,328.55,330.96,LONG,330.50,330.96,330.96,true,0.46,0.14
2025-03-18,331.00,335.40,329.25,333.30,329.20,SHORT,331.00,329.20,333.30,false,-2.30,-0.69
2025-03-19,334.60,361.95,334.00,352.10,332.71,SHORT,334.60,332.71,352.10,false,-17.50,-5.23
2025-03-20,357.50,366.75,351.50,358.35,352.06,SHORT,357.50,352.06,352.06,true,5.44,1.52
2025-03-21,360.20,374.00,352.55,361.15,358.55,SHORT,360.20,358.55,358.55,true,1.65,0.46
2025-03-24,365.00,379.75,364.65,371.25,364.65,SKIP,,,,,,
2025-03-25,379.00,383.95,365.45,370.75,374.10,SHORT,379.00,374.10,374.10,true,4.90,1.29
2025-03-26,371.70,371.80,360.25,362.00,373.79,LONG,371.70,373.79,362.00,false,-9.70,-2.61
2025-03-27,354.00,362.50,353.30,354.80,365.03,LONG,354.00,365.03,354.80,false,0.80,0.23
2025-03-28,356.95,367.20,351.40,352.20,356.70,SKIP,,,,,,
