date,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,90.00,92.19,89.70,91.20,90.46,LONG,90.00,90.46,90.46,true,0.46,0.51
2025-01-03,91.12,91.93,89.70,89.82,91.38,LONG,91.12,91.38,91.38,true,0.26,0.29
2025-01-06,89.75,91.71,86.11,86.28,90.78,LONG,89.75,90.78,90.78,true,1.03,1.15
2025-01-07,86.96,91.17,86.64,90.34,88.65,LONG,86.96,88.65,88.65,true,1.69,1.94
2025-01-08,90.25,90.63,88.61,88.81,89.74,SHORT,90.25,89.74,89.74,true,0.51,0.57
2025-01-09,88.95,89.28,86.80,87.06,89.45,LONG,88.95,89.45,87.06,false,-1.89,-2.12
2025-01-10,86.84,88.39,84.75,87.70,87.94,LONG,86.84,87.94,87.94,true,1.10,1.27
2025-01-13,85.10,86.20,82.75,82.96,86.93,LONG,85.10,86.93,82.96,false,-2.14,-2.51
2025-01-14,83.21,85.63,83.20,85.38,84.55,LONG,83.21,84.55,84.55,true,1.34,1.61
2025-01-15,85.22,85.22,83.32,84.99,84.64,SHORT,85.22,84.64,84.64,true,0.58,0.68
2025-01-16,86.90,87.04,84.70,85.15,84.22,SHORT,86.90,84.22,85.15,false,1.75,2.01
2025-01-17,84.90,87.26,84.61,86.30,85.36,LONG,84.90,85.36,85.36,true,0.46,0.54
2025-01-20,86.65,90.89,85.98,89.86,86.07,SHORT,86.65,86.07,86.07,true,0.58,0.67
2025-01-21,90.09,90.50,88.11,89.23,88.63,SHORT,90.09,88.63,88.63,true,1.46,1.62
2025-01-22,90.00,90.15,86.90,89.74,89.06,SHORT,90.00,89.06,89.06,true,0.94,1.04
2025-01-23,89.75,90.50,88.90,89.83,88.47,SHORT,89.75,88.47,89.83,false,-0.08,-0.09
2025-01-24,89.55,89.74,87.75,88.10,89.63,SKIP,,,,,,
2025-01-27,87.77,87.80,84.55,85.59,88.35,LONG,87.77,88.35,85.59,false,-2.18,-2.48
2025-01-28,86.50,87.25,81.51,83.88,85.64,SHORT,86.50,85.64,85.64,true,0.86,0.99
2025-01-29,84.96,86.00,84.27,85.85,83.19,SHORT,84.96,83.19,85.85,false,-0.89,-1.05
2025-01-30,85.76,85.98,84.88,85.04,85.04,SHORT,85.76,85.04,85.04,true,0.72,0.84
2025-01-31,85.04,85.67,84.50,85.40,85.32,LONG,85.04,85.32,85.32,true,0.28,0.33
2025-02-01,85.25,85.96,84.19,85.91,85.04,SHORT,85.25,85.04,85.04,true,0.21,0.25
2025-02-03,85.88,85.95,84.10,85.02,85.27,SHORT,85.88,85.27,85.27,true,0.61,0.71
2025-02-04,85.44,85.44,84.51,84.87,85.00,SHORT,85.44,85.00,85.00,true,0.44,0.51
2025-02-05,84.94,84.94,83.25,83.65,84.99,SKIP,,,,,,
2025-02-06,83.52,85.32,82.10,85.14,83.99,LONG,83.52,83.99,83.99,true,0.47,0.56
2025-02-07,85.15,85.38,83.02,83.52,83.86,SHORT,85.15,83.86,83.86,true,1.29,1.51
2025-02-10,83.50,83.78,81.80,82.43,83.88,LONG,83.50,83.88,82.43,false,-1.07,-1.28
2025-02-11,82.10,82.10,79.24,81.58,82.54,LONG,82.10,82.54,81.58,false,-0.52,-0.63
2025-02-12,80.05,85.15,80.02,84.60,80.70,LONG,80.05,80.70,80.70,true,0.65,0.81
2025-02-13,84.00,85.49,83.01,84.90,83.81,SHORT,84.00,83.81,83.81,true,0.19,0.23
2025-02-14,84.95,85.40,81.26,82.29,84.85,SHORT,84.95,84.85,84.85,true,0.10,0.12
2025-02-17,80.60,83.60,80.45,80.64,83.06,LONG,80.60,83.06,83.06,true,2.46,3.05
2025-02-18,81.20,82.53,79.66,82.05,81.63,LONG,81.20,81.63,81.63,true,0.43,0.53
2025-02-19,81.50,84.70,80.93,84.19,80.94,SHORT,81.50,80.94,80.94,true,0.56,0.69
2025-02-20,82.50,86.40,82.50,85.62,83.60,LONG,82.50,83.60,83.60,true,1.10,1.33
2025-02-21,85.30,87.80,85.11,86.97,85.39,LONG,85.30,85.39,85.39,true,0.09,0.11
2025-02-24,87.00,88.25,85.20,86.74,86.93,SKIP,,,,,,
2025-02-25,87.84,89.23,86.91,87.69,86.77,SHORT,87.84,86.77,87.69,false,0.15,0.17
2025-02-27,87.45,89.07,85.86,86.79,88.00,LONG,87.45,88.00,88.00,true,0.55,0.63
2025-02-28,85.50,89.73,84.94,88.15,87.13,LONG,85.50,87.13,87.13,true,1.63,1.91
