date,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,1580.00,1580.95,1538.25,1545.95,1572.34,SHORT,1580.00,1572.34,1572.34,true,7.66,0.48
2025-01-03,1563.70,1563.70,1538.00,1544.00,1550.14,SHORT,1563.70,1550.14,1550.14,true,13.56,0.87
2025-01-06,1550.00,1550.00,1462.70,1470.35,1545.27,SHORT,1550.00,1545.27,1545.27,true,4.73,0.31
2025-01-07,1497.85,1517.95,1469.15,1512.95,1498.10,SKIP,,,,,,
2025-01-08,1488.00,1507.50,1416.10,1432.00,1492.36,LONG,1488.00,1492.36,1492.36,true,4.36,0.29
2025-01-09,1426.00,1431.45,1379.90,1384.00,1453.96,LONG,1426.00,1453.96,1384.00,false,-42.00,-2.95
2025-01-10,1383.55,1388.45,1317.00,1372.35,1399.07,LONG,1383.55,1399.07,1372.35,false,-11.20,-0.81
2025-01-13,1349.85,1354.00,1265.00,1271.20,1349.45,SKIP,,,,,,
2025-01-14,1273.05,1316.60,1268.45,1297.25,1303.15,LONG,1273.05,1303.15,1303.15,true,30.10,2.36
2025-01-15,1317.50,1339.00,1299.10,1305.80,1295.44,SHORT,1317.50,1295.44,1305.80,false,11.70,0.89
2025-01-16,1321.90,1342.00,1285.45,1292.20,1319.11,SHORT,1321.90,1319.11,1319.11,true,2.79,0.21
2025-01-17,1294.50,1311.35,1282.00,1299.00,1305.88,LONG,1294.50,1305.88,1305.88,true,11.38,0.88
2025-01-20,1307.90,1324.85,1281.00,1323.95,1297.37,SHORT,1307.90,1297.37,1297.37,true,10.53,0.81
2025-01-21,1333.60,1333.60,1277.55,1284.00,1307.18,SHORT,1333.60,1307.18,1307.18,true,26.42,1.98
2025-01-22,1314.00,1314.00,1206.30,1216.45,1299.07,SHORT,1314.00,1299.07,1299.07,true,14.93,1.14
2025-01-23,1215.00,1243.35,1202.80,1217.95,1229.40,LONG,1215.00,1229.40,1229.40,true,14.40,1.19
2025-01-24,1218.00,1251.00,1132.05,1138.65,1222.61,LONG,1218.00,1222.61,1222.61,true,4.61,0.38
2025-01-27,1131.50,1250.95,1108.20,1189.85,1168.16,LONG,1131.50,1168.16,1168.16,true,36.66,3.24
2025-01-28,1188.05,1316.70,1162.95,1290.30,1204.51,LONG,1188.05,1204.51,1204.51,true,16.46,1.39
2025-01-29,1255.05,1315.00,1235.00,1295.85,1235.29,SHORT,1255.05,1235.29,1235.29,true,19.76,1.57
2025-01-30,1282.00,1336.45,1277.15,1292.50,1281.41,SKIP,,,,,,
2025-01-31,1299.60,1328.40,1285.00,1317.65,1307.25,LONG,1299.60,1307.25,1307.25,true,7.65,0.59
2025-02-01,1330.00,1387.45,1323.40,1378.50,1312.35,SHORT,1330.00,1312.35,1378.50,false,-48.50,-3.65
2025-02-03,1384.95,1391.80,1339.00,1343.20,1363.26,SHORT,1384.95,1363.26,1363.26,true,21.69,1.57
2025-02-04,1350.95,1403.85,1350.95,1391.10,1356.00,LONG,1350.95,1356.00,1356.00,true,5.05,0.37
2025-02-05,1402.60,1403.70,1311.25,1327.50,1383.33,SHORT,1402.60,1383.33,1383.33,true,19.27,1.37
2025-02-06,1317.55,1338.00,1295.15,1314.00,1335.79,LONG,1317.55,1335.79,1335.79,true,18.24,1.38
2025-02-07,1322.30,1335.00,1282.00,1284.65,1320.63,SHORT,1322.30,1320.63,1320.63,true,1.67,0.13
2025-02-10,1287.15,1297.55,1196.25,1199.50,1306.15,LONG,1287.15,1306.15,1199.50,false,-87.65,-6.81
2025-02-11,1205.95,1210.55,1131.00,1140.85,1223.55,LONG,1205.95,1223.55,1140.85,false,-65.10,-5.40
2025-02-12,1143.60,1185.95,1096.85,1138.50,1152.40,LONG,1143.60,1152.40,1152.40,true,8.80,0.77
2025-02-13,1154.00,1172.95,1140.70,1153.60,1144.28,SHORT,1154.00,1144.28,1144.28,true,9.72,0.84
2025-02-14,1147.45,1177.40,1122.00,1158.05,1152.57,LONG,1147.45,1152.57,1152.57,true,5.12,0.45
2025-02-17,1159.05,1184.65,1117.00,1146.25,1146.28,SHORT,1159.05,1146.28,1146.28,true,12.77,1.10
2025-02-18,1149.95,1182.80,1108.50,1180.00,1142.60,SHORT,1149.95,1142.60,1142.60,true,7.35,0.64
2025-02-19,1170.95,1220.80,1155.05,1205.00,1140.97,SHORT,1170.95,1140.97,1205.00,false,-34.05,-2.91
2025-02-20,1200.00,1214.95,1185.80,1195.90,1198.94,SKIP,,,,,,
2025-02-21,1203.70,1215.00,1179.05,1191.65,1199.72,SHORT,1203.70,1199.72,1199.72,true,3.98,0.33
2025-02-24,1200.00,1210.00,1166.45,1189.40,1199.28,SKIP,,,,,,
2025-02-25,1175.30,1203.35,1170.10,1185.90,1192.28,LONG,1175.30,1192.28,1192.28,true,16.98,1.44
2025-02-27,1203.00,1203.00,1185.00,1200.35,1189.60,SHORT,1203.00,1189.60,1189.60,true,13.40,1.11
2025-02-28,1190.35,1219.60,1155.55,1199.65,1192.79,LONG,1190.35,1192.79,1192.79,true,2.44,0.20
2025-03-03,1200.60,1208.00,1143.50,1189.55,1187.10,SHORT,1200.60,1187.10,1187.10,true,13.50,1.12
2025-03-04,1185.00,1207.10,1170.00,1191.30,1173.92,SHORT,1185.00,1173.92,1173.92,true,11.08,0.94
2025-03-05,1175.00,1213.55,1175.00,1198.85,1191.74,LONG,1175.00,1191.74,1191.74,true,16.74,1.42
2025-03-06,1204.00,1227.45,1193.05,1208.80,1199.96,SHORT,1204.00,1199.96,1199.96,true,4.04,0.34
2025-03-07,1220.00,1271.90,1210.40,1239.00,1205.90,SHORT,1220.00,1205.90,1239.00,false,-19.00,-1.56
2025-03-10,1250.00,1258.95,1200.00,1202.25,1250.35,SKIP,,,,,,
2025-03-11,1190.00,1229.55,1175.35,1223.70,1213.98,LONG,1190.00,1213.98,1213.98,true,23.98,2.02
2025-03-12,1226.90,1234.45,1199.00,1214.00,1208.32,SHORT,1226.90,1208.32,1208.32,true,18.58,1.51
2025-03-13,1224.00,1224.35,1200.00,1203.05,1213.92,SHORT,1224.00,1213.92,1213.92,true,10.08,0.82
2025-03-17,1211.95,1226.45,1194.60,1222.20,1207.76,SHORT,1211.95,1207.76,1207.76,true,4.19,0.35
2025-03-18,1217.00,1237.95,1213.85,1215.90,1216.27,SKIP,,,,,,
2025-03-19,1232.00,1249.65,1223.40,1241.65,1221.29,SHORT,1232.00,1221.29,1241.65,false,-9.65,-0.78
2025-03-20,1254.95,1267.85,1238.00,1244.10,1239.17,SHORT,1254.95,1239.17,1239.17,true,15.78,1.26
2025-03-21,1259.10,1286.00,1239.05,1270.65,1251.51,SHORT,1259.10,1251.51,1251.51,true,7.59,0.60
2025-03-24,1288.00,1288.35,1252.20,1252.50,1268.54,SHORT,1288.00,1268.54,1268.54,true,19.46,1.51
2025-03-25,1260.00,1264.95,1231.35,1238.30,1264.00,LONG,1260.00,1264.00,1264.00,true,4.00,0.32
2025-03-26,1241.00,1256.70,1200.00,1201.80,1246.45,LONG,1241.00,1246.45,1246.45,true,5.45,0.44
2025-03-27,1204.00,1216.50,1199.50,1210.10,1221.15,LONG,1204.00,1221.15,1210.10,false,6.10,0.51
2025-03-28,1226.25,1238.35,1199.00,1221.20,1210.14,SHORT,1226.25,1210.14,1210.14,true,16.11,1.31
2025-04-01,1220.00,1223.00,1191.00,1197.10,1222.52,LONG,1220.00,1222.52,1222.52,true,2.52,0.21
2025-04-02,1195.50,1227.15,1175.10,1227.15,1202.81,LONG,1195.50,1202.81,1202.81,true,7.31,0.61
2025-04-03,1237.70,1269.00,1215.35,1230.65,1205.35,SHORT,1237.70,1205.35,1230.65,false,7.05,0.57
2025-04-04,1232.35,1232.45,1181.60,1186.55,1236.16,LONG,1232.35,1236.16,1186.55,false,-45.80,-3.72
2025-04-07,1097.00,1125.80,1075.30,1090.95,1199.31,LONG,1097.00,1199.31,1090.95,false,-6.05,-0.55
2025-04-08,1145.15,1166.05,1099.05,1152.65,1094.00,SHORT,1145.15,1094.00,1152.65,false,-7.50,-0.65
2025-04-09,1147.10,1150.45,1105.00,1105.40,1136.90,SHORT,1147.10,1136.90,1136.90,true,10.20,0.89
