date,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,545.10,558.00,539.35,556.35,545.80,LONG,545.10,545.80,545.80,true,0.70,0.13
2025-01-03,557.00,558.85,540.00,541.50,549.99,SHORT,557.00,549.99,549.99,true,7.01,1.26
2025-01-06,544.40,546.55,520.20,531.00,545.73,LONG,544.40,545.73,545.73,true,1.33,0.24
2025-01-07,538.00,538.00,507.15,507.85,532.04,SHORT,538.00,532.04,532.04,true,5.96,1.11
2025-01-08,514.90,515.20,486.20,490.45,515.92,LONG,514.90,515.92,490.45,false,-24.45,-4.75
2025-01-09,505.15,521.40,497.05,507.55,493.46,SHORT,505.15,493.46,507.55,false,-2.40,-0.48
2025-01-10,504.00,505.90,488.55,492.65,507.66,LONG,504.00,507.66,492.65,false,-11.35,-2.25
2025-01-13,481.15,487.90,458.30,462.45,494.99,LONG,481.15,494.99,462.45,false,-18.70,-3.89
2025-01-14,465.20,481.45,462.40,464.35,470.18,LONG,465.20,470.18,470.18,true,4.98,1.07
2025-01-15,474.00,494.40,470.05,486.70,472.65,SHORT,474.00,472.65,472.65,true,1.35,0.28
2025-01-16,505.00,514.80,479.00,483.70,484.50,SHORT,505.00,484.50,484.50,true,20.50,4.06
2025-01-17,483.50,489.50,467.20,473.25,492.05,LONG,483.50,492.05,473.25,false,-10.25,-2.12
2025-01-20,476.45,483.75,464.45,480.05,476.44,SKIP,,,,,,
2025-01-21,470.00,471.30,427.05,442.45,476.76,LONG,470.00,476.76,442.45,false,-27.55,-5.86
2025-01-22,441.00,445.45,413.60,438.10,442.18,LONG,441.00,442.18,442.18,true,1.18,0.27
2025-01-23,434.50,463.70,433.90,461.90,426.82,SHORT,434.50,426.82,461.90,false,-27.40,-6.31
2025-01-24,463.20,463.90,441.00,447.35,453.68,SHORT,463.20,453.68,453.68,true,9.52,2.06
2025-01-27,442.00,443.45,406.90,410.50,450.92,LONG,442.00,450.92,410.50,false,-31.50,-7.13
2025-01-28,414.25,418.55,389.05,408.50,416.08,LONG,414.25,416.08,416.08,true,1.83,0.44
2025-01-29,412.00,429.45,406.75,428.25,404.26,SHORT,412.00,404.26,428.25,false,-16.25,-3.94
2025-01-30,428.00,428.50,402.50,404.10,420.51,SHORT,428.00,420.51,420.51,true,7.49,1.75
2025-01-31,410.90,420.45,408.40,416.00,413.06,LONG,410.90,413.06,413.06,true,2.16,0.53
2025-02-01,418.50,458.20,407.50,434.40,414.48,SHORT,418.50,414.48,414.48,true,4.02,0.96
2025-02-03,431.00,463.00,421.00,457.35,438.09,LONG,431.00,438.09,438.09,true,7.09,1.65
2025-02-04,458.00,458.00,428.45,433.95,448.14,SHORT,458.00,448.14,448.14,true,9.86,2.15
2025-02-05,426.00,430.50,414.30,417.65,437.18,LONG,426.00,437.18,417.65,false,-8.35,-1.96
2025-02-06,391.00,410.90,385.25,388.80,421.70,LONG,391.00,421.70,388.80,false,-2.20,-0.56
2025-02-07,395.00,397.25,375.00,381.55,399.07,LONG,395.00,399.07,381.55,false,-13.45,-3.41
2025-02-10,378.00,378.25,359.00,361.80,382.06,LONG,378.00,382.06,361.80,false,-16.20,-4.29
2025-02-11,370.00,370.20,330.30,331.50,363.95,SHORT,370.00,363.95,363.95,true,6.05,1.64
2025-02-12,336.40,352.95,326.20,340.20,344.80,LONG,336.40,344.80,344.80,true,8.40,2.50
2025-02-13,348.00,368.50,343.05,366.70,338.76,SHORT,348.00,338.76,366.70,false,-18.70,-5.37
2025-02-14,364.00,364.00,325.30,344.20,359.09,SHORT,364.00,359.09,359.09,true,4.91,1.35
2025-02-17,337.50,354.80,333.50,337.90,338.01,LONG,337.50,338.01,338.01,true,0.51,0.15
2025-02-18,338.25,349.25,328.40,347.95,342.77,LONG,338.25,342.77,342.77,true,4.52,1.34
2025-02-19,340.00,383.50,339.55,378.75,340.20,SKIP,,,,,,
2025-02-20,370.50,386.75,367.75,372.85,369.99,SHORT,370.50,369.99,369.99,true,0.51,0.14
2025-02-21,371.70,374.80,354.00,360.00,377.36,LONG,371.70,377.36,360.00,false,-11.70,-3.15
2025-02-24,354.00,366.80,348.35,364.00,364.80,LONG,354.00,364.80,364.80,true,10.80,3.05
2025-02-25,363.05,364.65,350.40,354.60,359.89,SHORT,363.05,359.89,359.89,true,3.16,0.87
2025-02-27,360.00,360.00,343.10,344.70,356.54,SHORT,360.00,356.54,356.54,true,3.46,0.96
2025-02-28,340.00,354.50,331.05,334.75,348.69,LONG,340.00,348.69,348.69,true,8.69,2.56
2025-03-03,342.25,342.25,317.00,326.00,341.53,SHORT,342.25,341.53,341.53,true,0.72,0.21
2025-03-04,324.00,352.00,322.15,350.35,325.78,LONG,324.00,325.78,325.78,true,1.78,0.55
2025-03-05,346.35,359.95,343.50,359.70,344.31,SHORT,346.35,344.31,344.31,true,2.04,0.59
2025-03-06,360.00,377.30,359.05,362.60,352.62,SHORT,360.00,352.62,362.60,false,-2.60,-0.72
2025-03-07,360.00,368.75,353.55,361.00,366.38,LONG,360.00,366.38,366.38,true,6.38,1.77
2025-03-10,368.80,368.80,354.25,359.50,361.14,SHORT,368.80,361.14,361.14,true,7.66,2.08
2025-03-11,354.00,354.75,347.30,353.05,359.68,LONG,354.00,359.68,353.05,false,-0.95,-0.27
2025-03-12,355.95,360.60,346.45,348.65,351.97,SHORT,355.95,351.97,351.97,true,3.98,1.12
2025-03-13,353.00,357.85,343.70,354.05,350.31,SHORT,353.00,350.31,350.31,true,2.69,0.76
2025-03-17,356.00,359.30,349.20,354.80,352.42,SHORT,356.00,352.42,352.42,true,3.58,1.01
2025-03-18,356.50,359.30,353.05,355.75,354.83,SHORT,356.50,354.83,354.83,true,1.67,0.47
2025-03-19,357.85,369.70,352.10,360.20,355.65,SHORT,357.85,355.65,355.65,true,2.20,0.61
2025-03-20,364.00,366.00,348.15,354.55,362.65,SHORT,364.00,362.65,362.65,true,1.35,0.37
2025-03-21,354.40,358.40,348.20,350.25,353.63,SHORT,354.40,353.63,353.63,true,0.77,0.22
2025-03-24,353.10,357.25,350.60,351.15,351.86,SHORT,353.10,351.86,351.86,true,1.24,0.35
2025-03-25,354.50,356.40,331.75,338.25,353.93,SHORT,354.50,353.93,353.93,true,0.57,0.16
2025-03-26,330.70,336.00,321.20,321.60,342.81,LONG,330.70,342.81,321.60,false,-9.10,-2.75
2025-03-27,323.85,341.00,312.65,334.75,329.01,LONG,323.85,329.01,329.01,true,5.16,1.59
2025-03-28,335.00,342.20,326.55,329.75,327.43,SHORT,335.00,327.43,327.43,true,7.57,2.26
2025-04-01,328.70,339.30,325.50,331.60,334.54,LONG,328.70,334.54,334.54,true,5.84,1.78
2025-04-02,330.00,351.40,328.80,343.95,332.76,LONG,330.00,332.76,332.76,true,2.76,0.84
2025-04-03,341.00,349.50,338.15,345.60,343.18,LONG,341.00,343.18,343.18,true,2.18,0.64
