date,open,high,low,close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,890.80,909.90,890.10,903.85,890.95,SKIP,,,,,,
2025-01-03,906.65,912.50,895.00,895.70,903.46,SHORT,906.65,903.46,903.46,true,3.19,0.35
2025-01-06,897.95,900.90,874.20,875.60,901.94,LONG,897.95,901.94,875.60,false,-22.35,-2.49
2025-01-07,881.00,888.00,878.05,881.35,884.53,LONG,881.00,884.53,884.53,true,3.53,0.40
2025-01-08,898.00,912.00,885.10,886.75,881.75,SHORT,898.00,881.75,886.75,false,11.25,1.25
2025-01-09,885.75,889.60,872.45,873.00,898.85,LONG,885.75,898.85,873.00,false,-12.75,-1.44
2025-01-10,872.90,876.20,828.30,835.00,879.89,LONG,872.90,879.89,835.00,false,-37.90,-4.34
2025-01-13,830.00,834.40,790.55,792.70,840.49,LONG,830.00,840.49,792.70,false,-37.30,-4.49
2025-01-14,804.35,813.00,795.15,800.45,805.61,LONG,804.35,805.61,805.61,true,1.26,0.16
2025-01-15,804.00,815.60,796.70,799.20,802.67,SHORT,804.00,802.67,802.67,true,1.33,0.17
2025-01-16,809.00,819.45,803.65,807.75,804.05,SHORT,809.00,804.05,804.05,true,4.95,0.61
2025-01-17,808.00,815.85,803.10,808.45,810.96,LONG,808.00,810.96,810.96,true,2.96,0.37
2025-01-20,811.00,815.65,807.00,811.55,810.03,SHORT,811.00,810.03,810.03,true,0.97,0.12
2025-01-21,816.00,841.30,815.05,815.35,811.66,SHORT,816.00,811.66,815.35,false,0.65,0.08
2025-01-22,808.05,808.85,788.65,801.30,826.32,LONG,808.05,826.32,801.30,false,-6.75,-0.84
2025-01-23,800.00,818.50,798.20,799.00,798.68,SHORT,800.00,798.68,798.68,true,1.32,0.17
2025-01-24,798.85,806.75,781.00,782.90,805.70,LONG,798.85,805.70,805.70,true,6.85,0.86
2025-01-27,780.00,781.40,756.00,759.95,789.83,LONG,780.00,789.83,759.95,false,-20.05,-2.57
2025-01-28,765.00,775.20,737.10,754.25,764.88,SKIP,,,,,,
2025-01-29,757.00,784.90,756.10,781.40,751.26,SHORT,757.00,751.26,781.40,false,-24.40,-3.22
2025-01-30,786.50,790.50,775.30,777.70,774.48,SHORT,786.50,774.48,777.70,false,8.80,1.12
2025-01-31,779.55,788.00,777.00,787.50,782.70,LONG,779.55,782.70,782.70,true,3.15,0.40
2025-02-01,790.00,796.75,772.10,775.20,782.89,SHORT,790.00,782.89,782.89,true,7.11,0.90
2025-02-03,770.25,774.20,758.35,768.60,782.25,LONG,770.25,782.25,768.60,false,-1.65,-0.21
2025-02-04,772.00,780.40,763.75,770.00,764.93,SHORT,772.00,764.93,764.93,true,7.07,0.92
2025-02-05,772.15,799.20,772.15,794.00,771.04,SHORT,772.15,771.04,794.00,false,-21.85,-2.83
2025-02-06,798.95,803.00,784.25,786.15,790.60,SHORT,798.95,790.60,790.60,true,8.35,1.05
2025-02-07,785.95,789.75,775.00,775.30,792.92,LONG,785.95,792.92,775.30,false,-10.65,-1.36
2025-02-10,780.00,786.40,767.10,769.00,779.31,SKIP,,,,,,
2025-02-11,766.00,769.30,745.90,746.80,774.31,LONG,766.00,774.31,746.80,false,-19.20,-2.51
2025-02-12,748.80,751.40,725.30,738.40,753.59,LONG,748.80,753.59,738.40,false,-10.40,-1.39
2025-02-13,738.50,750.80,736.10,739.00,738.80,SKIP,,,,,,
2025-02-14,743.70,744.20,718.00,732.80,743.09,SKIP,,,,,,
2025-02-17,731.00,735.00,715.50,718.95,729.86,SHORT,731.00,729.86,729.86,true,1.14,0.16
2025-02-18,724.05,731.50,711.20,721.90,720.80,SHORT,724.05,720.80,720.80,true,3.25,0.45
2025-02-19,719.95,734.10,712.55,729.65,719.42,SKIP,,,,,,
2025-02-20,735.00,764.00,735.00,750.05,726.69,SHORT,735.00,726.69,750.05,false,-15.05,-2.05
2025-02-21,747.95,758.45,741.20,741.90,749.77,LONG,747.95,749.77,749.77,true,1.82,0.24
2025-02-24,740.00,741.00,731.45,733.25,748.37,LONG,740.00,748.37,733.25,false,-6.75,-0.91
2025-02-25,732.00,736.80,723.50,730.50,735.73,LONG,732.00,735.73,735.73,true,3.73,0.51
2025-02-27,725.00,729.90,712.30,716.25,730.16,LONG,725.00,730.16,716.25,false,-8.75,-1.21
2025-02-28,700.50,708.95,664.45,671.45,718.37,LONG,700.50,718.37,671.45,false,-29.05,-4.15
2025-03-03,675.10,679.40,634.55,665.15,676.68,LONG,675.10,676.68,676.68,true,1.58,0.23
2025-03-04,657.10,677.00,645.20,646.20,652.71,SHORT,657.10,652.71,652.71,true,4.39,0.67
2025-03-05,647.00,676.85,647.00,676.65,656.78,LONG,647.00,656.78,656.78,true,9.78,1.51
2025-03-06,682.00,684.40,670.00,670.75,663.35,SHORT,682.00,663.35,670.75,false,11.25,1.65
2025-03-07,671.00,682.55,665.05,671.50,675.48,LONG,671.00,675.48,675.48,true,4.48,0.67
2025-03-10,674.45,676.00,651.00,652.85,672.39,SHORT,674.45,672.39,672.39,true,2.06,0.31
2025-03-11,650.00,655.75,643.70,647.25,665.41,LONG,650.00,665.41,647.25,false,-2.75,-0.42
2025-03-12,651.00,653.60,635.10,642.50,649.65,SHORT,651.00,649.65,649.65,true,1.35,0.21
2025-03-13,645.00,647.05,630.20,636.00,642.42,SHORT,645.00,642.42,642.42,true,2.58,0.40
