date,open,high,low,close,prev_vwap,trade_type,entry,quantity,target,exit,target_hit,brokerage,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-02,507.90,515.00,496.10,513.85,506.20,SHORT,507.90,1968,506.20,506.20,true,40.00,399.15,2906.45,0.29,1002906.45
2025-01-03,516.00,525.00,504.40,510.65,506.09,SHORT,516.00,1943,506.09,506.09,true,40.00,397.18,18817.95,1.88,1021724.40
2025-01-06,509.70,513.40,484.60,486.85,513.84,LONG,509.70,2004,513.84,486.85,false,40.00,399.42,-46230.82,-4.53,975493.58
2025-01-07,492.00,512.95,492.00,510.00,494.64,LONG,492.00,1982,494.64,494.64,true,40.00,391.10,4801.38,0.49,980294.95
2025-01-08,510.25,512.80,491.50,493.15,504.11,SHORT,510.25,1921,504.11,504.11,true,40.00,389.72,11365.22,1.16,991660.18
2025-01-09,493.30,496.60,482.85,483.85,497.08,LONG,493.30,2010,497.08,483.85,false,40.00,392.81,-19427.31,-1.96,972232.86
2025-01-10,481.80,483.50,463.50,472.65,487.04,LONG,481.80,2017,487.04,472.65,false,40.00,385.03,-18880.58,-1.94,953352.29
2025-01-13,468.05,469.95,441.15,448.90,473.77,LONG,468.05,2036,473.77,448.90,false,40.00,373.38,-39402.78,-4.13,913949.51
2025-01-14,450.40,461.60,448.15,460.40,457.06,LONG,450.40,2029,457.06,457.06,true,40.00,368.25,13104.89,1.43,927054.40
2025-01-15,468.95,512.00,468.95,475.00,456.27,SHORT,468.95,1976,456.27,475.00,false,40.00,373.05,-12367.85,-1.33,914686.55
2025-01-16,475.25,491.20,475.15,487.35,490.91,LONG,475.25,1924,490.91,490.91,true,40.00,371.78,29718.06,3.25,944404.61
2025-01-17,485.20,498.70,481.80,495.00,484.59,SHORT,485.20,1946,484.59,484.59,true,40.00,377.44,769.62,0.08,945174.23
2025-01-20,498.10,502.80,493.10,496.80,492.96,SHORT,498.10,1897,492.96,496.80,false,40.00,377.47,2048.63,0.22,947222.86
2025-01-21,492.00,503.00,478.75,481.20,497.63,LONG,492.00,1925,497.63,497.63,true,40.00,381.01,10416.74,1.10,957639.61
2025-01-22,480.50,498.95,467.35,480.75,486.06,LONG,480.50,1993,486.06,486.06,true,40.00,385.27,10655.81,1.11,968295.42
2025-01-23,481.00,481.00,455.00,456.05,478.70,SHORT,481.00,2013,478.70,478.70,true,40.00,386.38,4203.52,0.43,972498.94
2025-01-24,450.00,456.00,436.00,441.50,462.91,LONG,450.00,2161,462.91,441.50,false,40.00,385.31,-18793.81,-1.93,953705.13
2025-01-27,440.65,442.35,423.00,440.70,443.32,LONG,440.65,2164,443.32,440.70,false,40.00,381.45,-313.25,-0.03,953391.89
2025-01-28,440.50,445.25,424.00,444.95,431.35,SHORT,440.50,2164,431.35,431.35,true,40.00,377.34,19383.26,2.03,972775.15
2025-01-29,446.25,463.55,443.30,456.80,436.13,SHORT,446.25,2179,436.13,456.80,false,40.00,393.55,-23422.00,-2.41,949353.15
2025-01-30,458.70,462.00,452.45,460.70,453.67,SHORT,458.70,2069,453.67,453.67,true,40.00,377.54,9989.53,1.05,959342.68
2025-01-31,461.70,463.20,450.80,458.95,459.42,SHORT,461.70,2077,459.42,459.42,true,40.00,382.63,4312.93,0.45,963655.61
2025-02-01,461.30,474.40,450.50,454.90,455.08,SHORT,461.30,2088,455.08,455.08,true,40.00,382.68,12564.68,1.30,976220.29
2025-02-03,446.00,454.40,437.30,441.50,461.52,LONG,446.00,2188,461.52,441.50,false,40.00,388.37,-10274.37,-1.05,965945.92
2025-02-04,446.75,449.95,441.15,446.45,443.70,SHORT,446.75,2162,443.70,443.70,true,40.00,385.03,6169.07,0.64,972114.99
2025-02-05,445.05,449.45,439.00,439.85,444.96,SKIP,,,,,,,,,,972114.99
2025-02-06,442.00,453.20,439.80,451.70,443.65,LONG,442.00,2199,443.65,443.65,true,40.00,389.51,3198.84,0.33,975313.83
2025-02-07,451.00,451.85,440.00,449.85,449.50,SHORT,451.00,2162,449.50,449.50,true,40.00,389.38,2813.62,0.29,978127.45
2025-02-10,455.00,455.00,440.00,440.25,446.65,SHORT,455.00,2149,446.65,446.65,true,40.00,387.53,17516.62,1.79,995644.07
2025-02-11,440.00,440.15,428.00,428.00,441.89,LONG,440.00,2262,441.89,428.00,false,40.00,392.68,-27576.68,-2.77,968067.39
2025-02-12,428.15,438.90,413.55,437.50,430.41,LONG,428.15,2261,430.41,430.41,true,40.00,388.24,4681.62,0.48,972749.01
2025-02-13,437.45,438.45,429.30,437.85,432.87,SHORT,437.45,2223,432.87,432.87,true,40.00,386.94,9754.40,1.00,982503.40
