date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,179.80,184.77,179.41,183.73,178.94,178.12,SKIP,,,,,,
2025-01-03,184.00,186.39,183.61,184.50,183.73,182.44,TRADE,183.73,182.44,184.50,false,0.77,0.42
2025-01-06,184.74,185.50,175.28,176.20,184.50,185.17,SKIP,,,,,,
2025-01-07,177.40,180.35,176.00,179.40,176.20,178.17,TRADE,176.20,178.17,178.17,true,1.97,1.12
2025-01-08,180.00,180.00,175.61,178.86,179.40,178.99,SKIP,,,,,,
2025-01-09,179.00,179.03,173.00,173.96,178.86,177.81,TRADE,178.86,177.81,177.81,true,-1.05,-0.59
2025-01-10,173.98,173.98,167.25,167.48,173.96,175.15,TRADE,173.96,175.15,167.48,false,-6.48,-3.72
2025-01-13,171.00,173.80,168.46,169.58,167.48,170.01,TRADE,167.48,170.01,170.01,true,2.53,1.51
2025-01-14,170.81,175.96,170.15,174.85,169.58,171.41,TRADE,169.58,171.41,171.41,true,1.83,1.08
2025-01-15,174.50,175.40,172.01,173.85,174.85,173.48,TRADE,174.85,173.48,173.48,true,-1.37,-0.78
2025-01-16,176.40,179.95,176.39,178.00,173.85,173.73,SKIP,,,,,,
2025-01-17,177.30,177.95,175.66,177.10,178.00,178.18,SKIP,,,,,,
2025-01-20,178.45,179.24,176.29,177.94,177.10,177.04,SKIP,,,,,,
2025-01-21,178.33,179.13,173.83,174.00,177.94,177.84,SKIP,,,,,,
2025-01-22,174.50,175.00,168.56,173.24,174.00,176.38,TRADE,174.00,176.38,173.24,false,-0.76,-0.44
2025-01-23,173.00,176.00,172.05,174.06,173.24,171.49,TRADE,173.24,171.49,174.06,false,0.82,0.47
2025-01-24,174.27,174.99,169.25,170.17,174.06,174.38,SKIP,,,,,,
2025-01-27,169.99,169.99,163.90,164.80,170.17,171.91,TRADE,170.17,171.91,164.80,false,-5.37,-3.16
2025-01-28,167.79,172.40,162.66,169.66,164.80,165.68,TRADE,164.80,165.68,165.68,true,0.88,0.53
2025-01-29,168.03,176.83,168.03,176.30,169.66,167.35,TRADE,169.66,167.35,176.30,false,6.64,3.91
2025-01-30,176.54,177.68,175.25,177.44,176.30,175.01,TRADE,176.30,175.01,177.44,false,1.14,0.65
2025-01-31,177.08,181.60,175.32,179.50,177.44,176.60,SKIP,,,,,,
2025-02-01,180.60,180.60,172.61,176.78,179.50,179.05,SKIP,,,,,,
2025-02-03,175.80,178.79,169.55,169.80,176.78,176.74,SKIP,,,,,,
2025-02-04,171.89,172.69,165.74,167.48,169.80,174.17,TRADE,169.80,174.17,167.48,false,-2.32,-1.37
2025-02-05,169.50,172.69,168.27,172.40,167.48,167.86,SKIP,,,,,,
2025-02-06,172.00,173.59,168.64,169.00,172.40,171.32,TRADE,172.40,171.32,171.32,true,-1.08,-0.63
2025-02-07,169.30,172.29,167.79,169.86,169.00,170.78,TRADE,169.00,170.78,170.78,true,1.78,1.05
2025-02-10,171.00,171.50,166.60,167.25,169.86,169.82,SKIP,,,,,,
2025-02-11,167.12,167.69,160.00,160.24,167.25,168.06,SKIP,,,,,,
2025-02-12,160.00,160.87,153.40,159.20,160.24,162.37,TRADE,160.24,162.37,159.20,false,-1.04,-0.65
2025-02-13,158.70,162.99,157.90,159.12,159.20,157.18,TRADE,159.20,157.18,159.12,false,-0.08,-0.05
