date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,2530.45,2551.10,2450.05,2464.00,2522.20,2532.29,SKIP,,,,,,
2025-01-03,2489.70,2494.00,2369.05,2377.60,2464.00,2488.20,TRADE,2464.00,2488.20,2488.20,true,24.20,0.98
2025-01-06,2370.00,2370.00,2226.00,2260.00,2377.60,2422.93,TRADE,2377.60,2422.93,2260.00,false,-117.60,-4.95
2025-01-07,2272.00,2324.50,2234.05,2311.00,2260.00,2264.30,SKIP,,,,,,
2025-01-08,2289.95,2289.95,2205.00,2219.65,2311.00,2285.45,TRADE,2311.00,2285.45,2285.45,true,-25.55,-1.11
2025-01-09,2225.00,2240.00,2152.25,2161.10,2219.65,2237.63,TRADE,2219.65,2237.63,2237.63,true,17.98,0.81
2025-01-10,2170.00,2188.95,2043.60,2083.00,2161.10,2200.92,TRADE,2161.10,2200.92,2083.00,false,-78.10,-3.61
2025-01-13,2063.15,2063.15,1878.20,1901.30,2083.00,2074.55,SKIP,,,,,,
2025-01-14,1879.60,2023.80,1879.25,2006.85,1901.30,1965.21,TRADE,1901.30,1965.21,1965.21,true,63.91,3.36
2025-01-15,2020.05,2035.30,1942.65,1970.80,2006.85,1970.33,TRADE,2006.85,1970.33,1970.33,true,-36.52,-1.82
2025-01-16,1989.95,2099.00,1989.95,2066.00,1970.80,1993.93,TRADE,1970.80,1993.93,1993.93,true,23.13,1.17
2025-01-17,2050.00,2091.75,2022.70,2025.00,2066.00,2065.53,SKIP,,,,,,
2025-01-20,2037.95,2043.90,1995.00,2030.05,2025.00,2048.28,TRADE,2025.00,2048.28,2030.05,false,5.05,0.25
2025-01-21,2036.60,2048.60,1936.05,1970.40,2030.05,2024.41,SKIP,,,,,,
2025-01-22,1967.60,1971.35,1798.25,1837.15,1970.40,1981.76,TRADE,1970.40,1981.76,1837.15,false,-133.25,-6.76
2025-01-23,1832.15,1965.00,1832.15,1935.00,1837.15,1840.56,SKIP,,,,,,
2025-01-24,1940.00,1955.60,1846.50,1875.00,1935.00,1924.26,TRADE,1935.00,1924.26,1924.26,true,-10.74,-0.56
2025-01-27,1880.10,1900.00,1809.95,1870.40,1875.00,1909.39,TRADE,1875.00,1909.39,1870.40,false,-4.60,-0.25
2025-01-28,1869.80,1922.15,1802.80,1912.25,1870.40,1859.25,TRADE,1870.40,1859.25,1859.25,true,-11.15,-0.60
2025-01-29,1905.00,1970.90,1886.15,1961.55,1912.25,1866.23,TRADE,1912.25,1866.23,1961.55,false,49.30,2.58
2025-01-30,1962.90,1998.15,1947.50,1992.05,1961.55,1927.85,TRADE,1961.55,1927.85,1992.05,false,30.50,1.55
2025-01-31,1991.05,2172.60,1975.55,2148.30,1992.05,1975.07,TRADE,1992.05,1975.07,2148.30,false,156.25,7.84
2025-02-01,2175.00,2187.00,2063.00,2155.05,2148.30,2112.83,TRADE,2148.30,2112.83,2112.83,true,-35.47,-1.65
2025-02-03,2150.00,2150.00,2038.45,2091.60,2155.05,2139.23,TRADE,2155.05,2139.23,2139.23,true,-15.82,-0.73
2025-02-04,2110.15,2229.00,2102.20,2198.05,2091.60,2075.07,TRADE,2091.60,2075.07,2198.05,false,106.45,5.09
2025-02-05,2250.00,2288.85,2177.00,2274.00,2198.05,2197.74,SKIP,,,,,,
2025-02-06,2288.00,2292.75,2240.00,2285.00,2274.00,2253.49,TRADE,2274.00,2253.49,2253.49,true,-20.51,-0.90
2025-02-07,2276.00,2285.00,2223.65,2245.30,2285.00,2274.82,SKIP,,,,,,
2025-02-10,2250.40,2285.00,2188.05,2219.95,2245.30,2258.28,TRADE,2245.30,2258.28,2258.28,true,12.98,0.58
2025-02-11,2201.00,2205.15,2097.60,2106.35,2219.95,2231.15,TRADE,2219.95,2231.15,2106.35,false,-113.60,-5.12
2025-02-12,2113.00,2147.85,2011.90,2134.00,2106.35,2138.79,TRADE,2106.35,2138.79,2138.79,true,32.44,1.54
2025-02-13,2115.00,2147.95,2090.85,2094.00,2134.00,2088.63,TRADE,2134.00,2088.63,2094.00,false,-40.00,-1.87
2025-02-14,2100.15,2118.25,1954.05,2037.85,2094.00,2108.54,TRADE,2094.00,2108.54,2108.54,true,14.54,0.69
2025-02-17,2074.70,2129.50,1999.50,2110.00,2037.85,2031.25,SKIP,,,,,,
2025-02-18,2116.15,2130.00,2011.45,2032.00,2110.00,2051.11,TRADE,2110.00,2051.11,2051.11,true,-58.89,-2.79
2025-02-19,2034.00,2080.80,2023.15,2036.00,2032.00,2062.34,TRADE,2032.00,2062.34,2062.34,true,30.34,1.49
2025-02-20,2042.00,2058.55,2012.00,2040.80,2036.00,2056.65,TRADE,2036.00,2056.65,2056.65,true,20.65,1.01
2025-02-21,2033.90,2099.00,2021.05,2059.90,2040.80,2033.74,SKIP,,,,,,
2025-02-24,2049.80,2054.90,1977.55,1990.55,2059.90,2059.93,SKIP,,,,,,
2025-02-25,1990.00,2003.95,1880.00,1881.70,1990.55,2016.79,TRADE,1990.55,2016.79,1881.70,false,-108.85,-5.47
2025-02-27,1891.25,1916.95,1770.00,1834.00,1881.70,1913.32,TRADE,1881.70,1913.32,1913.32,true,31.62,1.68
2025-02-28,1808.00,1923.80,1638.00,1900.00,1834.00,1833.82,SKIP,,,,,,
2025-03-03,1882.00,2063.80,1721.70,2003.45,1900.00,1754.75,TRADE,1900.00,1754.75,1754.75,true,-145.25,-7.64
2025-03-04,1940.00,2014.00,1876.00,2000.00,2003.45,1915.96,TRADE,2003.45,1915.96,1915.96,true,-87.49,-4.37
2025-03-05,1974.85,2044.00,1967.15,1990.00,2000.00,1964.18,TRADE,2000.00,1964.18,1990.00,false,-10.00,-0.50
2025-03-06,2001.35,2010.00,1940.55,1960.65,1990.00,2002.78,TRADE,1990.00,2002.78,2002.78,true,12.78,0.64
2025-03-07,1962.00,2000.00,1947.15,1980.05,1960.65,1965.51,SKIP,,,,,,
2025-03-10,1970.05,2015.00,1894.00,1899.00,1980.05,1970.74,SKIP,,,,,,
2025-03-11,1900.00,1926.90,1858.35,1888.70,1899.00,1968.46,TRADE,1899.00,1968.46,1888.70,false,-10.30,-0.54
2025-03-12,1888.15,1936.90,1790.50,1805.55,1888.70,1897.30,SKIP,,,,,,
2025-03-13,1823.95,1842.25,1746.00,1777.05,1805.55,1827.53,TRADE,1805.55,1827.53,1827.53,true,21.98,1.22
2025-03-17,1779.95,1808.75,1744.95,1775.00,1777.05,1790.69,TRADE,1777.05,1790.69,1790.69,true,13.64,0.77
2025-03-18,1795.70,1908.00,1785.50,1868.60,1775.00,1769.02,SKIP,,,,,,
2025-03-19,1884.65,1949.85,1875.95,1918.95,1868.60,1855.01,TRADE,1868.60,1855.01,1918.95,false,50.35,2.69
2025-03-20,1923.05,1970.00,1896.25,1935.00,1918.95,1919.74,SKIP,,,,,,
2025-03-21,1939.75,2053.00,1939.75,2045.70,1935.00,1936.09,SKIP,,,,,,
2025-03-24,2060.00,2090.00,2042.05,2050.00,2045.70,2007.36,TRADE,2045.70,2007.36,2050.00,false,4.30,0.21
2025-03-25,2071.00,2082.30,1955.05,1958.00,2050.00,2067.30,TRADE,2050.00,2067.30,2067.30,true,17.30,0.84
2025-03-26,1951.50,2035.30,1933.55,1951.10,1958.00,1997.66,TRADE,1958.00,1997.66,1997.66,true,39.66,2.03
2025-03-27,1960.00,1987.70,1860.75,1908.00,1951.10,1986.78,TRADE,1951.10,1986.78,1986.78,true,35.68,1.83
2025-03-28,1903.60,2025.00,1870.00,2019.00,1908.00,1902.54,SKIP,,,,,,
2025-04-01,2000.00,2036.75,1922.25,1939.95,2019.00,1933.60,TRADE,2019.00,1933.60,1933.60,true,-85.40,-4.23
2025-04-02,1960.00,1978.00,1937.75,1953.40,1939.95,1974.74,TRADE,1939.95,1974.74,1974.74,true,34.79,1.79
2025-04-03,1956.35,1978.65,1945.25,1948.10,1953.40,1962.27,SKIP,,,,,,
2025-04-04,1953.05,1956.75,1858.25,1900.80,1948.10,1957.63,SKIP,,,,,,
