date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,1042.60,1064.50,1016.40,1050.00,1041.20,2103.12,TRADE,1041.20,2103.12,1050.00,false,8.80,0.85
2025-01-03,1049.80,1071.00,1038.80,1055.00,1050.00,2091.85,TRADE,1050.00,2091.85,1055.00,false,5.00,0.48
2025-01-06,1060.30,1084.00,1018.50,1033.50,1055.00,2120.22,TRADE,1055.00,2120.22,1033.50,false,-21.50,-2.04
2025-01-07,1047.80,1113.00,1047.80,1108.40,1033.50,2084.66,TRADE,1033.50,2084.66,1108.40,false,74.90,7.25
2025-01-08,1117.50,1197.50,1092.80,1165.60,1108.40,2191.05,TRADE,1108.40,2191.05,1165.60,false,57.20,5.16
2025-01-09,1155.00,1185.00,1085.00,1091.00,1165.60,2303.81,TRADE,1165.60,2303.81,1091.00,false,-74.60,-6.40
2025-01-10,1086.60,1109.20,1035.60,1049.50,1091.00,2251.58,TRADE,1091.00,2251.58,1049.50,false,-41.50,-3.80
2025-01-13,1040.00,1061.30,979.80,984.90,1049.50,2126.62,TRADE,1049.50,2126.62,984.90,false,-64.60,-6.16
2025-01-14,985.00,1027.00,982.90,1017.50,984.90,2013.82,TRADE,984.90,2013.82,1017.50,false,32.60,3.31
2025-01-15,1018.60,1033.00,998.50,1019.60,1017.50,2012.56,TRADE,1017.50,2012.56,1019.60,false,2.10,0.21
2025-01-16,1028.00,1057.30,1016.50,1027.50,1019.60,2034.70,TRADE,1019.60,2034.70,1027.50,false,7.90,0.77
2025-01-17,1025.50,1029.60,992.60,1002.50,1027.50,2076.16,TRADE,1027.50,2076.16,1002.50,false,-25.00,-2.43
2025-01-20,993.00,1024.50,968.00,1019.00,1002.50,2013.30,TRADE,1002.50,2013.30,1019.00,false,16.50,1.65
2025-01-21,1024.00,1045.50,982.50,988.60,1019.00,1995.99,TRADE,1019.00,1995.99,988.60,false,-30.40,-2.98
2025-01-22,1002.30,1009.80,970.00,987.60,988.60,2018.94,TRADE,988.60,2018.94,987.60,false,-1.00,-0.10
2025-01-23,992.20,1019.90,988.10,1007.80,987.60,1974.15,TRADE,987.60,1974.15,1007.80,false,20.20,2.05
2025-01-24,1017.40,1022.40,987.00,992.60,1007.80,2013.13,TRADE,1007.80,2013.13,992.60,false,-15.20,-1.51
2025-01-27,992.30,997.50,927.80,956.20,992.60,2000.34,TRADE,992.60,2000.34,956.20,false,-36.40,-3.67
2025-01-28,965.00,975.50,918.80,939.90,956.20,1902.44,TRADE,956.20,1902.44,939.90,false,-16.30,-1.70
2025-01-29,1025.00,1129.10,1000.00,1129.10,939.90,1897.08,TRADE,939.90,1897.08,1129.10,false,189.20,20.13
2025-01-30,1129.00,1205.00,1116.10,1164.40,1129.10,2129.30,TRADE,1129.10,2129.30,1164.40,false,35.30,3.13
2025-01-31,1165.00,1199.50,1135.20,1187.00,1164.40,2339.30,TRADE,1164.40,2339.30,1187.00,false,22.60,1.94
2025-02-01,1192.00,1222.40,1174.00,1215.00,1187.00,2362.66,TRADE,1187.00,2362.66,1215.00,false,28.00,2.36
2025-02-03,1206.10,1247.70,1190.00,1237.50,1215.00,2410.87,TRADE,1215.00,2410.87,1237.50,false,22.50,1.85
2025-02-04,1236.60,1306.50,1231.80,1302.20,1237.50,2450.77,TRADE,1237.50,2450.77,1302.20,false,64.70,5.23
2025-02-05,1300.00,1322.00,1284.50,1311.80,1302.20,2545.13,TRADE,1302.20,2545.13,1311.80,false,9.60,0.74
2025-02-06,1309.00,1310.00,1243.30,1265.00,1311.80,2617.36,TRADE,1311.80,2617.36,1265.00,false,-46.80,-3.57
2025-02-07,1268.00,1299.00,1230.80,1245.00,1265.00,2553.06,TRADE,1265.00,2553.06,1245.00,false,-20.00,-1.58
