date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-06-02,242.00,264.90,236.06,257.89,235.16,242.00,4132,235.16,257.89,false,15.93,2272.10,63369.45,6.34,1063369.45
2025-06-03,257.89,268.50,250.45,265.05,248.90,257.89,4123,248.90,265.05,false,15.93,2371.69,27133.06,2.55,1090502.51
2025-06-04,265.05,266.24,254.05,259.70,261.45,265.05,4114,261.45,261.45,true,15.93,2382.62,-17208.95,-1.58,1073293.56
2025-06-05,259.70,259.00,252.07,257.39,259.05,259.70,4132,259.05,257.39,false,15.93,2350.28,-11911.13,-1.11,1061382.43
2025-06-06,257.39,262.00,253.00,258.85,255.52,257.39,4123,255.52,255.52,true,15.93,2326.20,-10052.14,-0.95,1051330.29
2025-06-09,258.85,265.50,248.57,254.50,258.32,258.85,4061,258.32,258.32,true,15.93,2310.25,-4478.51,-0.43,1046851.78
2025-06-10,254.50,255.14,239.91,248.63,256.25,254.50,4113,256.25,248.63,false,15.93,2276.31,-26435.55,-2.53,1020416.23
2025-06-11,248.63,251.58,238.50,239.51,248.20,248.63,4104,248.20,248.20,true,15.93,2242.89,-4023.54,-0.39,1016392.69
2025-06-12,239.51,239.53,230.00,234.65,244.15,239.51,4243,244.15,234.65,false,15.93,2213.05,-22849.96,-2.25,993542.73
2025-06-13,234.65,237.99,227.63,235.20,235.23,234.65,4234,235.23,235.23,true,15.93,2188.42,251.37,0.03,993794.10
2025-06-16,235.20,241.73,234.91,239.09,233.78,235.20,4225,233.78,239.09,false,15.93,2204.26,14215.06,1.43,1008009.16
2025-06-17,239.09,247.80,237.00,246.20,238.88,239.09,4216,238.88,238.88,true,15.93,2216.63,-3117.92,-0.31,1004891.24
2025-06-18,246.20,251.30,240.41,246.75,244.71,246.20,4081,244.71,244.71,true,15.93,2203.74,-8300.36,-0.83,996590.87
2025-06-19,246.75,246.74,241.02,245.88,245.58,246.75,4038,245.58,245.58,true,15.93,2186.83,-6927.22,-0.70,989663.65
2025-06-20,245.88,246.99,238.56,245.25,244.98,245.88,4024,244.98,244.98,true,15.93,2172.74,-5810.27,-0.59,983853.38
2025-06-23,245.25,255.50,244.00,251.00,244.67,245.25,4011,244.67,244.67,true,15.93,2161.58,-4503.89,-0.46,979349.49
2025-06-24,251.00,253.03,249.21,250.17,248.97,251.00,3901,248.97,250.17,false,15.93,2150.57,-5404.33,-0.55,973945.16
2025-06-25,250.17,263.50,250.46,251.97,250.22,250.17,3893,250.22,251.97,false,15.93,2150.31,4841.16,0.50,978786.32
2025-06-26,251.97,257.81,252.46,253.70,258.39,251.97,3884,258.39,253.70,false,15.93,2160.42,4542.97,0.46,983329.28
2025-06-27,253.70,253.09,243.97,245.29,255.15,253.70,3875,255.15,245.29,false,15.93,2126.94,-34731.62,-3.53,948597.66
2025-06-30,245.29,251.80,242.66,243.75,247.71,245.29,3867,247.71,247.71,true,15.93,2097.07,7245.14,0.76,955842.79
2025-07-01,243.75,247.89,241.39,244.24,247.84,243.75,3921,247.84,247.84,true,15.93,2120.28,13900.68,1.45,969743.48
2025-07-02,244.24,250.00,241.53,241.91,244.69,244.24,3970,244.69,244.69,true,15.93,2135.16,-364.59,-0.04,969378.89
2025-07-03,241.91,246.17,234.43,240.35,246.77,241.91,4007,246.77,240.35,false,15.93,2125.66,-8392.51,-0.87,960986.38
2025-07-04,240.35,252.72,238.16,250.77,238.78,240.35,3998,238.78,238.78,true,15.93,2107.12,-8399.91,-0.87,952586.47
2025-07-07,250.77,251.88,242.35,251.00,248.56,250.77,3798,248.56,248.56,true,15.93,2086.10,-10495.61,-1.10,942090.86
2025-07-08,251.00,264.00,248.77,261.85,248.32,251.00,3753,248.32,261.85,false,15.93,2117.20,38586.92,4.10,980677.78
2025-07-09,261.85,266.36,255.93,262.49,258.08,261.85,3745,258.08,258.08,true,15.93,2141.85,-16276.43,-1.66,964401.35
2025-07-10,262.49,267.25,254.15,260.00,260.79,262.49,3674,260.79,260.79,true,15.93,2114.78,-8376.51,-0.87,956024.84
2025-07-11,260.00,268.00,256.00,258.00,260.35,260.00,3677,260.35,260.35,true,15.93,2104.66,-833.64,-0.09,955191.20
2025-07-14,258.00,268.80,257.11,268.80,262.78,258.00,3702,262.78,262.78,true,15.93,2120.72,15558.91,1.63,970750.11
