date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,1774.85,1798.50,1771.35,1778.00,1782.61,1774.85,563,1782.61,1782.61,true,15.93,2203.13,2149.82,0.22,1002149.82
2025-01-02,1778.00,1822.75,1765.40,1774.00,1780.16,1778.00,563,1780.16,1780.16,true,15.93,2203.57,-1003.42,-0.10,1001146.40
2025-01-03,1774.00,1790.85,1700.00,1713.90,1790.02,1774.00,564,1790.02,1790.02,true,15.93,2211.12,6808.23,0.68,1007954.63
2025-01-06,1713.90,1744.05,1705.80,1734.90,1728.13,1713.90,588,1728.13,1728.13,true,15.93,2226.31,6125.00,0.61,1014079.63
2025-01-07,1734.90,1742.50,1650.60,1691.00,1733.24,1734.90,584,1733.24,1733.24,true,15.93,2227.93,-3213.30,-0.32,1010866.33
2025-01-08,1691.00,1698.45,1638.05,1644.80,1681.37,1691.00,597,1681.37,1681.37,true,15.93,2214.64,-7979.68,-0.79,1002886.66
2025-01-09,1644.80,1657.90,1582.45,1602.50,1672.29,1644.80,609,1672.29,1602.50,false,15.93,2175.37,-27952.00,-2.79,974934.66
2025-01-10,1602.50,1584.15,1495.60,1543.70,1609.10,1602.50,608,1609.10,1543.70,false,15.93,2104.18,-37870.51,-3.89,937064.15
2025-01-13,1543.70,1591.90,1536.05,1578.05,1537.00,1543.70,607,1537.00,1537.00,true,15.93,2056.98,-6139.81,-0.66,930924.34
2025-01-14,1578.05,1621.50,1572.55,1594.15,1567.00,1578.05,589,1567.00,1594.15,false,15.93,2055.27,7411.70,0.80,938336.04
2025-01-15,1594.15,1632.85,1594.00,1597.15,1599.83,1594.15,588,1599.83,1599.83,true,15.93,2065.87,1258.04,0.13,939594.08
2025-01-16,1597.15,1600.00,1551.00,1581.95,1612.67,1597.15,588,1612.67,1581.95,false,15.93,2056.24,-11009.77,-1.17,928584.31
2025-01-17,1581.95,1597.50,1560.00,1578.70,1569.66,1581.95,586,1569.66,1569.66,true,15.93,2031.53,-9249.40,-1.00,919334.91
2025-01-20,1578.70,1591.20,1524.05,1534.55,1575.88,1578.70,582,1575.88,1575.88,true,15.93,2019.56,-3676.73,-0.40,915658.18
2025-01-21,1534.55,1541.70,1498.05,1523.95,1541.46,1534.55,596,1541.46,1541.46,true,15.93,2016.63,2085.80,0.23,917743.98
2025-01-22,1523.95,1570.00,1513.65,1563.40,1510.72,1523.95,602,1510.72,1563.40,false,15.93,2044.44,21688.53,2.36,939432.51
2025-01-23,1563.40,1559.65,1523.85,1538.80,1555.26,1563.40,600,1555.26,1555.26,true,15.93,2058.32,-6958.25,-0.74,932474.26
2025-01-24,1538.80,1515.95,1432.40,1482.05,1544.58,1538.80,605,1544.58,1482.05,false,15.93,2010.38,-36360.06,-3.91,896114.20
2025-01-27,1482.05,1502.15,1433.00,1453.40,1468.21,1482.05,604,1468.21,1468.21,true,15.93,1960.15,-10335.44,-1.15,885778.76
2025-01-28,1453.40,1513.00,1455.30,1503.80,1469.30,1453.40,609,1469.30,1469.30,true,15.93,1957.92,7709.25,0.87,893488.01
2025-01-29,1503.80,1524.10,1483.15,1499.45,1498.36,1503.80,594,1498.36,1498.36,true,15.93,1961.61,-5208.90,-0.58,888279.11
2025-01-30,1499.45,1520.30,1496.40,1505.00,1500.42,1499.45,592,1500.42,1500.42,true,15.93,1953.52,-1395.21,-0.16,886883.91
2025-01-31,1505.00,1548.00,1465.00,1519.00,1505.01,1505.00,589,1505.01,1505.01,true,15.93,1950.19,-1960.23,-0.22,884923.68
2025-02-01,1519.00,1535.00,1483.25,1503.80,1516.61,1519.00,582,1516.61,1516.61,true,15.93,1943.40,-3350.31,-0.38,881573.37
2025-02-03,1503.80,1529.00,1476.80,1511.05,1495.40,1503.80,586,1495.40,1495.40,true,15.93,1933.28,-6871.61,-0.78,874701.76
2025-02-04,1511.05,1669.45,1520.00,1632.65,1497.97,1511.05,578,1497.97,1632.65,false,15.93,1998.76,68270.11,7.82,942971.87
2025-02-05,1632.65,1678.70,1604.80,1649.55,1620.66,1632.65,577,1620.66,1620.66,true,15.93,2064.88,-8999.04,-0.96,933972.83
2025-02-06,1649.55,1691.90,1645.00,1664.25,1646.30,1649.55,566,1646.30,1646.30,true,15.93,2052.00,-3907.43,-0.42,930065.40
2025-02-07,1664.25,1690.45,1599.70,1640.05,1664.27,1664.25,558,1664.27,1664.27,true,15.93,2043.05,-2047.82,-0.22,928017.59
2025-02-10,1640.05,1656.80,1552.10,1564.05,1634.95,1640.05,565,1634.95,1634.95,true,15.93,2035.41,-4932.84,-0.53,923084.75
2025-02-11,1564.05,1581.00,1500.00,1530.00,1598.50,1564.05,590,1598.50,1530.00,false,15.93,2008.04,-22113.47,-2.40,900971.28
2025-02-12,1530.00,1584.50,1515.15,1547.00,1526.82,1530.00,588,1526.82,1526.82,true,15.93,1977.15,-3862.92,-0.43,897108.36
2025-02-13,1547.00,1642.00,1487.60,1502.00,1558.90,1547.00,579,1558.90,1558.90,true,15.93,1978.15,4896.02,0.55,902004.38
2025-02-14,1502.00,1564.00,1472.60,1534.00,1574.70,1502.00,600,1574.70,1534.00,false,15.93,2003.76,17180.31,1.91,919184.69
2025-02-17,1534.00,1552.25,1473.00,1474.95,1527.24,1534.00,599,1527.24,1527.24,true,15.93,2017.05,-6082.22,-0.66,913102.47
2025-02-18,1474.95,1495.80,1445.20,1465.05,1501.61,1474.95,619,1501.61,1465.05,false,15.93,2001.85,-8145.88,-0.89,904956.59
2025-02-19,1465.05,1484.80,1440.35,1481.50,1476.39,1465.05,617,1476.39,1476.39,true,15.93,1996.36,4984.49,0.55,909941.09
2025-02-20,1481.50,1598.00,1477.65,1547.05,1467.83,1481.50,614,1467.83,1547.05,false,15.93,2045.48,38186.29,4.20,948127.37
2025-02-21,1547.05,1536.00,1485.00,1488.25,1540.32,1547.05,612,1540.32,1488.25,false,15.93,2043.36,-38044.89,-4.02,910082.48
2025-02-24,1488.25,1525.60,1466.45,1507.30,1501.45,1488.25,611,1501.45,1501.45,true,15.93,2009.38,6039.89,0.66,916122.37
2025-02-25,1507.30,1512.00,1445.30,1452.20,1507.55,1507.30,607,1507.55,1507.55,true,15.93,2013.02,-1877.20,-0.21,914245.18
2025-02-27,1452.20,1457.80,1381.85,1400.15,1468.54,1452.20,629,1468.54,1400.15,false,15.93,1973.54,-34728.92,-3.80,879516.26
2025-02-28,1400.15,1415.35,1331.25,1400.05,1399.95,1400.15,628,1399.95,1399.95,true,15.93,1934.31,-2075.84,-0.24,877440.42
2025-03-03,1400.05,1442.75,1361.05,1425.75,1372.95,1400.05,626,1372.95,1372.95,true,15.93,1909.49,-18890.02,-2.16,858550.40
2025-03-04,1425.75,1463.05,1408.90,1432.00,1421.63,1425.75,602,1421.63,1421.63,true,15.93,1885.54,-4381.71,-0.51,854168.69
2025-03-05,1432.00,1467.65,1422.75,1435.95,1436.46,1432.00,596,1436.46,1436.46,true,15.93,1880.56,761.67,0.09,854930.36
2025-03-06,1435.95,1490.80,1429.80,1481.55,1440.51,1435.95,595,1440.51,1440.51,true,15.93,1882.64,814.63,0.10,855744.99
2025-03-07,1481.55,1499.00,1422.00,1425.75,1468.22,1481.55,577,1468.22,1468.22,true,15.93,1872.22,-9579.56,-1.12,846165.43
2025-03-10,1425.75,1460.00,1383.75,1455.00,1452.56,1425.75,593,1452.56,1452.56,true,15.93,1877.52,14004.88,1.66,860170.31
2025-03-11,1455.00,1472.80,1430.10,1451.95,1427.56,1455.00,591,1427.56,1451.95,false,15.93,1889.81,-3708.29,-0.43,856462.02
2025-03-12,1451.95,1517.00,1397.65,1426.30,1446.57,1451.95,589,1446.57,1446.57,true,15.93,1877.95,-5062.70,-0.59,851399.32
2025-03-13,1426.30,1443.25,1408.00,1422.50,1446.99,1426.30,596,1446.99,1422.50,false,15.93,1867.67,-4148.40,-0.49,847250.92
2025-03-17,1422.50,1448.00,1417.05,1445.00,1422.18,1422.50,595,1422.18,1422.18,true,15.93,1861.84,-2068.17,-0.24,845182.74
2025-03-18,1445.00,1488.95,1437.00,1481.95,1430.28,1445.00,584,1430.28,1481.95,false,15.93,1880.27,19682.60,2.33,864865.34
2025-03-19,1481.95,1513.90,1482.55,1506.65,1466.52,1481.95,583,1466.52,1506.65,false,15.93,1916.59,12467.58,1.44,877332.92
2025-03-20,1506.65,1548.00,1502.25,1542.35,1498.98,1506.65,582,1498.98,1542.35,false,15.93,1951.97,18809.50,2.15,896142.42
2025-03-21,1542.35,1579.05,1536.90,1553.30,1534.25,1542.35,581,1534.25,1553.30,false,15.93,1978.43,4367.59,0.49,900510.01
2025-03-24,1553.30,1599.00,1539.20,1573.00,1558.31,1553.30,579,1558.31,1558.31,true,15.93,1981.78,903.08,0.10,901413.09
2025-03-25,1573.00,1639.10,1560.00,1607.60,1571.36,1573.00,573,1571.36,1571.36,true,15.93,1981.89,-2937.54,-0.33,898475.55
2025-03-26,1607.60,1738.80,1585.60,1644.05,1611.97,1607.60,558,1611.97,1611.97,true,15.93,1976.17,446.36,0.05,898921.90
