date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,3391.55,3408.05,3348.20,3405.00,3385.08,3391.55,294,3385.08,3385.08,true,15.93,2191.56,-4109.67,-0.41,995890.33
2025-01-02,3405.00,3420.95,3375.00,3379.95,3383.90,3405.00,292,3383.90,3383.90,true,15.93,2180.59,-8357.72,-0.84,987532.60
2025-01-03,3379.95,3381.75,3326.05,3355.00,3397.72,3379.95,292,3397.72,3355.00,false,15.93,2163.27,-9464.60,-0.96,978068.01
2025-01-06,3355.00,3376.00,3320.00,3326.75,3345.65,3355.00,291,3345.65,3345.65,true,15.93,2144.88,-4881.66,-0.50,973186.35
2025-01-07,3326.75,3440.00,3328.05,3410.45,3345.18,3326.75,292,3345.18,3345.18,true,15.93,2143.02,3222.61,0.33,976408.96
2025-01-08,3410.45,3466.15,3391.00,3436.90,3386.33,3410.45,286,3386.33,3436.90,false,15.93,2154.18,5394.59,0.55,981803.55
2025-01-09,3436.90,3444.85,3352.00,3368.10,3423.34,3436.90,285,3423.34,3423.34,true,15.93,2150.69,-6031.22,-0.62,975772.33
2025-01-10,3368.10,3364.00,3281.00,3304.05,3380.33,3368.10,289,3380.33,3304.05,false,15.93,2121.08,-20647.46,-2.12,955124.88
2025-01-13,3304.05,3395.25,3275.05,3375.00,3310.78,3304.05,289,3310.78,3310.78,true,15.93,2102.85,-173.81,-0.02,954951.06
2025-01-14,3375.00,3454.00,3365.10,3421.50,3355.24,3375.00,282,3355.24,3421.50,false,15.93,2108.27,10988.80,1.15,965939.86
2025-01-15,3421.50,3513.25,3420.00,3500.00,3390.84,3421.50,282,3390.84,3500.00,false,15.93,2147.05,19974.02,2.07,985913.88
2025-01-16,3500.00,3543.25,3449.00,3489.50,3478.80,3500.00,281,3478.80,3478.80,true,15.93,2157.15,-8130.28,-0.83,977783.60
2025-01-17,3489.50,3583.65,3502.50,3535.00,3497.96,3489.50,280,3497.96,3535.00,false,15.93,2163.55,10560.52,1.08,988344.13
2025-01-20,3535.00,3620.70,3483.60,3600.95,3527.72,3535.00,279,3527.72,3527.72,true,15.93,2167.55,-4214.60,-0.43,984129.53
2025-01-21,3600.95,3601.05,3527.95,3590.00,3557.40,3600.95,273,3557.40,3557.40,true,15.93,2149.65,-14054.73,-1.43,970074.79
2025-01-22,3590.00,3685.15,3556.40,3654.95,3580.84,3590.00,270,3580.84,3580.84,true,15.93,2129.74,-4618.87,-0.48,965455.93
2025-01-23,3654.95,3717.85,3600.00,3615.00,3639.29,3654.95,264,3639.29,3639.29,true,15.93,2118.25,-6268.42,-0.65,959187.51
2025-01-24,3615.00,3662.45,3580.65,3654.55,3631.54,3615.00,265,3631.54,3631.54,true,15.93,2112.37,2254.80,0.24,961442.31
2025-01-27,3654.55,3666.00,3581.25,3635.05,3637.03,3654.55,263,3637.03,3637.03,true,15.93,2109.45,-6733.14,-0.70,954709.17
2025-01-28,3635.05,3675.00,3591.00,3642.40,3624.35,3635.05,262,3624.35,3624.35,true,15.93,2092.16,-4911.49,-0.52,949797.68
2025-01-29,3642.40,3660.00,3621.00,3629.10,3657.65,3642.40,260,3657.65,3657.65,true,15.93,2087.81,1861.26,0.20,951658.93
2025-01-30,3629.10,3693.00,3608.75,3676.70,3629.66,3629.10,262,3629.66,3629.66,true,15.93,2091.97,-1961.18,-0.21,949697.75
2025-01-31,3676.70,3714.80,3632.90,3660.20,3653.66,3676.70,258,3653.66,3653.66,true,15.93,2080.36,-8040.61,-0.85,941657.14
2025-02-01,3660.20,3680.00,3625.00,3643.80,3675.21,3660.20,257,3675.21,3675.21,true,15.93,2073.72,1767.92,0.19,943425.06
2025-02-03,3643.80,3669.00,3625.00,3626.15,3650.56,3643.80,258,3650.56,3650.56,true,15.93,2070.14,-341.99,-0.04,943083.07
2025-02-04,3626.15,3770.00,3636.30,3720.00,3650.08,3626.15,260,3650.08,3650.08,true,15.93,2081.00,4124.87,0.44,947207.94
2025-02-05,3720.00,3774.60,3646.05,3700.00,3717.36,3720.00,254,3717.36,3717.36,true,15.93,2078.00,-2764.49,-0.29,944443.45
2025-02-06,3700.00,3753.70,3618.75,3657.35,3696.18,3700.00,255,3696.18,3696.18,true,15.93,2074.63,-3064.66,-0.32,941378.79
2025-02-07,3657.35,3703.95,3625.95,3650.40,3661.34,3657.35,257,3661.34,3661.34,true,15.93,2068.99,-1059.49,-0.11,940319.30
2025-02-10,3650.40,3667.90,3538.20,3550.00,3650.87,3650.40,257,3650.87,3650.87,true,15.93,2064.07,-1959.21,-0.21,938360.09
2025-02-11,3550.00,3577.35,3480.00,3550.80,3570.59,3550.00,264,3570.59,3570.59,true,15.93,2067.82,3352.01,0.36,941712.10
2025-02-12,3550.80,3570.00,3519.00,3525.00,3539.95,3550.80,265,3539.95,3539.95,true,15.93,2066.95,-4958.13,-0.53,936753.97
2025-02-13,3525.00,3556.70,3391.50,3415.05,3526.08,3525.00,265,3526.08,3526.08,true,15.93,2055.39,-1785.12,-0.19,934968.85
2025-02-14,3415.05,3494.00,3346.40,3450.00,3454.56,3415.05,273,3454.56,3454.56,true,15.93,2062.94,8707.36,0.93,943676.21
2025-02-17,3450.00,3460.00,3371.65,3399.05,3420.11,3450.00,273,3420.11,3420.11,true,15.93,2063.09,-10238.99,-1.09,933437.21
2025-02-18,3399.05,3443.85,3367.20,3387.15,3413.18,3399.05,274,3413.18,3413.18,true,15.93,2053.21,1802.48,0.19,935239.70
2025-02-19,3387.15,3424.80,3360.00,3391.90,3403.06,3387.15,276,3403.06,3403.06,true,15.93,2061.51,2313.72,0.25,937553.42
2025-02-20,3391.90,3412.20,3362.40,3396.60,3393.51,3391.90,276,3393.51,3393.51,true,15.93,2060.05,-1631.62,-0.17,935921.80
2025-02-21,3396.60,3360.20,3230.85,3232.00,3385.21,3396.60,275,3385.21,3232.00,false,15.93,2005.15,-47286.08,-5.06,888635.72
2025-02-24,3232.00,3269.20,3191.10,3212.35,3303.88,3232.00,274,3303.88,3212.35,false,15.93,1942.33,-7342.36,-0.83,881293.36
2025-02-25,3212.35,3258.00,3194.05,3197.15,3226.41,3212.35,274,3226.41,3226.41,true,15.93,1940.64,1895.87,0.22,883189.23
