date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,5572.00,5606.95,5515.00,5596.00,5609.29,5572.00,179,5609.29,5596.00,false,15.93,2198.98,2081.09,0.21,1002081.09
2025-01-02,5596.00,5610.00,5486.05,5501.90,5564.87,5596.00,179,5564.87,5564.87,true,15.93,2197.58,-7785.78,-0.78,994295.32
2025-01-03,5501.90,5545.20,5447.35,5524.50,5516.97,5501.90,180,5516.97,5516.97,true,15.93,2181.74,514.93,0.05,994810.25
2025-01-06,5524.50,5669.90,5517.50,5534.35,5505.63,5524.50,180,5505.63,5534.35,false,15.93,2189.65,-432.58,-0.04,994377.67
2025-01-07,5534.35,5578.70,5475.75,5569.15,5592.29,5534.35,179,5592.29,5569.15,false,15.93,2186.28,4026.99,0.41,998404.66
2025-01-08,5569.15,5582.60,5437.00,5437.00,5526.10,5569.15,179,5526.10,5526.10,true,15.93,2184.65,-9906.53,-0.99,988498.12
2025-01-09,5437.00,5471.45,5311.65,5378.90,5501.34,5437.00,181,5501.34,5378.90,false,15.93,2153.45,-12685.48,-1.29,975812.65
2025-01-10,5378.90,5382.45,5213.75,5242.00,5393.04,5378.90,181,5393.04,5242.00,false,15.93,2114.62,-26909.45,-2.76,948903.20
2025-01-13,5242.00,5296.00,5219.40,5276.95,5289.23,5242.00,181,5289.23,5289.23,true,15.93,2096.77,6435.93,0.68,955339.13
2025-01-14,5276.95,5302.25,5143.00,5200.00,5262.31,5276.95,181,5262.31,5262.31,true,15.93,2098.37,-4764.14,-0.50,950574.99
2025-01-15,5200.00,5221.40,5149.75,5190.80,5192.36,5200.00,182,5192.36,5192.36,true,15.93,2080.55,-3486.96,-0.37,947088.03
2025-01-16,5190.80,5283.50,5166.50,5267.95,5184.57,5190.80,182,5184.57,5184.57,true,15.93,2077.15,-3226.94,-0.34,943861.09
2025-01-17,5267.95,5285.00,5183.50,5224.75,5241.92,5267.95,179,5241.92,5241.92,true,15.93,2069.39,-6744.69,-0.72,937116.40
2025-01-20,5224.75,5299.00,5153.00,5182.55,5234.44,5224.75,179,5234.44,5234.44,true,15.93,2059.41,-340.83,-0.04,936775.56
2025-01-21,5182.55,5236.15,5066.30,5148.75,5212.51,5182.55,180,5212.51,5212.51,true,15.93,2058.22,3318.65,0.36,940094.21
2025-01-22,5148.75,5250.00,5111.10,5172.40,5143.29,5148.75,182,5143.29,5143.29,true,15.93,2060.47,-3070.12,-0.33,937024.10
2025-01-23,5172.40,5200.95,4999.00,5022.00,5196.04,5172.40,181,5196.04,5196.04,true,15.93,2064.36,2198.55,0.23,939222.65
2025-01-24,5022.00,5049.20,4890.55,4960.05,5078.05,5022.00,187,5078.05,4960.05,false,15.93,2053.31,-13653.89,-1.45,925568.76
2025-01-27,4960.05,4964.85,4869.25,4914.90,4955.73,4960.05,186,4955.73,4955.73,true,15.93,2028.77,-2848.22,-0.31,922720.54
2025-01-28,4914.90,5028.20,4906.75,4996.30,4907.63,4914.90,187,4907.63,4907.63,true,15.93,2020.49,-3395.91,-0.37,919324.63
2025-01-29,4996.30,5093.45,4992.80,5076.00,4969.35,4996.30,184,4969.35,5076.00,false,15.93,2038.63,12610.24,1.37,931934.87
2025-01-30,5076.00,5087.95,5010.10,5074.90,5031.10,5076.00,183,5031.10,5031.10,true,15.93,2034.56,-10267.19,-1.11,921667.68
2025-01-31,5074.90,5143.25,5000.00,5029.00,5043.06,5074.90,181,5043.06,5043.06,true,15.93,2014.49,-7793.46,-0.85,913874.22
2025-02-01,5029.00,5107.35,4977.60,5058.05,5042.94,5029.00,181,5042.94,5042.94,true,15.93,2005.32,501.89,0.06,914376.11
2025-02-03,5058.05,5135.95,5020.00,5103.00,5055.86,5058.05,180,5055.86,5055.86,true,15.93,2002.55,-2412.68,-0.26,911963.42
2025-02-04,5103.00,5193.85,5072.35,5114.90,5091.28,5103.00,178,5091.28,5091.28,true,15.93,1996.04,-4098.13,-0.45,907865.29
2025-02-05,5114.90,5271.95,5095.00,5270.90,5136.05,5114.90,177,5136.05,5136.05,true,15.93,1995.86,1731.76,0.19,909597.05
2025-02-06,5270.90,5318.00,5036.00,5152.30,5231.58,5270.90,172,5231.58,5231.58,true,15.93,1987.07,-8766.04,-0.97,900831.01
2025-02-07,5152.30,5095.05,4785.00,4801.00,5166.82,5152.30,174,5166.82,4801.00,false,15.93,1905.06,-63047.19,-7.03,837783.82
2025-02-10,4801.00,4816.05,4603.00,4717.90,4832.71,4801.00,174,4832.71,4717.90,false,15.93,1821.92,-16297.25,-1.95,821486.57
2025-02-11,4717.90,4724.50,4562.65,4705.00,4688.40,4717.90,174,4688.40,4688.40,true,15.93,1800.37,-6949.30,-0.85,814537.28
2025-02-12,4705.00,4764.05,4690.50,4718.85,4654.96,4705.00,173,4654.96,4718.85,false,15.93,1793.36,586.76,0.07,815124.04
2025-02-13,4718.85,4713.40,4585.25,4648.75,4722.82,4718.85,172,4722.82,4648.75,false,15.93,1772.35,-13845.48,-1.71,801278.56
2025-02-14,4648.75,4804.95,4570.00,4766.60,4625.87,4648.75,172,4625.87,4625.87,true,15.93,1754.76,-5706.05,-0.71,795572.51
2025-02-17,4766.60,4806.00,4705.85,4710.00,4739.50,4766.60,166,4739.50,4739.50,true,15.93,1735.81,-6250.34,-0.79,789322.17
2025-02-18,4710.00,4756.25,4624.65,4737.00,4752.49,4710.00,167,4752.49,4752.49,true,15.93,1738.26,5341.64,0.68,794663.81
2025-02-19,4737.00,4768.60,4690.50,4707.75,4729.86,4737.00,167,4729.86,4729.86,true,15.93,1739.06,-2947.37,-0.37,791716.44
2025-02-20,4707.75,4745.00,4582.10,4600.00,4729.63,4707.75,168,4729.63,4729.63,true,15.93,1744.03,1915.88,0.24,793632.32
2025-02-21,4600.00,4633.40,4572.60,4613.15,4615.22,4600.00,172,4615.22,4615.22,true,15.93,1743.52,858.39,0.11,794490.71
2025-02-24,4613.15,4649.80,4543.20,4543.20,4602.45,4613.15,172,4602.45,4602.45,true,15.93,1743.59,-3599.92,-0.45,790890.79
2025-02-25,4543.20,4628.95,4522.00,4613.55,4595.57,4543.20,174,4595.57,4595.57,true,15.93,1749.16,7347.29,0.93,798238.08
2025-02-27,4613.55,4785.15,4491.65,4580.00,4583.10,4613.55,173,4583.10,4583.10,true,15.93,1750.12,-7033.90,-0.88,791204.17
2025-02-28,4580.00,4628.10,4523.00,4604.70,4625.15,4580.00,172,4625.15,4625.15,true,15.93,1741.61,6008.26,0.76,797212.43
2025-03-03,4604.70,4634.00,4523.05,4600.00,4586.89,4604.70,173,4586.89,4586.89,true,15.93,1749.16,-4846.22,-0.61,792366.21
2025-03-04,4600.00,4706.75,4572.15,4671.95,4606.81,4600.00,172,4606.81,4606.81,true,15.93,1741.93,-586.54,-0.07,791779.67
2025-03-05,4671.95,4780.00,4676.50,4733.55,4646.73,4671.95,169,4646.73,4733.55,false,15.93,1748.48,8645.99,1.10,800425.66
2025-03-06,4733.55,4782.35,4675.05,4718.00,4747.47,4733.55,169,4747.47,4747.47,true,15.93,1762.52,574.03,0.07,800999.69
2025-03-07,4718.00,4757.00,4612.00,4623.15,4741.39,4718.00,169,4741.39,4741.39,true,15.93,1758.50,2178.48,0.27,803178.17
2025-03-10,4623.15,4790.00,4610.00,4780.00,4685.93,4623.15,173,4685.93,4685.93,true,15.93,1771.52,9073.49,1.13,812251.66
2025-03-11,4780.00,4805.90,4696.50,4745.00,4729.04,4780.00,169,4729.04,4729.04,true,15.93,1767.73,-10395.90,-1.29,801855.76
2025-03-12,4745.00,4779.95,4695.00,4698.60,4741.37,4745.00,168,4741.37,4741.37,true,15.93,1753.08,-2378.85,-0.30,799476.91
2025-03-13,4698.60,4835.00,4725.00,4826.00,4727.53,4698.60,170,4727.53,4727.53,true,15.93,1762.69,3139.48,0.39,802616.39
2025-03-17,4826.00,4870.00,4791.00,4820.40,4788.83,4826.00,166,4788.83,4820.40,false,15.93,1761.43,-2706.96,-0.34,799909.43
2025-03-18,4820.40,4855.00,4789.00,4850.95,4818.06,4820.40,165,4818.06,4818.06,true,15.93,1749.38,-2151.41,-0.27,797758.02
2025-03-19,4850.95,4944.50,4842.10,4901.05,4839.98,4850.95,164,4839.98,4901.05,false,15.93,1759.26,6441.21,0.81,804199.23
2025-03-20,4901.05,5016.75,4881.50,4995.95,4889.12,4901.05,164,4889.12,4889.12,true,15.93,1766.15,-3738.60,-0.47,800460.63
2025-03-21,4995.95,5092.40,4960.55,5056.15,4974.81,4995.95,160,4974.81,4974.81,true,15.93,1754.85,-5153.18,-0.64,795307.45
2025-03-24,5056.15,5090.00,4938.80,5010.00,5052.73,5056.15,157,5052.73,5052.73,true,15.93,1745.80,-2298.67,-0.29,793008.77
2025-03-25,5010.00,5080.00,4966.60,4999.90,5022.61,5010.00,158,5022.61,5022.61,true,15.93,1743.67,232.78,0.03,793241.56
2025-03-26,4999.90,5003.00,4905.00,4961.05,5000.36,4999.90,158,5000.36,5000.36,true,15.93,1738.05,-1681.30,-0.21,791560.26
2025-03-27,4961.05,4980.65,4848.00,4879.95,4946.74,4961.05,159,4946.74,4946.74,true,15.93,1732.87,-4024.09,-0.51,787536.17
2025-03-28,4879.95,4950.00,4804.55,4831.90,4899.38,4879.95,161,4899.38,4899.38,true,15.93,1731.92,1380.38,0.18,788916.55
2025-04-01,4831.90,4906.25,4788.00,4906.25,4858.05,4831.90,163,4858.05,4858.05,true,15.93,1737.41,2509.11,0.32,791425.66
2025-04-02,4906.25,5012.95,4911.90,4928.25,4844.10,4906.25,161,4844.10,4928.25,false,15.93,1741.69,1784.38,0.23,793210.04
2025-04-03,4928.25,4929.25,4738.55,4835.00,4967.67,4928.25,160,4967.67,4835.00,false,15.93,1718.33,-16654.26,-2.11,776555.78
2025-04-04,4835.00,4733.95,4611.85,4715.00,4820.04,4835.00,160,4820.04,4715.00,false,15.93,1680.80,-20896.73,-2.70,755659.05
2025-04-07,4715.00,4850.00,4700.65,4850.00,4692.46,4715.00,160,4692.46,4850.00,false,15.93,1683.44,19900.63,2.64,775559.68
2025-04-08,4850.00,4852.50,4755.10,4839.25,4802.11,4850.00,159,4802.11,4802.11,true,15.93,1688.15,-9318.59,-1.21,766241.08
2025-04-09,4839.25,4909.35,4840.00,4883.70,4823.82,4839.25,158,4823.82,4883.70,false,15.93,1689.85,5317.32,0.70,771558.41
2025-04-11,4883.70,4950.00,4852.00,4949.90,4877.17,4883.70,157,4877.17,4877.17,true,15.93,1685.70,-2726.84,-0.36,768831.56
2025-04-15,4949.90,4985.40,4913.60,4950.00,4897.30,4949.90,155,4897.30,4950.00,false,15.93,1687.93,-1688.36,-0.22,767143.20
2025-04-16,4950.00,4989.50,4881.10,4946.60,4956.07,4950.00,154,4956.07,4956.07,true,15.93,1678.09,-759.24,-0.10,766383.96
2025-04-17,4946.60,5008.00,4921.00,4999.60,4937.33,4946.60,154,4937.33,4937.33,true,15.93,1674.34,-3117.85,-0.41,763266.11
2025-04-21,4999.60,5075.00,4988.70,5024.20,4971.55,4999.60,152,4971.55,5024.20,false,15.93,1675.98,2047.29,0.27,765313.41
2025-04-22,5024.20,5250.00,5020.00,5250.00,5022.23,5024.20,152,5022.23,5022.23,true,15.93,1679.76,-1995.13,-0.26,763318.27
2025-04-23,5250.00,5299.00,5165.50,5189.70,5174.93,5250.00,145,5174.93,5174.93,true,15.93,1662.78,-12563.86,-1.65,750754.42
2025-04-24,5189.70,5238.00,4990.00,5039.90,5209.78,5189.70,144,5209.78,5209.78,true,15.93,1647.28,1228.31,0.16,751982.73
2025-04-25,5039.90,5088.00,4995.00,5045.00,5055.65,5039.90,149,5055.65,5055.65,true,15.93,1654.66,676.16,0.09,752658.89
