date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,1651.40,1657.95,1636.05,1650.50,1649.66,1651.40,605,1649.66,1649.66,true,15.93,2196.86,-3265.49,-0.33,996734.51
2025-01-02,1650.50,1654.95,1616.00,1617.95,1645.56,1650.50,603,1645.56,1645.56,true,15.93,2186.28,-5181.03,-0.52,991553.49
2025-01-03,1617.95,1628.00,1546.70,1559.40,1632.29,1617.95,612,1632.29,1559.40,false,15.93,2138.99,-37987.52,-3.84,953565.97
2025-01-06,1559.40,1594.90,1559.00,1579.95,1581.08,1559.40,611,1581.08,1581.08,true,15.93,2110.72,11119.83,1.17,964685.80
2025-01-07,1579.95,1588.95,1533.00,1550.70,1578.90,1579.95,610,1578.90,1578.90,true,15.93,2119.59,-2776.02,-0.29,961909.78
2025-01-08,1550.70,1558.00,1536.75,1552.35,1548.27,1550.70,620,1548.27,1548.27,true,15.93,2113.50,-3636.03,-0.38,958273.75
2025-01-09,1552.35,1578.40,1546.15,1562.05,1547.00,1552.35,617,1547.00,1547.00,true,15.93,2103.53,-5420.41,-0.57,952853.34
2025-01-10,1562.05,1550.00,1467.15,1473.55,1563.21,1562.05,610,1563.21,1473.55,false,15.93,2036.89,-56037.82,-5.88,896815.53
2025-01-13,1473.55,1512.35,1476.00,1498.00,1498.07,1473.55,608,1498.07,1498.07,true,15.93,1987.42,12904.81,1.44,909720.34
2025-01-14,1498.00,1500.70,1472.60,1480.00,1496.08,1498.00,607,1496.08,1496.08,true,15.93,1999.15,-3180.52,-0.35,906539.82
2025-01-15,1480.00,1508.95,1485.35,1504.80,1480.94,1480.00,612,1480.94,1504.80,false,15.93,2009.37,13152.30,1.45,919692.12
2025-01-16,1504.80,1515.85,1492.05,1502.80,1499.52,1504.80,611,1499.52,1499.52,true,15.93,2019.20,-5261.21,-0.57,914430.91
2025-01-17,1502.80,1512.75,1481.25,1482.95,1502.67,1502.80,608,1502.67,1502.67,true,15.93,2010.06,-2105.03,-0.23,912325.88
2025-01-20,1482.95,1498.75,1457.35,1459.00,1488.07,1482.95,615,1488.07,1488.07,true,15.93,2009.90,1122.97,0.12,913448.86
