date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,1577.00,1717.90,1576.40,1696.10,1576.53,1577.00,634,1576.53,1576.53,true,15.93,2199.27,-2513.18,-0.25,997486.82
2025-01-02,1696.10,1720.00,1692.00,1696.70,1680.97,1696.10,588,1680.97,1696.70,false,15.93,2194.46,-1857.59,-0.19,995629.23
2025-01-03,1696.70,1732.95,1675.00,1685.20,1704.87,1696.70,586,1704.87,1704.87,true,15.93,2192.65,2579.04,0.26,998208.26
2025-01-06,1685.20,1703.65,1674.20,1680.35,1702.16,1685.20,592,1702.16,1702.16,true,15.93,2205.85,7818.54,0.78,1006026.80
2025-01-07,1680.35,1709.00,1668.55,1695.05,1690.06,1680.35,598,1690.06,1690.06,true,15.93,2217.06,3573.59,0.36,1009600.40
2025-01-08,1695.05,1700.50,1675.00,1692.55,1692.84,1695.05,595,1692.84,1692.84,true,15.93,2217.37,-3548.25,-0.35,1006052.14
2025-01-09,1692.55,1718.20,1680.00,1698.05,1685.61,1692.55,594,1685.61,1685.61,true,15.93,2207.29,-6345.58,-0.63,999706.56
2025-01-10,1698.05,1700.00,1670.00,1671.20,1701.21,1698.05,588,1701.21,1671.20,false,15.93,2179.23,-17982.96,-1.80,981723.60
2025-01-13,1671.20,1730.00,1684.00,1727.30,1680.63,1671.20,587,1680.63,1727.30,false,15.93,2194.41,30720.36,3.13,1012443.96
2025-01-14,1727.30,1730.45,1650.00,1673.40,1705.81,1727.30,586,1705.81,1705.81,true,15.93,2212.98,-14822.05,-1.46,997621.91
2025-01-15,1673.40,1705.95,1679.20,1695.15,1674.05,1673.40,596,1674.05,1695.15,false,15.93,2208.42,10738.65,1.08,1008360.56
2025-01-16,1695.15,1698.40,1670.95,1682.30,1693.98,1695.15,594,1693.98,1693.98,true,15.93,2214.46,-2925.37,-0.29,1005435.19
2025-01-17,1682.30,1738.00,1674.40,1736.00,1682.81,1682.30,597,1682.81,1682.81,true,15.93,2209.87,-1921.33,-0.19,1003513.86
2025-01-20,1736.00,1751.00,1711.80,1712.80,1719.67,1736.00,578,1719.67,1719.67,true,15.93,2197.11,-11651.78,-1.16,991862.08
2025-01-21,1712.80,1746.85,1710.50,1742.55,1733.96,1712.80,579,1733.96,1733.96,true,15.93,2195.24,10040.47,1.01,1001902.55
2025-01-22,1742.55,1766.00,1730.45,1745.00,1728.07,1742.55,574,1728.07,1745.00,false,15.93,2202.04,-811.67,-0.08,1001090.88
2025-01-23,1745.00,1754.90,1725.00,1729.00,1754.58,1745.00,573,1754.58,1754.58,true,15.93,2205.79,3267.62,0.33,1004358.50
2025-01-24,1729.00,1732.65,1702.00,1706.05,1736.76,1729.00,580,1736.76,1706.05,false,15.93,2191.56,-15518.49,-1.55,988840.01
2025-01-27,1706.05,1788.05,1715.00,1771.00,1714.13,1706.05,579,1714.13,1771.00,false,15.93,2214.53,35375.59,3.58,1024215.60
2025-01-28,1771.00,1804.95,1767.25,1788.00,1755.45,1771.00,578,1755.45,1788.00,false,15.93,2262.81,7547.26,0.74,1031762.86
2025-01-29,1788.00,1856.00,1741.00,1751.40,1791.61,1788.00,577,1791.61,1791.61,true,15.93,2271.98,-204.94,-0.02,1031557.92
2025-01-30,1751.40,1753.70,1698.20,1742.45,1800.97,1751.40,588,1800.97,1742.45,false,15.93,2259.82,-7538.35,-0.73,1024019.56
2025-01-31,1742.45,1780.00,1617.00,1760.10,1730.15,1742.45,587,1730.15,1730.15,true,15.93,2242.26,-9478.29,-0.93,1014541.28
2025-02-01,1760.10,1805.00,1733.35,1798.30,1728.26,1760.10,576,1728.26,1798.30,false,15.93,2254.60,19732.67,1.95,1034273.94
