date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,2066.00,2124.00,2061.40,2094.00,2062.50,4104.70,TRADE,2062.50,4104.70,2094.00,false,31.50,1.53
2025-01-03,2095.00,2114.60,2065.70,2069.40,2094.00,4195.43,TRADE,2094.00,4195.43,2069.40,false,-24.60,-1.17
2025-01-06,2071.00,2071.20,1935.00,1949.50,2069.40,4180.81,TRADE,2069.40,4180.81,1949.50,false,-119.90,-5.79
2025-01-07,1953.80,1965.00,1905.00,1915.00,1949.50,3989.76,TRADE,1949.50,3989.76,1915.00,false,-34.50,-1.77
2025-01-08,1922.50,1925.00,1858.50,1861.50,1915.00,3853.37,TRADE,1915.00,3853.37,1861.50,false,-53.50,-2.79
2025-01-09,1860.00,1907.50,1828.00,1885.00,1861.50,3752.34,TRADE,1861.50,3752.34,1885.00,false,23.50,1.26
2025-01-10,1892.50,1892.50,1830.00,1849.40,1885.00,3723.86,TRADE,1885.00,3723.86,1849.40,false,-35.60,-1.89
2025-01-13,1827.50,1835.00,1778.90,1798.00,1849.40,3711.73,TRADE,1849.40,3711.73,1798.00,false,-51.40,-2.78
2025-01-14,1800.00,1819.50,1752.50,1765.00,1798.00,3599.55,TRADE,1798.00,3599.55,1765.00,false,-33.00,-1.84
2025-01-15,1776.00,1802.80,1737.40,1754.00,1765.00,3538.13,TRADE,1765.00,3538.13,1754.00,false,-11.00,-0.62
2025-01-16,1775.30,1816.30,1771.00,1797.40,1754.00,3529.32,TRADE,1754.00,3529.32,1797.40,false,43.40,2.47
2025-01-17,1796.20,1832.50,1778.30,1817.00,1797.40,3592.20,TRADE,1797.40,3592.20,1817.00,false,19.60,1.09
2025-01-20,1820.00,1911.80,1815.00,1890.00,1817.00,3622.24,TRADE,1817.00,3622.24,1890.00,false,73.00,4.02
2025-01-21,1897.70,1907.20,1826.80,1836.40,1890.00,3745.75,TRADE,1890.00,3745.75,1836.40,false,-53.60,-2.84
2025-01-22,1840.00,1848.80,1773.20,1807.50,1836.40,3734.35,TRADE,1836.40,3734.35,1807.50,false,-28.90,-1.57
2025-01-23,1802.50,1873.90,1791.90,1830.60,1807.50,3601.34,TRADE,1807.50,3601.34,1830.60,false,23.10,1.28
2025-01-24,1834.50,1860.50,1796.50,1816.90,1830.60,3689.05,TRADE,1830.60,3689.05,1816.90,false,-13.70,-0.75
2025-01-27,1797.30,1797.30,1716.50,1718.00,1816.90,3638.62,TRADE,1816.90,3638.62,1718.00,false,-98.90,-5.44
2025-01-28,1727.00,1745.50,1635.50,1680.00,1718.00,3485.33,TRADE,1718.00,3485.33,1680.00,false,-38.00,-2.21
2025-01-29,1677.50,1757.00,1677.50,1745.80,1680.00,3358.72,TRADE,1680.00,3358.72,1745.80,false,65.80,3.92
2025-01-30,1764.50,1790.60,1750.80,1765.00,1745.80,3472.87,TRADE,1745.80,3472.87,1765.00,false,19.20,1.10
2025-01-31,1772.00,1941.00,1772.00,1934.40,1765.00,3547.80,TRADE,1765.00,3547.80,1934.40,false,169.40,9.60
2025-02-01,1944.80,1989.50,1816.30,1837.30,1934.40,3777.01,TRADE,1934.40,3777.01,1837.30,false,-97.10,-5.02
2025-02-03,1810.00,1814.00,1722.50,1736.30,1837.30,3822.11,TRADE,1837.30,3822.11,1736.30,false,-101.00,-5.50
2025-02-04,1749.50,1778.40,1696.00,1711.00,1736.30,3499.37,TRADE,1736.30,3499.37,1711.00,false,-25.30,-1.46
2025-02-05,1722.40,1774.30,1686.50,1690.00,1711.00,3452.48,TRADE,1711.00,3452.48,1690.00,false,-21.00,-1.23
2025-02-06,1710.30,1711.90,1621.00,1641.00,1690.00,3437.67,TRADE,1690.00,3437.67,1641.00,false,-49.00,-2.90
2025-02-07,1638.00,1638.00,1560.00,1567.50,1641.00,3309.83,TRADE,1641.00,3309.83,1567.50,false,-73.50,-4.48
2025-02-10,1575.50,1598.40,1535.00,1535.00,1567.50,3171.75,TRADE,1567.50,3171.75,1535.00,false,-32.50,-2.07
2025-02-11,1542.60,1547.40,1460.20,1467.40,1535.00,3119.85,TRADE,1535.00,3119.85,1467.40,false,-67.60,-4.40
