date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,368.05,374.00,367.30,372.50,367.49,368.05,2717,367.49,367.49,true,15.93,2198.31,-3735.76,-0.37,996264.24
2025-01-02,372.50,377.00,368.25,368.80,372.08,372.50,2674,372.08,372.08,true,15.93,2190.11,-3329.12,-0.33,992935.12
2025-01-03,368.80,372.80,356.75,358.05,371.50,368.80,2692,371.50,371.50,true,15.93,2192.18,5060.29,0.51,997995.42
2025-01-06,358.05,388.95,363.10,381.80,363.93,358.05,2787,363.93,363.93,true,15.93,2213.37,14158.26,1.42,1012153.67
2025-01-07,381.80,383.65,368.40,370.60,382.07,381.80,2651,382.07,382.07,true,15.93,2227.52,-1527.68,-0.15,1010625.99
2025-01-08,370.60,376.00,369.00,370.85,374.44,370.60,2726,374.44,374.44,true,15.93,2234.08,8217.83,0.81,1018843.83
2025-01-09,370.85,370.55,357.95,360.30,372.01,370.85,2747,372.01,360.30,false,15.93,2209.32,-31206.10,-3.06,987637.73
2025-01-10,360.30,377.50,360.45,364.40,362.28,360.30,2741,362.28,362.28,true,15.93,2178.65,3232.60,0.33,990870.33
2025-01-13,364.40,391.20,370.25,388.05,370.36,364.40,2719,370.36,370.36,true,15.93,2197.59,13991.72,1.41,1004862.04
2025-01-14,388.05,391.50,378.45,383.15,383.43,388.05,2589,383.43,383.43,true,15.93,2197.10,-14174.21,-1.41,990687.84
2025-01-15,383.15,396.75,382.10,392.80,382.38,383.15,2585,382.38,382.38,true,15.93,2176.78,-4183.16,-0.42,986504.67
2025-01-16,392.80,397.80,387.35,392.75,392.68,392.80,2511,392.68,392.68,true,15.93,2169.57,-2486.82,-0.25,984017.85
2025-01-17,392.75,402.90,390.75,401.00,393.16,392.75,2505,393.16,393.16,true,15.93,2165.58,-1154.46,-0.12,982863.39
2025-01-20,401.00,404.70,389.25,390.35,398.22,401.00,2451,398.22,398.22,true,15.93,2154.78,-8984.49,-0.91,973878.91
2025-01-21,390.35,392.35,380.10,388.20,397.17,390.35,2494,397.17,388.20,false,15.93,2135.87,-7513.90,-0.77,966365.00
2025-01-22,388.20,399.65,385.55,396.45,384.84,388.20,2489,384.84,396.45,false,15.93,2148.29,18370.03,1.90,984735.03
2025-01-23,396.45,397.80,386.40,388.25,395.62,396.45,2483,395.62,395.62,true,15.93,2163.38,-4240.20,-0.43,980494.83
2025-01-24,388.25,388.25,369.40,370.00,391.24,388.25,2525,391.24,370.00,false,15.93,2106.04,-48203.22,-4.92,932291.61
2025-01-27,370.00,372.45,350.40,359.95,374.24,370.00,2519,374.24,359.95,false,15.93,2022.62,-27354.50,-2.93,904937.11
2025-01-28,359.95,371.35,351.80,355.50,359.08,359.95,2514,359.08,359.08,true,15.93,1988.41,-4191.52,-0.46,900745.59
2025-01-29,355.50,362.35,353.25,355.85,360.25,355.50,2533,360.25,360.25,true,15.93,1994.29,10021.53,1.11,910767.12
2025-01-30,355.85,370.90,347.10,362.00,357.13,355.85,2559,357.13,357.13,true,15.93,2006.97,1252.62,0.14,912019.74
2025-01-31,362.00,375.65,358.50,370.50,364.28,362.00,2519,364.28,364.28,true,15.93,2012.45,3714.94,0.41,915734.68
2025-02-01,370.50,367.80,359.40,364.50,367.03,370.50,2471,367.03,367.03,true,15.93,2004.68,-10594.98,-1.16,905139.70
2025-02-03,364.50,373.65,366.50,370.65,363.49,364.50,2483,363.49,370.65,false,15.93,2007.92,13246.60,1.46,918386.31
