date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,1811.00,1833.50,1786.50,1830.00,5388.76,1811.00,552,5388.76,1830.00,false,15.93,2210.82,8261.25,0.83,1008261.25
2025-01-02,1830.00,1854.00,1771.00,1775.50,5429.69,1830.00,550,5429.69,1775.50,false,15.93,2181.33,-32172.26,-3.20,976089.00
2025-01-03,1775.50,1792.50,1685.00,1694.50,5455.48,1775.50,549,5455.48,1694.50,false,15.93,2095.53,-46580.46,-4.78,929508.53
2025-01-06,1694.50,1821.50,1696.50,1788.50,5182.58,1694.50,548,5182.58,1788.50,false,15.93,2099.55,49396.52,5.32,978905.05
2025-01-07,1788.50,1813.00,1752.50,1804.50,5313.25,1788.50,547,5313.25,1804.50,false,15.93,2161.91,6574.16,0.67,985479.21
2025-01-08,1804.50,1809.50,1730.50,1731.50,5353.38,1804.50,546,5353.38,1731.50,false,15.93,2123.72,-41997.65,-4.26,943481.56
2025-01-09,1731.50,1753.50,1689.00,1709.00,5271.30,1731.50,544,5271.30,1709.00,false,15.93,2058.80,-14314.73,-1.52,929166.84
2025-01-10,1709.00,1750.00,1674.50,1716.50,5154.67,1709.00,543,5154.67,1716.50,false,15.93,2046.05,2010.52,0.22,931177.36
2025-01-13,1716.50,1832.50,1734.00,1811.50,5178.24,1716.50,542,5178.24,1811.50,false,15.93,2103.39,49370.68,5.31,980548.03
2025-01-14,1811.50,1936.50,1850.00,1928.50,5391.24,1811.50,541,5391.24,1928.50,false,15.93,2225.67,61055.40,6.23,1041603.43
2025-01-15,1928.50,2010.50,1938.00,1994.50,5728.32,1928.50,540,5728.32,1994.50,false,15.93,2330.26,33293.81,3.20,1074897.24
2025-01-16,1994.50,2008.00,1958.50,2003.50,5964.25,1994.50,538,5964.25,2003.50,false,15.93,2366.02,2460.05,0.23,1077357.29
2025-01-17,2003.50,2044.50,1971.50,1987.00,5947.44,2003.50,537,5947.44,1987.00,false,15.93,2357.19,-11233.62,-1.04,1066123.67
2025-01-20,1987.00,2003.00,1914.00,1927.00,6001.07,1987.00,536,6001.07,1927.00,false,15.93,2307.69,-34483.62,-3.24,1031640.05
2025-01-21,1927.00,1938.50,1867.00,1921.00,5843.31,1927.00,535,5843.31,1921.00,false,15.93,2264.55,-5490.48,-0.53,1026149.57
2025-01-22,1921.00,1983.50,1905.50,1965.00,5721.75,1921.00,534,5721.75,1965.00,false,15.93,2282.64,21197.43,2.07,1047347.00
2025-01-23,1965.00,2016.50,1937.50,1940.50,5869.03,1965.00,533,5869.03,1940.50,false,15.93,2289.79,-15364.22,-1.47,1031982.78
2025-01-24,1940.50,1921.00,1790.50,1812.00,5903.15,1940.50,531,5903.15,1812.00,false,15.93,2191.84,-70441.27,-6.84,961541.51
2025-01-27,1812.00,1829.50,1713.50,1715.00,5537.04,1812.00,530,5537.04,1715.00,false,15.93,2056.24,-53482.17,-5.57,908059.34
2025-01-28,1715.00,1795.00,1712.00,1790.00,5266.58,1715.00,529,5266.58,1790.00,false,15.93,2039.56,37619.51,4.15,945678.85
2025-01-29,1790.00,1809.00,1730.50,1740.50,5283.26,1790.00,528,5283.26,1740.50,false,15.93,2050.51,-28202.44,-2.98,917476.41
2025-01-30,1740.50,1772.00,1739.50,1767.50,5284.10,1740.50,527,5284.10,1767.50,false,15.93,2033.59,12179.48,1.33,929655.89
2025-01-31,1767.50,1823.00,1750.50,1797.00,5275.97,1767.50,525,5275.97,1797.00,false,15.93,2058.50,13413.07,1.45,943068.96
2025-02-01,1797.00,1813.50,1756.50,1807.00,5375.97,1797.00,524,5375.97,1807.00,false,15.93,2077.35,3146.72,0.33,946215.69
2025-02-03,1807.00,1864.50,1817.50,1849.50,5350.87,1807.00,523,5350.87,1849.50,false,15.93,2103.58,20107.99,2.13,966323.67
2025-02-04,1849.50,1951.50,1856.50,1938.50,5520.09,1849.50,522,5520.09,1938.50,false,15.93,2175.07,44267.00,4.59,1010590.67
2025-02-05,1938.50,1952.50,1840.00,1852.50,5739.55,1938.50,521,5739.55,1852.50,false,15.93,2172.62,-46994.55,-4.65,963596.12
2025-02-06,1852.50,1916.00,1821.00,1903.00,5658.88,1852.50,520,5658.88,1903.00,false,15.93,2148.15,24095.92,2.50,987692.04
2025-02-07,1903.00,1931.50,1866.50,1878.50,5639.42,1903.00,519,5639.42,1878.50,false,15.93,2158.86,-14890.29,-1.51,972801.76
2025-02-10,1878.50,1888.00,1717.00,1734.00,5681.05,1878.50,517,5681.05,1734.00,false,15.93,2054.43,-76776.86,-7.91,896024.90
2025-02-11,1734.00,1811.50,1681.50,1779.00,5302.59,1734.00,516,5302.59,1779.00,false,15.93,1993.98,21210.09,2.37,917234.99
2025-02-12,1779.00,1798.50,1735.50,1749.50,5263.90,1779.00,515,5263.90,1749.50,false,15.93,1998.90,-17207.33,-1.88,900027.66
2025-02-13,1749.50,1778.50,1688.50,1697.00,5294.17,1749.50,514,5294.17,1697.00,false,15.93,1948.65,-28949.58,-3.22,871078.08
2025-02-14,1697.00,1744.50,1657.00,1733.00,5189.31,1697.00,513,5189.31,1733.00,false,15.93,1935.55,16516.52,1.90,887594.60
2025-02-17,1733.00,1742.50,1696.50,1723.50,5137.89,1733.00,512,5137.89,1723.50,false,15.93,1946.70,-6826.63,-0.77,880767.97
2025-02-18,1723.50,1891.50,1716.50,1866.50,5149.40,1723.50,511,5149.40,1866.50,false,15.93,2017.94,71039.13,8.07,951807.10
2025-02-19,1866.50,1994.50,1868.00,1983.00,5513.63,1866.50,509,5513.63,1983.00,false,15.93,2155.34,57127.23,6.01,1008934.34
2025-02-20,1983.00,2016.00,1904.00,1915.50,5833.92,1983.00,508,5833.92,1915.50,false,15.93,2178.48,-36484.41,-3.62,972449.93
2025-02-21,1915.50,1914.00,1862.00,1864.50,5862.36,1915.50,507,5862.36,1864.50,false,15.93,2108.11,-27981.04,-2.88,944468.89
2025-02-24,1864.50,1888.50,1830.00,1831.50,5642.26,1864.50,506,5642.26,1831.50,false,15.93,2057.19,-18771.12,-1.99,925697.77
2025-02-25,1831.50,1841.50,1706.50,1717.50,5552.03,1831.50,505,5552.03,1717.50,false,15.93,1971.47,-59557.40,-6.44,866140.37
2025-02-27,1717.50,1733.00,1517.00,1550.50,5228.74,1717.50,504,5228.74,1550.50,false,15.93,1811.78,-85995.71,-9.93,780144.66
2025-02-28,1550.50,1538.50,1448.00,1455.50,4754.88,1550.50,503,4754.88,1455.50,false,15.93,1663.22,-49464.15,-6.34,730680.51
2025-03-03,1455.50,1521.50,1395.50,1483.50,4442.17,1455.50,502,4442.17,1483.50,false,15.93,1622.92,12417.15,1.70,743097.66
2025-03-04,1483.50,1457.50,1345.00,1430.50,4456.25,1483.50,500,4456.25,1430.50,false,15.93,1602.70,-28118.63,-3.79,714979.03
2025-03-05,1430.50,1461.00,1408.50,1409.50,4207.72,1430.50,499,4207.72,1409.50,false,15.93,1558.88,-12053.81,-1.69,702925.23
2025-03-06,1409.50,1441.50,1387.50,1394.50,4302.76,1409.50,498,4302.76,1394.50,false,15.93,1536.03,-9021.96,-1.29,693903.26
2025-03-07,1394.50,1411.50,1325.50,1327.50,4240.77,1394.50,497,4240.77,1327.50,false,15.93,1488.12,-34803.05,-5.02,659100.22
2025-03-10,1327.50,1326.50,1227.50,1275.50,4059.06,1327.50,496,4059.06,1275.50,false,15.93,1420.20,-27228.13,-4.14,631872.09
2025-03-11,1275.50,1356.50,1288.50,1336.00,3826.06,1275.50,495,3826.06,1336.00,false,15.93,1421.96,28509.61,4.52,660381.70
2025-03-12,1336.00,1353.00,1300.00,1302.00,3984.80,1336.00,494,3984.80,1302.00,false,15.93,1433.49,-18245.42,-2.76,642136.28
2025-03-13,1302.00,1341.50,1300.50,1323.50,3974.45,1302.00,493,3974.45,1323.50,false,15.93,1423.81,9159.76,1.43,651296.04
2025-03-17,1323.50,1389.50,1326.50,1384.00,3967.91,1323.50,492,3967.91,1384.00,false,15.93,1465.30,28284.77,4.34,679580.81
2025-03-18,1384.00,1471.00,1385.00,1463.50,4067.24,1384.00,491,4067.24,1463.50,false,15.93,1537.93,37480.64,5.52,717061.45
2025-03-19,1463.50,1517.50,1451.50,1493.00,4319.15,1463.50,489,4319.15,1493.00,false,15.93,1590.30,12819.27,1.79,729880.72
2025-03-20,1493.00,1616.50,1485.00,1601.00,4462.26,1493.00,488,4462.26,1601.00,false,15.93,1660.86,51027.21,7.00,780907.93
2025-03-21,1601.00,1636.50,1540.50,1553.00,4674.36,1601.00,487,4674.36,1553.00,false,15.93,1689.60,-25081.53,-3.22,755826.40
2025-03-24,1553.00,1592.50,1538.50,1545.50,4773.18,1553.00,486,4773.18,1545.50,false,15.93,1656.46,-5317.39,-0.70,750509.01
2025-03-25,1545.50,1562.50,1484.50,1494.50,4679.36,1545.50,485,4679.36,1494.50,false,15.93,1621.84,-26372.77,-3.52,724136.24
2025-03-26,1494.50,1578.50,1526.00,1563.00,4553.28,1494.50,484,4553.28,1563.00,false,15.93,1627.81,31510.26,4.36,755646.50
2025-03-27,1563.00,1845.00,1666.50,1814.00,4673.27,1563.00,483,4673.27,1814.00,false,15.93,1794.20,119422.87,15.82,875069.37
2025-03-28,1814.00,1858.50,1810.00,1821.50,5349.98,1814.00,482,5349.98,1821.50,false,15.93,1927.54,1671.53,0.19,876740.90
2025-04-01,1821.50,1893.50,1810.00,1888.00,5489.85,1821.50,481,5489.85,1888.00,false,15.93,1962.70,30007.87,3.43,906748.77
2025-04-02,1888.00,1929.00,1854.00,1873.50,5584.92,1888.00,480,5584.92,1873.50,false,15.93,1986.07,-8962.00,-0.99,897786.77
2025-04-03,1873.50,1886.50,1821.00,1839.50,5656.54,1873.50,479,5656.54,1839.50,false,15.93,1956.38,-18258.31,-2.03,879528.46
2025-04-04,1839.50,1750.00,1659.50,1743.50,5548.44,1839.50,478,5548.44,1743.50,false,15.93,1883.94,-47787.87,-5.43,831740.59
2025-04-07,1743.50,1853.00,1784.00,1839.50,5117.53,1743.50,477,5117.53,1839.50,false,15.93,1880.00,43896.07,5.28,875636.66
2025-04-08,1839.50,1870.00,1802.50,1849.00,5448.77,1839.50,476,5448.77,1849.00,false,15.93,1931.30,2574.77,0.29,878211.43
2025-04-09,1849.00,1908.00,1860.50,1879.50,5518.14,1849.00,474,5518.14,1879.50,false,15.93,1944.04,12497.03,1.43,890708.46
2025-04-11,1879.50,1991.50,1907.00,1987.50,5653.46,1879.50,473,5653.46,1987.50,false,15.93,2012.00,49056.07,5.52,939764.53
2025-04-15,1987.50,1999.50,1953.50,1976.00,5890.00,1987.50,472,5890.00,1976.00,false,15.93,2057.85,-7501.78,-0.80,932262.75
2025-04-16,1976.00,2013.50,1955.00,1976.50,5926.02,1976.00,471,5926.02,1976.50,false,15.93,2047.79,-1828.22,-0.20,930434.53
2025-04-17,1976.50,2104.50,1990.00,2100.00,5941.59,1976.50,470,5941.59,2100.00,false,15.93,2107.55,55921.52,6.02,986356.05
2025-04-21,2100.00,2136.00,2075.00,2081.00,6181.02,2100.00,469,6181.02,2081.00,false,15.93,2156.98,-11083.91,-1.13,975272.14
2025-04-22,2081.00,2153.00,2075.00,2151.50,6317.22,2081.00,468,6317.22,2151.50,false,15.93,2178.89,30799.18,3.16,1006071.32
2025-04-23,2151.50,2188.00,2140.00,2165.50,6362.60,2151.50,467,6362.60,2165.50,false,15.93,2217.64,4304.43,0.43,1010375.75
2025-04-24,2165.50,2198.50,2057.50,2098.50,6508.28,2165.50,466,6508.28,2098.50,false,15.93,2185.73,-33423.66,-3.31,976952.09
2025-04-25,2098.50,2199.00,2090.50,2181.00,6349.41,2098.50,465,6349.41,2181.00,false,15.93,2188.96,36157.61,3.71,1013109.69
2025-04-28,2181.00,2269.50,2187.00,2216.00,6466.75,2181.00,464,6466.75,2216.00,false,15.93,2244.23,13979.84,1.38,1027089.54
2025-04-29,2216.00,2223.50,2107.50,2110.00,6700.51,2216.00,463,6700.51,2110.00,false,15.93,2203.23,-51297.16,-5.00,975792.37
2025-04-30,2110.00,2169.50,2095.50,2105.00,6445.02,2110.00,462,6445.02,2105.00,false,15.93,2142.06,-4467.99,-0.46,971324.38
2025-05-02,2105.00,2159.00,2090.00,2154.00,6379.71,2105.00,461,6379.71,2154.00,false,15.93,2159.74,20413.33,2.10,991737.71
2025-05-05,2154.00,2176.50,2073.50,2081.50,6384.25,2154.00,460,6384.25,2081.50,false,15.93,2143.16,-35509.09,-3.58,956228.62
2025-05-06,2081.50,2282.50,2117.50,2225.50,6383.78,2081.50,459,6383.78,2225.50,false,15.93,2174.60,63905.47,6.69,1020134.09
2025-05-07,2225.50,2298.00,2210.50,2215.00,6685.49,2225.50,458,6685.49,2215.00,false,15.93,2237.12,-7062.05,-0.69,1013072.03
2025-05-08,2215.00,2216.50,2160.50,2201.00,6809.11,2215.00,457,6809.11,2201.00,false,15.93,2219.92,-8633.85,-0.85,1004438.18
2025-05-09,2201.00,2349.00,2288.50,2321.50,6549.33,2201.00,456,6549.33,2321.50,false,15.93,2268.49,52663.58,5.25,1057101.76
2025-05-12,2321.50,2448.50,2327.00,2435.50,6959.68,2321.50,455,6959.68,2435.50,false,15.93,2380.88,49473.19,4.68,1106574.95
2025-05-13,2435.50,2474.00,2417.00,2453.00,7202.68,2435.50,454,7202.68,2453.00,false,15.93,2441.32,5487.75,0.50,1112062.71
2025-05-14,2453.00,2450.50,2370.50,2383.00,7331.18,2453.00,453,7331.18,2383.00,false,15.93,2409.78,-34135.71,-3.07,1077927.00
2025-05-15,2383.00,2438.50,2397.00,2429.50,7190.09,2383.00,452,7190.09,2429.50,false,15.93,2392.78,18609.29,1.73,1096536.29
2025-05-16,2429.50,2491.50,2427.50,2490.50,7271.56,2429.50,451,7271.56,2490.50,false,15.93,2440.81,25054.26,2.29,1121590.55
2025-05-19,2490.50,2529.50,2454.00,2466.50,7399.05,2490.50,450,7399.05,2466.50,false,15.93,2453.72,-13269.65,-1.18,1108320.91
2025-05-20,2466.50,2490.00,2400.00,2433.50,7485.46,2466.50,449,7485.46,2433.50,false,15.93,2420.11,-17253.04,-1.56,1091067.87
2025-05-21,2433.50,2440.00,2298.50,2334.50,7335.75,2433.50,448,7335.75,2334.50,false,15.93,2349.67,-46717.60,-4.29,1044350.27
2025-05-22,2334.50,2488.00,2335.00,2449.00,7031.02,2334.50,447,7031.02,2449.00,false,15.93,2352.05,48813.52,4.68,1093163.79
2025-05-23,2449.00,2526.00,2435.00,2450.00,2421.12,2449.00,446,2421.12,2450.00,false,15.93,2403.45,-1973.38,-0.18,1091190.41
2025-05-26,2450.00,2450.00,2395.50,2405.50,2482.40,2450.00,445,2482.40,2405.50,false,15.93,2376.77,-22195.20,-2.04,1068995.21
2025-05-27,2405.50,2438.00,2385.00,2405.00,2415.64,2405.50,444,2415.64,2415.64,true,15.93,2354.64,2131.59,0.20,1071126.80
2025-05-28,2405.00,2470.00,2391.00,2467.00,2410.86,2405.00,445,2410.86,2410.86,true,15.93,2357.36,234.41,0.02,1071361.20
2025-05-29,2467.00,2690.00,2469.00,2665.50,2431.59,2467.00,434,2431.59,2665.50,false,15.93,2450.26,83682.81,7.82,1155044.02
2025-05-30,2665.50,2735.20,2647.00,2692.00,2625.35,2665.50,433,2625.35,2692.00,false,15.93,2551.78,8906.79,0.77,1163950.81
2025-06-02,2692.00,2787.80,2692.00,2760.00,2696.88,2692.00,432,2696.88,2696.88,true,15.93,2560.80,-468.57,-0.04,1163482.25
2025-06-03,2760.00,2815.00,2711.00,2808.20,2740.60,2760.00,421,2740.60,2740.60,true,15.93,2547.33,-10730.66,-0.92,1152751.59
2025-06-04,2808.20,2918.00,2815.00,2916.00,2757.04,2808.20,410,2757.04,2916.00,false,15.93,2581.61,41600.46,3.61,1194352.04
2025-06-05,2916.00,2985.00,2920.00,2934.30,2871.84,2916.00,409,2871.84,2934.30,false,15.93,2632.05,4836.72,0.41,1199188.76
2025-06-06,2934.30,3024.90,2935.30,2994.00,2953.12,2934.30,408,2953.12,2953.12,true,15.93,2642.27,5020.36,0.42,1204209.12
2025-06-09,2994.00,3030.00,2975.20,3006.60,2988.28,2994.00,402,2988.28,2988.28,true,15.93,2645.36,-4960.73,-0.41,1199248.38
2025-06-10,3006.60,3019.90,2823.10,2872.50,3006.42,3006.60,398,3006.42,3006.42,true,15.93,2632.50,-2720.07,-0.23,1196528.31
2025-06-11,2872.50,2860.90,2748.40,2757.00,2903.23,2872.50,416,2903.23,2757.00,false,15.93,2576.06,-50639.99,-4.24,1145888.33
2025-06-12,2757.00,2770.00,2653.00,2720.00,2790.52,2757.00,415,2790.52,2720.00,false,15.93,2500.25,-17871.18,-1.56,1128017.14
2025-06-13,2720.00,2769.00,2675.00,2697.50,2717.48,2720.00,414,2717.48,2717.48,true,15.93,2476.23,-3535.44,-0.31,1124481.71
2025-06-16,2697.50,2730.00,2622.30,2671.80,2709.21,2697.50,416,2709.21,2709.21,true,15.93,2474.11,2381.32,0.21,1126863.03
2025-06-17,2671.80,2664.00,2500.00,2631.50,2678.77,2671.80,421,2678.77,2631.50,false,15.93,2455.96,-19438.19,-1.73,1107424.84
2025-06-18,2631.50,2656.40,2584.00,2590.10,2625.98,2631.50,420,2625.98,2625.98,true,15.93,2428.96,-4763.29,-0.43,1102661.55
2025-06-19,2590.10,2698.40,2571.00,2692.90,2614.17,2590.10,425,2614.17,2614.17,true,15.93,2433.00,7780.82,0.71,1110442.38
2025-06-20,2692.90,2795.00,2648.00,2770.00,2638.14,2692.90,412,2638.14,2770.00,false,15.93,2475.79,29273.48,2.64,1139715.86
2025-06-23,2770.00,2865.60,2777.00,2786.70,2731.00,2770.00,411,2731.00,2786.70,false,15.93,2512.18,4335.59,0.38,1144051.45
2025-06-24,2786.70,2825.00,2772.10,2788.50,2802.28,2786.70,410,2802.28,2802.28,true,15.93,2520.63,3851.24,0.34,1147902.69
2025-06-25,2788.50,2815.30,2748.00,2814.00,2801.41,2788.50,411,2801.41,2801.41,true,15.93,2527.20,2762.88,0.24,1150665.57
2025-06-26,2814.00,2838.10,2760.00,2764.70,2780.49,2814.00,408,2780.49,2780.49,true,15.93,2510.81,-16198.82,-1.41,1134466.75
2025-06-27,2764.70,2805.00,2753.40,2773.00,2805.21,2764.70,410,2805.21,2773.00,false,15.93,2497.50,889.57,0.08,1135356.32
2025-06-30,2773.00,2796.00,2738.20,2774.00,2776.60,2773.00,409,2776.60,2776.60,true,15.93,2496.77,-1040.30,-0.09,1134316.02
2025-07-01,2774.00,2805.00,2745.00,2749.90,2768.22,2774.00,408,2768.22,2768.22,true,15.93,2487.35,-4861.52,-0.43,1129454.50
2025-07-02,2749.90,2825.00,2742.50,2824.00,2768.01,2749.90,410,2768.01,2768.01,true,15.93,2488.58,4920.59,0.44,1134375.10
2025-07-03,2824.00,2778.00,2613.10,2638.30,2791.85,2824.00,401,2791.85,2638.30,false,15.93,2409.42,-76891.05,-6.79,1057484.05
2025-07-04,2638.30,2680.00,2590.70,2636.00,2666.61,2638.30,400,2666.61,2666.61,true,15.93,2334.16,8973.91,0.85,1066457.96
2025-07-07,2636.00,2644.00,2395.00,2488.00,2644.89,2636.00,404,2644.89,2488.00,false,15.93,2277.11,-62085.04,-5.83,1004372.92
2025-07-08,2488.00,2550.00,2485.50,2525.10,2487.77,2488.00,403,2487.77,2487.77,true,15.93,2205.76,-2314.38,-0.23,1002058.54
2025-07-09,2525.10,2545.90,2460.00,2467.00,2523.48,2525.10,396,2523.48,2523.48,true,15.93,2199.16,-2856.61,-0.29,999201.93
2025-07-10,2467.00,2476.20,2365.30,2371.50,2492.79,2467.00,405,2492.79,2371.50,false,15.93,2155.55,-40848.98,-4.09,958352.95
2025-07-11,2371.50,2477.20,2390.80,2468.00,2402.21,2371.50,404,2402.21,2402.21,true,15.93,2121.44,10269.47,1.07,968622.42
2025-07-14,2468.00,2554.20,2444.80,2548.00,2441.84,2468.00,392,2441.84,2548.00,false,15.93,2162.90,29181.17,3.02,997803.59
2025-07-15,2548.00,2585.00,2523.10,2526.00,2506.12,2548.00,391,2506.12,2526.00,false,15.93,2182.33,-10800.26,-1.08,987003.33
2025-07-16,2526.00,2549.00,2446.60,2477.20,2553.04,2526.00,390,2553.04,2477.20,false,15.93,2146.37,-21194.30,-2.15,965809.03
2025-07-17,2477.20,2487.10,2435.00,2454.70,2495.31,2477.20,389,2495.31,2454.70,false,15.93,2110.36,-10878.79,-1.13,954930.24
2025-07-18,2454.70,2535.00,2433.10,2523.00,2454.27,2454.70,389,2454.27,2454.27,true,15.93,2100.55,-2283.75,-0.24,952646.49
2025-07-21,2523.00,2570.90,2540.00,2548.60,2507.79,2523.00,377,2507.79,2548.60,false,15.93,2103.19,7532.08,0.79,960178.57
2025-07-22,2548.60,2566.90,2510.00,2558.00,2553.94,2548.60,376,2553.94,2553.94,true,15.93,2110.41,-118.50,-0.01,960060.07
2025-07-23,2558.00,2566.00,2521.00,2543.00,2536.85,2558.00,375,2536.85,2536.85,true,15.93,2101.63,-10048.81,-1.05,950011.26
2025-07-24,2543.00,2542.00,2444.20,2461.00,2545.13,2543.00,373,2545.13,2461.00,false,15.93,2053.14,-32655.07,-3.44,917356.19
2025-07-25,2461.00,2524.50,2427.00,2449.00,2476.70,2461.00,372,2476.70,2476.70,true,15.93,2020.51,3803.96,0.42,921160.16
2025-07-28,2449.00,2500.00,2438.00,2486.00,2474.94,2449.00,376,2474.94,2474.94,true,15.93,2036.54,7700.97,0.84,928861.13
2025-07-29,2486.00,2496.60,2447.00,2455.10,2468.99,2486.00,373,2468.99,2468.99,true,15.93,2033.03,-8393.69,-0.91,920467.43
2025-07-30,2455.10,2474.70,2416.00,2425.00,2464.18,2455.10,374,2464.18,2464.18,true,15.93,2023.79,1356.20,0.15,921823.63
2025-07-31,2425.00,2470.00,2383.50,2417.20,2439.82,2425.00,380,2439.82,2439.82,true,15.93,2033.49,3582.18,0.39,925405.81
2025-08-01,2417.20,2493.00,2381.20,2492.00,2423.36,2417.20,382,2423.36,2423.36,true,15.93,2034.00,303.19,0.03,925708.99
2025-08-04,2492.00,2494.10,2346.10,2367.30,2444.21,2492.00,371,2444.21,2444.21,true,15.93,2014.47,-19760.49,-2.14,905948.51
2025-08-05,2367.30,2428.00,2282.00,2386.70,2399.15,2367.30,382,2399.15,2399.15,true,15.93,2002.86,10147.91,1.12,916096.41
2025-08-06,2386.70,2454.00,2359.30,2450.00,2355.06,2386.70,383,2355.06,2450.00,false,15.93,2037.70,22190.27,2.43,938286.68
2025-08-07,2450.00,2503.60,2382.30,2390.90,2406.90,2450.00,382,2406.90,2406.90,true,15.93,2040.87,-18521.00,-1.98,919765.68
2025-08-08,2390.90,2421.00,2370.00,2395.00,2413.44,2390.90,384,2413.44,2413.44,true,15.93,2029.35,6610.08,0.72,926375.76
2025-08-11,2395.00,2411.00,2346.50,2367.00,2398.58,2395.00,386,2398.58,2398.58,true,15.93,2035.35,-669.40,-0.07,925706.36
2025-08-12,2367.00,2501.90,2381.90,2499.20,2373.24,2367.00,391,2373.24,2499.20,false,15.93,2092.95,49581.32,5.36,975287.67
2025-08-13,2499.20,2514.40,2456.00,2479.40,2463.63,2499.20,390,2463.63,2463.63,true,15.93,2129.05,-16017.28,-1.64,959270.39
2025-08-14,2479.40,2550.00,2487.00,2496.70,2484.81,2479.40,386,2484.81,2496.70,false,15.93,2112.85,4549.02,0.48,963819.41
2025-08-18,2496.70,2532.00,2470.00,2495.80,2515.09,2496.70,386,2515.09,2515.09,true,15.93,2128.01,4954.60,0.51,968774.01
2025-08-19,2495.80,2533.00,2485.10,2521.10,2500.43,2495.80,388,2500.43,2500.43,true,15.93,2132.39,-351.88,-0.04,968422.13
2025-08-20,2521.10,2529.80,2325.00,2330.90,2515.42,2521.10,384,2515.42,2515.42,true,15.93,2127.43,-4324.48,-0.45,964097.65
2025-08-21,2330.90,2353.50,2292.20,2333.00,2386.55,2330.90,413,2386.55,2333.00,false,15.93,2118.81,-1267.44,-0.13,962830.21
2025-08-22,2333.00,2342.90,2286.10,2290.40,2329.99,2333.00,412,2329.99,2329.99,true,15.93,2113.27,-3369.32,-0.35,959460.90
2025-08-25,2290.40,2290.00,2212.00,2218.60,2301.89,2290.40,418,2301.89,2218.60,false,15.93,2073.24,-32101.57,-3.35,927359.33
