date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,187.30,192.98,187.20,192.81,187.29,186.89,SKIP,,,,,,
2025-01-03,191.05,194.00,190.40,191.30,192.81,189.99,TRADE,192.81,189.99,191.30,false,-1.51,-0.78
2025-01-06,192.10,192.60,181.80,183.70,191.30,192.33,TRADE,191.30,192.33,192.33,true,1.03,0.54
2025-01-07,183.35,187.00,182.31,185.68,183.70,185.28,TRADE,183.70,185.28,185.28,true,1.58,0.86
2025-01-08,184.80,191.53,182.88,188.79,185.68,184.67,TRADE,185.68,184.67,184.67,true,-1.01,-0.54
2025-01-09,188.14,190.00,185.04,186.58,188.79,186.40,TRADE,188.79,186.40,186.40,true,-2.39,-1.27
2025-01-10,186.00,186.97,180.97,182.05,186.58,187.09,SKIP,,,,,,
2025-01-13,181.43,181.43,173.50,175.62,182.05,183.65,TRADE,182.05,183.65,175.62,false,-6.43,-3.53
2025-01-14,175.10,182.00,173.01,182.00,175.62,176.01,SKIP,,,,,,
2025-01-15,181.90,182.20,173.87,174.12,182.00,178.92,TRADE,182.00,178.92,178.92,true,-3.08,-1.69
2025-01-16,175.80,182.32,174.83,180.27,174.12,176.28,TRADE,174.12,176.28,176.28,true,2.16,1.24
2025-01-17,178.90,180.77,177.31,179.71,180.27,179.90,SKIP,,,,,,
2025-01-20,179.51,182.38,178.00,181.20,179.71,178.50,TRADE,179.71,178.50,178.50,true,-1.21,-0.67
2025-01-21,181.10,184.03,178.00,178.50,181.20,180.39,SKIP,,,,,,
2025-01-22,178.51,181.18,176.56,179.31,178.50,179.63,TRADE,178.50,179.63,179.63,true,1.13,0.63
2025-01-23,179.19,184.20,177.51,181.00,179.31,178.59,SKIP,,,,,,
2025-01-24,187.90,207.75,187.89,197.80,181.00,181.89,SKIP,,,,,,
2025-01-27,192.80,193.90,182.31,185.30,197.80,201.91,TRADE,197.80,201.91,185.30,false,-12.50,-6.32
2025-01-28,186.38,186.38,174.77,175.31,185.30,186.93,TRADE,185.30,186.93,175.31,false,-9.99,-5.39
2025-01-29,168.00,184.40,166.62,181.57,175.31,177.88,TRADE,175.31,177.88,177.88,true,2.57,1.47
2025-01-30,180.00,182.95,175.37,176.59,181.57,175.63,TRADE,181.57,175.63,175.63,true,-5.94,-3.27
2025-01-31,178.00,179.41,175.31,178.20,176.59,178.80,TRADE,176.59,178.80,178.80,true,2.21,1.25
2025-02-01,178.75,178.75,172.10,175.29,178.20,176.97,TRADE,178.20,176.97,176.97,true,-1.23,-0.69
2025-02-03,175.60,179.94,174.28,178.78,175.29,176.06,SKIP,,,,,,
2025-02-04,179.75,180.00,175.51,176.75,178.78,176.77,TRADE,178.78,176.77,176.77,true,-2.01,-1.12
2025-02-05,176.90,179.99,176.35,178.85,176.75,177.27,SKIP,,,,,,
2025-02-06,180.25,180.25,176.31,176.60,178.85,178.05,SKIP,,,,,,
2025-02-07,177.30,179.99,173.76,174.20,176.60,177.41,SKIP,,,,,,
2025-02-10,174.68,178.79,170.39,175.36,174.20,175.50,TRADE,174.20,175.50,175.50,true,1.30,0.75
2025-02-11,175.30,175.90,168.71,172.00,175.36,174.61,SKIP,,,,,,
2025-02-12,172.50,172.80,161.81,164.49,172.00,171.38,SKIP,,,,,,
2025-02-13,165.30,166.83,163.33,165.27,164.49,165.17,SKIP,,,,,,
2025-02-14,165.70,165.90,160.61,161.38,165.27,165.33,SKIP,,,,,,
2025-02-17,160.00,171.08,156.22,168.71,161.38,161.92,SKIP,,,,,,
2025-02-18,167.60,168.68,158.27,159.65,168.71,159.86,TRADE,168.71,159.86,159.86,true,-8.85,-5.25
2025-02-19,158.90,189.35,157.48,177.59,159.65,160.85,TRADE,159.65,160.85,160.85,true,1.20,0.75
2025-02-20,177.50,178.89,172.90,177.69,177.59,177.07,SKIP,,,,,,
2025-02-21,174.35,178.04,171.80,174.99,177.69,175.21,TRADE,177.69,175.21,175.21,true,-2.48,-1.40
2025-02-24,172.00,173.50,169.51,169.51,174.99,173.73,TRADE,174.99,173.73,169.51,false,-5.48,-3.13
2025-02-25,171.17,171.79,165.30,166.35,169.51,171.62,TRADE,169.51,171.62,171.62,true,2.11,1.24
2025-02-27,166.75,166.87,163.01,165.07,166.35,167.83,TRADE,166.35,167.83,165.07,false,-1.28,-0.77
2025-02-28,163.01,163.62,157.10,159.63,165.07,165.24,SKIP,,,,,,
2025-03-03,159.70,166.00,152.11,161.66,159.63,159.60,SKIP,,,,,,
2025-03-04,159.63,161.90,156.01,160.61,161.66,156.70,TRADE,161.66,156.70,156.70,true,-4.96,-3.07
2025-03-05,159.70,164.10,159.70,163.89,160.61,160.41,SKIP,,,,,,
2025-03-06,164.75,166.96,164.40,166.00,163.89,162.84,TRADE,163.89,162.84,166.00,false,2.11,1.29
2025-03-07,165.49,169.14,162.10,163.25,166.00,165.76,SKIP,,,,,,
2025-03-10,164.63,165.80,157.36,157.36,163.25,165.94,TRADE,163.25,165.94,157.36,false,-5.89,-3.61
2025-03-11,157.10,165.99,153.41,165.99,157.36,161.98,TRADE,157.36,161.98,161.98,true,4.62,2.94
2025-03-12,160.65,162.73,157.80,160.05,165.99,159.80,TRADE,165.99,159.80,159.80,true,-6.19,-3.73
2025-03-13,159.85,160.50,157.74,160.09,160.05,158.92,TRADE,160.05,158.92,158.92,true,-1.13,-0.71
