date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,602.50,611.80,599.80,607.50,604.10,632.33,TRADE,604.10,632.33,607.50,false,3.40,0.56
2025-01-03,608.50,620.30,604.60,607.30,607.50,632.80,TRADE,607.50,632.80,607.30,false,-0.20,-0.03
2025-01-06,607.00,609.80,570.10,573.70,607.30,638.81,TRADE,607.30,638.81,573.70,false,-33.60,-5.53
2025-01-07,572.60,589.90,572.60,579.10,573.70,610.14,TRADE,573.70,610.14,579.10,false,5.40,0.94
2025-01-08,580.70,609.80,579.60,587.30,579.10,607.48,TRADE,579.10,607.48,607.48,true,28.38,4.90
2025-01-09,589.30,595.30,582.10,584.70,587.30,622.94,TRADE,587.30,622.94,584.70,false,-2.60,-0.44
2025-01-10,582.60,586.30,569.20,576.40,584.70,613.06,TRADE,584.70,613.06,576.40,false,-8.30,-1.42
2025-01-13,574.80,595.10,548.50,549.60,576.40,603.92,TRADE,576.40,603.92,549.60,false,-26.80,-4.65
2025-01-14,550.00,558.10,540.00,552.10,549.60,595.86,TRADE,549.60,595.86,552.10,false,2.50,0.45
2025-01-15,553.80,567.10,547.10,550.00,552.10,572.47,TRADE,552.10,572.47,550.00,false,-2.10,-0.38
2025-01-16,550.90,560.50,550.90,554.70,550.00,578.83,TRADE,550.00,578.83,554.70,false,4.70,0.85
2025-01-17,554.80,571.40,549.40,567.00,554.70,579.10,TRADE,554.70,579.10,567.00,false,12.30,2.22
2025-01-20,562.20,583.50,553.10,572.90,567.00,583.49,TRADE,567.00,583.49,583.49,true,16.49,2.91
2025-01-21,573.00,578.20,556.30,558.60,572.90,594.51,TRADE,572.90,594.51,558.60,false,-14.30,-2.50
2025-01-22,562.40,563.90,543.30,557.90,558.60,593.05,TRADE,558.60,593.05,557.90,false,-0.70,-0.13
2025-01-23,555.80,556.40,547.90,551.00,557.90,574.61,TRADE,557.90,574.61,551.00,false,-6.90,-1.24
2025-01-24,556.80,562.40,529.00,530.20,551.00,575.42,TRADE,551.00,575.42,530.20,false,-20.80,-3.77
