date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,1103.30,1128.70,1089.00,1113.50,1121.35,1103.64,TRADE,1121.35,1103.64,1103.64,true,-17.71,-1.58
2025-01-03,1110.00,1119.20,1095.80,1096.35,1113.50,1112.10,SKIP,,,,,,
2025-01-06,1102.00,1107.00,1079.95,1098.00,1096.35,1104.61,TRADE,1096.35,1104.61,1104.61,true,8.26,0.75
2025-01-07,1088.95,1120.00,1083.65,1093.85,1098.00,1093.43,SKIP,,,,,,
2025-01-08,1102.80,1106.65,1085.50,1095.85,1093.85,1100.02,TRADE,1093.85,1100.02,1100.02,true,6.17,0.56
2025-01-09,1106.20,1130.00,1097.05,1104.90,1095.85,1095.27,SKIP,,,,,,
2025-01-10,1106.95,1107.00,1056.00,1059.60,1104.90,1109.14,SKIP,,,,,,
2025-01-13,1046.00,1059.70,1039.10,1050.00,1059.60,1066.82,TRADE,1059.60,1066.82,1050.00,false,-9.60,-0.91
2025-01-14,1042.45,1069.00,1040.60,1054.20,1050.00,1050.42,SKIP,,,,,,
2025-01-15,1055.00,1068.60,1049.00,1054.00,1054.20,1055.69,SKIP,,,,,,
2025-01-16,1064.20,1082.00,1056.00,1068.60,1054.00,1059.10,SKIP,,,,,,
2025-01-17,1065.10,1090.15,1065.10,1078.80,1068.60,1071.78,SKIP,,,,,,
2025-01-20,1084.95,1085.10,1056.00,1077.10,1078.80,1078.82,SKIP,,,,,,
2025-01-21,1081.55,1091.35,1023.95,1053.85,1077.10,1070.22,TRADE,1077.10,1070.22,1070.22,true,-6.88,-0.64
2025-01-22,1045.00,1065.40,1011.20,1032.90,1053.85,1053.72,SKIP,,,,,,
2025-01-23,1029.00,1045.00,1012.60,1029.30,1032.90,1034.43,SKIP,,,,,,
2025-01-24,1036.05,1041.35,990.80,1017.75,1029.30,1030.75,SKIP,,,,,,
2025-01-27,999.80,1000.10,948.25,979.15,1017.75,1007.07,TRADE,1017.75,1007.07,979.15,false,-38.60,-3.79
2025-01-28,979.95,988.80,935.00,972.10,979.15,971.31,TRADE,979.15,971.31,971.31,true,-7.84,-0.80
2025-01-29,982.60,1022.20,952.45,1014.05,972.10,957.69,TRADE,972.10,957.69,957.69,true,-14.41,-1.48
2025-01-30,1003.40,1056.05,1000.10,1032.65,1014.05,999.26,TRADE,1014.05,999.26,1032.65,false,18.60,1.83
2025-01-31,1027.50,1062.20,1025.60,1046.95,1032.65,1037.87,TRADE,1032.65,1037.87,1037.87,true,5.22,0.51
2025-02-01,1056.95,1147.10,1053.65,1108.50,1046.95,1053.86,TRADE,1046.95,1053.86,1053.86,true,6.91,0.66
2025-02-03,1164.95,1164.95,1084.70,1108.00,1108.50,1077.20,TRADE,1108.50,1077.20,1108.00,false,-0.50,-0.05
2025-02-04,1072.55,1142.20,1072.45,1131.85,1108.00,1119.56,TRADE,1108.00,1119.56,1119.56,true,11.56,1.04
2025-02-05,1165.00,1165.00,1116.65,1129.50,1131.85,1122.74,TRADE,1131.85,1122.74,1122.74,true,-9.11,-0.80
2025-02-06,1114.00,1179.35,1114.00,1164.95,1129.50,1127.53,SKIP,,,,,,
2025-02-07,1171.10,1171.10,1137.35,1154.00,1164.95,1159.19,SKIP,,,,,,
2025-02-10,1165.05,1168.00,1107.00,1111.50,1154.00,1154.40,SKIP,,,,,,
2025-02-11,1117.45,1117.45,1077.50,1080.50,1111.50,1127.89,TRADE,1111.50,1127.89,1080.50,false,-31.00,-2.79
2025-02-12,1070.00,1071.05,1037.00,1048.95,1080.50,1086.64,TRADE,1080.50,1086.64,1048.95,false,-31.55,-2.92
2025-02-13,1070.00,1164.30,1070.00,1109.70,1048.95,1050.86,SKIP,,,,,,
2025-02-14,1100.00,1111.45,1071.05,1090.00,1109.70,1133.55,TRADE,1109.70,1133.55,1090.00,false,-19.70,-1.78
2025-02-17,1090.00,1172.00,1090.00,1109.20,1090.00,1085.46,SKIP,,,,,,
2025-02-18,1114.90,1135.80,1078.05,1088.45,1109.20,1136.41,TRADE,1109.20,1136.41,1088.45,false,-20.75,-1.87
2025-02-19,1097.05,1182.00,1087.70,1155.00,1088.45,1102.71,TRADE,1088.45,1102.71,1102.71,true,14.26,1.31
2025-02-20,1150.00,1328.00,1135.15,1205.00,1155.00,1155.69,SKIP,,,,,,
2025-02-21,1203.95,1232.30,1175.80,1229.95,1205.00,1232.05,TRADE,1205.00,1232.05,1232.05,true,27.05,2.24
2025-02-24,1221.10,1260.00,1203.55,1210.00,1229.95,1205.22,TRADE,1229.95,1205.22,1205.22,true,-24.73,-2.01
2025-02-25,1213.05,1216.50,1193.40,1204.40,1210.00,1221.41,TRADE,1210.00,1221.41,1204.40,false,-5.60,-0.46
2025-02-27,1202.00,1224.00,1132.90,1157.30,1204.40,1208.25,SKIP,,,,,,
2025-02-28,1143.90,1241.85,1122.30,1222.65,1157.30,1179.56,TRADE,1157.30,1179.56,1179.56,true,22.26,1.92
2025-03-03,1229.95,1229.95,1106.55,1129.05,1222.65,1192.59,TRADE,1222.65,1192.59,1192.59,true,-30.06,-2.46
2025-03-04,1140.00,1177.00,1105.00,1157.10,1129.05,1133.95,SKIP,,,,,,
2025-03-05,1150.80,1189.85,1150.25,1174.95,1157.10,1154.19,SKIP,,,,,,
2025-03-06,1174.00,1206.55,1150.00,1158.15,1174.95,1174.01,SKIP,,,,,,
2025-03-07,1157.00,1177.15,1147.00,1159.75,1158.15,1173.58,TRADE,1158.15,1173.58,1173.58,true,15.43,1.33
2025-03-10,1166.00,1197.85,1149.50,1150.90,1159.75,1163.53,SKIP,,,,,,
2025-03-11,1156.00,1169.85,1123.35,1155.00,1150.90,1171.10,TRADE,1150.90,1171.10,1155.00,false,4.10,0.36
2025-03-12,1157.40,1163.85,1132.75,1162.00,1155.00,1153.58,SKIP,,,,,,
2025-03-13,1153.00,1157.00,1123.50,1150.00,1162.00,1148.94,TRADE,1162.00,1148.94,1148.94,true,-13.06,-1.12
2025-03-17,1151.85,1161.45,1123.30,1133.50,1150.00,1143.21,TRADE,1150.00,1143.21,1143.21,true,-6.79,-0.59
2025-03-18,1139.90,1154.00,1119.05,1134.35,1133.50,1142.95,TRADE,1133.50,1142.95,1142.95,true,9.45,0.83
