date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,891.20,977.00,893.70,949.70,888.73,891.20,1122,888.73,949.70,false,15.93,2272.04,63349.03,6.34,1063349.03
2025-01-02,949.70,951.40,928.80,935.75,959.63,949.70,1119,959.63,935.75,false,15.93,2320.80,-17946.78,-1.69,1045402.25
2025-01-03,935.75,934.60,901.00,904.80,939.07,935.75,1117,939.07,904.80,false,15.93,2261.48,-36848.56,-3.53,1008553.69
2025-01-06,904.80,920.45,901.00,910.25,915.81,904.80,1114,915.81,915.81,true,15.93,2230.98,10018.23,0.99,1018571.92
2025-01-07,910.25,1085.00,902.65,1003.00,908.89,910.25,1119,908.89,908.89,true,15.93,2239.18,-3776.95,-0.37,1014794.97
2025-01-08,1003.00,1033.70,992.20,997.85,1019.79,1003.00,1011,1019.79,1019.79,true,15.93,2249.54,14709.22,1.45,1029504.19
2025-01-09,997.85,990.00,951.10,973.00,1006.69,997.85,1031,1006.69,973.00,false,15.93,2235.14,-27871.42,-2.71,1001632.77
2025-01-10,973.00,1005.20,900.00,920.00,968.49,973.00,1029,968.49,968.49,true,15.93,2197.57,-6854.29,-0.68,994778.47
2025-01-13,920.00,962.40,907.50,961.00,946.60,920.00,1081,946.60,946.60,true,15.93,2219.57,26519.10,2.67,1021297.57
2025-01-14,961.00,955.80,891.70,895.50,944.08,961.00,1062,944.08,944.08,true,15.93,2225.51,-20210.48,-1.98,1001087.09
2025-01-15,895.50,924.20,885.40,906.20,924.33,895.50,1117,924.33,906.20,false,15.93,2213.75,9722.22,0.97,1010809.31
2025-01-16,906.20,916.90,896.70,910.00,904.15,906.20,1115,904.15,904.15,true,15.93,2220.39,-4522.07,-0.45,1006287.23
2025-01-17,910.00,1023.00,910.95,996.90,909.32,910.00,1105,909.32,996.90,false,15.93,2317.84,93690.73,9.32,1099977.97
2025-01-20,996.90,1001.45,956.50,960.00,997.87,996.90,1103,997.87,997.87,true,15.93,2420.25,-1366.27,-0.12,1098611.69
2025-01-21,960.00,968.00,919.20,960.30,978.85,960.00,1144,978.85,960.30,false,15.93,2416.51,-2089.24,-0.19,1096522.46
2025-01-22,960.30,983.50,945.75,971.70,942.09,960.30,1141,942.09,971.70,false,15.93,2424.85,10566.62,0.96,1107089.07
2025-01-23,971.70,982.45,910.00,912.00,962.16,971.70,1139,962.16,962.16,true,15.93,2422.93,-13304.92,-1.20,1093784.15
2025-01-24,912.00,1019.90,750.20,897.55,931.57,912.00,1199,931.57,931.57,true,15.93,2431.48,21017.02,1.92,1114801.16
2025-01-27,897.55,998.15,864.10,958.45,842.21,897.55,1242,842.21,958.45,false,15.93,2535.67,73086.20,6.56,1187887.37
2025-01-28,958.45,1084.05,959.00,1064.00,933.42,958.45,1239,933.42,1064.00,false,15.93,2756.40,128004.12,10.78,1315891.49
2025-01-29,1064.00,1082.65,1038.55,1071.35,1049.05,1064.00,1236,1049.05,1049.05,true,15.93,2872.90,-21367.03,-1.62,1294524.46
2025-01-30,1071.35,1119.55,1010.65,1068.50,1065.25,1071.35,1208,1065.25,1065.25,true,15.93,2839.11,-10223.84,-0.79,1284300.61
2025-01-31,1068.50,1080.00,1006.15,1019.25,1071.09,1068.50,1201,1071.09,1071.09,true,15.93,2826.61,268.05,0.02,1284568.66
2025-02-01,1019.25,1034.65,998.00,1007.00,1045.69,1019.25,1260,1045.69,1007.00,false,15.93,2808.38,-18259.31,-1.42,1266309.35
2025-02-03,1007.00,1033.90,991.25,1003.85,1016.87,1007.00,1257,1016.87,1016.87,true,15.93,2798.41,9592.25,0.76,1275901.60
2025-02-04,1003.85,1080.00,1011.25,1075.00,1015.68,1003.85,1271,1015.68,1015.68,true,15.93,2823.50,12196.50,0.96,1288098.10
2025-02-05,1075.00,1080.90,1055.55,1077.00,1060.41,1075.00,1198,1060.41,1060.41,true,15.93,2814.04,-20308.79,-1.58,1267789.31
2025-02-06,1077.00,1103.95,1056.05,1065.55,1071.90,1077.00,1177,1071.90,1071.90,true,15.93,2782.18,-8800.81,-0.69,1258988.49
