date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,2498.50,2519.00,2477.45,2515.95,2498.00,2501.67,SKIP,,,,,,
2025-01-03,2515.20,2527.35,2447.20,2450.00,2515.95,2499.82,TRADE,2515.95,2499.82,2499.82,true,-16.13,-0.64
2025-01-06,2445.00,2468.05,2413.55,2419.00,2450.00,2468.62,TRADE,2450.00,2468.62,2419.00,false,-31.00,-1.27
2025-01-07,2420.00,2467.85,2416.60,2455.05,2419.00,2439.09,TRADE,2419.00,2439.09,2439.09,true,20.09,0.83
2025-01-08,2456.05,2456.05,2402.00,2435.50,2455.05,2448.92,SKIP,,,,,,
2025-01-09,2453.80,2509.20,2438.05,2459.70,2435.50,2430.48,SKIP,,,,,,
2025-01-10,2455.00,2462.10,2407.40,2412.95,2459.70,2477.38,TRADE,2459.70,2477.38,2412.95,false,-46.75,-1.90
2025-01-13,2380.00,2400.40,2319.95,2326.50,2412.95,2425.94,TRADE,2412.95,2425.94,2326.50,false,-86.45,-3.58
2025-01-14,2321.35,2374.70,2321.35,2348.65,2326.50,2356.13,TRADE,2326.50,2356.13,2356.13,true,29.63,1.27
2025-01-15,2358.00,2372.50,2325.50,2360.65,2348.65,2348.07,SKIP,,,,,,
2025-01-16,2361.10,2385.95,2338.35,2368.00,2360.65,2356.67,SKIP,,,,,,
2025-01-17,2365.00,2392.00,2340.00,2355.00,2368.00,2359.50,SKIP,,,,,,
2025-01-20,2365.00,2373.90,2328.00,2355.00,2355.00,2367.99,TRADE,2355.00,2367.99,2367.99,true,12.99,0.55
2025-01-21,2365.00,2405.00,2344.05,2347.95,2355.00,2346.87,SKIP,,,,,,
2025-01-22,2340.10,2346.65,2270.10,2313.90,2347.95,2367.69,TRADE,2347.95,2367.69,2313.90,false,-34.05,-1.45
2025-01-23,2311.50,2384.45,2280.00,2364.15,2313.90,2300.35,TRADE,2313.90,2300.35,2300.35,true,-13.55,-0.59
2025-01-24,2369.30,2376.75,2286.60,2293.20,2364.15,2356.03,SKIP,,,,,,
2025-01-27,2292.55,2292.55,2209.60,2213.00,2293.20,2317.90,TRADE,2293.20,2317.90,2213.00,false,-80.20,-3.50
2025-01-28,2232.00,2244.00,2177.90,2192.90,2213.00,2239.96,TRADE,2213.00,2239.96,2239.96,true,26.96,1.22
2025-01-29,2193.85,2282.30,2190.10,2272.00,2192.90,2201.51,SKIP,,,,,,
2025-01-30,2280.00,2310.00,2237.00,2272.95,2272.00,2258.41,TRADE,2272.00,2258.41,2258.41,true,-13.59,-0.60
2025-01-31,2271.40,2334.95,2271.40,2323.80,2272.95,2277.46,SKIP,,,,,,
2025-02-01,2350.00,2357.35,2283.85,2321.00,2323.80,2313.09,SKIP,,,,,,
2025-02-03,2300.00,2380.75,2283.55,2330.00,2321.00,2320.13,SKIP,,,,,,
2025-02-04,2341.15,2354.50,2307.15,2341.00,2330.00,2343.08,TRADE,2330.00,2343.08,2343.08,true,13.08,0.56
2025-02-05,2342.05,2366.65,2331.80,2353.90,2341.00,2336.79,SKIP,,,,,,
2025-02-06,2351.55,2391.90,2345.65,2382.00,2353.90,2351.09,SKIP,,,,,,
2025-02-07,2393.00,2399.95,2312.80,2350.00,2382.00,2373.40,SKIP,,,,,,
2025-02-10,2325.00,2355.50,2271.20,2289.50,2350.00,2348.73,SKIP,,,,,,
2025-02-11,2278.35,2293.80,2200.00,2208.00,2289.50,2303.56,TRADE,2289.50,2303.56,2208.00,false,-81.50,-3.56
2025-02-12,2211.40,2239.00,2150.00,2195.90,2208.00,2225.93,TRADE,2208.00,2225.93,2225.93,true,17.93,0.81
2025-02-13,2204.00,2257.85,2185.35,2230.95,2195.90,2190.75,SKIP,,,,,,
2025-02-14,2050.10,2100.00,1872.30,1892.45,2230.95,2234.11,SKIP,,,,,,
2025-02-17,1886.00,1949.90,1809.95,1900.00,1892.45,1939.72,TRADE,1892.45,1939.72,1939.72,true,47.27,2.50
2025-02-18,1902.20,1908.50,1860.65,1894.00,1900.00,1888.52,TRADE,1900.00,1888.52,1888.52,true,-11.48,-0.60
2025-02-19,1899.25,1938.95,1887.55,1912.00,1894.00,1890.63,SKIP,,,,,,
2025-02-20,1911.45,1978.00,1901.95,1964.75,1912.00,1918.46,SKIP,,,,,,
2025-02-21,1974.00,2010.60,1921.25,1936.20,1964.75,1957.68,SKIP,,,,,,
2025-02-24,1921.55,1963.35,1910.90,1947.30,1936.20,1957.48,TRADE,1936.20,1957.48,1957.48,true,21.28,1.10
2025-02-25,1958.00,1962.00,1917.05,1919.85,1947.30,1938.29,SKIP,,,,,,
2025-02-27,1917.10,1930.45,1874.35,1882.95,1919.85,1942.11,TRADE,1919.85,1942.11,1882.95,false,-36.90,-1.92
2025-02-28,1875.00,1886.95,1827.15,1861.95,1882.95,1896.71,TRADE,1882.95,1896.71,1861.95,false,-21.00,-1.12
2025-03-03,1855.00,1872.60,1790.80,1852.00,1861.95,1848.38,TRADE,1861.95,1848.38,1848.38,true,-13.57,-0.73
2025-03-04,1844.00,1880.00,1818.70,1858.00,1852.00,1824.07,TRADE,1852.00,1824.07,1824.07,true,-27.93,-1.51
2025-03-05,1877.95,1939.80,1873.15,1937.00,1858.00,1857.74,SKIP,,,,,,
2025-03-06,1936.00,1967.95,1930.00,1957.55,1937.00,1920.12,TRADE,1937.00,1920.12,1957.55,false,20.55,1.06
2025-03-07,1964.85,1997.95,1947.05,1986.00,1957.55,1957.08,SKIP,,,,,,
2025-03-10,1988.00,2004.95,1933.15,1941.90,1986.00,1979.90,SKIP,,,,,,
2025-03-11,1944.00,1985.85,1922.05,1962.95,1941.90,1968.25,TRADE,1941.90,1968.25,1968.25,true,26.35,1.36
2025-03-12,1962.85,1985.00,1908.50,1959.75,1962.95,1960.66,SKIP,,,,,,
2025-03-13,1959.00,1976.95,1942.35,1946.00,1959.75,1940.28,TRADE,1959.75,1940.28,1946.00,false,-13.75,-0.70
2025-03-17,1970.00,2005.80,1948.00,1979.65,1946.00,1957.02,TRADE,1946.00,1957.02,1957.02,true,11.02,0.57
