date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,6073.00,6154.75,6010.00,6145.05,6074.85,6080.87,SKIP,,,,,,
2025-01-03,6159.00,6248.90,6030.15,6044.60,6145.05,6090.56,TRADE,6145.05,6090.56,6090.56,true,-54.49,-0.89
2025-01-06,6068.20,6068.20,5841.00,5864.00,6044.60,6112.63,TRADE,6044.60,6112.63,5864.00,false,-180.60,-2.99
2025-01-07,5910.00,5936.95,5875.00,5915.00,5864.00,5901.58,TRADE,5864.00,5901.58,5901.58,true,37.58,0.64
2025-01-08,5930.00,5965.85,5822.20,5864.15,5915.00,5907.01,SKIP,,,,,,
2025-01-09,5861.70,5905.55,5811.75,5824.60,5864.15,5866.71,SKIP,,,,,,
2025-01-10,5800.00,5840.00,5715.20,5751.65,5824.60,5840.12,SKIP,,,,,,
2025-01-13,5824.00,5887.50,5654.35,5740.05,5751.65,5774.02,SKIP,,,,,,
2025-01-14,5761.10,6006.45,5749.35,6000.00,5740.05,5783.35,TRADE,5740.05,5783.35,5783.35,true,43.30,0.75
2025-01-15,6000.35,6000.40,5768.50,5883.15,6000.00,5907.68,TRADE,6000.00,5907.68,5907.68,true,-92.32,-1.54
2025-01-16,5840.00,5952.80,5755.70,5910.00,5883.15,5857.89,SKIP,,,,,,
2025-01-17,5930.50,5938.85,5871.70,5911.80,5910.00,5895.86,SKIP,,,,,,
2025-01-20,5917.05,6028.00,5840.05,6003.00,5911.80,5902.36,SKIP,,,,,,
2025-01-21,6011.70,6068.05,5806.30,5818.00,6003.00,5973.95,SKIP,,,,,,
2025-01-22,5838.55,5846.90,5755.00,5843.50,5818.00,5905.79,TRADE,5818.00,5905.79,5843.50,false,25.50,0.44
2025-01-23,5780.40,5905.05,5780.40,5841.00,5843.50,5788.88,TRADE,5843.50,5788.88,5788.88,true,-54.62,-0.93
2025-01-24,5850.00,5900.40,5707.30,5763.30,5841.00,5865.77,SKIP,,,,,,
2025-01-27,5725.50,5749.00,5546.00,5580.00,5763.30,5790.85,SKIP,,,,,,
2025-01-28,5580.40,5585.00,5351.65,5358.00,5580.00,5621.56,TRADE,5580.00,5621.56,5358.00,false,-222.00,-3.98
2025-01-29,5374.10,5640.00,5361.50,5619.90,5358.00,5489.76,TRADE,5358.00,5489.76,5489.76,true,131.76,2.46
2025-01-30,5621.10,5791.60,5601.80,5711.75,5619.90,5538.77,TRADE,5619.90,5538.77,5711.75,false,91.85,1.63
2025-01-31,5717.55,5750.95,5556.15,5570.00,5711.75,5690.72,SKIP,,,,,,
2025-02-01,5589.00,5653.85,5510.00,5613.95,5570.00,5600.50,TRADE,5570.00,5600.50,5600.50,true,30.50,0.55
2025-02-03,5619.00,5955.10,5471.00,5952.00,5613.95,5587.36,SKIP,,,,,,
2025-02-04,6049.95,6230.00,5972.70,6061.95,5952.00,5779.56,TRADE,5952.00,5779.56,6061.95,false,109.95,1.85
2025-02-05,6060.55,6207.20,6007.50,6128.45,6061.95,6129.09,TRADE,6061.95,6129.09,6129.09,true,67.14,1.11
2025-02-06,6148.30,6205.90,6098.05,6122.20,6128.45,6140.81,SKIP,,,,,,
2025-02-07,6116.55,6161.50,6080.50,6139.90,6122.20,6150.31,SKIP,,,,,,
2025-02-10,6142.00,6179.00,5921.65,5942.75,6139.90,6131.31,SKIP,,,,,,
2025-02-11,5949.95,5964.80,5862.10,5930.00,5942.75,5972.27,SKIP,,,,,,
2025-02-12,5946.75,6000.00,5805.00,5980.35,5930.00,5922.88,SKIP,,,,,,
2025-02-13,5999.70,6155.00,5984.75,6004.00,5980.35,5924.64,TRADE,5980.35,5924.64,6004.00,false,23.65,0.40
2025-02-14,6017.30,6060.00,5766.05,5830.75,6004.00,6082.95,TRADE,6004.00,6082.95,5830.75,false,-173.25,-2.89
2025-02-17,5832.00,5940.00,5760.25,5922.15,5830.75,5852.07,SKIP,,,,,,
2025-02-18,5950.00,5978.90,5793.00,5846.70,5922.15,5885.46,TRADE,5922.15,5885.46,5885.46,true,-36.69,-0.62
2025-02-19,5810.00,5956.25,5740.00,5939.65,5846.70,5840.54,SKIP,,,,,,
2025-02-20,5915.00,5987.00,5892.30,5977.00,5939.65,5907.62,TRADE,5939.65,5907.62,5907.62,true,-32.03,-0.54
2025-02-21,5960.00,5998.30,5686.00,5686.00,5977.00,5962.43,SKIP,,,,,,
2025-02-24,5680.40,5750.70,5664.45,5699.45,5686.00,5793.81,TRADE,5686.00,5793.81,5699.45,false,13.45,0.24
2025-02-25,5701.00,5774.30,5664.80,5726.50,5699.45,5711.69,SKIP,,,,,,
2025-02-27,5726.40,5785.00,5579.25,5594.90,5726.50,5727.88,SKIP,,,,,,
2025-02-28,5600.00,5600.00,5364.85,5471.20,5594.90,5634.07,TRADE,5594.90,5634.07,5471.20,false,-123.70,-2.21
2025-03-03,5480.25,5572.40,5360.65,5537.70,5471.20,5454.37,SKIP,,,,,,
2025-03-04,5500.00,5556.95,5457.85,5511.95,5537.70,5464.43,TRADE,5537.70,5464.43,5464.43,true,-73.27,-1.32
2025-03-05,5460.00,5563.05,5460.00,5517.35,5511.95,5518.98,SKIP,,,,,,
2025-03-06,5549.95,5645.95,5549.95,5560.85,5517.35,5515.07,SKIP,,,,,,
2025-03-07,5553.30,5619.80,5528.40,5575.00,5560.85,5595.03,TRADE,5560.85,5595.03,5595.03,true,34.18,0.61
2025-03-10,5578.75,5631.65,5491.00,5493.00,5575.00,5582.33,SKIP,,,,,,
2025-03-11,5454.00,5578.20,5414.25,5547.70,5493.00,5566.95,TRADE,5493.00,5566.95,5566.95,true,73.95,1.35
2025-03-12,5525.00,5676.75,5481.70,5654.95,5547.70,5540.28,SKIP,,,,,,
2025-03-13,5695.50,5758.25,5608.45,5620.00,5654.95,5608.00,TRADE,5654.95,5608.00,5620.00,false,-34.95,-0.62
2025-03-17,5620.45,5695.00,5582.05,5678.80,5620.00,5688.48,TRADE,5620.00,5688.48,5688.48,true,68.48,1.22
2025-03-18,5680.00,5797.30,5627.00,5792.40,5678.80,5657.24,SKIP,,,,,,
2025-03-19,5780.00,5850.00,5742.05,5821.80,5792.40,5730.53,TRADE,5792.40,5730.53,5821.80,false,29.40,0.51
2025-03-20,5850.00,5865.80,5805.00,5827.05,5821.80,5819.17,SKIP,,,,,,
2025-03-21,5848.00,5855.50,5739.55,5785.70,5827.05,5825.63,SKIP,,,,,,
2025-03-24,5795.90,5935.00,5775.40,5922.50,5785.70,5801.22,SKIP,,,,,,
2025-03-25,5940.25,5940.25,5815.45,5830.00,5922.50,5867.21,TRADE,5922.50,5867.21,5867.21,true,-55.29,-0.93
2025-03-26,5869.85,5918.20,5767.55,5844.70,5830.00,5866.86,TRADE,5830.00,5866.86,5866.86,true,36.86,0.63
2025-03-27,5838.00,5893.75,5727.20,5880.00,5844.70,5836.51,SKIP,,,,,,
2025-03-28,5850.00,5885.00,5752.00,5771.95,5880.00,5832.75,TRADE,5880.00,5832.75,5832.75,true,-47.25,-0.80
2025-04-01,5749.50,5818.50,5521.00,5548.70,5771.95,5810.24,TRADE,5771.95,5810.24,5810.24,true,38.29,0.66
2025-04-02,5550.55,5681.45,5535.00,5669.95,5548.70,5612.71,TRADE,5548.70,5612.71,5612.71,true,64.01,1.15
2025-04-03,5889.95,5970.00,5729.35,5750.00,5669.95,5609.41,TRADE,5669.95,5609.41,5750.00,false,80.05,1.41
2025-04-04,5760.00,5762.65,5384.95,5495.90,5750.00,5826.89,TRADE,5750.00,5826.89,5495.90,false,-254.10,-4.42
2025-04-07,4955.00,5358.85,4955.00,5294.00,5495.90,5498.19,SKIP,,,,,,
2025-04-08,5347.10,5475.00,5303.00,5402.50,5294.00,5266.77,TRADE,5294.00,5266.77,5402.50,false,108.50,2.05
2025-04-09,5300.00,5429.60,5231.60,5391.25,5402.50,5404.49,SKIP,,,,,,
2025-04-11,5550.00,5625.00,5386.15,5601.00,5391.25,5369.00,SKIP,,,,,,
2025-04-15,5638.50,5767.50,5605.00,5753.00,5601.00,5534.24,TRADE,5601.00,5534.24,5753.00,false,152.00,2.71
2025-04-16,5715.00,5805.50,5685.00,5758.00,5753.00,5717.27,TRADE,5753.00,5717.27,5717.27,true,-35.73,-0.62
2025-04-17,5750.00,5798.00,5596.00,5625.00,5758.00,5749.62,SKIP,,,,,,
2025-04-21,5850.00,5914.00,5799.00,5910.00,5625.00,5690.24,TRADE,5625.00,5690.24,5910.00,false,285.00,5.07
2025-04-22,5884.50,6018.50,5823.00,5909.50,5910.00,5857.84,TRADE,5910.00,5857.84,5857.84,true,-52.16,-0.88
2025-04-23,5927.00,5975.00,5891.50,5930.00,5909.50,5950.57,TRADE,5909.50,5950.57,5950.57,true,41.07,0.69
2025-04-24,5982.50,6308.50,5953.50,6225.00,5930.00,5916.47,SKIP,,,,,,
2025-04-25,6240.00,6285.00,5964.50,6017.00,6225.00,6211.42,SKIP,,,,,,
2025-04-28,6015.00,6125.00,5992.00,6038.00,6017.00,6089.55,TRADE,6017.00,6089.55,6089.55,true,72.55,1.21
2025-04-29,6055.00,6130.00,5916.00,6099.00,6038.00,6074.18,TRADE,6038.00,6074.18,6074.18,true,36.18,0.60
2025-04-30,6115.50,6136.00,6015.50,6083.00,6099.00,6032.41,TRADE,6099.00,6032.41,6032.41,true,-66.59,-1.09
2025-05-02,6080.00,6153.00,6045.50,6097.00,6083.00,6097.76,SKIP,,,,,,
2025-05-05,6205.50,6208.00,6096.00,6140.00,6097.00,6102.22,SKIP,,,,,,
2025-05-06,6110.00,6178.50,5970.00,6150.50,6140.00,6137.22,SKIP,,,,,,
2025-05-07,6085.00,6170.00,6059.50,6142.50,6150.50,6128.62,SKIP,,,,,,
2025-05-08,6172.50,6184.00,5931.00,5931.00,6142.50,6133.04,SKIP,,,,,,
2025-05-09,5841.50,6055.50,5841.50,6026.00,5931.00,6033.53,TRADE,5931.00,6033.53,6033.53,true,102.53,1.73
2025-05-12,6035.00,6044.00,5878.50,5947.50,6026.00,5965.98,TRADE,6026.00,5965.98,5965.98,true,-60.02,-1.00
2025-05-13,5955.50,6147.50,5955.00,6080.00,5947.50,5946.90,SKIP,,,,,,
2025-05-14,6100.00,6282.50,6055.50,6210.00,6080.00,6102.02,SKIP,,,,,,
2025-05-15,6198.50,6259.50,6163.50,6235.00,6210.00,6204.76,SKIP,,,,,,
2025-05-16,6239.00,6323.00,6162.00,6270.00,6235.00,6210.80,SKIP,,,,,,
2025-05-19,6400.00,6705.00,6333.50,6559.50,6270.00,6251.55,SKIP,,,,,,
2025-05-20,6580.00,6595.00,6433.00,6465.00,6559.50,6578.12,SKIP,,,,,,
2025-05-21,6454.00,6596.50,6454.00,6555.00,6465.00,6500.67,TRADE,6465.00,6500.67,6500.67,true,35.67,0.55
2025-05-22,6540.00,6570.00,6458.00,6545.00,6555.00,6555.27,SKIP,,,,,,
2025-05-23,6560.00,6560.00,6457.00,6484.50,6545.00,6529.72,SKIP,,,,,,
2025-05-26,6640.00,6764.00,6592.50,6733.00,6484.50,6495.70,SKIP,,,,,,
2025-05-27,6725.00,6760.50,6684.00,6696.00,6733.00,6722.15,SKIP,,,,,,
2025-05-28,6730.00,6750.00,6622.00,6629.00,6696.00,6728.40,SKIP,,,,,,
2025-05-29,6645.00,6670.50,6603.00,6623.50,6629.00,6698.19,TRADE,6629.00,6698.19,6623.50,false,-5.50,-0.08
2025-05-30,6601.50,6667.50,6541.00,6604.50,6623.50,6634.58,SKIP,,,,,,
2025-06-02,6614.50,6631.00,6520.00,6549.50,6604.50,6600.94,SKIP,,,,,,
2025-06-03,6544.00,6600.00,6514.50,6542.50,6549.50,6559.51,SKIP,,,,,,
2025-06-04,6550.00,6649.50,6530.00,6619.00,6542.50,6552.89,SKIP,,,,,,
2025-06-05,6628.00,6679.00,6608.00,6613.00,6619.00,6615.25,SKIP,,,,,,
2025-06-06,6630.00,6630.00,6505.00,6553.00,6613.00,6638.39,SKIP,,,,,,
2025-06-09,6557.50,6654.50,6547.50,6640.00,6553.00,6530.81,SKIP,,,,,,
2025-06-10,6644.50,6697.00,6611.00,6676.00,6640.00,6601.56,TRADE,6640.00,6601.56,6676.00,false,36.00,0.54
2025-06-11,6680.00,6766.00,6680.00,6727.50,6676.00,6664.12,SKIP,,,,,,
2025-06-12,6719.00,6862.50,6707.00,6718.00,6727.50,6731.44,SKIP,,,,,,
2025-06-13,6700.00,6720.50,6611.00,6671.00,6718.00,6790.66,TRADE,6718.00,6790.66,6671.00,false,-47.00,-0.70
2025-06-16,6632.00,6698.00,6615.00,6690.00,6671.00,6663.92,SKIP,,,,,,
2025-06-17,6690.00,6702.50,6490.50,6535.00,6690.00,6667.68,SKIP,,,,,,
2025-06-18,6548.00,6649.00,6513.00,6558.00,6535.00,6563.48,SKIP,,,,,,
2025-06-19,6545.00,6566.50,6480.00,6485.00,6558.00,6581.60,SKIP,,,,,,
2025-06-20,6500.00,6602.50,6455.50,6573.50,6485.00,6512.14,SKIP,,,,,,
2025-06-23,6570.00,6664.50,6560.00,6630.00,6573.50,6551.14,SKIP,,,,,,
2025-06-24,6680.00,6680.00,6555.00,6571.00,6630.00,6625.76,SKIP,,,,,,
2025-06-25,6585.00,6607.50,6520.00,6578.50,6571.00,6618.17,TRADE,6571.00,6618.17,6578.50,false,7.50,0.11
2025-06-26,6589.00,6628.00,6539.00,6610.00,6578.50,6571.55,SKIP,,,,,,
2025-06-27,6551.00,6694.00,6551.00,6669.00,6610.00,6594.84,SKIP,,,,,,
2025-06-30,6680.00,6829.00,6666.00,6826.50,6669.00,6654.45,SKIP,,,,,,
2025-07-01,6828.50,6875.00,6696.00,6867.50,6826.50,6755.21,TRADE,6826.50,6755.21,6755.21,true,-71.29,-1.04
2025-07-02,6856.50,6885.50,6743.00,6865.00,6867.50,6796.53,TRADE,6867.50,6796.53,6796.53,true,-70.97,-1.03
2025-07-03,6888.00,6940.00,6853.00,6866.00,6865.00,6820.52,TRADE,6865.00,6820.52,6866.00,false,1.00,0.01
2025-07-04,6880.00,6945.00,6870.00,6921.00,6866.00,6892.15,SKIP,,,,,,
2025-07-07,6915.00,6931.00,6861.00,6878.50,6921.00,6908.54,SKIP,,,,,,
2025-07-08,7002.00,7071.50,6911.00,6926.50,6878.50,6890.76,SKIP,,,,,,
2025-07-09,6930.00,7009.50,6920.00,6987.00,6926.50,6968.38,TRADE,6926.50,6968.38,6968.38,true,41.88,0.60
2025-07-10,6960.00,6982.50,6830.00,6835.00,6987.00,6963.55,SKIP,,,,,,
2025-07-11,6830.00,6905.50,6825.00,6835.00,6835.00,6883.49,TRADE,6835.00,6883.49,6883.49,true,48.49,0.71
2025-07-14,6650.00,6825.50,6545.00,6787.00,6835.00,6860.78,SKIP,,,,,,
2025-07-15,6800.00,6818.50,6734.50,6786.00,6787.00,6699.30,TRADE,6787.00,6699.30,6786.00,false,-1.00,-0.01
2025-07-16,6790.00,6859.50,6751.00,6827.00,6786.00,6775.18,SKIP,,,,,,
2025-07-17,6830.50,6881.00,6768.00,6777.50,6827.00,6807.83,SKIP,,,,,,
2025-07-18,6780.00,6781.50,6682.50,6719.00,6777.50,6804.72,SKIP,,,,,,
2025-07-21,6742.00,6746.00,6663.50,6685.00,6719.00,6730.87,SKIP,,,,,,
2025-07-22,6685.00,6685.00,6579.50,6628.50,6685.00,6695.73,SKIP,,,,,,
2025-07-23,6641.00,6679.00,6616.00,6642.00,6628.50,6614.55,SKIP,,,,,,
2025-07-24,6653.00,6683.50,6600.00,6625.50,6642.00,6652.39,SKIP,,,,,,
2025-07-25,6598.00,6652.00,6569.00,6627.50,6625.50,6634.38,SKIP,,,,,,
2025-07-28,6616.50,6713.50,6555.50,6578.00,6627.50,6616.33,SKIP,,,,,,
2025-07-29,6580.00,6688.00,6473.00,6671.50,6578.00,6627.29,TRADE,6578.00,6627.29,6627.29,true,49.29,0.75
2025-07-30,6643.50,6733.50,6601.50,6650.00,6671.50,6590.36,TRADE,6671.50,6590.36,6650.00,false,-21.50,-0.32
2025-07-31,6556.00,6662.50,6552.00,6597.00,6650.00,6674.19,SKIP,,,,,,
2025-08-01,6598.00,6598.00,6335.50,6400.50,6597.00,6604.67,SKIP,,,,,,
2025-08-04,6372.00,6513.50,6343.00,6505.50,6400.50,6416.29,SKIP,,,,,,
2025-08-05,6489.50,6530.50,6363.50,6406.00,6505.50,6444.77,TRADE,6505.50,6444.77,6444.77,true,-60.73,-0.93
2025-08-06,6410.50,6449.00,6054.50,6134.00,6406.00,6417.67,SKIP,,,,,,
2025-08-07,6150.00,6174.50,5960.50,6133.00,6134.00,6191.63,TRADE,6134.00,6191.63,6133.00,false,-1.00,-0.02
2025-08-08,6100.00,6118.00,5893.50,5920.00,6133.00,6062.32,TRADE,6133.00,6062.32,6062.32,true,-70.68,-1.15
2025-08-11,5891.00,6016.00,5856.50,5975.00,5920.00,5994.74,TRADE,5920.00,5994.74,5994.74,true,74.74,1.26
2025-08-12,5992.00,6015.00,5947.00,5965.00,5975.00,5938.71,TRADE,5975.00,5938.71,5965.00,false,-10.00,-0.17
2025-08-13,5971.00,6118.00,5970.00,6099.00,5965.00,5984.49,SKIP,,,,,,
2025-08-14,6155.00,6205.00,6091.00,6130.50,6099.00,6076.12,SKIP,,,,,,
2025-08-18,6148.00,6211.50,6092.50,6148.50,6130.50,6138.23,SKIP,,,,,,
2025-08-19,6165.00,6170.50,6075.00,6081.50,6148.50,6169.57,SKIP,,,,,,
2025-08-20,6084.00,6096.00,5952.50,6012.00,6081.50,6119.59,TRADE,6081.50,6119.59,6012.00,false,-69.50,-1.14
2025-08-21,6005.00,6060.00,5988.00,6021.50,6012.00,6004.39,SKIP,,,,,,
2025-08-22,6088.00,6188.00,6088.00,6150.00,6021.50,6024.45,SKIP,,,,,,
2025-08-25,6255.00,6314.50,6204.00,6245.50,6150.00,6145.04,SKIP,,,,,,
