date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,1749.90,1774.50,1735.10,1769.30,1744.00,3485.99,TRADE,1744.00,3485.99,1769.30,false,25.30,1.45
2025-01-03,1774.40,1784.50,1740.80,1744.00,1769.30,3504.42,TRADE,1769.30,3504.42,1744.00,false,-25.30,-1.43
2025-01-06,1753.80,1763.60,1680.60,1690.00,1744.00,3515.52,TRADE,1744.00,3515.52,1690.00,false,-54.00,-3.10
2025-01-07,1683.00,1715.00,1667.70,1696.00,1690.00,3434.45,TRADE,1690.00,3434.45,1696.00,false,6.00,0.36
2025-01-08,1678.50,1699.50,1660.00,1667.00,1696.00,3383.80,TRADE,1696.00,3383.80,1667.00,false,-29.00,-1.71
2025-01-09,1657.50,1665.70,1625.50,1635.00,1667.00,3346.60,TRADE,1667.00,3346.60,1635.00,false,-32.00,-1.92
2025-01-10,1634.50,1681.60,1621.10,1627.20,1635.00,3296.84,TRADE,1635.00,3296.84,1627.20,false,-7.80,-0.48
2025-01-13,1622.00,1654.20,1575.00,1575.00,1627.20,3290.12,TRADE,1627.20,3290.12,1575.00,false,-52.20,-3.21
2025-01-14,1582.50,1657.60,1577.00,1595.80,1575.00,3244.28,TRADE,1575.00,3244.28,1595.80,false,20.80,1.32
2025-01-15,1615.00,1624.20,1563.00,1602.50,1595.80,3223.13,TRADE,1595.80,3223.13,1602.50,false,6.70,0.42
2025-01-16,1635.00,1645.00,1607.00,1631.50,1602.50,3163.90,TRADE,1602.50,3163.90,1631.50,false,29.00,1.81
2025-01-17,1630.00,1634.80,1595.30,1601.10,1631.50,3267.21,TRADE,1631.50,3267.21,1601.10,false,-30.40,-1.86
2025-01-20,1625.00,1632.80,1587.80,1613.40,1601.10,3218.45,TRADE,1601.10,3218.45,1613.40,false,12.30,0.77
2025-01-21,1622.80,1633.10,1596.00,1610.50,1613.40,3220.52,TRADE,1613.40,3220.52,1610.50,false,-2.90,-0.18
2025-01-22,1615.00,1622.80,1532.40,1575.50,1610.50,3231.56,TRADE,1610.50,3231.56,1575.50,false,-35.00,-2.17
2025-01-23,1572.00,1620.50,1559.90,1589.90,1575.50,3121.91,TRADE,1575.50,3121.91,1589.90,false,14.40,0.91
2025-01-24,1592.40,1612.50,1527.50,1527.50,1589.90,3195.37,TRADE,1589.90,3195.37,1527.50,false,-62.40,-3.92
2025-01-27,1520.00,1520.00,1461.70,1498.30,1527.50,3124.07,TRADE,1527.50,3124.07,1498.30,false,-29.20,-1.91
2025-01-28,1492.50,1497.90,1439.80,1492.90,1498.30,2971.96,TRADE,1498.30,2971.96,1492.90,false,-5.40,-0.36
2025-01-29,1487.50,1575.00,1487.50,1567.50,1492.90,2948.81,TRADE,1492.90,2948.81,1567.50,false,74.60,5.00
2025-01-30,1490.00,1529.70,1465.50,1485.40,1567.50,3084.93,TRADE,1567.50,3084.93,1485.40,false,-82.10,-5.24
2025-01-31,1502.20,1537.00,1473.40,1523.40,1485.40,3010.55,TRADE,1485.40,3010.55,1523.40,false,38.00,2.56
2025-02-01,1531.50,1610.00,1531.50,1591.40,1523.40,2997.18,TRADE,1523.40,2997.18,1591.40,false,68.00,4.46
2025-02-03,1572.50,1616.20,1540.00,1605.00,1591.40,3172.97,TRADE,1591.40,3172.97,1605.00,false,13.60,0.85
2025-02-04,1607.50,1628.70,1589.30,1596.40,1605.00,3184.36,TRADE,1605.00,3184.36,1596.40,false,-8.60,-0.54
