date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,277.90,286.00,276.00,285.35,276.55,277.22,SKIP,,,,,,
2025-01-03,285.00,285.00,271.50,272.50,285.35,280.71,TRADE,285.35,280.71,280.71,true,-4.64,-1.63
2025-01-06,274.50,274.80,262.20,264.25,272.50,277.58,TRADE,272.50,277.58,264.25,false,-8.25,-3.03
2025-01-07,256.95,259.20,251.40,252.00,264.25,268.21,TRADE,264.25,268.21,252.00,false,-12.25,-4.64
2025-01-08,251.70,252.75,244.35,249.35,252.00,253.95,TRADE,252.00,253.95,249.35,false,-2.65,-1.05
2025-01-09,251.60,252.55,244.55,245.00,249.35,247.60,TRADE,249.35,247.60,247.60,true,-1.75,-0.70
2025-01-10,244.90,246.40,237.45,243.05,245.00,248.06,TRADE,245.00,248.06,243.05,false,-1.95,-0.80
2025-01-13,240.00,240.40,226.20,228.00,243.05,242.44,SKIP,,,,,,
2025-01-14,233.95,237.60,230.00,234.15,228.00,231.71,TRADE,228.00,231.71,231.71,true,3.71,1.63
2025-01-15,235.00,246.00,235.00,245.40,234.15,234.61,SKIP,,,,,,
2025-01-16,250.00,262.00,241.00,243.45,245.40,241.69,TRADE,245.40,241.69,241.69,true,-3.71,-1.51
2025-01-17,244.70,250.80,240.50,248.65,243.45,247.02,TRADE,243.45,247.02,247.02,true,3.57,1.47
2025-01-20,250.75,254.35,228.25,230.30,248.65,246.60,TRADE,248.65,246.60,246.60,true,-2.05,-0.82
2025-01-21,223.00,227.00,207.80,214.65,230.30,244.49,TRADE,230.30,244.49,214.65,false,-15.65,-6.80
2025-01-22,207.15,218.10,203.85,218.05,214.65,218.11,TRADE,214.65,218.11,218.05,false,3.40,1.58
2025-01-23,219.65,223.45,216.45,220.95,218.05,210.75,TRADE,218.05,210.75,220.95,false,2.90,1.33
2025-01-24,221.00,221.00,214.60,215.40,220.95,220.69,SKIP,,,,,,
2025-01-27,213.00,213.00,205.50,205.90,215.40,217.78,TRADE,215.40,217.78,205.90,false,-9.50,-4.41
2025-01-28,206.25,211.75,205.60,208.70,205.90,208.97,TRADE,205.90,208.97,208.97,true,3.07,1.49
2025-01-29,211.00,223.75,210.20,222.20,208.70,208.97,SKIP,,,,,,
2025-01-30,223.00,224.80,217.00,218.55,222.20,217.83,TRADE,222.20,217.83,217.83,true,-4.37,-1.97
2025-01-31,219.00,223.00,217.00,222.05,218.55,220.31,TRADE,218.55,220.31,220.31,true,1.76,0.81
2025-02-01,220.35,240.40,215.60,235.10,222.05,220.69,TRADE,222.05,220.69,220.69,true,-1.36,-0.61
2025-02-03,233.99,240.19,230.00,239.13,235.10,230.85,TRADE,235.10,230.85,230.85,true,-4.25,-1.81
