date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,178.48,179.30,175.27,178.64,178.69,190.52,TRADE,178.69,190.52,178.64,false,-0.05,-0.03
2025-01-03,179.13,181.06,177.30,178.67,178.64,190.04,TRADE,178.64,190.04,178.67,false,0.03,0.02
2025-01-06,178.85,178.86,171.75,172.41,178.67,191.31,TRADE,178.67,191.31,172.41,false,-6.26,-3.50
2025-01-07,174.09,176.87,171.90,174.49,172.41,186.74,TRADE,172.41,186.74,174.49,false,2.08,1.21
2025-01-08,174.74,179.11,174.73,177.84,174.49,186.80,TRADE,174.49,186.80,177.84,false,3.35,1.92
2025-01-09,177.91,178.36,170.38,171.22,177.84,189.74,TRADE,177.84,189.74,171.22,false,-6.62,-3.72
2025-01-10,171.47,172.75,166.09,167.84,171.22,185.69,TRADE,171.22,185.69,167.84,false,-3.38,-1.97
2025-01-13,163.70,167.04,160.40,160.90,167.84,180.03,TRADE,167.84,180.03,160.90,false,-6.94,-4.13
2025-01-14,161.84,166.52,161.75,164.77,160.90,174.61,TRADE,160.90,174.61,164.77,false,3.87,2.41
2025-01-15,165.54,168.19,164.25,166.28,164.77,175.89,TRADE,164.77,175.89,166.28,false,1.51,0.92
2025-01-16,170.02,170.35,166.37,168.66,166.28,178.33,TRADE,166.28,178.33,168.66,false,2.38,1.43
2025-01-17,167.83,170.81,167.67,169.36,168.66,180.16,TRADE,168.66,180.16,169.36,false,0.70,0.42
2025-01-20,169.09,170.91,167.37,170.30,169.36,180.80,TRADE,169.36,180.80,170.30,false,0.94,0.56
2025-01-21,169.89,171.56,167.55,168.34,170.30,181.56,TRADE,170.30,181.56,168.34,false,-1.96,-1.15
2025-01-22,167.52,168.78,160.95,164.91,168.34,180.95,TRADE,168.34,180.95,164.91,false,-3.43,-2.04
2025-01-23,163.72,168.47,163.72,166.94,164.91,175.02,TRADE,164.91,175.02,166.94,false,2.03,1.23
2025-01-24,167.09,168.28,163.84,164.13,166.94,178.83,TRADE,166.94,178.83,164.13,false,-2.81,-1.68
2025-01-27,161.66,162.69,155.77,156.02,164.13,176.48,TRADE,164.13,176.48,156.02,false,-8.11,-4.94
2025-01-28,155.81,159.03,152.64,155.42,156.02,169.37,TRADE,156.02,169.37,155.42,false,-0.60,-0.38
2025-01-29,155.44,157.17,153.63,154.46,155.42,166.44,TRADE,155.42,166.44,154.46,false,-0.96,-0.62
2025-01-30,154.51,161.65,154.51,155.40,154.46,166.17,TRADE,154.46,166.17,155.40,false,0.94,0.61
2025-01-31,158.15,167.14,156.19,165.54,155.40,168.99,TRADE,155.40,168.99,165.54,false,10.14,6.53
2025-02-01,167.21,168.66,163.06,164.31,165.54,175.06,TRADE,165.54,175.06,164.31,false,-1.23,-0.74
2025-02-03,164.46,165.56,161.72,163.26,164.31,177.28,TRADE,164.31,177.28,163.26,false,-1.05,-0.64
2025-02-04,164.46,166.75,163.52,166.24,163.26,175.12,TRADE,163.26,175.12,166.24,false,2.98,1.83
2025-02-05,168.30,169.08,166.66,167.83,166.24,177.35,TRADE,166.24,177.35,167.83,false,1.59,0.96
2025-02-06,168.20,169.01,164.93,166.99,167.83,179.32,TRADE,167.83,179.32,166.99,false,-0.84,-0.50
2025-02-07,165.83,168.16,164.96,165.96,166.99,178.32,TRADE,166.99,178.32,165.96,false,-1.03,-0.62
2025-02-10,165.88,166.45,162.44,163.02,165.96,171.40,TRADE,165.96,171.40,163.02,false,-2.94,-1.77
2025-02-11,162.05,162.66,155.87,157.00,163.02,168.71,TRADE,163.02,168.71,157.00,false,-6.02,-3.69
2025-02-12,155.26,156.28,150.81,155.21,157.00,162.05,TRADE,157.00,162.05,155.21,false,-1.79,-1.14
2025-02-13,154.53,159.81,154.53,157.20,155.21,158.82,TRADE,155.21,158.82,158.82,true,3.61,2.33
2025-02-14,157.60,160.30,155.89,157.10,157.20,162.82,TRADE,157.20,162.82,157.10,false,-0.10,-0.06
2025-02-17,155.46,156.54,152.99,155.45,157.10,162.99,TRADE,157.10,162.99,155.45,false,-1.65,-1.05
2025-02-18,155.33,159.77,152.84,158.87,155.45,159.45,TRADE,155.45,159.45,159.45,true,4.00,2.57
2025-02-19,157.31,159.78,156.76,158.55,158.87,161.29,TRADE,158.87,161.29,158.55,false,-0.32,-0.20
2025-02-20,157.20,162.37,156.72,161.76,158.55,163.22,TRADE,158.55,163.22,161.76,false,3.21,2.02
2025-02-21,161.85,163.40,158.23,158.97,161.76,165.76,TRADE,161.76,165.76,158.97,false,-2.79,-1.72
2025-02-24,156.62,160.68,155.84,159.54,158.97,165.62,TRADE,158.97,165.62,159.54,false,0.57,0.36
2025-02-25,159.04,160.56,155.65,156.05,159.54,163.71,TRADE,159.54,163.71,156.05,false,-3.49,-2.19
2025-02-27,155.16,157.04,152.71,154.32,156.05,162.41,TRADE,156.05,162.41,154.32,false,-1.73,-1.11
2025-02-28,154.18,154.18,149.01,151.40,154.32,158.64,TRADE,154.32,158.64,151.40,false,-2.92,-1.89
2025-03-03,151.32,154.19,148.68,149.20,151.40,155.21,TRADE,151.40,155.21,149.20,false,-2.20,-1.45
