date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,78.74,79.05,78.03,78.74,78.55,78.74,12700,78.55,78.55,true,15.93,2197.34,-4626.27,-0.46,995373.73
2025-01-02,78.74,79.92,78.26,78.60,78.61,78.74,12641,78.61,78.61,true,15.93,2187.97,-3847.23,-0.39,991526.50
2025-01-03,78.60,78.99,75.93,76.15,79.07,78.60,12614,79.07,76.15,false,15.93,2147.22,-33067.45,-3.34,958459.05
2025-01-06,76.15,77.57,76.11,76.60,76.92,76.15,12586,76.92,76.92,true,15.93,2119.19,7556.10,0.79,966015.15
2025-01-07,76.60,77.22,75.00,76.77,76.81,76.60,12611,76.81,76.81,true,15.93,2128.12,504.26,0.05,966519.41
2025-01-08,76.77,77.36,75.86,76.01,76.40,76.77,12589,76.40,76.40,true,15.93,2121.08,-6794.94,-0.70,959724.47
2025-01-09,76.01,76.30,74.07,74.25,76.52,76.01,12626,76.52,74.25,false,15.93,2086.90,-24324.59,-2.53,935399.88
2025-01-10,74.25,73.98,69.27,69.63,74.82,74.25,12597,74.82,69.63,false,15.93,1993.70,-60207.77,-6.44,875192.11
2025-01-13,69.63,73.13,70.34,72.98,71.33,69.63,12569,71.33,71.33,true,15.93,1948.90,19402.47,2.22,894594.58
2025-01-14,72.98,74.69,72.50,74.14,71.58,72.98,12258,71.58,74.14,false,15.93,1983.74,12219.61,1.37,906814.19
2025-01-15,74.14,75.65,74.49,74.83,73.81,74.14,12231,73.81,74.83,false,15.93,2004.26,6419.20,0.71,913233.39
2025-01-16,74.83,76.49,74.14,76.22,74.91,74.83,12204,74.91,74.91,true,15.93,2010.17,-1049.78,-0.11,912183.61
2025-01-17,76.22,77.35,75.62,76.58,75.83,76.22,11967,75.83,75.83,true,15.93,2001.54,-6684.60,-0.73,905499.01
2025-01-20,76.58,77.30,74.11,74.22,76.78,76.58,11824,76.78,76.78,true,15.93,1994.66,354.21,0.04,905853.22
2025-01-21,74.22,74.70,70.85,72.89,75.24,74.22,12204,75.24,72.89,false,15.93,1974.86,-18222.11,-2.01,887631.11
2025-01-22,72.89,73.74,72.33,73.47,72.34,72.89,12177,72.34,72.34,true,15.93,1945.31,-8658.59,-0.98,878972.52
2025-01-23,73.47,74.01,71.10,71.50,73.17,73.47,11963,73.17,73.17,true,15.93,1929.68,-5534.51,-0.63,873438.01
2025-01-24,71.50,71.03,69.66,70.31,72.53,71.50,12215,72.53,70.31,false,15.93,1905.43,-16457.21,-1.88,856980.80
2025-01-27,70.31,72.00,68.90,71.30,70.33,70.31,12188,70.33,70.33,true,15.93,1885.53,-1657.70,-0.19,855323.09
2025-01-28,71.30,73.71,70.76,71.15,70.33,71.30,11996,70.33,71.15,false,15.93,1879.71,-3695.04,-0.43,851628.05
2025-01-29,71.15,72.49,70.76,71.23,72.20,71.15,11969,72.20,72.20,true,15.93,1887.33,10664.19,1.25,862292.24
2025-01-30,71.23,73.08,70.73,72.73,71.36,71.23,12105,71.36,71.36,true,15.93,1898.66,-340.94,-0.04,861951.30
2025-01-31,72.73,75.05,72.13,73.89,72.40,72.73,11851,72.40,72.40,true,15.93,1891.93,-5818.69,-0.68,856132.61
2025-02-01,73.89,73.88,71.64,73.53,73.83,73.89,11586,73.83,73.83,true,15.93,1882.63,-2593.72,-0.30,853538.89
2025-02-03,73.53,75.19,72.75,74.53,72.94,73.53,11608,72.94,72.94,true,15.93,1870.25,-8734.90,-1.02,844803.99
2025-02-04,74.53,76.60,74.79,75.30,74.11,74.53,11335,74.11,75.30,false,15.93,1868.16,6843.86,0.81,851647.86
2025-02-05,75.30,76.05,74.00,74.76,75.61,75.30,11310,75.61,75.61,true,15.93,1877.47,1612.70,0.19,853260.56
2025-02-06,74.76,75.32,73.25,74.71,75.16,74.76,11413,75.16,75.16,true,15.93,1882.14,2667.13,0.31,855927.69
2025-02-07,74.71,74.89,72.85,73.51,74.25,74.71,11456,74.25,74.25,true,15.93,1877.13,-7162.82,-0.84,848764.86
2025-02-10,73.51,73.61,71.26,71.70,73.65,73.51,11546,73.65,71.70,false,15.93,1844.25,-22758.44,-2.68,826006.42
2025-02-11,71.70,72.48,69.40,72.34,72.17,71.70,11520,72.17,72.17,true,15.93,1823.12,3575.35,0.43,829581.77
