date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,632.90,641.95,624.00,628.40,629.96,632.90,1580,629.96,629.96,true,15.93,2194.85,-6855.98,-0.69,993144.02
2025-01-02,628.40,633.55,622.50,625.50,631.77,628.40,1580,631.77,631.77,true,15.93,2190.18,3118.49,0.31,996262.51
2025-01-03,625.50,627.50,589.00,592.45,627.83,625.50,1592,627.83,592.45,false,15.93,2132.87,-54764.40,-5.50,941498.11
2025-01-06,592.45,612.25,595.00,605.00,604.99,592.45,1589,604.99,604.99,true,15.93,2093.01,17817.12,1.89,959315.23
2025-01-07,605.00,613.95,595.65,603.95,605.19,605.00,1585,605.19,605.19,true,15.93,2109.97,-1824.75,-0.19,957490.49
2025-01-08,603.95,608.90,592.00,593.95,603.11,603.95,1585,603.11,603.11,true,15.93,2104.51,-3451.84,-0.36,954038.65
2025-01-09,593.95,596.10,559.55,569.35,599.00,593.95,1606,599.00,569.35,false,15.93,2055.09,-41578.62,-4.36,912460.03
2025-01-10,569.35,562.95,525.00,527.85,574.06,569.35,1602,574.06,527.85,false,15.93,1933.49,-68432.42,-7.50,844027.62
2025-01-13,527.85,548.00,528.50,548.00,542.81,527.85,1598,542.81,542.81,true,15.93,1882.01,22008.14,2.61,866035.76
2025-01-14,548.00,555.75,526.55,533.00,539.00,548.00,1580,539.00,539.00,true,15.93,1889.21,-16125.14,-1.86,849910.63
2025-01-15,533.00,565.45,540.00,550.35,539.64,533.00,1594,539.64,550.35,false,15.93,1899.55,25740.42,3.03,875651.05
2025-01-16,550.35,561.15,540.90,555.95,552.89,550.35,1591,552.89,552.89,true,15.93,1930.78,2094.43,0.24,877745.48
2025-01-17,555.95,575.00,554.90,565.75,553.16,555.95,1578,553.16,565.75,false,15.93,1947.05,13501.42,1.54,891246.90
2025-01-20,565.75,580.95,547.00,550.50,565.12,565.75,1575,565.12,565.12,true,15.93,1959.23,-2967.41,-0.33,888279.49
2025-01-21,550.50,553.85,530.65,545.90,562.05,550.50,1613,562.05,545.90,false,15.93,1945.34,-9381.07,-1.06,878898.42
2025-01-22,545.90,552.95,540.25,544.90,540.34,545.90,1609,540.34,540.34,true,15.93,1922.54,-10884.51,-1.24,868013.91
2025-01-23,544.90,551.40,527.25,529.00,546.38,544.90,1592,546.38,546.38,true,15.93,1911.05,429.18,0.05,868443.09
2025-01-24,529.00,526.50,495.60,501.95,540.99,529.00,1641,540.99,501.95,false,15.93,1860.97,-46265.95,-5.33,822177.14
2025-01-27,501.95,536.75,473.10,515.00,510.23,501.95,1637,510.23,510.23,true,15.93,1822.63,11715.80,1.43,833892.94
2025-01-28,515.00,547.55,516.45,544.90,505.21,515.00,1619,505.21,544.90,false,15.93,1887.58,46504.59,5.58,880397.54
2025-01-29,544.90,594.00,557.20,567.20,534.74,544.90,1615,534.74,567.20,false,15.93,1975.65,34022.92,3.87,914420.46
2025-01-30,567.20,600.75,562.30,597.00,579.41,567.20,1612,579.41,579.41,true,15.93,2033.17,17633.42,1.93,932053.88
2025-01-31,597.00,623.60,566.60,580.00,587.35,597.00,1561,587.35,587.35,true,15.93,2033.65,-17113.23,-1.84,914940.65
2025-02-01,580.00,599.80,571.10,574.55,598.65,580.00,1577,598.65,598.65,true,15.93,2044.60,27350.52,2.99,942291.17
2025-02-03,574.55,585.00,568.75,574.00,581.83,574.55,1640,581.83,581.83,true,15.93,2086.11,9837.16,1.04,952128.33
2025-02-04,574.00,588.00,577.10,579.00,574.96,574.00,1658,574.96,579.00,false,15.93,2102.84,6171.23,0.65,958299.56
