date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-02-19,756.00,806.70,745.75,795.25,759.95,756.00,1322,759.95,759.95,true,15.93,2204.49,3001.48,0.30,1003001.48
2025-02-20,795.25,824.00,775.00,818.20,786.65,795.25,1261,786.65,786.65,true,15.93,2194.25,-13054.78,-1.30,989946.69
2025-02-21,818.20,840.50,797.50,800.35,805.22,818.20,1209,805.22,805.22,true,15.93,2158.99,-17867.74,-1.81,972078.96
2025-02-24,800.35,828.65,787.85,819.40,817.74,800.35,1214,817.74,817.74,true,15.93,2160.80,18934.73,1.95,991013.69
2025-02-25,819.40,847.00,784.45,820.05,811.47,819.40,1209,811.47,811.47,true,15.93,2168.89,-11772.19,-1.19,979241.49
2025-02-27,820.05,826.60,793.20,801.15,818.32,820.05,1194,818.32,818.32,true,15.93,2151.84,-4233.39,-0.43,975008.11
2025-02-28,801.15,817.00,790.25,809.00,805.04,801.15,1217,805.04,805.04,true,15.93,2150.21,2567.99,0.26,977576.10
2025-03-03,809.00,808.90,793.25,801.00,806.19,809.00,1208,806.19,806.19,true,15.93,2146.26,-5556.67,-0.57,972019.43
2025-03-04,801.00,816.80,798.00,803.05,800.73,801.00,1213,800.73,800.73,true,15.93,2137.19,-2480.63,-0.26,969538.80
2025-03-05,803.05,827.90,805.10,814.95,807.61,803.05,1207,807.61,807.61,true,15.93,2138.47,3349.52,0.35,972888.32
2025-03-06,814.95,827.00,758.60,780.85,814.16,814.95,1193,814.16,814.16,true,15.93,2137.88,-3096.28,-0.32,969792.04
2025-03-07,780.85,800.25,768.30,770.80,784.27,780.85,1241,784.27,784.27,true,15.93,2136.55,2091.74,0.22,971883.78
2025-03-10,770.80,801.65,765.00,800.00,785.35,770.80,1260,785.35,785.35,true,15.93,2156.82,16160.25,1.66,988044.03
2025-03-11,800.00,803.45,762.50,765.95,786.84,800.00,1235,786.84,786.84,true,15.93,2155.72,-18424.25,-1.86,969619.77
2025-03-12,765.95,779.00,753.00,753.00,778.54,765.95,1265,778.54,778.54,true,15.93,2149.16,13761.26,1.42,983381.04
2025-03-13,753.00,757.00,719.80,752.10,766.36,753.00,1305,766.36,752.10,false,15.93,2160.57,-3351.00,-0.34,980030.04
2025-03-17,752.10,789.95,745.35,758.00,731.43,752.10,1303,731.43,758.00,false,15.93,2164.43,5507.34,0.56,985537.38
2025-03-18,758.00,742.00,722.60,733.95,770.65,758.00,1300,770.65,733.95,false,15.93,2133.49,-33414.42,-3.39,952122.96
2025-03-19,733.95,747.95,728.50,730.85,735.71,733.95,1297,735.71,735.71,true,15.93,2096.76,170.03,0.02,952292.99
2025-03-20,730.85,745.00,714.80,728.70,735.98,730.85,1302,735.98,735.98,true,15.93,2100.79,4562.54,0.48,956855.52
2025-03-21,728.70,740.00,728.10,731.95,734.86,728.70,1313,734.86,734.86,true,15.93,2113.82,5958.33,0.62,962813.85
2025-03-24,731.95,737.00,721.30,725.75,735.25,731.95,1315,735.25,735.25,true,15.93,2122.30,2201.27,0.23,965015.12
2025-03-25,725.75,730.00,715.00,715.95,729.88,725.75,1329,729.88,729.88,true,15.93,2127.99,3344.85,0.35,968359.97
2025-03-26,715.95,726.00,709.50,712.00,722.98,715.95,1352,722.98,722.98,true,15.93,2139.98,7348.65,0.76,975708.63
2025-03-27,712.00,723.80,698.40,701.00,716.77,712.00,1370,716.77,716.77,true,15.93,2153.16,4365.81,0.45,980074.44
2025-03-28,701.00,709.90,683.50,701.80,705.40,701.00,1398,705.40,705.40,true,15.93,2162.76,3972.51,0.41,984046.95
2025-04-01,701.80,707.90,685.00,701.40,702.26,701.80,1402,702.26,702.26,true,15.93,2165.34,-1536.35,-0.16,982510.60
2025-04-02,701.40,706.75,680.10,681.20,694.01,701.40,1400,694.01,694.01,true,15.93,2148.93,-12510.86,-1.27,969999.73
2025-04-03,681.20,680.10,645.10,655.90,692.81,681.20,1423,692.81,655.90,false,15.93,2092.96,-38110.79,-3.93,931888.94
2025-04-04,655.90,663.55,590.30,660.80,655.31,655.90,1420,655.31,655.31,true,15.93,2048.11,-2901.84,-0.31,928987.10
2025-04-07,660.80,680.05,660.15,664.05,623.95,660.80,1405,623.95,664.05,false,15.93,2047.56,2502.76,0.27,931489.87
2025-04-08,664.05,665.05,620.25,636.50,670.15,664.05,1402,670.15,636.50,false,15.93,2005.71,-40646.74,-4.37,890843.13
2025-04-09,636.50,664.00,630.00,630.35,632.03,636.50,1399,632.03,632.03,true,15.93,1952.14,-8221.60,-0.92,882621.53
2025-04-11,630.35,643.20,631.00,635.90,634.35,630.35,1400,634.35,634.35,true,15.93,1947.64,3636.43,0.41,886257.96
2025-04-15,635.90,640.00,623.85,629.95,639.03,635.90,1393,639.03,639.03,true,15.93,1953.58,2390.58,0.27,888648.54
2025-04-16,629.95,679.50,628.60,664.95,629.12,629.95,1410,629.12,629.12,true,15.93,1952.82,-3139.05,-0.35,885509.50
2025-04-17,664.95,681.45,654.60,677.00,663.18,664.95,1331,663.18,663.18,true,15.93,1944.52,-4316.32,-0.49,881193.18
2025-04-21,677.00,680.00,657.40,664.00,673.42,677.00,1301,673.42,673.42,true,15.93,1932.59,-6606.10,-0.75,874587.09
2025-04-22,664.00,670.05,640.20,669.25,664.95,664.00,1317,664.95,664.95,true,15.93,1925.25,-690.03,-0.08,873897.06
2025-04-23,669.25,690.50,668.95,686.05,652.34,669.25,1305,652.34,686.05,false,15.93,1945.53,19962.54,2.29,893859.59
2025-04-24,686.05,714.40,684.20,705.00,684.54,686.05,1302,684.54,684.54,true,15.93,1962.96,-3944.91,-0.44,889914.68
2025-04-25,705.00,714.45,681.30,703.00,700.20,705.00,1262,700.20,700.20,true,15.93,1950.70,-8024.23,-0.90,881890.45
2025-04-28,703.00,733.50,683.65,727.55,697.70,703.00,1254,697.70,697.70,true,15.93,1932.13,-8594.26,-0.97,873296.20
2025-04-29,727.55,730.40,682.50,702.15,721.24,727.55,1200,721.24,721.24,true,15.93,1912.40,-9500.33,-1.09,863795.87
2025-04-30,702.15,708.05,689.90,700.60,701.48,702.15,1230,701.48,701.48,true,15.93,1899.11,-2739.14,-0.32,861056.73
2025-05-02,700.60,714.80,692.60,698.45,700.70,700.60,1229,700.70,700.70,true,15.93,1894.42,-1787.45,-0.21,859269.28
2025-05-05,698.45,706.75,677.80,683.60,707.43,698.45,1230,707.43,683.60,false,15.93,1869.91,-20151.34,-2.35,839117.93
2025-05-06,683.60,689.00,674.15,685.65,693.38,683.60,1227,693.38,685.65,false,15.93,1848.08,651.34,0.08,839769.28
2025-05-07,685.65,709.25,685.25,688.75,683.94,685.65,1224,683.94,688.75,false,15.93,1850.49,1927.98,0.23,841697.26
2025-05-08,688.75,706.50,673.10,701.80,699.73,688.75,1222,699.73,699.73,true,15.93,1866.39,11535.24,1.37,853232.49
2025-05-09,701.80,754.80,710.25,746.95,696.18,701.80,1215,696.18,746.95,false,15.93,1936.25,52905.07,6.20,906137.56
2025-05-12,746.95,758.30,739.65,743.45,738.79,746.95,1213,738.79,743.45,false,15.93,1988.64,-6250.07,-0.69,899887.49
2025-05-13,743.45,766.85,731.15,757.70,747.91,743.45,1210,747.91,747.91,true,15.93,1985.00,3395.67,0.38,903283.15
2025-05-14,757.70,769.65,747.60,762.20,754.66,757.70,1192,754.66,754.66,true,15.93,1983.01,-5622.62,-0.62,897660.54
2025-05-15,762.20,784.30,754.40,765.90,761.48,762.20,1177,761.48,761.48,true,15.93,1972.71,-2836.08,-0.32,894824.46
2025-05-16,765.90,767.95,738.20,745.00,775.27,765.90,1168,775.27,745.00,false,15.93,1941.20,-26368.33,-2.95,868456.13
2025-05-19,745.00,795.00,741.50,791.00,748.11,745.00,1165,748.11,748.11,true,15.93,1913.42,1693.80,0.20,870149.93
2025-05-20,791.00,806.10,775.00,789.60,763.00,791.00,1100,763.00,789.60,false,15.93,1912.53,-3468.46,-0.40,866681.47
2025-05-21,789.60,810.50,782.95,808.00,789.70,789.60,1097,789.70,789.70,true,15.93,1905.74,-1811.97,-0.21,864869.50
2025-05-22,808.00,820.75,791.85,794.10,801.71,808.00,1070,801.71,801.71,true,15.93,1894.63,-8640.86,-1.00,856228.64
2025-05-23,794.10,810.05,795.45,800.10,805.33,794.10,1078,805.33,805.33,true,15.93,1896.60,10193.41,1.19,866422.05
2025-05-26,800.10,823.00,797.00,817.10,800.41,800.10,1082,800.41,800.41,true,15.93,1904.93,-1585.44,-0.18,864836.61
2025-05-27,817.10,825.00,809.30,815.00,815.26,817.10,1058,815.26,815.26,true,15.93,1899.74,-3862.39,-0.45,860974.22
2025-05-28,815.00,823.60,810.00,811.00,818.89,815.00,1056,818.89,818.89,true,15.93,1897.93,2193.98,0.25,863168.20
2025-05-29,811.00,891.00,814.05,852.15,816.40,811.00,1064,816.40,816.40,true,15.93,1904.71,3824.96,0.44,866993.16
2025-05-30,852.15,854.00,804.00,811.00,854.99,852.15,1017,854.99,811.00,false,15.93,1860.57,-43726.05,-5.05,823267.12
2025-06-02,811.00,821.00,795.05,812.00,823.47,811.00,1015,823.47,812.00,false,15.93,1812.08,-813.01,-0.10,822454.11
2025-06-03,812.00,824.50,804.65,812.60,810.64,812.00,1012,810.64,810.64,true,15.93,1806.32,-3198.57,-0.39,819255.53
2025-06-04,812.60,830.65,812.85,825.80,813.47,812.60,1008,813.47,813.47,true,15.93,1802.99,-941.96,-0.11,818313.58
2025-06-05,825.80,832.35,817.50,820.10,822.21,825.80,990,822.21,822.21,true,15.93,1794.68,-5364.71,-0.66,812948.86
2025-06-06,820.10,847.00,816.55,835.35,825.16,820.10,991,825.16,825.16,true,15.93,1793.50,3205.03,0.39,816153.90
2025-06-09,835.35,848.45,834.00,841.30,831.80,835.35,977,831.80,841.30,false,15.93,1801.90,3995.32,0.49,820149.22
2025-06-10,841.30,848.40,830.10,842.00,842.97,841.30,974,842.97,842.97,true,15.93,1804.53,-193.88,-0.02,819955.34
2025-06-11,842.00,850.90,812.35,814.90,843.55,842.00,973,843.55,843.55,true,15.93,1804.04,-311.82,-0.04,819643.52
2025-06-12,814.90,834.35,794.40,832.50,825.11,814.90,1005,825.11,825.11,true,15.93,1813.03,8432.09,1.03,828075.61
2025-06-13,832.50,838.95,815.05,835.40,823.74,832.50,994,823.74,823.74,true,15.93,1810.93,-10534.30,-1.27,817541.31
2025-06-16,835.40,842.40,826.10,831.90,829.01,835.40,978,829.01,829.01,true,15.93,1790.57,-8055.92,-0.99,809485.38
2025-06-17,831.90,845.20,830.45,839.95,834.25,831.90,973,834.25,834.25,true,15.93,1783.28,487.34,0.06,809972.72
2025-06-18,839.95,841.05,816.05,824.00,838.52,839.95,964,838.52,838.52,true,15.93,1779.85,-3174.30,-0.39,806798.42
2025-06-19,824.00,841.80,817.05,820.00,824.35,824.00,979,824.35,824.35,true,15.93,1775.11,-1448.39,-0.18,805350.04
2025-06-20,820.00,840.25,821.70,831.00,828.77,820.00,982,828.77,828.77,true,15.93,1781.00,6815.21,0.85,812165.24
2025-06-23,831.00,855.80,834.15,838.45,832.65,831.00,977,832.65,838.45,false,15.93,1794.16,5468.56,0.67,817633.81
2025-06-24,838.45,858.40,837.15,845.30,842.25,838.45,975,842.25,842.25,true,15.93,1802.55,1886.52,0.23,819520.33
2025-06-25,845.30,858.00,840.00,854.95,848.99,845.30,969,848.99,848.99,true,15.93,1805.94,1753.74,0.21,821274.06
2025-06-26,854.95,880.30,847.15,868.95,850.61,854.95,960,850.61,850.61,true,15.93,1801.07,-5983.40,-0.73,815290.66
2025-06-27,868.95,880.30,848.80,850.40,868.60,868.95,938,868.60,868.60,true,15.93,1792.80,-2137.03,-0.26,813153.63
2025-06-30,850.40,855.40,837.50,843.50,855.48,850.40,956,855.48,843.50,false,15.93,1781.31,-8393.64,-1.03,804759.99
2025-07-01,843.50,882.85,843.00,877.35,846.52,843.50,954,846.52,846.52,true,15.93,1773.51,1091.64,0.14,805851.63
2025-07-02,877.35,892.00,862.35,866.20,865.89,877.35,918,865.89,865.89,true,15.93,1760.32,-12296.53,-1.53,793555.10
2025-07-03,866.20,880.70,852.05,865.00,875.70,866.20,916,875.70,875.70,true,15.93,1755.14,6930.93,0.87,800486.03
2025-07-04,865.00,872.00,847.05,861.35,863.25,865.00,925,863.25,863.25,true,15.93,1758.49,-3393.17,-0.42,797092.86
2025-07-07,861.35,886.00,857.45,886.00,857.95,861.35,925,857.95,857.95,true,15.93,1749.39,-4910.32,-0.62,792182.54
2025-07-08,886.00,900.00,875.55,887.50,877.98,886.00,894,877.98,877.98,true,15.93,1734.70,-8920.51,-1.13,783262.03
2025-07-09,887.50,892.60,868.20,871.70,887.85,887.50,882,887.85,887.85,true,15.93,1722.44,-1429.67,-0.18,781832.36
2025-07-10,871.70,878.80,855.20,859.10,883.67,871.70,896,883.67,859.10,false,15.93,1705.88,-13011.41,-1.67,768820.95
2025-07-11,859.10,865.75,841.85,850.15,865.29,859.10,894,865.29,865.29,true,15.93,1695.77,3822.16,0.50,772643.12
2025-07-14,850.15,861.40,842.25,846.05,846.33,850.15,908,846.33,846.33,true,15.93,1694.44,-5178.93,-0.67,767464.18
2025-07-15,846.05,862.20,838.25,858.00,848.31,846.05,907,848.31,848.31,true,15.93,1690.46,343.43,0.04,767807.61
2025-07-16,858.00,882.05,857.00,858.00,854.19,858.00,894,854.19,858.00,false,15.93,1687.51,-1703.44,-0.22,766104.16
