date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,969.40,994.95,968.80,994.95,970.55,969.40,1031,970.55,970.55,true,15.93,2200.10,-1030.38,-0.10,998969.62
2025-01-02,994.95,1025.40,990.65,997.15,983.35,994.95,1004,983.35,997.15,false,15.93,2200.08,-7.21,-0.00,998962.42
2025-01-03,997.15,1004.95,963.20,970.20,1006.74,997.15,1001,1006.74,970.20,false,15.93,2166.25,-29159.13,-2.92,969803.29
2025-01-06,970.20,994.55,970.15,978.80,978.71,970.20,999,978.71,978.71,true,15.93,2141.66,6343.90,0.65,976147.19
2025-01-07,978.80,986.00,967.10,980.60,984.91,978.80,997,984.91,984.91,true,15.93,2153.60,3922.14,0.40,980069.33
2025-01-08,980.60,985.35,970.40,981.40,977.52,980.60,999,977.52,977.52,true,15.93,2151.78,-5244.63,-0.54,974824.70
2025-01-09,981.40,975.00,933.05,938.90,978.18,981.40,993,978.18,938.90,false,15.93,2097.54,-44315.97,-4.55,930508.73
2025-01-10,938.90,973.50,934.50,943.85,948.51,938.90,991,948.51,948.51,true,15.93,2057.47,7450.11,0.80,937958.84
2025-01-13,943.85,979.30,945.10,964.95,953.88,943.85,993,953.88,953.88,true,15.93,2072.89,7870.97,0.84,945829.81
2025-01-14,964.95,983.00,954.65,962.05,967.95,964.95,980,967.95,967.95,true,15.93,2083.67,840.40,0.09,946670.22
2025-01-15,962.05,990.65,967.00,977.20,966.57,962.05,984,966.57,977.20,false,15.93,2099.04,12792.63,1.35,959462.84
2025-01-16,977.20,975.60,959.00,972.50,980.76,977.20,981,980.76,972.50,false,15.93,2103.92,-6730.55,-0.70,952732.29
2025-01-17,972.50,980.45,948.10,970.00,967.73,972.50,979,967.73,967.73,true,15.93,2089.43,-6775.19,-0.71,945957.10
2025-01-20,970.00,978.50,958.00,959.50,966.74,970.00,975,966.74,966.74,true,15.93,2077.15,-5271.58,-0.56,940685.51
2025-01-21,959.50,977.55,949.15,970.90,964.55,959.50,980,964.55,964.55,true,15.93,2074.13,2858.94,0.30,943544.46
2025-01-22,970.90,988.55,962.50,969.75,959.03,970.90,971,959.03,969.75,false,15.93,2072.81,-3205.39,-0.34,940339.07
