date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,4488.00,4520.00,4442.00,4467.45,4470.30,4443.42,TRADE,4470.30,4443.42,4443.42,true,-26.88,-0.60
2025-01-03,4500.00,4519.20,4338.35,4349.70,4467.45,4479.65,SKIP,,,,,,
2025-01-06,4350.00,4369.65,4211.50,4250.05,4349.70,4425.43,TRADE,4349.70,4425.43,4250.05,false,-99.65,-2.29
2025-01-07,4225.00,4333.95,4212.05,4318.05,4250.05,4259.32,SKIP,,,,,,
2025-01-08,4312.70,4328.50,4237.20,4284.95,4318.05,4291.37,TRADE,4318.05,4291.37,4291.37,true,-26.68,-0.62
2025-01-09,4259.45,4297.00,4189.65,4204.65,4284.95,4266.12,SKIP,,,,,,
2025-01-10,4197.05,4247.70,4161.10,4177.90,4204.65,4234.48,TRADE,4204.65,4234.48,4234.48,true,29.83,0.71
2025-01-13,4126.00,4139.45,3951.50,3977.00,4177.90,4199.45,TRADE,4177.90,4199.45,3977.00,false,-200.90,-4.81
2025-01-14,3974.95,4048.50,3867.95,4028.50,3977.00,4026.23,TRADE,3977.00,4026.23,4026.23,true,49.23,1.24
2025-01-15,4055.00,4118.00,4022.95,4061.30,4028.50,3967.45,TRADE,4028.50,3967.45,4061.30,false,32.80,0.81
2025-01-16,4100.00,4152.90,4051.00,4101.05,4061.30,4072.98,SKIP,,,,,,
2025-01-17,4095.95,4121.95,4050.05,4111.65,4101.05,4111.11,SKIP,,,,,,
2025-01-20,4104.70,4198.20,4094.40,4147.00,4111.65,4084.28,TRADE,4111.65,4084.28,4147.00,false,35.35,0.86
2025-01-21,4177.00,4196.00,4007.00,4038.20,4147.00,4147.01,SKIP,,,,,,
2025-01-22,3999.45,4161.70,3910.40,4124.30,4038.20,4065.78,TRADE,4038.20,4065.78,4065.78,true,27.58,0.68
2025-01-23,4117.10,4572.70,4101.75,4471.40,4124.30,4021.84,TRADE,4124.30,4021.84,4471.40,false,347.10,8.42
2025-01-24,4478.25,4484.10,4235.00,4244.90,4471.40,4467.55,SKIP,,,,,,
2025-01-27,4182.65,4184.65,3983.70,3992.00,4244.90,4367.15,TRADE,4244.90,4367.15,3992.00,false,-252.90,-5.96
2025-01-28,3991.00,4064.85,3848.05,3930.00,3992.00,4039.05,TRADE,3992.00,4039.05,4039.05,true,47.05,1.18
2025-01-29,3925.25,4029.65,3912.00,4010.00,3930.00,3925.75,SKIP,,,,,,
2025-01-30,4011.30,4059.70,3907.15,3960.40,4010.00,3986.23,TRADE,4010.00,3986.23,3986.23,true,-23.77,-0.59
2025-01-31,3974.95,4092.90,3963.00,4034.75,3960.40,3965.63,SKIP,,,,,,
2025-02-01,4060.00,4126.55,3846.75,3921.00,4034.75,4036.49,SKIP,,,,,,
2025-02-03,3875.50,3931.45,3840.10,3910.00,3921.00,3961.02,TRADE,3921.00,3961.02,3910.00,false,-11.00,-0.28
2025-02-04,3900.00,3920.00,3808.40,3874.50,3910.00,3889.90,TRADE,3910.00,3889.90,3889.90,true,-20.10,-0.51
2025-02-05,3878.05,3964.85,3878.05,3887.05,3874.50,3867.82,SKIP,,,,,,
2025-02-06,3910.00,3945.00,3885.00,3929.80,3887.05,3909.95,TRADE,3887.05,3909.95,3909.95,true,22.90,0.59
2025-02-07,3940.80,3955.80,3885.75,3910.00,3929.80,3913.09,SKIP,,,,,,
2025-02-10,3912.25,3917.75,3781.50,3795.10,3910.00,3923.89,SKIP,,,,,,
2025-02-11,3799.95,3809.00,3500.65,3559.95,3795.10,3827.16,TRADE,3795.10,3827.16,3559.95,false,-235.15,-6.20
2025-02-12,3560.35,3565.90,3401.00,3486.80,3559.95,3586.00,TRADE,3559.95,3586.00,3486.80,false,-73.15,-2.05
2025-02-13,3518.10,3518.10,3390.40,3394.05,3486.80,3475.61,SKIP,,,,,,
2025-02-14,3410.00,3475.00,3330.95,3411.00,3394.05,3452.78,TRADE,3394.05,3452.78,3452.78,true,58.73,1.73
2025-02-17,3399.00,3468.50,3335.05,3448.25,3411.00,3403.87,SKIP,,,,,,
2025-02-18,3410.35,3468.75,3366.50,3399.70,3448.25,3424.02,TRADE,3448.25,3424.02,3424.02,true,-24.23,-0.70
2025-02-19,3380.00,3587.95,3379.00,3566.15,3399.70,3403.63,SKIP,,,,,,
2025-02-20,3570.00,3753.95,3525.00,3730.00,3566.15,3497.57,TRADE,3566.15,3497.57,3730.00,false,163.85,4.59
2025-02-21,3739.10,3932.35,3735.00,3840.00,3730.00,3673.99,TRADE,3730.00,3673.99,3840.00,false,110.00,2.95
2025-02-24,3810.10,3859.50,3716.10,3749.95,3840.00,3872.39,TRADE,3840.00,3872.39,3749.95,false,-90.05,-2.35
2025-02-25,3749.95,3836.90,3740.00,3795.00,3749.95,3777.17,TRADE,3749.95,3777.17,3777.17,true,27.22,0.73
2025-02-27,3450.00,3450.00,2974.40,2984.00,3795.00,3792.28,SKIP,,,,,,
2025-02-28,2974.00,3225.00,2902.85,3144.95,2984.00,3103.29,TRADE,2984.00,3103.29,3103.29,true,119.29,4.00
2025-03-03,3151.30,3239.90,3025.50,3127.55,3144.95,3077.09,TRADE,3144.95,3077.09,3077.09,true,-67.86,-2.16
2025-03-04,3080.00,3169.00,3074.40,3168.00,3127.55,3108.12,TRADE,3127.55,3108.12,3108.12,true,-19.43,-0.62
2025-03-05,3129.05,3305.00,3121.25,3274.20,3168.00,3125.02,TRADE,3168.00,3125.02,3125.02,true,-42.98,-1.36
2025-03-06,3310.05,3344.35,3246.05,3284.45,3274.20,3250.70,TRADE,3274.20,3250.70,3250.70,true,-23.50,-0.72
2025-03-07,3277.05,3285.00,3204.00,3219.50,3284.45,3290.23,SKIP,,,,,,
2025-03-10,3235.65,3242.50,3020.00,3023.00,3219.50,3233.66,SKIP,,,,,,
2025-03-11,2975.00,3059.00,2963.05,3053.95,3023.00,3083.44,TRADE,3023.00,3083.44,3053.95,false,30.95,1.02
2025-03-12,3035.95,3096.95,3018.65,3062.95,3053.95,3000.65,TRADE,3053.95,3000.65,3062.95,false,9.00,0.29
2025-03-13,3085.00,3090.00,3036.00,3045.55,3062.95,3058.84,SKIP,,,,,,
2025-03-17,3036.00,3140.50,3020.10,3124.10,3045.55,3061.09,TRADE,3045.55,3061.09,3061.09,true,15.54,0.51
2025-03-18,3140.05,3277.00,3133.10,3264.00,3124.10,3105.65,TRADE,3124.10,3105.65,3264.00,false,139.90,4.48
2025-03-19,3268.05,3324.00,3240.35,3281.35,3264.00,3218.70,TRADE,3264.00,3218.70,3281.35,false,17.35,0.53
2025-03-20,3155.25,3169.95,2762.25,2872.10,3281.35,3290.86,SKIP,,,,,,
2025-03-21,2892.00,2936.75,2853.00,2883.35,2872.10,2869.59,SKIP,,,,,,
2025-03-24,2907.05,2943.50,2874.20,2886.70,2883.35,2894.56,SKIP,,,,,,
2025-03-25,2907.00,2936.95,2825.00,2828.95,2886.70,2905.92,TRADE,2886.70,2905.92,2905.92,true,19.22,0.67
2025-03-26,2844.50,2884.75,2815.00,2820.00,2828.95,2881.44,TRADE,2828.95,2881.44,2881.44,true,52.49,1.86
2025-03-27,2830.10,2896.00,2805.30,2892.15,2820.00,2842.64,TRADE,2820.00,2842.64,2842.64,true,22.64,0.80
2025-03-28,2904.65,2944.95,2876.10,2886.50,2892.15,2865.84,TRADE,2892.15,2865.84,2886.50,false,-5.65,-0.20
2025-04-01,2864.00,2908.20,2812.00,2827.00,2886.50,2914.51,TRADE,2886.50,2914.51,2827.00,false,-59.50,-2.06
2025-04-02,2830.00,2883.00,2762.00,2877.95,2827.00,2841.83,TRADE,2827.00,2841.83,2841.83,true,14.83,0.52
2025-04-03,2850.00,2886.55,2817.25,2824.00,2877.95,2825.04,TRADE,2877.95,2825.04,2825.04,true,-52.91,-1.84
2025-04-04,2824.90,2839.00,2613.35,2650.40,2824.00,2839.36,TRADE,2824.00,2839.36,2650.40,false,-173.60,-6.15
2025-04-07,2500.00,2577.70,2424.00,2521.30,2650.40,2678.58,TRADE,2650.40,2678.58,2521.30,false,-129.10,-4.87
2025-04-08,2580.00,2618.90,2537.35,2601.95,2521.30,2505.41,TRADE,2521.30,2505.41,2601.95,false,80.65,3.20
2025-04-09,2615.00,2639.30,2570.05,2599.80,2601.95,2584.64,TRADE,2601.95,2584.64,2584.64,true,-17.31,-0.67
2025-04-11,2689.90,2689.95,2592.15,2601.50,2599.80,2602.63,SKIP,,,,,,
2025-04-15,2659.50,2745.90,2625.10,2735.00,2601.50,2610.37,SKIP,,,,,,
2025-04-16,2736.40,2765.20,2712.30,2746.20,2735.00,2687.40,TRADE,2735.00,2687.40,2746.20,false,11.20,0.41
2025-04-17,2785.00,2878.30,2782.40,2820.80,2746.20,2742.38,SKIP,,,,,,
2025-04-21,2843.00,2925.00,2791.00,2891.30,2820.80,2845.74,TRADE,2820.80,2845.74,2845.74,true,24.94,0.88
2025-04-22,2897.00,2974.90,2883.00,2957.90,2891.30,2870.69,TRADE,2891.30,2870.69,2957.90,false,66.60,2.30
2025-04-23,2986.00,3050.50,2926.00,3023.00,2957.90,2952.87,SKIP,,,,,,
2025-04-24,3020.00,3032.60,2965.00,2980.60,3023.00,2989.96,TRADE,3023.00,2989.96,2989.96,true,-33.04,-1.09
2025-04-25,2967.00,3009.50,2903.60,2957.20,2980.60,2990.62,SKIP,,,,,,
2025-04-28,2942.00,3013.90,2942.00,3003.00,2957.20,2952.53,SKIP,,,,,,
2025-04-29,3010.00,3067.30,3006.00,3037.50,3003.00,2992.18,SKIP,,,,,,
2025-04-30,3035.00,3085.00,3000.00,3048.00,3037.50,3047.54,SKIP,,,,,,
2025-05-02,3063.60,3128.50,3001.70,3008.00,3048.00,3063.10,SKIP,,,,,,
2025-05-05,3058.70,3224.00,3050.60,3224.00,3008.00,3075.40,TRADE,3008.00,3075.40,3075.40,true,67.40,2.24
2025-05-06,3239.70,3282.40,3154.10,3209.90,3224.00,3162.46,TRADE,3224.00,3162.46,3162.46,true,-61.54,-1.91
2025-05-07,3200.00,3371.40,3199.90,3299.00,3209.90,3214.69,SKIP,,,,,,
2025-05-08,3300.00,3406.00,3245.00,3246.00,3299.00,3294.75,SKIP,,,,,,
2025-05-09,3150.50,3249.00,3150.50,3236.70,3246.00,3347.75,TRADE,3246.00,3347.75,3236.70,false,-9.30,-0.29
2025-05-12,3380.00,3400.10,3332.90,3382.50,3236.70,3203.44,TRADE,3236.70,3203.44,3382.50,false,145.80,4.50
2025-05-13,3398.00,3447.00,3372.90,3424.90,3382.50,3376.48,SKIP,,,,,,
2025-05-14,3450.00,3453.00,3361.00,3396.50,3424.90,3423.72,SKIP,,,,,,
2025-05-15,3422.00,3512.40,3396.00,3501.00,3396.50,3398.60,SKIP,,,,,,
2025-05-16,3519.60,3522.70,3449.00,3464.00,3501.00,3473.20,TRADE,3501.00,3473.20,3473.20,true,-27.80,-0.79
2025-05-19,3500.00,3500.00,3437.90,3469.00,3464.00,3476.47,SKIP,,,,,,
2025-05-20,3469.10,3490.90,3417.00,3461.70,3469.00,3456.51,SKIP,,,,,,
2025-05-21,3465.00,3489.00,3411.40,3433.10,3461.70,3452.33,SKIP,,,,,,
2025-05-22,3450.00,3498.50,3425.10,3462.00,3433.10,3455.34,TRADE,3433.10,3455.34,3455.34,true,22.24,0.65
2025-05-23,3468.80,3476.90,3420.00,3433.80,3462.00,3463.38,SKIP,,,,,,
2025-05-26,3453.00,3504.50,3416.60,3497.50,3433.80,3445.31,SKIP,,,,,,
2025-05-27,3484.10,3567.80,3484.00,3532.50,3497.50,3469.40,TRADE,3497.50,3469.40,3532.50,false,35.00,1.00
2025-05-28,3558.00,3652.00,3550.90,3650.80,3532.50,3535.73,SKIP,,,,,,
2025-05-29,3670.00,3678.30,3603.40,3659.80,3650.80,3610.53,TRADE,3650.80,3610.53,3610.53,true,-40.27,-1.10
2025-05-30,3670.00,3673.50,3561.80,3600.50,3659.80,3647.61,SKIP,,,,,,
2025-06-02,3610.20,3625.00,3577.00,3593.90,3600.50,3609.12,SKIP,,,,,,
2025-06-03,3605.00,3639.20,3527.10,3532.50,3593.90,3597.54,SKIP,,,,,,
2025-06-04,3530.00,3641.00,3500.00,3628.00,3532.50,3569.63,TRADE,3532.50,3569.63,3569.63,true,37.13,1.05
2025-06-05,3656.10,3686.00,3610.50,3643.10,3628.00,3593.13,TRADE,3628.00,3593.13,3643.10,false,15.10,0.42
2025-06-06,3667.00,3768.00,3649.20,3748.00,3643.10,3646.41,SKIP,,,,,,
2025-06-09,3790.00,3837.90,3755.40,3814.80,3748.00,3723.51,TRADE,3748.00,3723.51,3814.80,false,66.80,1.78
2025-06-10,3821.10,3846.90,3790.00,3792.40,3814.80,3812.32,SKIP,,,,,,
2025-06-11,3794.90,3861.00,3766.10,3809.20,3792.40,3807.83,SKIP,,,,,,
2025-06-12,3793.50,3802.30,3666.70,3671.20,3809.20,3817.89,SKIP,,,,,,
2025-06-13,3600.00,3682.70,3591.70,3675.90,3671.20,3715.08,TRADE,3671.20,3715.08,3675.90,false,4.70,0.13
2025-06-16,3660.10,3705.00,3608.00,3682.00,3675.90,3657.13,TRADE,3675.90,3657.13,3657.13,true,-18.77,-0.51
2025-06-17,3685.20,3699.90,3602.40,3617.40,3682.00,3658.31,TRADE,3682.00,3658.31,3658.31,true,-23.69,-0.64
2025-06-18,3600.50,3674.80,3575.60,3587.30,3617.40,3647.40,TRADE,3617.40,3647.40,3647.40,true,30.00,0.83
2025-06-19,3590.60,3642.70,3567.30,3591.20,3587.30,3597.54,SKIP,,,,,,
2025-06-20,3592.00,3609.60,3540.00,3565.00,3591.20,3584.85,SKIP,,,,,,
2025-06-23,3540.60,3807.20,3525.30,3758.10,3565.00,3572.34,SKIP,,,,,,
2025-06-24,3760.00,3854.30,3692.40,3826.50,3758.10,3705.70,TRADE,3758.10,3705.70,3705.70,true,-52.40,-1.39
2025-06-25,3839.00,3940.60,3785.00,3803.00,3826.50,3793.55,TRADE,3826.50,3793.55,3793.55,true,-32.95,-0.86
2025-06-26,3838.00,3853.30,3741.40,3771.90,3803.00,3840.34,TRADE,3803.00,3840.34,3840.34,true,37.34,0.98
2025-06-27,3776.40,3834.90,3765.30,3782.10,3771.90,3790.49,SKIP,,,,,,
2025-06-30,3780.00,3833.00,3758.40,3804.20,3782.10,3798.48,SKIP,,,,,,
2025-07-01,3805.00,3862.10,3795.00,3814.00,3804.20,3797.10,SKIP,,,,,,
2025-07-02,3810.50,3810.80,3720.00,3767.90,3814.00,3822.65,SKIP,,,,,,
2025-07-03,3765.00,3874.00,3760.30,3838.70,3767.90,3763.63,SKIP,,,,,,
2025-07-04,3855.00,3875.90,3736.90,3784.70,3838.70,3834.67,SKIP,,,,,,
2025-07-07,3781.00,3864.00,3771.10,3802.70,3784.70,3808.89,TRADE,3784.70,3808.89,3808.89,true,24.19,0.64
2025-07-08,3830.00,3837.40,3756.00,3765.00,3802.70,3811.20,SKIP,,,,,,
2025-07-09,3759.00,3759.00,3678.00,3700.00,3765.00,3787.64,TRADE,3765.00,3787.64,3700.00,false,-65.00,-1.73
2025-07-10,3700.00,3725.20,3673.60,3700.00,3700.00,3706.41,SKIP,,,,,,
2025-07-11,3704.00,3704.00,3603.00,3607.00,3700.00,3698.39,SKIP,,,,,,
2025-07-14,3650.00,3755.00,3612.00,3734.70,3607.00,3634.48,TRADE,3607.00,3634.48,3634.48,true,27.48,0.76
2025-07-15,3758.00,3899.00,3748.80,3897.10,3734.70,3718.66,SKIP,,,,,,
2025-07-16,3892.40,3915.00,3857.50,3879.00,3897.10,3848.04,TRADE,3897.10,3848.04,3879.00,false,-18.10,-0.46
2025-07-17,3871.20,3984.70,3869.70,3927.10,3879.00,3888.91,SKIP,,,,,,
2025-07-18,3950.90,4008.90,3915.20,3919.20,3927.10,3932.17,SKIP,,,,,,
2025-07-21,3928.80,4000.00,3866.10,3978.00,3919.20,3971.59,TRADE,3919.20,3971.59,3971.59,true,52.39,1.34
2025-07-22,3999.90,4034.30,3939.60,3985.10,3978.00,3969.49,SKIP,,,,,,
2025-07-23,4024.90,4034.40,3881.30,3969.00,3985.10,3994.23,SKIP,,,,,,
2025-07-24,3970.40,3974.30,3891.00,3904.10,3969.00,3958.82,SKIP,,,,,,
2025-07-25,3905.80,3925.00,3831.30,3863.00,3904.10,3915.17,SKIP,,,,,,
2025-07-28,3889.90,3948.00,3861.00,3893.40,3863.00,3868.83,SKIP,,,,,,
2025-07-29,3932.10,3943.80,3860.00,3918.10,3893.40,3903.29,SKIP,,,,,,
2025-07-30,3935.00,3938.00,3847.20,3905.10,3918.10,3909.57,SKIP,,,,,,
2025-07-31,3860.00,3880.20,3783.00,3842.00,3905.10,3887.41,SKIP,,,,,,
2025-08-01,3858.00,3889.90,3802.00,3813.40,3842.00,3835.49,SKIP,,,,,,
2025-08-04,3820.00,3898.00,3765.30,3898.00,3813.40,3839.63,TRADE,3813.40,3839.63,3839.63,true,26.23,0.69
2025-08-05,3900.00,3905.00,3810.00,3811.90,3898.00,3818.53,TRADE,3898.00,3818.53,3818.53,true,-79.47,-2.04
2025-08-06,3812.00,3819.10,3726.50,3809.90,3811.90,3850.78,TRADE,3811.90,3850.78,3809.90,false,-2.00,-0.05
2025-08-07,3779.00,3859.90,3764.90,3859.90,3809.90,3781.55,TRADE,3809.90,3781.55,3781.55,true,-28.35,-0.74
2025-08-08,3842.40,3871.50,3820.10,3837.00,3859.90,3822.56,TRADE,3859.90,3822.56,3822.56,true,-37.34,-0.97
2025-08-11,3839.00,3871.00,3781.00,3808.00,3837.00,3845.85,SKIP,,,,,,
2025-08-12,3809.00,3824.50,3712.20,3766.50,3808.00,3815.25,SKIP,,,,,,
2025-08-13,3770.00,3841.40,3770.00,3807.80,3766.50,3753.32,SKIP,,,,,,
2025-08-14,3803.80,3825.00,3760.00,3809.90,3807.80,3813.64,SKIP,,,,,,
2025-08-18,3825.10,3933.50,3808.90,3900.00,3809.90,3799.23,SKIP,,,,,,
2025-08-19,3911.70,3972.40,3878.00,3964.90,3900.00,3900.63,SKIP,,,,,,
2025-08-20,3950.00,4079.00,3904.20,3987.00,3964.90,3933.47,TRADE,3964.90,3933.47,3933.47,true,-31.43,-0.79
2025-08-21,3995.00,3999.00,3906.30,3950.10,3987.00,4013.09,TRADE,3987.00,4013.09,3950.10,false,-36.90,-0.93
2025-08-22,3959.00,4015.00,3938.00,3949.40,3950.10,3945.94,SKIP,,,,,,
2025-08-25,3954.90,4006.40,3930.00,3944.90,3949.40,3988.27,TRADE,3949.40,3988.27,3988.27,true,38.87,0.98
2025-08-26,3941.00,3958.90,3855.90,3872.80,3944.90,3975.35,TRADE,3944.90,3975.35,3872.80,false,-72.10,-1.83
2025-08-28,3874.80,3935.60,3839.80,3842.20,3872.80,3893.01,TRADE,3872.80,3893.01,3893.01,true,20.21,0.52
2025-08-29,3825.00,3855.90,3783.00,3812.00,3842.20,3879.44,TRADE,3842.20,3879.44,3812.00,false,-30.20,-0.79
2025-09-01,3814.80,3934.00,3805.60,3918.90,3812.00,3821.55,SKIP,,,,,,
2025-09-02,3935.00,3975.00,3896.00,3959.50,3918.90,3877.39,TRADE,3918.90,3877.39,3959.50,false,40.60,1.04
2025-09-03,3980.00,4026.70,3955.90,4015.70,3959.50,3947.36,SKIP,,,,,,
2025-09-04,4010.20,4143.00,4010.20,4118.90,4015.70,3999.94,SKIP,,,,,,
2025-09-05,4140.00,4142.50,4015.70,4039.90,4118.90,4111.62,SKIP,,,,,,
2025-09-08,4059.00,4095.00,4036.70,4058.30,4039.90,4063.67,TRADE,4039.90,4063.67,4063.67,true,23.77,0.59
2025-09-09,4056.00,4094.90,4004.10,4031.00,4058.30,4062.84,SKIP,,,,,,
2025-09-10,4048.00,4097.00,4045.00,4095.80,4031.00,4030.89,SKIP,,,,,,
2025-09-11,4091.00,4146.90,4070.20,4090.00,4095.80,4067.20,TRADE,4095.80,4067.20,4090.00,false,-5.80,-0.14
2025-09-12,4091.00,4138.90,4075.80,4128.20,4090.00,4098.01,SKIP,,,,,,
2025-09-15,4131.00,4144.90,4083.70,4093.90,4128.20,4110.51,SKIP,,,,,,
2025-09-16,4095.90,4202.70,4021.10,4200.10,4093.90,4104.57,SKIP,,,,,,
2025-09-17,4205.00,4205.00,4130.00,4145.20,4200.10,4127.71,TRADE,4200.10,4127.71,4145.20,false,-54.90,-1.31
2025-09-18,4142.20,4175.90,4120.10,4147.40,4145.20,4164.20,SKIP,,,,,,
2025-09-19,4175.00,4235.00,4135.40,4194.70,4147.40,4143.25,SKIP,,,,,,
2025-09-22,4224.60,4224.60,4115.00,4122.70,4194.70,4185.32,SKIP,,,,,,
2025-09-23,4131.40,4210.10,4055.00,4162.30,4122.70,4164.03,TRADE,4122.70,4164.03,4164.03,true,41.33,1.00
