date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,1555.00,1562.05,1476.00,1495.45,1544.00,1561.38,TRADE,1544.00,1561.38,1561.38,true,17.38,1.13
2025-01-03,1497.80,1519.80,1467.50,1471.10,1495.45,1510.28,TRADE,1495.45,1510.28,1510.28,true,14.83,0.99
2025-01-06,1472.20,1505.00,1415.25,1440.00,1471.10,1493.15,TRADE,1471.10,1493.15,1493.15,true,22.05,1.50
2025-01-07,1449.90,1502.10,1449.90,1474.00,1440.00,1454.42,TRADE,1440.00,1454.42,1454.42,true,14.42,1.00
2025-01-08,1489.70,1501.20,1440.50,1446.10,1474.00,1479.93,SKIP,,,,,,
2025-01-09,1454.90,1476.70,1424.00,1452.75,1446.10,1469.58,TRADE,1446.10,1469.58,1469.58,true,23.48,1.62
2025-01-10,1463.60,1478.60,1369.60,1374.15,1452.75,1448.13,SKIP,,,,,,
2025-01-13,1353.90,1357.55,1242.35,1261.70,1374.15,1407.34,TRADE,1374.15,1407.34,1261.70,false,-112.45,-8.18
2025-01-14,1270.00,1273.50,1160.05,1171.25,1261.70,1293.57,TRADE,1261.70,1293.57,1171.25,false,-90.45,-7.17
2025-01-15,1172.20,1271.10,1141.05,1245.05,1171.25,1194.23,TRADE,1171.25,1194.23,1194.23,true,22.98,1.96
2025-01-16,1274.00,1321.00,1248.75,1250.00,1245.05,1217.36,TRADE,1245.05,1217.36,1250.00,false,4.95,0.40
2025-01-17,1259.70,1259.70,1203.00,1204.00,1250.00,1286.39,TRADE,1250.00,1286.39,1204.00,false,-46.00,-3.68
2025-01-20,1195.00,1196.90,1155.55,1173.00,1204.00,1219.44,TRADE,1204.00,1219.44,1173.00,false,-31.00,-2.57
2025-01-21,1179.50,1182.90,1108.00,1111.00,1173.00,1169.06,SKIP,,,,,,
2025-01-22,1119.60,1122.75,1053.55,1078.40,1111.00,1137.39,TRADE,1111.00,1137.39,1078.40,false,-32.60,-2.93
2025-01-23,1084.60,1145.00,1079.60,1102.50,1078.40,1083.02,SKIP,,,,,,
2025-01-24,1145.00,1245.95,1145.00,1163.90,1102.50,1115.05,TRADE,1102.50,1115.05,1163.90,false,61.40,5.57
2025-01-27,1148.85,1162.15,1093.40,1129.00,1163.90,1198.56,TRADE,1163.90,1198.56,1129.00,false,-34.90,-3.00
2025-01-28,1180.00,1180.00,1035.70,1071.90,1129.00,1123.86,SKIP,,,,,,
2025-01-29,1073.10,1101.50,1047.25,1084.50,1071.90,1068.67,SKIP,,,,,,
2025-01-30,1097.00,1139.00,1070.00,1075.65,1084.50,1077.80,TRADE,1084.50,1077.80,1077.80,true,-6.70,-0.62
2025-01-31,1090.10,1099.65,1074.05,1091.00,1075.65,1108.12,TRADE,1075.65,1108.12,1091.00,false,15.35,1.43
2025-02-01,1090.25,1130.00,1071.05,1101.85,1091.00,1086.55,SKIP,,,,,,
2025-02-03,1087.60,1087.60,1040.10,1060.90,1101.85,1104.71,SKIP,,,,,,
2025-02-04,1070.00,1117.80,1066.50,1099.85,1060.90,1059.33,SKIP,,,,,,
2025-02-05,1117.00,1208.85,1117.00,1154.15,1099.85,1096.00,SKIP,,,,,,
2025-02-06,1162.35,1210.00,1155.75,1170.95,1154.15,1175.37,TRADE,1154.15,1175.37,1175.37,true,21.22,1.84
2025-02-07,1180.05,1235.00,1176.45,1222.55,1170.95,1186.83,TRADE,1170.95,1186.83,1186.83,true,15.88,1.36
2025-02-10,1234.55,1236.75,1144.40,1154.15,1222.55,1214.28,TRADE,1222.55,1214.28,1214.28,true,-8.27,-0.68
2025-02-11,1153.95,1155.00,1025.35,1033.65,1154.15,1171.18,TRADE,1154.15,1171.18,1033.65,false,-120.50,-10.44
2025-02-12,1034.80,1034.80,922.65,1000.05,1033.65,1059.87,TRADE,1033.65,1059.87,1000.05,false,-33.60,-3.25
2025-02-13,1024.95,1034.60,968.05,999.70,1000.05,973.88,TRADE,1000.05,973.88,973.88,true,-26.17,-2.62
2025-02-14,1004.95,1008.00,901.65,914.50,999.70,996.44,SKIP,,,,,,
2025-02-17,878.70,879.20,818.55,827.00,914.50,930.76,TRADE,914.50,930.76,827.00,false,-87.50,-9.57
2025-02-18,828.00,833.10,790.20,800.50,827.00,844.44,TRADE,827.00,844.44,800.50,false,-26.50,-3.20
2025-02-19,800.00,863.00,784.15,860.05,800.50,802.48,SKIP,,,,,,
2025-02-20,851.20,892.90,845.50,879.45,860.05,843.64,TRADE,860.05,843.64,879.45,false,19.40,2.26
2025-02-21,880.00,918.45,879.70,906.50,879.45,879.09,SKIP,,,,,,
2025-02-24,866.05,942.40,860.00,911.35,906.50,903.22,SKIP,,,,,,
2025-02-25,918.40,925.60,881.00,884.40,911.35,885.77,TRADE,911.35,885.77,885.77,true,-25.58,-2.81
2025-02-27,899.00,899.00,832.50,838.80,884.40,904.53,TRADE,884.40,904.53,838.80,false,-45.60,-5.16
2025-02-28,823.00,890.95,823.00,868.80,838.80,854.38,TRADE,838.80,854.38,854.38,true,15.58,1.86
2025-03-03,880.95,893.05,845.00,870.00,868.80,868.67,SKIP,,,,,,
2025-03-04,865.00,895.80,852.55,883.25,870.00,863.22,TRADE,870.00,863.22,863.22,true,-6.78,-0.78
2025-03-05,882.75,896.70,862.35,879.80,883.25,882.41,SKIP,,,,,,
2025-03-06,875.20,898.40,875.20,886.70,879.80,884.74,TRADE,879.80,884.74,884.74,true,4.94,0.56
2025-03-07,888.90,934.00,867.85,932.50,886.70,886.66,SKIP,,,,,,
2025-03-10,937.00,952.55,893.70,901.50,932.50,904.55,TRADE,932.50,904.55,904.55,true,-27.95,-3.00
2025-03-11,885.00,918.70,872.10,915.05,901.50,913.54,TRADE,901.50,913.54,913.54,true,12.04,1.34
2025-03-12,919.00,942.40,902.00,917.20,915.05,902.59,TRADE,915.05,902.59,902.59,true,-12.46,-1.36
2025-03-13,924.60,937.00,907.75,913.00,917.20,920.49,SKIP,,,,,,
2025-03-17,906.70,946.55,906.70,914.00,913.00,921.80,TRADE,913.00,921.80,921.80,true,8.80,0.96
2025-03-18,925.00,942.50,915.40,939.00,914.00,929.78,TRADE,914.00,929.78,929.78,true,15.78,1.73
2025-03-19,945.00,979.20,940.60,973.25,939.00,934.56,SKIP,,,,,,
2025-03-20,984.00,1069.45,962.20,1047.65,973.25,968.40,TRADE,973.25,968.40,968.40,true,-4.85,-0.50
2025-03-21,1047.00,1120.00,1043.40,1102.60,1047.65,1017.86,TRADE,1047.65,1017.86,1102.60,false,54.95,5.25
2025-03-24,1110.90,1170.40,1110.00,1136.20,1102.60,1093.03,TRADE,1102.60,1093.03,1136.20,false,33.60,3.05
2025-03-25,1146.15,1158.30,1078.00,1099.40,1136.20,1148.69,TRADE,1136.20,1148.69,1148.69,true,12.49,1.10
2025-03-26,1098.75,1098.75,1034.45,1039.00,1099.40,1113.70,TRADE,1099.40,1113.70,1039.00,false,-60.40,-5.49
2025-03-27,1028.00,1055.80,1016.70,1042.00,1039.00,1061.10,TRADE,1039.00,1061.10,1042.00,false,3.00,0.29
2025-03-28,1049.35,1070.00,1021.00,1030.00,1042.00,1034.32,TRADE,1042.00,1034.32,1034.32,true,-7.68,-0.74
2025-04-01,1024.50,1046.45,980.65,1032.00,1030.00,1040.08,TRADE,1030.00,1040.08,1040.08,true,10.08,0.98
2025-04-02,1026.90,1049.60,1009.10,1040.00,1032.00,1018.78,TRADE,1032.00,1018.78,1018.78,true,-13.22,-1.28
2025-04-03,1021.00,1083.90,1020.30,1067.00,1040.00,1037.38,SKIP,,,,,,
2025-04-04,1062.70,1066.35,1025.25,1030.00,1067.00,1066.50,SKIP,,,,,,
2025-04-07,828.80,1030.00,828.80,999.00,1030.00,1041.40,TRADE,1030.00,1041.40,999.00,false,-31.00,-3.01
2025-04-08,1019.00,1068.90,1008.00,1022.15,999.00,968.04,TRADE,999.00,968.04,1022.15,false,23.15,2.32
2025-04-09,1020.00,1032.95,998.60,1026.05,1022.15,1031.97,TRADE,1022.15,1031.97,1031.97,true,9.82,0.96
2025-04-11,1040.00,1046.95,991.25,1000.00,1026.05,1013.64,TRADE,1026.05,1013.64,1013.64,true,-12.41,-1.21
2025-04-15,1015.00,1026.50,1001.60,1009.60,1000.00,1010.35,TRADE,1000.00,1010.35,1010.35,true,10.35,1.04
2025-04-16,1015.20,1067.00,1010.30,1048.00,1009.60,1010.37,SKIP,,,,,,
2025-04-17,1071.30,1146.40,1066.50,1110.00,1048.00,1043.03,SKIP,,,,,,
2025-04-21,1121.10,1212.00,1113.30,1210.00,1110.00,1124.47,TRADE,1110.00,1124.47,1124.47,true,14.47,1.30
2025-04-22,1215.00,1295.00,1214.90,1289.30,1210.00,1168.58,TRADE,1210.00,1168.58,1289.30,false,79.30,6.55
2025-04-23,1300.00,1319.90,1227.50,1288.80,1289.30,1261.49,TRADE,1289.30,1261.49,1261.49,true,-27.81,-2.16
2025-04-24,1280.00,1282.50,1215.60,1224.00,1288.80,1271.27,TRADE,1288.80,1271.27,1271.27,true,-17.53,-1.36
2025-04-25,1230.00,1241.00,1188.00,1220.90,1224.00,1241.97,TRADE,1224.00,1241.97,1220.90,false,-3.10,-0.25
2025-04-28,1220.00,1263.40,1185.80,1244.90,1220.90,1212.22,TRADE,1220.90,1212.22,1212.22,true,-8.68,-0.71
2025-04-29,1233.80,1304.10,1226.60,1273.00,1244.90,1233.43,TRADE,1244.90,1233.43,1233.43,true,-11.47,-0.92
2025-04-30,1270.00,1270.00,1181.00,1188.60,1273.00,1276.65,SKIP,,,,,,
2025-05-02,1190.10,1193.10,1120.40,1120.40,1188.60,1209.22,TRADE,1188.60,1209.22,1120.40,false,-68.20,-5.74
2025-05-05,1131.00,1131.30,1084.00,1092.40,1120.40,1149.29,TRADE,1120.40,1149.29,1092.40,false,-28.00,-2.50
2025-05-06,1096.60,1100.00,1036.00,1038.70,1092.40,1095.15,SKIP,,,,,,
2025-05-07,1019.20,1123.10,1017.30,1102.30,1038.70,1061.17,TRADE,1038.70,1061.17,1061.17,true,22.47,2.16
2025-05-08,1068.80,1160.00,1054.10,1064.60,1102.30,1084.46,TRADE,1102.30,1084.46,1084.46,true,-17.84,-1.62
2025-05-09,1039.00,1075.00,1006.30,1073.00,1064.60,1109.49,TRADE,1064.60,1109.49,1073.00,false,8.40,0.79
2025-05-12,1116.90,1122.80,1094.40,1118.80,1073.00,1038.93,TRADE,1073.00,1038.93,1118.80,false,45.80,4.27
2025-05-13,1074.50,1078.00,1040.00,1052.30,1118.80,1108.81,TRADE,1118.80,1108.81,1052.30,false,-66.50,-5.94
2025-05-14,1066.90,1089.00,1047.10,1051.00,1052.30,1046.25,TRADE,1052.30,1046.25,1051.00,false,-1.30,-0.12
2025-05-15,1055.80,1059.50,1027.40,1041.60,1051.00,1069.03,TRADE,1051.00,1069.03,1041.60,false,-9.40,-0.89
2025-05-16,1047.90,1072.90,1042.00,1067.10,1041.60,1039.61,SKIP,,,,,,
2025-05-19,1066.00,1097.00,1058.80,1079.10,1067.10,1058.79,TRADE,1067.10,1058.79,1079.10,false,12.00,1.12
2025-05-20,1087.80,1087.80,1058.60,1067.20,1079.10,1082.69,SKIP,,,,,,
2025-05-21,1064.90,1079.00,1050.00,1058.40,1067.20,1070.94,SKIP,,,,,,
2025-05-22,1060.00,1066.00,1040.30,1051.00,1058.40,1063.54,SKIP,,,,,,
2025-05-23,1056.90,1079.00,1043.40,1072.90,1051.00,1051.40,SKIP,,,,,,
2025-05-26,1075.00,1086.90,1070.10,1074.00,1072.90,1066.87,TRADE,1072.90,1066.87,1074.00,false,1.10,0.10
2025-05-27,1080.80,1086.80,1066.80,1078.00,1074.00,1076.87,SKIP,,,,,,
2025-05-28,1082.80,1087.00,1067.00,1075.00,1078.00,1079.34,SKIP,,,,,,
2025-05-29,1085.00,1085.00,1063.40,1069.60,1075.00,1079.26,SKIP,,,,,,
2025-05-30,1068.80,1110.80,1056.00,1076.00,1069.60,1071.89,SKIP,,,,,,
2025-06-02,1078.70,1149.90,1065.80,1128.00,1076.00,1087.58,TRADE,1076.00,1087.58,1087.58,true,11.58,1.08
2025-06-03,1142.90,1174.70,1130.80,1137.20,1128.00,1121.36,TRADE,1128.00,1121.36,1137.20,false,9.20,0.82
2025-06-04,1145.00,1175.00,1135.00,1169.20,1137.20,1155.42,TRADE,1137.20,1155.42,1155.42,true,18.22,1.60
2025-06-05,1180.00,1215.00,1163.60,1204.90,1169.20,1161.33,TRADE,1169.20,1161.33,1204.90,false,35.70,3.05
2025-06-06,1213.90,1265.00,1204.80,1250.00,1204.90,1187.23,TRADE,1204.90,1187.23,1250.00,false,45.10,3.74
2025-06-09,1265.00,1271.00,1218.00,1253.00,1250.00,1239.04,TRADE,1250.00,1239.04,1239.04,true,-10.96,-0.88
2025-06-10,1263.00,1283.90,1246.10,1263.80,1253.00,1241.12,TRADE,1253.00,1241.12,1263.80,false,10.80,0.86
2025-06-11,1267.00,1271.70,1207.30,1214.90,1263.80,1268.72,SKIP,,,,,,
2025-06-12,1217.00,1227.40,1180.00,1193.00,1214.90,1229.40,TRADE,1214.90,1229.40,1193.00,false,-21.90,-1.80
2025-06-13,1170.00,1217.00,1166.50,1209.50,1193.00,1209.68,TRADE,1193.00,1209.68,1209.68,true,16.68,1.40
2025-06-16,1208.00,1232.00,1167.40,1225.10,1209.50,1190.56,TRADE,1209.50,1190.56,1190.56,true,-18.94,-1.57
2025-06-17,1226.80,1240.20,1206.00,1208.00,1225.10,1201.77,TRADE,1225.10,1201.77,1208.00,false,-17.10,-1.40
2025-06-18,1207.70,1243.00,1196.90,1219.70,1208.00,1216.95,TRADE,1208.00,1216.95,1216.95,true,8.95,0.74
2025-06-19,1228.80,1238.00,1187.30,1193.50,1219.70,1224.14,SKIP,,,,,,
2025-06-20,1195.10,1290.00,1194.80,1275.10,1193.50,1206.37,TRADE,1193.50,1206.37,1206.37,true,12.87,1.08
2025-06-23,1270.00,1347.90,1255.30,1312.50,1275.10,1257.02,TRADE,1275.10,1257.02,1257.02,true,-18.08,-1.42
2025-06-24,1343.70,1368.00,1323.20,1341.70,1312.50,1313.63,SKIP,,,,,,
2025-06-25,1349.10,1388.50,1328.00,1339.40,1341.70,1348.01,SKIP,,,,,,
2025-06-26,1345.00,1356.90,1307.50,1322.20,1339.40,1357.19,TRADE,1339.40,1357.19,1322.20,false,-17.20,-1.28
2025-06-27,1332.70,1378.50,1329.00,1357.90,1322.20,1328.34,SKIP,,,,,,
2025-06-30,1365.00,1371.00,1327.10,1348.50,1357.90,1359.29,SKIP,,,,,,
2025-07-01,1357.00,1357.00,1330.00,1333.50,1348.50,1352.68,SKIP,,,,,,
2025-07-02,1334.90,1355.00,1312.60,1320.00,1333.50,1338.11,SKIP,,,,,,
2025-07-03,1326.00,1347.90,1314.00,1330.90,1320.00,1329.35,TRADE,1320.00,1329.35,1329.35,true,9.35,0.71
2025-07-04,1335.90,1335.90,1273.20,1292.80,1330.90,1332.42,SKIP,,,,,,
2025-07-07,1294.00,1294.00,1256.20,1261.60,1292.80,1298.29,SKIP,,,,,,
2025-07-08,1260.00,1277.20,1246.60,1274.00,1261.60,1269.90,TRADE,1261.60,1269.90,1269.90,true,8.30,0.66
2025-07-09,1272.30,1314.20,1258.00,1302.80,1274.00,1264.04,TRADE,1274.00,1264.04,1264.04,true,-9.96,-0.78
2025-07-10,1313.70,1321.90,1286.60,1292.60,1302.80,1295.59,TRADE,1302.80,1295.59,1295.59,true,-7.21,-0.55
2025-07-11,1291.80,1305.00,1260.00,1273.00,1292.60,1302.04,TRADE,1292.60,1302.04,1302.04,true,9.44,0.73
2025-07-14,1272.00,1299.90,1267.00,1277.50,1273.00,1278.72,SKIP,,,,,,
2025-07-15,1280.00,1304.50,1270.80,1299.20,1277.50,1280.81,SKIP,,,,,,
2025-07-16,1299.30,1308.30,1280.20,1282.20,1299.20,1291.94,TRADE,1299.20,1291.94,1291.94,true,-7.26,-0.56
2025-07-17,1285.00,1288.00,1263.30,1269.00,1282.20,1290.17,TRADE,1282.20,1290.17,1269.00,false,-13.20,-1.03
2025-07-18,1273.90,1280.40,1255.00,1259.00,1269.00,1272.13,SKIP,,,,,,
2025-07-21,1255.10,1277.90,1242.10,1276.20,1259.00,1264.87,SKIP,,,,,,
2025-07-22,1280.90,1286.30,1266.30,1283.40,1276.20,1266.78,TRADE,1276.20,1266.78,1266.78,true,-9.42,-0.74
2025-07-23,1285.20,1287.40,1245.00,1260.50,1283.40,1278.69,SKIP,,,,,,
2025-07-24,1263.00,1263.50,1225.00,1228.80,1260.50,1257.54,SKIP,,,,,,
2025-07-25,1201.00,1208.00,1139.00,1163.40,1228.80,1236.19,TRADE,1228.80,1236.19,1163.40,false,-65.40,-5.32
2025-07-28,1150.00,1165.30,1142.00,1145.20,1163.40,1160.21,SKIP,,,,,,
2025-07-29,1135.00,1149.00,1114.50,1127.90,1145.20,1153.80,TRADE,1145.20,1153.80,1127.90,false,-17.30,-1.51
2025-07-30,1128.00,1137.00,1105.10,1110.30,1127.90,1131.01,SKIP,,,,,,
2025-07-31,1091.00,1105.30,1077.20,1082.00,1110.30,1116.18,TRADE,1110.30,1116.18,1082.00,false,-28.30,-2.55
2025-08-01,1082.90,1124.20,1082.50,1105.90,1082.00,1090.32,TRADE,1082.00,1090.32,1090.32,true,8.32,0.77
2025-08-04,1102.40,1128.80,1094.30,1124.00,1105.90,1103.04,SKIP,,,,,,
2025-08-05,1131.80,1135.60,1117.20,1117.90,1124.00,1113.23,TRADE,1124.00,1113.23,1117.90,false,-6.10,-0.54
2025-08-06,1120.60,1128.00,1099.50,1113.80,1117.90,1125.60,TRADE,1117.90,1125.60,1125.60,true,7.70,0.69
2025-08-07,1100.00,1120.90,1072.50,1090.00,1113.80,1114.95,SKIP,,,,,,
2025-08-08,1085.10,1088.30,1048.10,1076.10,1090.00,1089.29,SKIP,,,,,,
2025-08-11,1073.10,1097.00,1068.40,1093.60,1076.10,1064.84,TRADE,1076.10,1064.84,1093.60,false,17.50,1.63
2025-08-12,1098.00,1112.00,1082.30,1085.70,1093.60,1083.96,TRADE,1093.60,1083.96,1083.96,true,-9.64,-0.88
2025-08-13,1096.00,1125.20,1088.10,1116.10,1085.70,1095.05,TRADE,1085.70,1095.05,1095.05,true,9.35,0.86
2025-08-14,1115.00,1133.00,1107.70,1127.30,1116.10,1116.43,SKIP,,,,,,
2025-08-18,1149.00,1149.00,1105.50,1117.00,1127.30,1122.24,SKIP,,,,,,
2025-08-19,1115.50,1129.80,1110.00,1128.70,1117.00,1120.49,SKIP,,,,,,
2025-08-20,1131.00,1132.80,1107.40,1115.00,1128.70,1119.44,TRADE,1128.70,1119.44,1119.44,true,-9.26,-0.82
2025-08-21,1124.00,1131.60,1108.80,1128.00,1115.00,1115.06,SKIP,,,,,,
2025-08-22,1126.00,1139.70,1115.50,1125.60,1128.00,1124.12,SKIP,,,,,,
2025-08-25,1132.00,1136.70,1105.10,1109.40,1125.60,1130.95,SKIP,,,,,,
2025-08-26,1111.00,1114.70,1050.20,1056.00,1109.40,1120.45,TRADE,1109.40,1120.45,1056.00,false,-53.40,-4.81
2025-08-28,1054.10,1071.80,1039.10,1051.70,1056.00,1065.62,TRADE,1056.00,1065.62,1065.62,true,9.62,0.91
2025-08-29,1042.00,1052.40,1018.70,1020.80,1051.70,1055.39,SKIP,,,,,,
2025-09-01,1028.30,1077.00,1027.10,1075.00,1020.80,1033.39,TRADE,1020.80,1033.39,1033.39,true,12.59,1.23
