date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,1262.00,1270.00,1242.00,1267.00,1257.00,6260.71,TRADE,1257.00,6260.71,1267.00,false,10.00,0.80
2025-01-03,1268.00,1283.00,1228.00,1229.00,1267.00,6278.90,TRADE,1267.00,6278.90,1229.00,false,-38.00,-3.00
2025-01-06,1234.00,1240.00,1159.00,1162.00,1229.00,6227.05,TRADE,1229.00,6227.05,1162.00,false,-67.00,-5.45
2025-01-07,1165.00,1211.00,1147.00,1203.00,1162.00,5917.72,TRADE,1162.00,5917.72,1203.00,false,41.00,3.53
2025-01-08,1205.00,1205.00,1167.00,1186.00,1203.00,5911.11,TRADE,1203.00,5911.11,1186.00,false,-17.00,-1.41
2025-01-09,1186.00,1200.00,1168.00,1175.00,1186.00,5898.68,TRADE,1186.00,5898.68,1175.00,false,-11.00,-0.93
2025-01-10,1171.00,1173.00,1124.00,1128.00,1175.00,5904.02,TRADE,1175.00,5904.02,1128.00,false,-47.00,-4.00
2025-01-13,1100.00,1138.00,1099.00,1113.00,1128.00,5707.81,TRADE,1128.00,5707.81,1113.00,false,-15.00,-1.33
2025-01-14,1115.00,1145.00,1115.00,1140.00,1113.00,5612.22,TRADE,1113.00,5612.22,1140.00,false,27.00,2.43
2025-01-15,1142.00,1202.00,1142.00,1194.00,1140.00,5681.01,TRADE,1140.00,5681.01,1194.00,false,54.00,4.74
2025-01-16,1202.00,1238.00,1202.00,1219.00,1194.00,5892.62,TRADE,1194.00,5892.62,1219.00,false,25.00,2.09
2025-01-17,1221.00,1225.00,1194.00,1207.00,1219.00,6106.73,TRADE,1219.00,6106.73,1207.00,false,-12.00,-0.98
2025-01-20,1217.00,1217.00,1187.00,1199.00,1207.00,6037.20,TRADE,1207.00,6037.20,1199.00,false,-8.00,-0.66
2025-01-21,1190.00,1190.00,1060.00,1100.00,1199.00,5989.44,TRADE,1199.00,5989.44,1100.00,false,-99.00,-8.26
2025-01-22,1112.00,1151.00,1090.00,1143.00,1100.00,5557.09,TRADE,1100.00,5557.09,1143.00,false,43.00,3.91
2025-01-23,1145.00,1190.00,1140.00,1169.00,1143.00,5667.79,TRADE,1143.00,5667.79,1169.00,false,26.00,2.27
2025-01-24,1172.00,1182.00,1142.00,1145.00,1169.00,5871.78,TRADE,1169.00,5871.78,1145.00,false,-24.00,-2.05
2025-01-27,1140.00,1140.00,1104.00,1114.00,1145.00,5785.89,TRADE,1145.00,5785.89,1114.00,false,-31.00,-2.71
2025-01-28,1133.00,1135.00,1078.00,1103.00,1114.00,5591.42,TRADE,1114.00,5591.42,1103.00,false,-11.00,-0.99
