date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,1098.75,1117.20,1097.30,1102.40,1098.34,1098.75,910,1098.34,1098.34,true,15.93,2199.29,-2588.32,-0.26,997411.68
2025-01-02,1102.40,1108.80,1086.10,1086.50,1105.40,1102.40,904,1105.40,1105.40,true,15.93,2195.44,500.63,0.05,997912.32
2025-01-03,1086.50,1094.80,1061.55,1070.10,1092.04,1086.50,918,1092.04,1092.04,true,15.93,2199.89,2869.90,0.29,1000782.22
2025-01-06,1070.10,1081.00,1056.40,1062.95,1074.02,1070.10,935,1074.02,1074.02,true,15.93,2205.23,1444.04,0.14,1002226.26
2025-01-07,1062.95,1098.90,1063.00,1081.00,1064.15,1062.95,942,1064.15,1064.15,true,15.93,2204.10,-1089.63,-0.11,1001136.63
2025-01-08,1081.00,1092.95,1059.05,1069.95,1081.42,1081.00,926,1081.42,1081.42,true,15.93,2202.64,-1829.65,-0.18,999306.98
2025-01-09,1069.95,1088.00,1058.00,1072.05,1075.71,1069.95,933,1075.71,1075.71,true,15.93,2202.09,3156.06,0.32,1002463.04
2025-01-10,1072.05,1065.70,1010.00,1022.85,1067.97,1072.05,935,1067.97,1022.85,false,15.93,2154.60,-48172.53,-4.81,954290.50
2025-01-13,1022.85,1053.45,1022.95,1032.00,1048.40,1022.85,932,1048.40,1048.40,true,15.93,2123.45,21673.22,2.27,975963.73
2025-01-14,1032.00,1045.75,1019.00,1028.40,1032.33,1032.00,945,1032.33,1032.33,true,15.93,2145.87,-1849.95,-0.19,974113.78
2025-01-15,1028.40,1048.45,1015.70,1025.00,1034.29,1028.40,947,1034.29,1034.29,true,15.93,2148.70,3413.20,0.35,977526.97
2025-01-16,1025.00,1029.05,1016.95,1020.80,1029.13,1025.00,953,1029.13,1020.80,false,15.93,2144.61,-6163.14,-0.63,971363.83
2025-01-17,1020.80,1028.00,996.45,1000.15,1021.82,1020.80,951,1021.82,1021.82,true,15.93,2136.78,-1182.69,-0.12,970181.13
2025-01-20,1000.15,1066.75,1001.10,1058.90,1003.36,1000.15,970,1003.36,1003.36,true,15.93,2137.75,960.02,0.10,971141.16
2025-01-21,1058.90,1054.55,1037.50,1045.20,1047.75,1058.90,917,1047.75,1047.75,true,15.93,2124.98,-12365.46,-1.27,958775.70
