date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,498.25,504.95,492.70,503.50,1000.99,498.25,2007,1000.99,503.50,false,15.93,2211.56,8309.26,0.83,1008309.26
2025-01-02,503.50,507.45,484.00,485.40,997.25,503.50,2002,997.25,485.40,false,15.93,2177.76,-38429.89,-3.81,969879.37
2025-01-03,485.40,491.00,456.00,459.00,985.97,485.40,1998,985.97,459.00,false,15.93,2075.60,-54838.73,-5.65,915040.64
2025-01-06,459.00,484.10,455.70,477.55,936.79,459.00,1993,936.79,477.55,false,15.93,2053.20,34901.02,3.82,949941.66
2025-01-07,477.55,484.80,463.05,470.05,941.26,477.55,1989,941.26,470.05,false,15.93,2073.25,-17006.68,-1.79,932934.98
2025-01-08,470.05,475.00,458.10,462.25,940.02,470.05,1984,940.02,462.25,false,15.93,2034.65,-17525.78,-1.88,915409.19
2025-01-09,462.25,462.00,443.00,446.00,930.64,462.25,1980,930.64,446.00,false,15.93,1978.17,-34169.10,-3.73,881240.10
2025-01-10,446.00,444.10,417.00,419.50,900.24,446.00,1975,900.24,419.50,false,15.93,1880.30,-54233.73,-6.16,827006.37
2025-01-13,419.50,433.90,411.50,426.00,861.67,419.50,1971,861.67,426.00,false,15.93,1833.13,10962.44,1.33,837968.81
2025-01-14,426.00,441.00,419.95,439.90,845.65,426.00,1967,845.65,439.90,false,15.93,1873.55,25451.82,3.04,863420.63
2025-01-15,439.90,453.70,431.95,441.00,863.85,439.90,1962,863.85,441.00,false,15.93,1901.16,241.11,0.03,863661.74
2025-01-16,441.00,453.60,424.80,438.00,888.54,441.00,1958,888.54,438.00,false,15.93,1893.19,-7783.12,-0.90,855878.62
2025-01-17,438.00,444.85,430.00,436.00,880.18,438.00,1954,880.18,436.00,false,15.93,1878.58,-5802.51,-0.68,850076.12
2025-01-20,436.00,435.40,423.00,423.50,434.54,436.00,1949,434.54,434.54,true,15.93,1866.35,-4727.82,-0.56,845348.30
2025-01-21,423.50,426.95,405.00,420.70,428.41,423.50,1996,428.41,420.70,false,15.93,1853.53,-7458.26,-0.88,837890.04
2025-01-22,420.70,446.05,416.00,444.15,415.57,420.70,1991,415.57,444.15,false,15.93,1894.11,44778.91,5.35,882668.95
2025-01-23,444.15,451.25,428.50,432.45,435.14,444.15,1987,435.14,435.14,true,15.93,1921.86,-19840.66,-2.25,862828.29
2025-01-24,432.45,431.25,406.00,412.15,439.01,432.45,1995,439.01,412.15,false,15.93,1853.47,-42367.90,-4.91,820460.38
2025-01-27,412.15,418.20,387.30,404.05,413.82,412.15,1990,413.82,413.82,true,15.93,1808.05,1499.32,0.18,821959.71
2025-01-28,404.05,438.70,398.25,435.95,400.06,404.05,2034,400.06,400.06,true,15.93,1799.12,-9930.71,-1.21,812029.00
