date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,435.65,467.00,435.55,463.80,435.95,433.89,SKIP,,,,,,
2025-01-03,468.00,491.25,466.00,480.15,463.80,457.81,TRADE,463.80,457.81,480.15,false,16.35,3.53
2025-01-06,484.05,485.55,455.55,461.45,480.15,483.58,TRADE,480.15,483.58,483.58,true,3.43,0.71
2025-01-07,460.00,478.65,460.00,474.30,461.45,464.87,TRADE,461.45,464.87,464.87,true,3.42,0.74
2025-01-08,475.30,494.55,473.65,491.00,474.30,472.93,SKIP,,,,,,
2025-01-09,490.00,490.00,454.00,464.80,491.00,485.38,TRADE,491.00,485.38,485.38,true,-5.62,-1.14
2025-01-10,470.00,471.65,454.50,455.95,464.80,464.05,SKIP,,,,,,
2025-01-13,465.00,478.65,448.85,451.50,455.95,462.12,TRADE,455.95,462.12,462.12,true,6.17,1.35
2025-01-14,452.40,467.95,452.40,465.00,451.50,464.13,TRADE,451.50,464.13,464.13,true,12.63,2.80
2025-01-15,466.00,474.00,461.00,464.10,465.00,462.98,SKIP,,,,,,
2025-01-16,479.00,484.40,466.10,470.95,464.10,467.56,TRADE,464.10,467.56,467.56,true,3.46,0.75
2025-01-17,470.00,477.95,469.50,474.30,470.95,474.36,TRADE,470.95,474.36,474.36,true,3.41,0.72
2025-01-20,476.70,487.35,470.15,482.90,474.30,474.00,SKIP,,,,,,
2025-01-21,483.85,489.90,472.35,475.50,482.90,482.39,SKIP,,,,,,
2025-01-22,474.25,475.05,448.30,454.45,475.50,480.16,TRADE,475.50,480.16,454.45,false,-21.05,-4.43
2025-01-23,452.05,470.00,442.25,450.55,454.45,456.94,TRADE,454.45,456.94,456.94,true,2.49,0.55
2025-01-24,449.75,453.70,423.05,425.90,450.55,448.57,SKIP,,,,,,
2025-01-27,424.50,424.50,405.45,406.50,425.90,431.99,TRADE,425.90,431.99,406.50,false,-19.40,-4.56
2025-01-28,409.00,411.70,390.50,396.50,406.50,410.92,TRADE,406.50,410.92,410.92,true,4.42,1.09
2025-01-29,398.00,408.50,392.10,408.05,396.50,397.67,SKIP,,,,,,
2025-01-30,408.00,421.00,402.15,416.30,408.05,402.37,TRADE,408.05,402.37,402.37,true,-5.68,-1.39
2025-01-31,417.75,425.05,411.10,421.80,416.30,415.65,SKIP,,,,,,
2025-02-01,421.00,426.95,406.50,410.45,421.80,419.80,SKIP,,,,,,
2025-02-03,410.55,414.00,389.35,395.80,410.45,416.03,TRADE,410.45,416.03,395.80,false,-14.65,-3.57
2025-02-04,401.40,406.95,396.80,404.70,395.80,395.91,SKIP,,,,,,
2025-02-05,407.00,432.90,406.95,431.35,404.70,402.86,SKIP,,,,,,
2025-02-06,436.50,436.50,421.35,425.90,431.35,426.67,TRADE,431.35,426.67,426.67,true,-4.68,-1.08
2025-02-07,425.00,427.75,411.70,423.50,425.90,427.38,SKIP,,,,,,
2025-02-10,414.80,415.55,397.50,404.50,423.50,421.28,TRADE,423.50,421.28,404.50,false,-19.00,-4.49
2025-02-11,405.05,414.35,395.10,411.75,404.50,405.25,SKIP,,,,,,
2025-02-12,412.50,421.10,404.00,418.20,411.75,406.28,TRADE,411.75,406.28,406.28,true,-5.47,-1.33
