date,close_day1,high_day2,low_day2,close_day2,vwap,entry,quantity,target,exit,target_hit,dp_charge,tax_charges,pnl_absolute,pnl_percent,capital
2025-01-01,602.50,618.70,601.40,611.10,1794.02,602.50,1659,1794.02,611.10,false,15.93,2214.70,12036.77,1.20,1012036.77
2025-01-02,611.10,625.00,608.60,620.60,1827.01,611.10,1656,1827.01,620.60,false,15.93,2243.66,13472.41,1.33,1025509.18
2025-01-03,620.60,634.00,607.70,618.80,1843.32,620.60,1652,1843.32,618.80,false,15.93,2252.24,-5241.77,-0.51,1020267.41
2025-01-06,618.80,628.30,614.30,622.80,1863.02,618.80,1648,1863.02,622.80,false,15.93,2250.77,4325.30,0.42,1024592.71
2025-01-07,622.80,628.00,611.70,612.70,1863.78,622.80,1645,1863.78,612.70,false,15.93,2235.64,-18866.07,-1.84,1005726.64
2025-01-08,612.70,623.80,612.00,618.40,1845.33,612.70,1641,1845.33,618.40,false,15.93,2222.26,7115.51,0.71,1012842.15
2025-01-09,618.40,623.00,597.70,600.80,1856.28,618.40,1637,1856.28,600.80,false,15.93,2195.41,-31022.54,-3.06,981819.61
2025-01-10,600.80,600.00,583.80,587.60,1828.11,600.80,1634,1828.11,587.60,false,15.93,2136.03,-23720.76,-2.42,958098.85
2025-01-13,587.60,609.30,593.40,605.00,1773.83,587.60,1630,1773.83,605.00,false,15.93,2138.33,26207.74,2.74,984306.59
2025-01-14,605.00,618.70,606.80,610.50,1811.81,605.00,1626,1811.81,610.50,false,15.93,2174.04,6753.03,0.69,991059.61
2025-01-15,610.50,622.30,611.70,615.00,1836.57,610.50,1623,1836.57,615.00,false,15.93,2187.89,5099.68,0.51,996159.30
2025-01-16,615.00,621.70,610.10,611.70,1850.85,615.00,1619,1850.85,611.70,false,15.93,2184.63,-7543.26,-0.76,988616.04
2025-01-17,611.70,618.90,604.60,605.40,1852.28,611.70,1616,1852.28,605.40,false,15.93,2163.52,-12360.25,-1.25,976255.79
2025-01-20,605.40,624.50,602.20,606.00,1826.83,605.40,1612,1826.83,606.00,false,15.93,2148.05,-1196.78,-0.12,975059.01
