date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,989.00,994.00,965.50,981.50,990.00,988.59,SKIP,,,,,,
2025-01-03,983.60,1007.55,977.00,977.90,981.50,978.08,SKIP,,,,,,
2025-01-06,985.00,1000.00,964.25,969.05,977.90,993.42,TRADE,977.90,993.42,993.42,true,15.52,1.59
2025-01-07,972.00,995.85,972.00,981.90,969.05,983.64,TRADE,969.05,983.64,983.64,true,14.59,1.51
2025-01-08,986.00,987.25,895.15,904.05,981.90,985.54,SKIP,,,,,,
2025-01-09,900.00,911.70,892.00,892.85,904.05,920.58,TRADE,904.05,920.58,892.85,false,-11.20,-1.24
2025-01-10,891.00,893.90,836.30,848.25,892.85,901.45,TRADE,892.85,901.45,848.25,false,-44.60,-5.00
2025-01-13,828.00,831.70,785.15,789.80,848.25,857.39,TRADE,848.25,857.39,789.80,false,-58.45,-6.89
2025-01-14,793.05,832.85,792.00,819.15,789.80,806.08,TRADE,789.80,806.08,806.08,true,16.28,2.06
2025-01-15,822.50,871.40,801.80,856.40,819.15,815.32,SKIP,,,,,,
2025-01-16,879.00,926.70,875.00,897.00,856.40,840.35,TRADE,856.40,840.35,897.00,false,40.60,4.74
2025-01-17,896.00,905.00,881.70,896.95,897.00,906.78,TRADE,897.00,906.78,896.95,false,-0.05,-0.01
2025-01-20,902.50,920.00,872.30,896.00,896.95,894.10,SKIP,,,,,,
2025-01-21,901.00,911.45,825.45,849.50,896.00,901.60,TRADE,896.00,901.60,901.60,true,5.60,0.63
2025-01-22,850.00,857.80,816.70,845.80,849.50,856.74,TRADE,849.50,856.74,856.74,true,7.24,0.85
2025-01-23,843.00,864.80,840.00,847.80,845.80,832.41,TRADE,845.80,832.41,847.80,false,2.00,0.24
2025-01-24,849.95,855.65,773.05,803.05,847.80,852.92,TRADE,847.80,852.92,852.92,true,5.12,0.60
2025-01-27,788.00,789.85,763.20,777.70,803.05,817.30,TRADE,803.05,817.30,777.70,false,-25.35,-3.16
2025-01-28,785.00,787.70,763.30,768.20,777.70,778.67,SKIP,,,,,,
2025-01-29,769.85,814.70,765.25,807.80,768.20,775.81,TRADE,768.20,775.81,775.81,true,7.61,0.99
2025-01-30,808.65,814.45,756.50,771.05,807.80,792.81,TRADE,807.80,792.81,792.81,true,-14.99,-1.86
2025-01-31,773.80,792.85,768.95,776.60,771.05,778.84,TRADE,771.05,778.84,778.84,true,7.79,1.01
2025-02-01,776.00,786.90,735.05,741.30,776.60,780.88,TRADE,776.60,780.88,780.88,true,4.28,0.55
2025-02-03,734.00,783.00,710.70,771.90,741.30,760.05,TRADE,741.30,760.05,760.05,true,18.75,2.53
2025-02-04,778.10,790.95,770.00,779.70,771.90,762.44,TRADE,771.90,762.44,779.70,false,7.80,1.01
2025-02-05,781.70,812.95,781.00,802.40,779.70,781.10,SKIP,,,,,,
2025-02-06,807.45,814.75,795.00,796.75,802.40,804.44,SKIP,,,,,,
2025-02-07,799.60,823.85,790.20,810.40,796.75,804.02,TRADE,796.75,804.02,804.02,true,7.27,0.91
2025-02-10,811.00,815.85,768.10,774.20,810.40,809.63,SKIP,,,,,,
2025-02-11,776.95,779.40,741.30,749.60,774.20,782.21,TRADE,774.20,782.21,749.60,false,-24.60,-3.18
2025-02-12,745.00,754.90,718.35,749.15,749.60,752.34,SKIP,,,,,,
2025-02-13,749.40,773.65,741.60,755.25,749.15,740.80,TRADE,749.15,740.80,755.25,false,6.10,0.81
2025-02-14,761.90,769.45,713.10,718.85,755.25,759.21,TRADE,755.25,759.21,759.21,true,3.96,0.52
2025-02-17,722.00,751.00,713.55,736.95,718.85,729.24,TRADE,718.85,729.24,729.24,true,10.39,1.45
2025-02-18,741.45,741.45,708.30,713.60,736.95,735.26,SKIP,,,,,,
2025-02-19,712.00,749.90,706.00,741.00,713.60,722.79,TRADE,713.60,722.79,722.79,true,9.19,1.29
2025-02-20,737.05,763.55,726.00,762.85,741.00,734.31,TRADE,741.00,734.31,734.31,true,-6.69,-0.90
2025-02-21,755.80,779.95,755.00,766.00,762.85,745.42,TRADE,762.85,745.42,766.00,false,3.15,0.41
2025-02-24,753.00,763.70,738.00,753.20,766.00,766.74,SKIP,,,,,,
2025-02-25,753.00,773.00,732.85,733.70,753.20,752.10,SKIP,,,,,,
2025-02-27,736.00,749.70,715.05,722.65,733.70,749.91,TRADE,733.70,749.91,722.65,false,-11.05,-1.51
2025-02-28,715.00,730.50,698.30,714.00,722.65,727.79,TRADE,722.65,727.79,727.79,true,5.14,0.71
2025-03-03,700.00,734.80,683.55,729.95,714.00,713.24,SKIP,,,,,,
2025-03-04,704.00,727.80,690.00,695.80,729.95,711.78,TRADE,729.95,711.78,711.78,true,-18.17,-2.49
2025-03-05,687.00,715.80,687.00,706.80,695.80,705.37,TRADE,695.80,705.37,705.37,true,9.57,1.38
2025-03-06,715.00,722.70,695.80,704.30,706.80,705.19,SKIP,,,,,,
2025-03-07,710.00,713.70,680.25,682.95,704.30,706.84,SKIP,,,,,,
2025-03-10,687.00,694.95,662.05,662.10,682.95,694.25,TRADE,682.95,694.25,694.25,true,11.30,1.65
2025-03-11,660.10,718.95,651.50,713.50,662.10,672.24,TRADE,662.10,672.24,672.24,true,10.14,1.53
2025-03-12,719.00,720.30,681.10,702.40,713.50,697.72,TRADE,713.50,697.72,697.72,true,-15.78,-2.21
2025-03-13,704.00,706.80,680.00,681.50,702.40,697.86,TRADE,702.40,697.86,697.86,true,-4.54,-0.65
2025-03-17,685.00,699.00,682.10,692.75,681.50,689.95,TRADE,681.50,689.95,689.95,true,8.45,1.24
2025-03-18,697.00,746.65,695.00,742.00,692.75,690.12,SKIP,,,,,,
2025-03-19,745.70,772.00,734.05,762.75,742.00,727.75,TRADE,742.00,727.75,762.75,false,20.75,2.80
2025-03-20,762.00,762.00,718.20,731.80,762.75,757.66,TRADE,762.75,757.66,757.66,true,-5.09,-0.67
2025-03-21,736.90,756.85,727.30,752.80,731.80,732.53,SKIP,,,,,,
2025-03-24,757.45,780.90,743.45,766.75,752.80,746.95,TRADE,752.80,746.95,746.95,true,-5.85,-0.78
2025-03-25,774.00,790.80,761.30,776.65,766.75,764.04,SKIP,,,,,,
2025-03-26,773.50,796.00,772.80,775.95,776.65,776.64,SKIP,,,,,,
2025-03-27,771.00,813.95,771.00,808.35,775.95,784.46,TRADE,775.95,784.46,784.46,true,8.51,1.10
