date,open,high,low,close,prev_close,prev_vwap,trade_type,entry,target,exit,target_hit,pnl_absolute,pnl_percent
2025-01-02,336.00,337.80,309.80,319.55,338.25,347.06,TRADE,338.25,347.06,319.55,false,-18.70,-5.53
2025-01-03,323.25,325.85,320.75,321.10,319.55,327.36,TRADE,319.55,327.36,321.10,false,1.55,0.49
2025-01-06,322.55,322.55,314.90,319.20,321.10,331.70,TRADE,321.10,331.70,319.20,false,-1.90,-0.59
2025-01-07,319.65,324.90,318.80,322.25,319.20,327.06,TRADE,319.20,327.06,322.25,false,3.05,0.96
2025-01-08,323.55,328.85,321.15,322.95,322.25,331.45,TRADE,322.25,331.45,322.95,false,0.70,0.22
2025-01-09,323.65,327.05,317.60,319.30,322.95,333.54,TRADE,322.95,333.54,319.30,false,-3.65,-1.13
2025-01-10,318.60,320.70,311.30,311.85,319.30,330.19,TRADE,319.30,330.19,311.85,false,-7.45,-2.33
2025-01-13,310.85,311.05,305.35,306.85,311.85,323.50,TRADE,311.85,323.50,306.85,false,-5.00,-1.60
2025-01-14,307.90,318.10,307.60,317.20,306.85,316.13,TRADE,306.85,316.13,316.13,true,9.28,3.02
2025-01-15,318.80,320.75,314.60,318.05,317.20,323.55,TRADE,317.20,323.55,318.05,false,0.85,0.27
2025-01-16,318.70,322.30,317.80,320.75,318.05,325.50,TRADE,318.05,325.50,320.75,false,2.70,0.85
2025-01-17,320.90,324.05,314.70,316.20,320.75,328.99,TRADE,320.75,328.99,316.20,false,-4.55,-1.42
2025-01-20,316.10,317.00,309.80,313.35,316.20,326.53,TRADE,316.20,326.53,313.35,false,-2.85,-0.90
2025-01-21,313.15,323.50,312.95,316.65,313.35,320.27,TRADE,313.35,320.27,320.27,true,6.92,2.21
2025-01-22,317.25,319.00,310.25,314.60,316.65,327.10,TRADE,316.65,327.10,314.60,false,-2.05,-0.65
2025-01-23,313.15,323.35,310.60,322.45,314.60,321.81,TRADE,314.60,321.81,321.81,true,7.21,2.29
2025-01-24,322.70,323.30,312.05,314.85,322.45,327.92,TRADE,322.45,327.92,314.85,false,-7.60,-2.36
2025-01-27,311.00,312.65,301.00,301.85,314.85,324.23,TRADE,314.85,324.23,301.85,false,-13.00,-4.13
2025-01-28,297.35,307.00,281.65,282.20,301.85,312.54,TRADE,301.85,312.54,282.20,false,-19.65,-6.51
2025-01-29,284.05,294.60,281.75,293.10,282.20,300.78,TRADE,282.20,300.78,293.10,false,10.90,3.86
2025-01-30,293.85,296.80,290.30,293.15,293.10,298.74,TRADE,293.10,298.74,293.15,false,0.05,0.02
